frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.55074,0.09124,0.01217,0.00211,0.01450,0.35696,0.03264,0.01009,2955774.10000
60,0.68339,0.10664,0.01280,0.00210,0.01592,0.47175,0.03332,0.01025,3390293.45000
120,0.56822,0.05747,0.01261,0.00210,0.01566,0.40577,0.03314,0.01016,1763572.05000
180,0.53590,0.04903,0.01183,0.00211,0.01542,0.38264,0.03323,0.01017,1334104.85000
240,0.49059,0.05510,0.01169,0.00211,0.01534,0.33129,0.03312,0.01015,1563999.05000
300,0.42187,0.04362,0.01143,0.00210,0.01513,0.27477,0.03294,0.01012,942806.45000
360,0.54218,0.03383,0.01177,0.00211,0.01536,0.40387,0.03333,0.01016,651664.20000
420,0.57055,0.02803,0.01178,0.00210,0.01541,0.43773,0.03364,0.01026,531526.60000
480,0.47393,0.02310,0.01155,0.00210,0.01531,0.34587,0.03376,0.01024,335265.25000
540,0.45643,0.02586,0.01157,0.00210,0.01529,0.32645,0.03332,0.01022,394504.35000
600,0.75525,0.14920,0.01253,0.00211,0.01595,0.50038,0.03328,0.01015,4763095.10000
660,0.79585,0.21928,0.01357,0.00211,0.01657,0.47035,0.03328,0.01014,7008309.50000
720,0.73508,0.21850,0.01325,0.00210,0.01627,0.40790,0.03329,0.01007,6851715.25000
780,0.85084,0.22674,0.01353,0.00210,0.01649,0.51487,0.03345,0.01021,6833477.10000
840,0.65744,0.25626,0.01273,0.00210,0.01579,0.29358,0.03386,0.01019,7736553.50000
900,0.74116,0.25666,0.01276,0.00210,0.01580,0.37516,0.03365,0.01021,7912527.20000
960,0.63269,0.20478,0.01296,0.00210,0.01603,0.32106,0.03336,0.01018,6364935.35000
1020,0.64377,0.16865,0.01308,0.00211,0.01616,0.36973,0.03308,0.01016,5390683.35000
1080,0.59332,0.13245,0.01277,0.00211,0.01600,0.35514,0.03339,0.01015,4144249.10000
1140,0.47217,0.08192,0.01208,0.00211,0.01553,0.28565,0.03300,0.01014,2469341.80000
1200,0.50765,0.09319,0.01233,0.00212,0.01565,0.30958,0.03298,0.01015,2921893.50000
1260,0.33671,0.05860,0.01183,0.00211,0.01539,0.17339,0.03332,0.01013,1600253.25000
1320,0.31600,0.06987,0.01170,0.00211,0.01530,0.14225,0.03318,0.00995,1828604.05000
1380,0.62607,0.16818,0.01236,0.00211,0.01538,0.35477,0.03314,0.01014,5316520.45000
1440,0.80803,0.23824,0.01240,0.00216,0.01491,0.47094,0.03302,0.00933,7541994.90000
1500,0.83241,0.29141,0.01219,0.00216,0.01460,0.44352,0.03182,0.00929,9143355.45000
1560,0.80537,0.32803,0.01202,0.00210,0.01409,0.37569,0.03305,0.01001,10284076.30000
1620,0.77865,0.34284,0.01207,0.00212,0.01378,0.33402,0.03278,0.00995,10793619.40000
1680,0.77835,0.35434,0.01209,0.00212,0.01345,0.32312,0.03217,0.00990,11201993.95000
1740,0.71645,0.35170,0.01148,0.00211,0.01264,0.26532,0.03178,0.00989,11196844.40000
1800,0.69715,0.35323,0.01139,0.00211,0.01253,0.24521,0.03151,0.01015,11241036.30000
1860,0.74136,0.35409,0.01172,0.00211,0.01304,0.28671,0.03189,0.00997,11241007.00000
1920,0.80869,0.35699,0.01225,0.00212,0.01379,0.35035,0.03252,0.00993,11240943.40000
1980,0.78993,0.32543,0.01188,0.00211,0.01405,0.36214,0.03284,0.01038,10257777.50000
2040,0.69164,0.22930,0.01154,0.00212,0.01438,0.35896,0.03301,0.01039,7118236.70000
2100,0.62201,0.15332,0.01219,0.00211,0.01524,0.35920,0.03371,0.01024,4779189.60000
2160,0.34448,0.06410,0.01039,0.00213,0.01330,0.17618,0.03260,0.00993,1653801.50000
2220,0.12802,0.01032,0.00839,0.00201,0.00984,0.02840,0.03032,0.00775,250198.20000
2280,0.11875,0.00540,0.00802,0.00197,0.00946,0.02456,0.03033,0.00800,81778.25000
2340,0.11372,0.00243,0.00775,0.00193,0.00923,0.02223,0.03039,0.00823,0.00000
2400,0.11313,0.00242,0.00779,0.00193,0.00923,0.02218,0.03036,0.00819,0.00000
2460,0.11314,0.00233,0.00776,0.00193,0.00924,0.02220,0.03040,0.00825,0.00000
