frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.20143,0.06393,0.08352,0.03172,0.00873,3553381.35000
60,0.21616,0.06763,0.09394,0.03207,0.00885,3662944.30000
120,0.18561,0.05054,0.08237,0.03157,0.00834,2176008.00000
180,0.14738,0.03208,0.06250,0.03150,0.00823,1760027.75000
240,0.21599,0.06727,0.09409,0.03245,0.00876,2911562.30000
300,0.24533,0.08318,0.10702,0.03239,0.00894,3211259.30000
360,0.24174,0.08092,0.10589,0.03219,0.00884,3197534.35000
420,0.18827,0.05144,0.08386,0.03155,0.00861,2080022.75000
480,0.19651,0.05671,0.08673,0.03140,0.00863,2143202.10000
540,0.20953,0.06387,0.09178,0.03168,0.00876,2652802.15000
600,0.21333,0.06626,0.09402,0.03140,0.00851,2718203.40000
660,0.15100,0.03400,0.06566,0.03121,0.00829,1551084.95000
720,0.18976,0.05685,0.07896,0.03207,0.00869,2455791.85000
780,0.18098,0.05368,0.07421,0.03175,0.00865,2049572.45000
840,0.12263,0.02312,0.04762,0.03149,0.00843,904159.35000
900,0.19494,0.05618,0.08529,0.03148,0.00859,2916661.70000
960,0.23735,0.07819,0.10408,0.03231,0.00890,3578981.25000
1020,0.21098,0.06551,0.09030,0.03227,0.00889,2767377.40000
1080,0.20702,0.06468,0.08885,0.03186,0.00886,2271770.15000
1140,0.23151,0.07752,0.09951,0.03224,0.00885,2903832.20000
1200,0.20732,0.06548,0.08716,0.03209,0.00891,2424988.15000
1260,0.18890,0.05643,0.07849,0.03183,0.00877,2026572.10000
1320,0.19752,0.06130,0.08273,0.03192,0.00874,2301510.50000
1380,0.20163,0.06177,0.08598,0.03195,0.00886,2404923.35000
1440,0.21460,0.06579,0.09390,0.03229,0.00889,2983851.65000
1500,0.34515,0.12413,0.16547,0.03266,0.00891,5965339.50000
1560,0.37396,0.13911,0.17955,0.03255,0.00889,6425388.50000
1620,0.37395,0.13826,0.18054,0.03235,0.00878,6351675.30000
1680,0.25761,0.08101,0.12168,0.03183,0.00879,3853289.10000
1740,0.17457,0.04558,0.07556,0.03140,0.00848,1807302.25000
1800,0.17179,0.04477,0.07439,0.03123,0.00834,1503980.35000
1860,0.16880,0.04250,0.07414,0.03113,0.00828,1304820.90000
1920,0.16495,0.03951,0.07383,0.03103,0.00815,1271388.55000
1980,0.16015,0.03500,0.07341,0.03098,0.00811,1145896.95000
2040,0.15413,0.03174,0.07079,0.03089,0.00802,833803.50000
2100,0.14756,0.02930,0.06741,0.03087,0.00798,724541.55000
2160,0.14143,0.02594,0.06489,0.03082,0.00801,651558.70000
2220,0.13823,0.02227,0.06526,0.03082,0.00803,606690.35000
2280,0.10151,0.01320,0.03732,0.03101,0.00794,387407.30000
2340,0.17980,0.05037,0.07575,0.03190,0.00861,2264677.55000
2400,0.27172,0.09189,0.12430,0.03264,0.00898,3983123.90000
2460,0.28090,0.09634,0.12915,0.03261,0.00886,4233659.50000
2520,0.25630,0.08546,0.11532,0.03259,0.00899,3774183.40000
2580,0.22632,0.07953,0.09215,0.03224,0.00892,2738790.20000
2640,0.20995,0.07110,0.08523,0.03193,0.00900,2234217.40000
2700,0.19354,0.05504,0.08551,0.03142,0.00881,1876452.05000
2760,0.18171,0.04606,0.08275,0.03125,0.00868,1554160.70000
2820,0.18003,0.04780,0.08012,0.03110,0.00816,1444209.80000
2880,0.16012,0.04119,0.06723,0.03140,0.00798,1270269.50000
2940,0.15058,0.03436,0.06477,0.03121,0.00797,1185182.60000
3000,0.25531,0.08467,0.11690,0.03209,0.00851,3737532.35000
3060,0.33377,0.12001,0.15838,0.03259,0.00889,5419981.65000
