scene,renderer_variant,renderer,max_open,diversity,active_bins,source_materials,condition_order,condition_key,condition_label,samples,total_mean_ms,total_median_ms,total_p10_ms,total_p90_ms,total_min_ms,total_max_ms
Bistro,8,Deferred + prepass,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",92,0.2316680434782608,0.20292,0.142025,0.377263,0.06414,0.47153
Bistro,9,Visibility + G-buffer,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",92,0.31916554347826087,0.30224,0.226508,0.46379700000000007,0.11843,0.52314
Bistro,8,Deferred + prepass,4,1.0,4,132,16,M4_D1,"4 bins
M4, D1",92,0.2352191304347826,0.20475,0.143748,0.387542,0.06412,0.49063
Bistro,9,Visibility + G-buffer,4,1.0,4,132,16,M4_D1,"4 bins
M4, D1",92,0.3264091304347826,0.310145,0.232162,0.4745720000000001,0.11991,0.52829
Bistro,8,Deferred + prepass,16,0.5,16,132,18,M16_D0.5,"16 bins
M16, D0.5",92,0.2335716304347826,0.20331,0.143151,0.38265699999999997,0.0644,0.47955
Bistro,9,Visibility + G-buffer,16,0.5,16,132,18,M16_D0.5,"16 bins
M16, D0.5",92,0.33157760869565217,0.316075,0.23655299999999999,0.47894300000000006,0.12276,0.53295
Bistro,8,Deferred + prepass,64,0.0,64,132,20,M64_D0,"64 bins
M64, D0",92,0.23133576086956523,0.20307,0.141743,0.376697,0.06406,0.47176
Bistro,9,Visibility + G-buffer,64,0.0,64,132,20,M64_D0,"64 bins
M64, D0",92,0.3353836956521739,0.31858,0.244803,0.47239300000000006,0.14506,0.52928
Bistro,8,Deferred + prepass,64,1.0,64,132,22,M64_D1,"64 bins
M64, D1",92,0.2357170652173913,0.204615,0.14377299999999998,0.390759,0.0643,0.49071
Bistro,9,Visibility + G-buffer,64,1.0,64,132,22,M64_D1,"64 bins
M64, D1",92,0.3513958695652174,0.336455,0.251863,0.4884300000000001,0.14582,0.54448
Bistro,8,Deferred + prepass,255,0.0,132,132,24,M255_D0,"132 bins
M255, D0",92,0.23126782608695648,0.20489000000000002,0.142399,0.376958,0.06439,0.46951
Bistro,9,Visibility + G-buffer,255,0.0,132,132,24,M255_D0,"132 bins
M255, D0",92,0.3650509782608696,0.34717,0.27543199999999995,0.500781,0.18278,0.56018
Bistro,8,Deferred + prepass,255,1.0,132,132,26,M255_D1,"132 bins
M255, D1",92,0.23530043478260868,0.20656,0.14322200000000002,0.39023599999999997,0.06362,0.48898
Bistro,9,Visibility + G-buffer,255,1.0,132,132,26,M255_D1,"132 bins
M255, D1",92,0.369175652173913,0.35463,0.277126,0.5104590000000001,0.18321,0.56341
Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",42,0.46864738095238095,0.47538499999999995,0.08170100000000008,0.741675,0.05461,0.80035
Sponza,9,Visibility + G-buffer,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",42,0.6555666666666666,0.733425,0.14497000000000013,0.9590569999999999,0.10865,1.11283
Sponza,8,Deferred + prepass,4,1.0,4,29,2,M4_D1,"4 bins
M4, D1",42,0.47202547619047613,0.478075,0.08174800000000007,0.7452289999999999,0.05462,0.78966
Sponza,9,Visibility + G-buffer,4,1.0,4,29,2,M4_D1,"4 bins
M4, D1",42,0.5607895238095238,0.59747,0.1438020000000001,0.7948470000000001,0.10892,0.86406
Sponza,8,Deferred + prepass,16,0.5,16,29,4,M16_D0.5,"16 bins
M16, D0.5",42,0.4781392857142857,0.48467,0.08154000000000007,0.743378,0.05469,0.78631
Sponza,9,Visibility + G-buffer,16,0.5,16,29,4,M16_D0.5,"16 bins
M16, D0.5",42,0.5704542857142858,0.6240399999999999,0.1468180000000001,0.804418,0.11313,0.85084
Sponza,8,Deferred + prepass,64,0.0,29,29,6,M64_D0,"29 bins
M64, D0",42,0.47028119047619044,0.47663,0.08136900000000008,0.740505,0.05443,0.80029
Sponza,9,Visibility + G-buffer,64,0.0,29,29,6,M64_D0,"29 bins
M64, D0",42,0.662597380952381,0.741935,0.1489840000000001,0.9528629999999999,0.11671,1.10557
Sponza,8,Deferred + prepass,64,1.0,29,29,8,M64_D1,"29 bins
M64, D1",42,0.4717061904761904,0.475165,0.08253600000000008,0.742008,0.05475,0.79528
Sponza,9,Visibility + G-buffer,64,1.0,29,29,8,M64_D1,"29 bins
M64, D1",42,0.5448878571428571,0.59048,0.1500180000000001,0.7690020000000001,0.11679,0.79528
Sponza,8,Deferred + prepass,255,0.0,29,29,10,M255_D0,"29 bins
M255, D0",42,0.4758026190476191,0.48494,0.08209700000000007,0.739805,0.05433,0.79736
Sponza,9,Visibility + G-buffer,255,0.0,29,29,10,M255_D0,"29 bins
M255, D0",42,0.6688819047619048,0.747555,0.1498040000000001,1.015788,0.11681,1.12964
Sponza,8,Deferred + prepass,255,1.0,29,29,12,M255_D1,"29 bins
M255, D1",42,0.4916554761904762,0.485545,0.08192700000000007,0.758083,0.05478,0.91047
Sponza,9,Visibility + G-buffer,255,1.0,29,29,12,M255_D1,"29 bins
M255, D1",42,0.530785,0.565965,0.14956000000000008,0.756395,0.11706,0.78707
