frame,total,raster_stats,index_count
0,45.43833,45.43403,2955774.10000
60,45.92043,45.91627,3390293.45000
120,40.55216,40.54798,1763572.05000
180,68.27317,68.26896,1334104.85000
240,81.87575,81.87169,1563999.05000
300,90.01600,90.01179,942806.45000
360,63.89970,63.89558,651664.20000
420,34.57076,34.56669,531526.60000
480,19.89576,19.89157,335265.25000
540,57.63315,57.62907,394504.35000
600,64.87493,64.87067,4763095.10000
660,88.70753,88.70081,7008309.50000
720,97.33236,97.32814,6851715.25000
780,88.86113,88.85671,6833477.10000
840,181.60853,181.60390,7736553.50000
900,225.02081,225.01638,7912527.20000
960,234.14100,234.13659,6364935.35000
1020,138.85263,138.84836,5390683.35000
1080,110.49895,110.49457,4144249.10000
1140,163.11812,163.11419,2469341.80000
1200,144.69922,144.69501,2921893.50000
1260,128.68152,128.67740,1600253.25000
1320,128.70437,128.70033,1828604.05000
1380,183.53741,183.53318,5316520.45000
1440,253.58772,253.58336,7541994.90000
1500,230.14433,230.13975,9143355.45000
1560,139.23019,139.22579,10284076.30000
1620,109.72045,109.71618,10793619.40000
1680,86.25860,86.25414,11201993.95000
1740,68.81694,68.81233,11196844.40000
1800,66.89841,66.89392,11241036.30000
1860,89.60404,89.59953,11241007.00000
1920,134.35427,134.34968,11240943.40000
1980,189.35886,189.35451,10257777.50000
2040,202.90270,202.89826,7118236.70000
2100,292.54098,292.53654,4779189.60000
2160,296.71620,296.71225,1653801.50000
2220,18.77326,18.76933,250198.20000
2280,2.54898,2.54520,81778.25000
2340,0.01359,0.01019,0.00000
2400,0.01421,0.01049,0.00000
2460,0.01413,0.01036,0.00000
