frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,908861,1721728,583680,1138048,2.949781,10,119257,789604,607027,1721728,706380,0.709082
61,908861,1727427,586240,1141187,2.946621,10,119865,788996,609146,1727427,709157,0.708954
62,908861,1737088,588800,1148288,2.950217,10,119676,789185,612554,1737088,713128,0.708953
63,908861,1744623,592640,1151983,2.943816,10,120421,788440,615760,1744623,718417,0.708321
64,908861,1754330,595200,1159130,2.947463,10,120653,788208,619815,1754330,724930,0.707602
65,914501,1761053,597760,1163293,2.946087,10,121038,793463,623385,1761053,732487,0.706246
66,914501,1771719,600320,1171399,2.951291,10,121772,792729,626583,1771719,734613,0.706897
67,914501,1779315,602880,1176435,2.951358,10,121901,792600,628441,1779315,734449,0.707829
68,914501,1789803,606720,1183083,2.949965,10,122162,792339,631988,1789803,738149,0.708005
69,914501,1796574,609280,1187294,2.948684,10,122734,791767,635025,1796574,743526,0.707285
70,914501,1806115,611840,1194275,2.951940,10,123165,791336,637108,1806115,742317,0.708716
71,914501,1814924,614400,1200524,2.953978,10,123512,790989,641561,1814924,751320,0.707230
72,914501,1822956,616960,1205996,2.954739,10,124025,790476,644320,1822956,754324,0.707318
73,914501,1833503,620800,1212703,2.953452,10,124352,790149,647256,1833503,755521,0.708183
74,914501,1839186,623360,1215826,2.950440,10,124843,789658,648730,1839186,755734,0.708764
75,914501,1850097,625920,1224177,2.955804,10,125210,789291,653533,1850097,764035,0.707729
76,914501,1856100,628480,1227620,2.953316,10,125679,788822,656250,1856100,768900,0.707086
77,914501,1865039,631222,1233817,2.954648,10,126167,788334,657755,1865039,765981,0.708865
78,914501,1874722,635365,1239357,2.950622,10,126520,787981,661485,1874722,771218,0.708528
79,914501,1884486,638355,1246131,2.952097,10,127003,787498,665640,1884486,778074,0.707772
80,914501,1891828,641478,1250350,2.949171,10,127405,787096,667207,1891828,777000,0.708861
81,914501,1901137,644645,1256492,2.949122,10,127849,786652,668366,1901137,772327,0.711114
82,914501,1909157,647924,1261233,2.946576,10,128471,786030,672055,1909157,779063,0.710194
83,914501,1919145,651262,1267883,2.946809,10,128775,785726,677505,1919145,790875,0.708166
84,914501,1928529,655731,1272798,2.941037,10,129132,785369,680355,1928529,792891,0.708648
85,914501,1936140,659162,1276978,2.937275,10,129364,785137,682009,1936140,791896,0.709719
86,914501,1946006,662601,1283405,2.936920,10,129810,784691,687264,1946006,803050,0.707882
87,914501,1951335,666116,1285219,2.929422,10,130003,784498,687602,1951335,799073,0.709471
88,991140,1963876,669671,1294205,2.932598,10,130660,860480,690674,1963876,798820,0.710855
89,991140,1969906,674304,1295602,2.921392,10,130684,860456,691285,1969906,795234,0.712407
90,991140,1979928,677983,1301945,2.920321,10,130862,860278,695562,1979928,802320,0.711629
91,991140,1988661,681691,1306970,2.917247,10,132098,859042,699642,1988661,809907,0.710599
92,991140,1996903,685497,1311406,2.913073,10,131889,859251,699313,1996903,800349,0.713880
93,991140,2005959,689350,1316609,2.909928,10,133147,857993,705243,2005959,815013,0.711088
94,991140,2016739,694183,1322556,2.905198,10,133385,857755,710329,2016739,824577,0.709790
95,991140,2025101,698118,1326983,2.900800,10,133975,857165,709765,2025101,813959,0.713300
96,991140,2034395,702104,1332291,2.897569,10,134533,856607,714716,2034395,824469,0.711610
97,991140,2042816,706089,1336727,2.893142,10,134794,856346,718821,2042816,832468,0.710475
98,991140,2052656,710164,1342492,2.890397,10,135566,855574,721900,2052656,834944,0.710852
99,991140,2063111,715098,1348013,2.885074,10,136031,855109,721380,2063111,822409,0.714988
100,991140,2069455,719205,1350250,2.877420,11,136026,855114,726735,2069455,837485,0.711902
