frame,forward
0,1.85847
10,1.88536
20,1.86259
30,1.91469
40,1.85195
50,1.89422
60,1.86047
70,1.84938
80,1.87878
90,1.87243
100,1.87161
110,1.80316
120,1.82821
130,1.86953
140,1.85382
150,1.89190
160,1.87231
170,1.87868
180,1.86968
190,1.80686
200,1.86607
210,1.89658
220,1.83145
230,1.85731
240,1.82683
250,1.82641
260,1.90909
270,1.84193
280,1.85895
290,1.83097
300,1.92747
310,1.83428
320,1.86700
330,1.84513
340,1.87021
350,1.86476
360,1.85988
370,1.83820
380,1.83837
390,1.81158
400,1.86097
410,1.83368
420,1.83505
430,1.85807
440,1.82374
450,1.84349
460,1.83021
470,1.88529
480,1.82952
