frame,total,geometry,lighting,tonemap,index_count
0,1.71851,1.10341,0.36120,0.01796,2735043.00000
10,1.87138,1.16089,0.44612,0.01852,2743503.00000
20,1.87668,1.22578,0.34564,0.01877,2789486.40000
30,1.88392,1.29128,0.34781,0.01943,2973420.00000
40,1.81392,1.33358,0.32961,0.01608,2973420.00000
50,1.98866,1.40146,0.36584,0.01751,3519772.20000
60,2.02722,1.62676,0.33473,0.01737,3709842.60000
70,2.18306,1.64283,0.40531,0.02075,3855122.40000
80,2.20802,1.53785,0.42808,0.02258,3654076.80000
90,2.25050,1.61036,0.44649,0.02250,3542482.20000
100,2.07911,1.39668,0.42764,0.02329,3260749.80000
110,2.30370,1.58827,0.42715,0.02330,2319486.90000
120,2.22997,1.51289,0.42775,0.02326,1946843.70000
130,2.15324,1.43926,0.42764,0.02336,1705523.10000
140,2.12300,1.40999,0.42767,0.02285,1670144.40000
150,2.12027,1.40767,0.42766,0.02292,1705351.20000
160,2.23943,1.52391,0.42836,0.02307,1601443.50000
170,2.21407,1.48198,0.42837,0.02304,1952126.40000
180,2.09555,1.33086,0.42706,0.02292,2341795.20000
190,2.14702,1.43218,0.42846,0.02307,2107644.90000
200,2.12073,1.38860,0.42858,0.02302,1419058.80000
210,2.03227,1.28458,0.42831,0.02282,807861.60000
220,1.99530,1.24619,0.44605,0.02259,643874.40000
230,1.87988,1.08012,0.48158,0.02234,684394.20000
240,1.99069,1.16126,0.53722,0.02234,1542489.30000
250,2.02754,1.26881,0.46470,0.02297,1712182.50000
260,2.02810,1.26832,0.46499,0.02285,1672847.40000
270,2.01570,1.20094,0.51222,0.02246,1599087.60000
280,2.00002,1.25555,0.44622,0.02268,1561190.10000
290,1.87512,1.15449,0.42764,0.02249,1296197.40000
300,1.84513,1.05456,0.50071,0.02200,1175449.20000
310,1.81911,1.00399,0.51952,0.02156,912259.20000
320,1.89595,1.09301,0.51756,0.02158,897765.00000
330,1.90906,1.16467,0.43975,0.02140,897779.40000
340,2.02462,1.31896,0.42068,0.02135,894099.90000
