run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_geometry_count,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,param_object_count,param_renderer_variant,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
0,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00000.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,Forward,forward,,,total,0.01008,0.01040,0.01098,0.01047,0.01008,0.01027,0.01078,0.01091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01008,0.01040,0.01098,0.01047,0.01008,0.01027,0.01078,0.01091,256,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,1,geometry_time_orthogonal,0,0,0,success,0,
1,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00001.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.00384,0.00426,0.00637,0.00430,0.00387,0.00403,0.00458,0.00483,0.00806,0.00822,0.00842,0.00823,0.00810,0.00819,0.00829,0.00842,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01203,0.01251,0.01462,0.01253,0.01206,0.01226,0.01280,0.01302,256,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,2,geometry_time_orthogonal,0,1,0,success,0,
2,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00002.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.01210,0.01242,0.01283,0.01241,0.01210,0.01216,0.01270,0.01280,0.02627,0.02640,0.02656,0.02639,0.02627,0.02630,0.02650,0.02656,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03846,0.03882,0.03926,0.03881,0.03850,0.03856,0.03907,0.03923,256,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,1,4,geometry_time_orthogonal,0,2,0,success,0,
3,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00003.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,Forward,forward,,,total,0.01027,0.01066,0.01120,0.01067,0.01027,0.01040,0.01094,0.01117,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01027,0.01066,0.01120,0.01067,0.01027,0.01040,0.01094,0.01117,512,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,1,geometry_time_orthogonal,0,3,0,success,0,
4,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00004.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.00435,0.00461,0.00522,0.00472,0.00438,0.00454,0.00506,0.00522,0.00797,0.00822,0.00835,0.00823,0.00800,0.00819,0.00829,0.00832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01254,0.01286,0.01350,0.01294,0.01258,0.01274,0.01328,0.01347,512,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,2,geometry_time_orthogonal,0,4,0,success,0,
5,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00005.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.01216,0.01238,0.01318,0.01246,0.01216,0.01229,0.01270,0.01302,0.02624,0.02637,0.02701,0.02639,0.02624,0.02630,0.02650,0.02672,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03850,0.03882,0.03958,0.03886,0.03853,0.03862,0.03914,0.03949,512,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,2,4,geometry_time_orthogonal,0,5,0,success,0,
6,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00006.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,4,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,Forward,forward,,,total,0.01030,0.01075,0.01133,0.01080,0.01037,0.01059,0.01110,0.01130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01030,0.01075,0.01133,0.01080,0.01037,0.01059,0.01110,0.01130,1024,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,4,1,geometry_time_orthogonal,0,6,0,success,0,
7,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00007.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,4,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.00502,0.00566,0.00730,0.00571,0.00515,0.00541,0.00605,0.00630,0.00810,0.00829,0.01030,0.00832,0.00816,0.00819,0.00838,0.00851,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01328,0.01398,0.01760,0.01403,0.01350,0.01370,0.01434,0.01475,1024,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,4,2,geometry_time_orthogonal,0,7,0,success,0,
8,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00008.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,4,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.01213,0.01242,0.01286,0.01247,0.01219,0.01226,0.01274,0.01283,0.02624,0.02640,0.02733,0.02640,0.02624,0.02630,0.02650,0.02720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03843,0.03882,0.03981,0.03887,0.03850,0.03862,0.03917,0.03955,1024,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,4,4,geometry_time_orthogonal,0,8,0,success,0,
9,geometry_time_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_c8b62die\run_00009.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,8,1,1,0,-1,1,1,0.5,16,1,1,256,1,0,Forward,forward,,,total,0.01210,0.01254,0.02512,0.01284,0.01222,0.01232,0.01286,0.02365,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01210,0.01254,0.02512,0.01284,0.01222,0.01232,0.01286,0.02365,2048,0,16,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,0,8,1,geometry_time_orthogonal,0,9,0,success,0,
