frame,total,geometry,lighting,tonemap,index_count
0,0.69372,0.27874,0.34825,0.03302,3536859.00000
10,0.84512,0.34768,0.40349,0.04392,3540107.40000
20,0.98948,0.45383,0.44972,0.05358,3548178.90000
30,1.07389,0.57342,0.39915,0.05101,3560138.40000
40,0.87376,0.41832,0.36700,0.05185,3566700.00000
50,0.83710,0.42221,0.34844,0.05167,3568304.40000
60,0.80554,0.41776,0.32318,0.05098,3569021.40000
70,1.15415,0.50511,0.56956,0.06242,3569286.00000
80,1.15508,0.50584,0.56981,0.06254,3569286.00000
90,1.30616,0.63639,0.58024,0.07231,3629594.40000
100,1.58892,0.90786,0.58661,0.07631,3798228.60000
110,1.74640,1.06847,0.58532,0.07538,3842249.40000
120,1.88133,1.20244,0.58480,0.07653,4073211.00000
130,1.85119,1.17128,0.58637,0.07604,4046843.40000
140,1.57926,0.90318,0.58392,0.07587,2686896.90000
150,1.28002,0.60918,0.57948,0.07641,822589.80000
160,1.29307,0.61244,0.58540,0.07596,645418.20000
170,1.26110,0.58756,0.58166,0.07618,781088.70000
180,1.30798,0.63318,0.58436,0.07538,1648105.80000
190,1.34773,0.66672,0.58400,0.07633,1785513.90000
200,1.33452,0.66061,0.58243,0.07587,1612006.50000
210,1.35267,0.68032,0.58152,0.07588,1547567.40000
220,1.35778,0.68114,0.58163,0.07598,1904816.70000
230,1.34452,0.67204,0.58222,0.07620,2062156.20000
240,1.34062,0.66600,0.58266,0.07659,2118916.80000
250,1.38480,0.70454,0.58310,0.07638,2638450.50000
260,1.43409,0.75721,0.58450,0.07668,3143778.30000
270,1.48084,0.80144,0.58526,0.07598,3176709.60000
280,1.51580,0.83640,0.58583,0.07626,3195139.80000
290,1.54333,0.85672,0.59057,0.07630,3196378.80000
300,1.54909,0.87041,0.58679,0.07615,3191899.20000
310,1.55948,0.87090,0.58684,0.07613,3189861.60000
320,1.57741,0.89524,0.58792,0.07628,3188157.60000
330,1.59629,0.91526,0.58900,0.07643,3183397.20000
340,1.60151,0.91603,0.59420,0.07646,3251785.50000
350,1.58786,0.90405,0.58956,0.07650,3262454.70000
360,1.56756,0.88584,0.58954,0.07656,3240558.60000
370,1.56160,0.87869,0.58948,0.07726,3240268.80000
380,1.56104,0.87872,0.58959,0.07696,3222061.50000
390,1.55550,0.87344,0.58926,0.07695,3185881.80000
400,1.55538,0.86632,0.59404,0.07531,3157816.80000
410,1.54936,0.86754,0.59005,0.07624,3138618.60000
420,1.55414,0.85952,0.59000,0.07644,3087039.60000
430,1.50330,0.81894,0.59027,0.07567,2881825.20000
440,1.42984,0.73970,0.59052,0.07614,2218198.50000
450,1.34303,0.66354,0.58760,0.07628,1656567.60000
460,1.27719,0.60184,0.58503,0.07513,1441534.80000
470,1.26092,0.58775,0.58375,0.07452,1194970.80000
480,1.28732,0.60939,0.58156,0.07409,956263.50000
490,1.30889,0.63803,0.58166,0.07410,983980.20000
500,1.42148,0.74353,0.58668,0.07620,1687170.00000
510,1.53433,0.85275,0.58904,0.07690,2957266.80000
520,1.59482,0.91276,0.58972,0.07650,3168784.80000
530,1.56308,0.88076,0.58987,0.07651,3105747.30000
540,1.51796,0.83758,0.58812,0.07672,2970027.90000
550,1.53345,0.85368,0.58767,0.07666,2972406.90000
560,1.51154,0.82740,0.58615,0.07676,2435823.90000
570,1.41544,0.74344,0.58065,0.07596,1593825.60000
580,1.65092,0.97790,0.58219,0.07399,2267734.20000
590,1.83295,1.15374,0.58849,0.07328,3676994.40000
600,2.04541,1.36720,0.58853,0.07181,4240686.00000
610,2.00875,1.33109,0.58794,0.07195,4109590.20000
620,1.82782,1.14288,0.58775,0.07480,3234051.90000
630,1.49509,0.81223,0.58598,0.07475,1765986.60000
640,1.42006,0.74544,0.58444,0.07496,1362335.40000
650,1.42283,0.74584,0.58235,0.07489,1596570.30000
660,1.41432,0.74189,0.57982,0.07526,1741612.80000
670,1.42887,0.76121,0.57680,0.07524,1637828.70000
680,1.38234,0.71504,0.57715,0.07566,1236070.20000
690,1.36028,0.69147,0.57807,0.07588,1250187.00000
700,1.33719,0.66384,0.57917,0.07588,1665342.90000
710,1.36672,0.69544,0.58024,0.07615,1775468.10000
720,1.39390,0.72046,0.58319,0.07461,1908386.70000
730,1.37051,0.69734,0.58305,0.07514,2145022.50000
740,1.32440,0.65026,0.58288,0.07586,2592365.10000
750,1.35984,0.68399,0.58353,0.07560,2757870.60000
760,1.37896,0.70318,0.58378,0.07593,2677093.20000
770,1.37419,0.69581,0.58395,0.07616,2654013.00000
780,1.36646,0.69060,0.58455,0.07579,2578698.60000
790,1.38709,0.70972,0.58609,0.07576,2520352.80000
800,1.43898,0.76138,0.58712,0.07530,2485218.30000
810,1.42651,0.74835,0.58791,0.07494,2037999.30000
820,1.35420,0.67644,0.58732,0.07525,1524259.50000
830,1.27576,0.59565,0.58541,0.07529,1150906.20000
840,1.24190,0.56808,0.58416,0.07498,1017384.90000
850,1.24502,0.57125,0.58386,0.07522,1015100.40000
860,1.24590,0.57324,0.58293,0.07530,998085.00000
870,1.24931,0.57634,0.58223,0.07503,1010553.00000
880,1.22933,0.55819,0.58172,0.07499,722847.00000
890,1.21898,0.54871,0.58114,0.07476,660985.80000
900,1.20967,0.53779,0.58184,0.07516,1056630.60000
910,1.15397,0.45929,0.58498,0.07334,1843141.50000
920,1.41038,0.75117,0.57388,0.06930,2533154.70000
930,1.61542,0.94836,0.57996,0.06958,4071835.80000
940,1.60962,0.93770,0.58275,0.07186,3963503.10000
950,1.57871,0.90398,0.58362,0.07394,4031704.50000
960,1.55992,0.87390,0.58462,0.07498,3971499.00000
970,1.61530,0.93880,0.58424,0.07500,3766537.50000
980,1.66910,0.99266,0.58440,0.07542,3583336.20000
990,1.66810,0.98970,0.58462,0.07516,3483438.60000
1000,1.67016,0.99364,0.58420,0.07516,3392737.80000
1010,1.70963,1.03514,0.58434,0.07446,3276338.40000
1020,1.69904,1.02388,0.58463,0.07496,3129990.90000
1030,1.67376,0.99746,0.58517,0.07523,2999856.00000
1040,1.65014,0.97270,0.58649,0.07523,2824652.70000
1050,1.54402,0.86618,0.58681,0.07564,2633786.40000
1060,1.53682,0.85735,0.58720,0.07656,2547567.60000
1070,1.66087,0.97986,0.58898,0.07654,2468410.80000
1080,1.73166,1.05179,0.58817,0.07652,2416487.40000
1090,1.66566,0.98723,0.58760,0.07596,2360726.40000
1100,1.71412,1.03532,0.58792,0.07589,2341794.60000
1110,1.66958,0.99064,0.58791,0.07584,2220366.60000
1120,1.81932,1.13946,0.58837,0.07606,2163918.60000
1130,1.83899,1.15988,0.58751,0.07641,2127327.30000
1140,1.85699,1.17844,0.58694,0.07648,2131965.90000
1150,1.95647,1.27679,0.58767,0.07698,2479488.00000
1160,2.04615,1.36520,0.58815,0.07726,3103379.70000
1170,2.11097,1.42950,0.58843,0.07708,3286165.20000
1180,2.05007,1.36818,0.58926,0.07584,3223156.20000
1190,2.05399,1.37118,0.59006,0.07565,3198838.20000
1200,2.03669,1.35459,0.59041,0.07519,3071377.50000
1210,1.86391,1.18158,0.59013,0.07547,2679304.50000
1220,1.82154,1.14040,0.58860,0.07578,2262525.60000
1230,1.82358,1.14330,0.58828,0.07509,2219412.30000
1240,1.81355,1.13402,0.58799,0.07500,2190796.80000
1250,1.79465,1.11542,0.58791,0.07491,2126512.20000
1260,1.77084,1.09260,0.58741,0.07480,2051850.90000
1270,1.72383,1.04583,0.58699,0.07498,2036807.40000
1280,1.69056,1.01358,0.58626,0.07478,1998442.80000
1290,1.65825,0.98305,0.58557,0.07373,1982232.90000
1300,1.62975,0.95541,0.58490,0.07338,2002564.80000
1310,1.70026,1.02352,0.58621,0.07449,2087533.80000
1320,1.80284,1.12164,0.58980,0.07615,2609298.00000
1330,1.97110,1.28935,0.59144,0.07561,2327745.60000
1340,1.88085,1.19907,0.59158,0.07505,2212672.50000
1350,1.81349,1.13224,0.59149,0.07471,2211165.60000
1360,1.78356,1.10239,0.59170,0.07429,2223684.00000
1370,1.78555,1.10400,0.59164,0.07452,2224497.30000
1380,1.76181,1.08105,0.59135,0.07468,2203552.80000
1390,1.82367,1.14186,0.59140,0.07528,2218140.90000
1400,1.90098,1.21800,0.59131,0.07567,2743615.20000
1410,1.81012,1.12710,0.59003,0.07601,2587569.90000
1420,1.78458,1.10234,0.58942,0.07650,2402864.70000
1430,1.78168,1.10012,0.58828,0.07662,2273796.60000
1440,1.74862,1.06804,0.58824,0.07613,2457954.90000
1450,1.74825,1.06814,0.58703,0.07644,2432548.20000
1460,1.74424,1.06316,0.58814,0.07667,2864603.70000
1470,1.74559,1.06308,0.58842,0.07712,3260834.70000
1480,1.74474,1.06291,0.58785,0.07688,3207732.30000
1490,1.77130,1.08946,0.58765,0.07650,3679436.10000
1500,1.82477,1.14114,0.58910,0.07646,5085597.00000
1510,1.80263,1.11914,0.58969,0.07613,5622743.40000
1520,1.76072,1.07720,0.58953,0.07556,5914413.30000
1530,1.80519,1.12182,0.58970,0.07545,6199425.90000
1540,1.85740,1.17383,0.58967,0.07542,6501296.40000
1550,1.85706,1.17257,0.58956,0.07576,6468561.00000
1560,1.81482,1.13224,0.58954,0.07474,6288352.50000
1570,1.88768,1.20218,0.59198,0.07536,6403932.00000
1580,1.85992,1.17427,0.59074,0.07544,6489612.90000
1590,1.89644,1.21056,0.59095,0.07552,6514984.20000
1600,1.86368,1.17857,0.59044,0.07544,6469406.70000
1610,1.79769,1.11339,0.58949,0.07586,6386042.70000
1620,1.78566,1.10094,0.58949,0.07562,6346056.00000
1630,1.77264,1.08826,0.58945,0.07563,6270661.80000
1640,1.78291,1.09887,0.58938,0.07550,6340435.20000
1650,1.82009,1.13633,0.58899,0.07531,6528230.70000
1660,1.83655,1.15221,0.58910,0.07581,6445551.30000
1670,1.80110,1.11673,0.58936,0.07586,6179116.80000
1680,1.75385,1.06953,0.58989,0.07540,5632906.80000
1690,1.68563,1.00189,0.59076,0.07488,4686393.30000
1700,1.62318,0.94109,0.58993,0.07453,4134488.70000
1710,1.58405,0.90270,0.58931,0.07457,3614263.20000
1720,1.56280,0.88103,0.58890,0.07553,2906742.30000
1730,1.53439,0.85530,0.58690,0.07598,2144940.30000
1740,1.53006,0.85178,0.58609,0.07620,1997245.20000
1750,1.51477,0.83778,0.58490,0.07610,1861532.10000
1760,1.49633,0.82086,0.58388,0.07586,1824885.30000
1770,1.50382,0.82849,0.58371,0.07607,1742791.50000
1780,1.52054,0.84500,0.58330,0.07651,1709182.20000
1790,1.54226,0.86569,0.58438,0.07642,1708177.20000
1800,1.55962,0.88354,0.58418,0.07620,1663645.20000
1810,1.58367,0.90725,0.58425,0.07644,1647784.20000
1820,1.59818,0.92234,0.58386,0.07634,1503234.60000
1830,1.60392,0.92789,0.58374,0.07674,1460679.30000
1840,1.59923,0.92446,0.58291,0.07642,1406943.60000
1850,1.60823,0.93327,0.58311,0.07643,1341595.20000
1860,1.60907,0.93495,0.58272,0.07621,1311148.80000
1870,1.60671,0.93207,0.58325,0.07593,1309605.60000
1880,1.59316,0.91862,0.58317,0.07622,1306084.20000
1890,1.58008,0.90542,0.58293,0.07653,1304079.60000
1900,1.55789,0.88242,0.58324,0.07684,1300487.40000
1910,1.54278,0.86805,0.58320,0.07647,1297519.80000
1920,1.53747,0.86279,0.58294,0.07634,1299405.60000
1930,1.52240,0.84721,0.58354,0.07632,1297942.80000
1940,1.50484,0.82970,0.58314,0.07673,1287316.50000
1950,1.50046,0.82583,0.58290,0.07642,1255536.00000
1960,1.49875,0.82430,0.58316,0.07611,1255159.80000
1970,1.49962,0.82513,0.58292,0.07614,1232970.60000
1980,1.49789,0.82465,0.58210,0.07600,1172712.00000
1990,1.48982,0.81670,0.58117,0.07673,1158771.90000
2000,1.46763,0.79562,0.57979,0.07694,1147062.00000
2010,1.45301,0.78091,0.58020,0.07651,1144353.00000
2020,1.40870,0.73777,0.57954,0.07612,1162284.60000
2030,1.39096,0.72074,0.57871,0.07655,1090198.20000
2040,1.39538,0.72622,0.57831,0.07602,998284.80000
2050,1.39193,0.72202,0.57854,0.07635,861431.40000
2060,1.38508,0.71544,0.57880,0.07606,844934.40000
2070,1.38269,0.71340,0.57851,0.07604,772905.60000
2080,1.39412,0.72521,0.57814,0.07615,764781.00000
2090,1.40485,0.73582,0.57836,0.07596,760483.80000
