frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.92943,0.21215,0.32449,0.32479,0.05005,3536859.00000
10,0.92856,0.21185,0.32441,0.32466,0.05002,3540107.40000
20,0.93055,0.21364,0.32436,0.32476,0.05048,3548178.90000
30,0.93460,0.21451,0.32693,0.32502,0.05030,3560138.40000
40,0.93946,0.22064,0.32372,0.32552,0.05058,3566700.00000
50,0.95340,0.23383,0.32493,0.32568,0.05072,3568304.40000
60,1.13928,0.24620,0.33767,0.47896,0.05806,3569021.40000
70,1.24995,0.25162,0.34441,0.57080,0.06180,3569286.00000
80,1.25374,0.25310,0.34543,0.57088,0.06238,3569286.00000
90,1.37996,0.26997,0.43412,0.58314,0.07186,3629594.40000
100,1.44763,0.29740,0.46771,0.58482,0.07645,3798228.60000
110,1.45015,0.30864,0.45955,0.58406,0.07511,3842249.40000
120,1.53641,0.35426,0.49986,0.58363,0.07578,4073211.00000
130,1.56124,0.36428,0.51419,0.58465,0.07589,4046843.40000
140,1.39336,0.27561,0.43829,0.58215,0.07577,2686896.90000
150,1.11879,0.14072,0.30429,0.57875,0.07621,822589.80000
160,1.12252,0.13893,0.30922,0.57985,0.07573,645418.20000
170,1.10537,0.13192,0.29860,0.58052,0.07606,781088.70000
180,1.14931,0.15977,0.31184,0.58363,0.07441,1648105.80000
190,1.17634,0.17428,0.32272,0.58382,0.07586,1785513.90000
200,1.17188,0.16282,0.33218,0.58264,0.07549,1612006.50000
210,1.18154,0.15854,0.34662,0.58138,0.07577,1547567.40000
220,1.20981,0.16938,0.36377,0.58161,0.07602,1904816.70000
230,1.21805,0.18298,0.35630,0.58282,0.07633,2062156.20000
240,1.23224,0.18753,0.36469,0.58284,0.07637,2118916.80000
250,1.30159,0.21438,0.40761,0.58315,0.07618,2638450.50000
260,1.37901,0.25096,0.44658,0.58397,0.07657,3143778.30000
270,1.38062,0.26030,0.43932,0.58467,0.07599,3176709.60000
280,1.38720,0.27003,0.43564,0.58523,0.07600,3195139.80000
290,1.39440,0.27406,0.43796,0.58563,0.07574,3196378.80000
300,1.40154,0.27556,0.44246,0.58609,0.07594,3191899.20000
310,1.40340,0.27748,0.44311,0.58642,0.07593,3189861.60000
320,1.42035,0.28676,0.44965,0.58704,0.07592,3188157.60000
330,1.43233,0.28811,0.45803,0.58845,0.07651,3183397.20000
340,1.44786,0.29319,0.46887,0.58880,0.07602,3251785.50000
350,1.45079,0.29201,0.47156,0.58890,0.07640,3262454.70000
360,1.45252,0.29257,0.47300,0.58941,0.07631,3240558.60000
370,1.45340,0.28974,0.47637,0.58936,0.07651,3240268.80000
380,1.46173,0.29217,0.48275,0.58967,0.07671,3222061.50000
390,1.46993,0.29238,0.49124,0.58935,0.07648,3185881.80000
400,1.47500,0.29330,0.49409,0.58969,0.07616,3157816.80000
410,1.49100,0.29695,0.50754,0.58995,0.07578,3138618.60000
420,1.12872,0.24153,0.41754,0.38494,0.06737,3087039.60000
430,1.05298,0.22216,0.39311,0.35558,0.06574,2881825.20000
440,1.11577,0.20111,0.38326,0.44446,0.06993,2218198.50000
450,1.25875,0.17667,0.39866,0.58872,0.07566,1656567.60000
460,1.19740,0.15450,0.36335,0.58592,0.07472,1441534.80000
470,1.18476,0.15352,0.35368,0.58432,0.07449,1194970.80000
480,1.18858,0.15970,0.35457,0.58140,0.07382,956263.50000
490,1.20397,0.16977,0.36040,0.58099,0.07374,983980.20000
500,1.29019,0.19738,0.41004,0.58746,0.07548,1687170.00000
510,1.46444,0.28716,0.49052,0.58920,0.07642,2957266.80000
520,1.49072,0.30709,0.49683,0.58963,0.07594,3168784.80000
530,1.44599,0.29124,0.46755,0.58998,0.07624,3105747.30000
540,1.40075,0.27373,0.44233,0.58786,0.07613,2970027.90000
550,1.39841,0.27399,0.43994,0.58748,0.07578,2972406.90000
560,1.35414,0.24866,0.42343,0.58560,0.07584,2435823.90000
570,1.21330,0.19487,0.34338,0.57978,0.07520,1593825.60000
580,1.30124,0.25133,0.37540,0.58026,0.07344,2267734.20000
590,1.48012,0.34323,0.45366,0.58815,0.07271,3676994.40000
600,1.18616,0.30670,0.44830,0.35326,0.06168,4240686.00000
