frame,total,geometry,lighting,tonemap,index_count
0,1.39013,0.75609,0.33692,0.04586,15196674.00000
10,1.30831,0.75674,0.33096,0.04072,15196674.00000
20,1.33339,0.75665,0.33017,0.04216,15196674.00000
30,1.39556,0.75894,0.31419,0.04618,15196674.00000
40,1.16999,0.80811,0.31135,0.03157,15196674.00000
50,1.18930,0.81119,0.31179,0.03263,15196674.00000
60,1.37139,0.81969,0.49908,0.04170,15196674.00000
70,1.44102,0.81751,0.56139,0.04498,15196674.00000
80,1.43718,0.81697,0.56144,0.04502,15196674.00000
90,1.43090,0.81053,0.56142,0.04502,15196674.00000
100,1.42156,0.80074,0.56247,0.04447,15196674.00000
110,1.41768,0.79701,0.56263,0.04423,15196674.00000
120,1.42025,0.79920,0.56223,0.04452,15196674.00000
130,1.42280,0.80074,0.56240,0.04438,15196674.00000
140,1.42395,0.80133,0.56242,0.04445,15196674.00000
150,1.42224,0.80132,0.56260,0.04442,15196674.00000
160,1.40733,0.78654,0.56232,0.04453,12109362.60000
170,0.64003,0.01742,0.55933,0.04992,0.00000
180,0.63958,0.01736,0.55952,0.04949,0.00000
190,0.63922,0.01743,0.55932,0.04905,0.00000
200,0.63960,0.01739,0.55968,0.04946,0.00000
210,0.63904,0.01730,0.55871,0.04984,0.00000
220,0.64034,0.01743,0.55956,0.05022,0.00000
230,0.63925,0.01741,0.55936,0.04940,0.00000
240,0.64025,0.01739,0.55903,0.04971,0.00000
250,0.63941,0.01752,0.55893,0.04855,0.00000
260,0.64021,0.01736,0.55876,0.04998,0.00000
270,0.63992,0.01743,0.55978,0.04964,0.00000
280,0.63974,0.01738,0.55951,0.04980,0.00000
290,0.64049,0.01738,0.55924,0.05072,0.00000
300,0.64037,0.01761,0.55916,0.05048,0.00000
310,0.63927,0.01739,0.55912,0.04948,0.00000
320,0.64072,0.01748,0.55968,0.05045,0.00000
330,0.63965,0.01736,0.55936,0.05000,0.00000
340,0.63974,0.01740,0.55938,0.04990,0.00000
350,0.64121,0.01739,0.55972,0.05103,0.00000
360,0.64072,0.01746,0.55960,0.05077,0.00000
370,0.80740,0.01786,0.57240,0.19656,0.00000
380,0.86881,0.01797,0.57762,0.25585,0.00000
390,0.64053,0.01735,0.55918,0.05050,0.00000
400,0.64126,0.01732,0.55975,0.05032,0.00000
410,0.63932,0.01746,0.55869,0.04903,0.00000
420,0.64046,0.01741,0.55987,0.05016,0.00000
430,0.63934,0.01747,0.55903,0.04982,0.00000
440,0.63998,0.01742,0.55927,0.05022,0.00000
450,0.64077,0.01752,0.55914,0.05067,0.00000
460,0.64019,0.01735,0.55964,0.04984,0.00000
470,0.64011,0.01762,0.55897,0.04949,0.00000
480,0.89529,0.01816,0.58683,0.26818,0.00000
490,0.82682,0.01794,0.56982,0.22150,0.00000
500,0.64026,0.01747,0.55955,0.05025,0.00000
510,0.64018,0.01760,0.55925,0.05026,0.00000
520,0.64100,0.01742,0.55949,0.05074,0.00000
530,0.64049,0.01738,0.55936,0.05000,0.00000
540,0.64184,0.01739,0.55962,0.05170,0.00000
550,0.64022,0.01739,0.55919,0.05052,0.00000
560,0.63959,0.01744,0.55952,0.04958,0.00000
570,0.64100,0.01738,0.55980,0.05035,0.00000
580,0.63920,0.01739,0.55907,0.04969,0.00000
590,0.63983,0.01734,0.55964,0.04942,0.00000
600,1.08415,0.41850,0.56090,0.04818,9118004.40000
610,1.47147,0.85091,0.56163,0.04522,15196674.00000
620,1.48426,0.86407,0.56166,0.04496,15196674.00000
630,1.47811,0.85798,0.56188,0.04486,15196674.00000
640,1.48919,0.86620,0.56182,0.04493,15196674.00000
650,1.49795,0.87748,0.56203,0.04493,15196674.00000
660,1.51291,0.88931,0.56229,0.04520,15196674.00000
670,1.49461,0.87239,0.56223,0.04479,15196674.00000
680,1.44641,0.83214,0.56068,0.04041,15196674.00000
690,1.56134,0.94658,0.56094,0.04052,15196674.00000
700,1.57903,0.96356,0.56082,0.04050,15196674.00000
710,1.58247,0.96800,0.56086,0.04038,15196674.00000
720,1.58212,0.96731,0.56072,0.04059,15196674.00000
730,1.52918,0.91548,0.56050,0.04002,15196674.00000
740,1.43341,0.82000,0.56035,0.04000,15196674.00000
750,1.48677,0.86594,0.56066,0.04002,15196674.00000
760,1.56128,0.94686,0.56067,0.04045,15196674.00000
770,1.49044,0.87616,0.56068,0.04046,15196674.00000
780,1.31460,0.70036,0.56066,0.04046,15196674.00000
790,1.26422,0.64893,0.56042,0.04046,15196674.00000
800,1.25357,0.63823,0.56065,0.04050,15196674.00000
810,1.27458,0.66032,0.56036,0.04050,15196674.00000
820,1.29165,0.67739,0.56054,0.04049,15196674.00000
830,1.28139,0.66696,0.56064,0.04041,15196674.00000
840,1.26628,0.65200,0.56028,0.04042,15196674.00000
850,1.27835,0.66420,0.56044,0.04055,15196674.00000
860,1.29186,0.67820,0.56015,0.04038,15196674.00000
870,1.51805,0.86954,0.56182,0.04441,15196674.00000
880,1.51437,0.89149,0.56205,0.04514,15196674.00000
890,1.50771,0.88747,0.56196,0.04516,15196674.00000
900,1.50908,0.88846,0.56228,0.04509,15196674.00000
910,1.52698,0.90287,0.56253,0.04532,15196674.00000
920,1.55696,0.93502,0.56283,0.04559,15196674.00000
930,1.58034,0.95778,0.56303,0.04573,15196674.00000
940,1.55874,0.93554,0.56320,0.04606,15196674.00000
950,1.55134,0.92864,0.56334,0.04611,15196674.00000
960,1.53686,0.91204,0.56287,0.04578,15196674.00000
970,1.54779,0.92020,0.56346,0.04654,15196674.00000
980,1.53801,0.90926,0.56376,0.04626,15196674.00000
990,1.51406,0.89249,0.56292,0.04526,15196674.00000
1000,1.48996,0.86858,0.56267,0.04516,15196674.00000
1010,1.50123,0.88026,0.56224,0.04507,15196674.00000
1020,1.48310,0.85497,0.56221,0.04516,15196674.00000
1030,1.47397,0.85291,0.56192,0.04550,15196674.00000
1040,1.48776,0.86547,0.56207,0.04510,15196674.00000
1050,1.72977,0.87410,0.64746,0.04687,15196674.00000
1060,1.63037,0.89717,0.59004,0.04842,15196674.00000
1070,1.83567,0.91954,0.63307,0.05276,15196674.00000
1080,1.69948,0.90812,0.59038,0.04914,15196674.00000
1090,1.45146,0.83110,0.56152,0.04534,15196674.00000
1100,1.25102,0.79699,0.40536,0.03744,15196674.00000
1110,1.13886,0.78501,0.31122,0.03252,15196674.00000
1120,1.14088,0.78744,0.31152,0.03206,15196674.00000
1130,1.13252,0.77892,0.31202,0.03145,15196674.00000
1140,0.56224,0.20143,0.31280,0.03649,3039334.80000
1150,0.64137,0.01736,0.55950,0.05139,0.00000
1160,0.83077,0.20708,0.56020,0.04896,6078669.60000
1170,1.43433,0.81313,0.56185,0.04540,15196674.00000
1180,1.44354,0.82276,0.56165,0.04538,15196674.00000
1190,1.44817,0.82688,0.56182,0.04568,15196674.00000
1200,1.45373,0.83273,0.56204,0.04541,15196674.00000
1210,1.46459,0.84354,0.56224,0.04537,15196674.00000
1220,1.44843,0.82812,0.56180,0.04525,15196674.00000
1230,1.48521,0.86281,0.56290,0.04617,15196674.00000
1240,1.54944,0.91502,0.56651,0.05417,15196674.00000
1250,1.54925,0.91320,0.56749,0.05498,15196674.00000
1260,1.55501,0.91780,0.56805,0.05572,15196674.00000
1270,1.56884,0.92853,0.56889,0.05764,15196674.00000
1280,1.62370,0.97697,0.57231,0.06074,15196674.00000
1290,1.60215,0.96559,0.56774,0.05532,15196674.00000
1300,1.60318,0.96586,0.56787,0.05598,15196674.00000
1310,1.61543,0.97079,0.57111,0.05980,15196674.00000
1320,1.60628,0.96363,0.57049,0.05899,15196674.00000
1330,1.51973,0.89125,0.56539,0.04984,15196674.00000
1340,1.49805,0.87067,0.56455,0.04965,15196674.00000
1350,1.53707,0.89797,0.56848,0.05696,15196674.00000
1360,1.53115,0.89428,0.56775,0.05583,15196674.00000
1370,1.53019,0.89450,0.56700,0.05509,15196674.00000
1380,1.51680,0.88379,0.56632,0.05368,15196674.00000
