frame,total,raster_stats,index_count
0,11.58830,11.58428,6388479.00000
10,11.50670,11.50271,6388479.00000
20,12.09428,12.09018,6388479.00000
30,15.88274,15.87843,6388479.00000
40,19.78446,19.78033,6388479.00000
50,20.27620,20.27194,7620873.90000
60,12.56152,12.55682,7933098.00000
70,10.31992,10.31572,7933098.00000
80,11.69368,11.68975,7933098.00000
90,14.82540,14.82118,7933098.00000
100,17.00769,17.00349,7778540.10000
110,9.09625,9.09156,6388359.00000
120,9.26871,9.26478,6388359.00000
130,9.59608,9.59224,6328608.30000
140,9.71823,9.71416,6278724.00000
150,10.67745,10.67352,6278724.00000
160,10.60668,10.60268,6344505.00000
170,14.93071,14.92658,6548192.40000
180,13.21417,13.21022,6654137.70000
190,17.94772,17.94346,6649594.80000
200,16.76002,16.75534,6279649.20000
210,16.56158,16.55698,6153959.40000
220,19.35427,19.34963,5654925.00000
230,31.84104,31.83632,5715609.00000
240,26.87351,26.86882,6556806.00000
250,24.07701,24.07235,6632634.60000
260,20.75309,20.74844,6632607.00000
270,21.74630,21.74170,6632600.40000
280,23.62628,23.62164,6632592.60000
290,23.58648,23.58188,6632589.00000
300,23.93271,23.92806,6086332.20000
310,20.96454,20.95992,5774538.60000
320,27.94942,27.94476,5711706.00000
330,37.91281,37.90819,5522449.20000
340,34.46117,34.45647,5438616.30000
350,36.62417,36.61952,5419182.00000
360,35.83232,35.82760,5369350.80000
370,16.93604,16.93143,4967546.10000
380,15.67460,15.67027,4898302.80000
390,17.34942,17.34476,4809108.60000
400,21.17378,21.16908,4843965.00000
410,22.08848,22.08378,4857206.70000
420,14.80314,14.79882,4924218.00000
430,15.15708,15.13568,4921590.00000
440,15.77846,15.77383,4919838.00000
450,18.30009,18.29568,4918621.20000
460,22.42160,22.41692,4915782.00000
470,22.81866,22.81398,4915782.00000
480,15.12337,15.11872,4724589.90000
490,11.43564,11.43161,4350555.00000
500,13.14332,13.13915,4561743.60000
510,14.18872,14.18484,4649973.00000
520,15.91745,15.91298,4649973.00000
530,16.42425,16.41974,4649973.00000
540,16.93214,16.92746,4649973.00000
550,14.59228,14.58754,4889201.10000
560,26.57380,26.56932,4808830.80000
570,26.78826,26.78362,4297629.90000
580,22.94505,22.94038,3585789.60000
590,19.23161,19.22689,5050871.70000
600,15.15548,15.15090,7428586.80000
610,22.29706,22.29245,9154439.10000
620,16.75123,16.74660,9521362.20000
630,10.15251,10.14791,9517167.00000
640,9.71690,9.71264,9459631.80000
650,9.27608,9.27213,9421272.60000
660,11.76164,11.75771,10768835.40000
670,15.79250,15.78832,10858999.20000
680,19.84841,19.84411,10858885.50000
690,17.40515,17.40076,10855368.00000
700,20.28793,20.28376,10855368.00000
710,18.66531,18.66075,10855368.00000
720,19.08618,19.08154,10673067.00000
730,23.11667,23.11201,10593060.00000
740,24.84936,24.84469,10404744.00000
750,22.78641,22.78171,10279200.00000
760,14.40466,14.40030,10437937.50000
770,10.81333,10.80938,10766673.60000
780,9.23389,9.22970,10864798.80000
790,10.86622,10.86215,9787313.40000
800,12.89907,12.89496,9664446.60000
810,13.32020,13.31626,9667598.40000
820,14.29235,14.28838,9667593.00000
830,43.02208,43.01770,9667602.00000
840,40.69286,40.68821,9667602.60000
850,42.18376,42.17909,9667603.20000
860,37.51988,37.51524,9667607.40000
870,39.22837,39.22368,10385949.00000
880,49.53151,49.52688,10864839.00000
890,41.33677,41.33212,10864839.00000
900,41.04510,41.04042,10864835.40000
910,39.24450,39.23985,10864828.20000
920,36.17667,36.17206,10864825.20000
930,34.21436,34.20964,10864821.00000
940,34.00255,33.99794,10864821.00000
950,34.08470,34.08012,10864821.00000
960,36.30404,36.29943,10864818.00000
970,46.59044,46.58582,10864786.20000
980,61.85600,61.85150,10864773.00000
990,65.62682,65.62215,10864773.00000
1000,68.70298,68.69840,10625328.60000
