frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,2129493,3870494,1313280,2557214,2.947196,10,174935,1954558,1278627,3870494,1244014,0.756768
61,2129493,3887967,1319040,2568927,2.947573,10,175599,1953894,1283810,3887967,1247273,0.757115
62,2129493,3907133,1326720,2580413,2.944957,10,176262,1953231,1292076,3907133,1261171,0.755980
63,2129493,3926040,1332480,2593560,2.946416,10,176567,1952926,1296691,3926040,1260724,0.756934
64,2129493,3945721,1338240,2607481,2.948440,10,177039,1952454,1305364,3945721,1275735,0.755674
65,2129493,3964352,1344000,2620352,2.949667,10,177539,1951954,1309853,3964352,1275060,0.756641
66,2129493,3985297,1351680,2633617,2.948403,11,178439,1951054,1317683,3985297,1285435,0.756118
67,2129493,4001788,1357440,2644348,2.948040,10,178790,1950703,1323603,4001788,1292624,0.755851
68,2129493,4021449,1363200,2658249,2.950007,10,179429,1950064,1328911,4021449,1294195,0.756531
69,2129493,4043509,1370880,2672629,2.949572,10,180013,1949480,1335637,4043509,1299039,0.756850
70,2129493,4062527,1376640,2685887,2.951045,10,180266,1949227,1342937,4062527,1309221,0.756277
71,2129493,4080993,1382400,2698593,2.952107,10,181235,1948258,1347357,4080993,1308435,0.757222
72,2129493,4100957,1390080,2710877,2.950159,10,181502,1947991,1355141,4100957,1319607,0.756555
73,2129493,4120444,1395840,2724604,2.951946,10,182318,1947175,1361170,4120444,1324236,0.756784
74,2129493,4139526,1401600,2737926,2.953429,10,182819,1946674,1367864,4139526,1331930,0.756568
75,2129493,4158551,1407360,2751191,2.954859,10,183151,1946342,1372966,4158551,1333313,0.757220
76,2129493,4179294,1415040,2764254,2.953481,10,183996,1945497,1381024,4179294,1344802,0.756557
77,2129493,4197834,1421142,2776692,2.953846,10,184447,1945046,1386095,4197834,1346546,0.757133
78,2129493,4214338,1427736,2786602,2.951763,10,185294,1944199,1391382,4214338,1351190,0.757222
79,2129493,4239067,1436297,2802770,2.951386,10,185790,1943703,1401425,4239067,1366633,0.756207
80,2129493,4257475,1443326,2814149,2.949767,10,186181,1943312,1402804,4257475,1353741,0.758744
81,2129493,4277018,1450480,2826538,2.948691,10,187021,1942472,1412519,4277018,1373058,0.756984
82,2129493,4295532,1457799,2837733,2.946587,10,187604,1941889,1415707,4295532,1367296,0.758549
83,2129493,4315191,1466997,2848194,2.941513,10,188101,1941392,1423458,4315191,1378641,0.757871
84,2129493,4334729,1474559,2860170,2.939678,10,188442,1941051,1429878,4334729,1384783,0.757884
85,2129493,4354463,1482289,2872174,2.937661,10,188730,1940763,1432696,4354463,1376321,0.759837
86,2129493,4375452,1491695,2883757,2.933208,10,189287,1940206,1440977,4375452,1388456,0.759112
87,2129493,4393863,1499597,2894266,2.930029,10,189941,1939552,1445835,4393863,1389477,0.759745
88,2129493,4412032,1507530,2904502,2.926663,10,190534,1938959,1451574,4412032,1394264,0.759870
89,2129493,4432208,1515622,2916586,2.924349,10,190971,1938522,1459278,4432208,1404904,0.759315
90,2129493,4454376,1525465,2928911,2.920012,10,191589,1937904,1464806,4454376,1404848,0.760233
91,2129493,4474669,1533835,2940834,2.917308,10,192601,1936892,1473262,4474669,1418379,0.759313
92,2129493,4494624,1542396,2952228,2.914053,10,193787,1935706,1478276,4494624,1418480,0.760112
93,2129493,4513482,1552480,2961002,2.907272,10,194230,1935263,1488474,4513482,1440414,0.758072
94,2129493,4532814,1561194,2971620,2.903428,10,194734,1934759,1490587,4532814,1429534,0.760240
95,2129493,4553677,1570066,2983611,2.900309,10,195466,1934027,1496403,4553677,1431935,0.760770
96,2129493,4572944,1578987,2993957,2.896125,10,195995,1933498,1502505,4572944,1437076,0.760887
97,2129493,4594840,1589413,3005427,2.890904,10,197174,1932319,1510500,4594840,1447160,0.760483
98,2129493,4615103,1598499,3016604,2.887148,10,197540,1931953,1517999,4615103,1456893,0.760064
99,2129493,4635326,1607676,3027650,2.883246,10,198155,1931338,1520271,4635326,1445758,0.762253
100,2129493,4658480,1618210,3040270,2.878786,10,198845,1930648,1529147,4658480,1458108,0.761614
101,2129493,4677902,1627470,3050432,2.874340,10,198947,1930546,1535798,4677902,1465290,0.761477
102,2129493,4698147,1636851,3061296,2.870235,11,199948,1929545,1540040,4698147,1462013,0.762666
103,2129493,4718502,1647505,3070997,2.864029,10,200429,1929064,1549183,4718502,1478230,0.761450
104,2129493,4740119,1656980,3083139,2.860698,10,200619,1928874,1553620,4740119,1474361,0.762754
105,2129493,4759244,1666454,3092790,2.855911,10,201276,1928217,1556889,4759244,1468312,0.764223
106,2129493,4776547,1675972,3100575,2.850016,10,201056,1928437,1566722,4776547,1490341,0.762188
107,2129493,4797334,1686316,3111018,2.844861,11,201969,1927524,1569398,4797334,1480258,0.764200
108,2129493,4816035,1695048,3120987,2.841238,11,202584,1926909,1578011,4816035,1496009,0.762991
109,2129493,4836820,1703625,3133195,2.839134,11,202911,1926582,1581760,4836820,1490220,0.764468
110,2129493,4855617,1713240,3142377,2.834172,11,203450,1926043,1589176,4855617,1501087,0.763858
111,2129493,4874178,1721519,3152659,2.831324,11,203658,1925835,1594653,4874178,1504434,0.764144
112,2633365,4890129,1729665,3160464,2.827212,11,204175,2429190,1597573,4890129,1500163,0.765243
113,2644366,4908377,1737697,3170680,2.824645,11,205241,2439125,1603833,4908377,1506955,0.765101
114,2644366,4929015,1746749,3182266,2.821822,10,205945,2438421,1609852,4929015,1510393,0.765445
115,2644366,4947850,1754537,3193313,2.820032,10,206861,2437505,1618577,4947850,1526458,0.764228
116,2644366,4967351,1762220,3205131,2.818803,10,207482,2436884,1622344,4967351,1522025,0.765459
117,2644366,4988453,1770923,3217530,2.816866,10,208157,2436209,1627820,4988453,1522827,0.766125
118,2644366,5008514,1778406,3230108,2.816294,12,209648,2434718,1639458,5008514,1549318,0.763745
119,2644366,5030284,1785803,3244481,2.816819,11,210438,2433928,1641327,5030284,1535024,0.766192
120,2644366,5051863,1793113,3258750,2.817370,11,211269,2433097,1650504,5051863,1550153,0.765200
121,2644366,5235983,1865394,3370589,2.806905,11,220666,2423700,1710943,5235983,1607789,0.765073
122,2644366,5364887,1922581,3442306,2.790461,11,230091,2414275,1754865,5364887,1654573,0.764288
123,2644366,5488372,1970413,3517959,2.785392,11,238660,2405706,1802836,5488372,1722972,0.761075
124,2644366,5591774,2009960,3581814,2.782032,12,245370,2398996,1836872,5591774,1755714,0.761046
125,2644366,5709178,2044198,3664980,2.792869,12,252539,2391827,1878943,5709178,1806594,0.759626
126,2644366,5813532,2073600,3739932,2.803594,11,254373,2389993,1911378,5813532,1831980,0.760385
127,2644366,5862751,2073600,3789151,2.827330,11,256659,2387707,1933018,5862751,1869321,0.758238
128,2644366,5907963,2073600,3834363,2.849133,11,257589,2386777,1950527,5907963,1894145,0.757227
129,2644366,5958866,2073600,3885266,2.873682,12,258333,2386033,1973380,5958866,1934654,0.754906
130,2644366,6025814,2073600,3952214,2.905967,12,260238,2384128,1996691,6025814,1960950,0.754475
131,2644366,6012473,2073599,3938874,2.899535,11,259890,2384476,1983953,6012473,1923339,0.757638
132,2644366,5988933,2073600,3915333,2.888181,11,259350,2385016,1981901,5988933,1938671,0.755453
133,2644366,5967822,2073600,3894222,2.878001,12,259286,2385080,1973974,5967822,1928074,0.755813
134,2644366,5959421,2073600,3885821,2.873949,12,257852,2386514,1971296,5959421,1925763,0.755775
135,2644366,5941972,2073600,3868372,2.865534,12,258039,2386327,1963337,5941972,1911376,0.756616
136,2644366,5925334,2073599,3851735,2.857512,12,257499,2386867,1958085,5925334,1907006,0.756522
137,2644366,5911745,2073598,3838147,2.850960,12,256422,2387944,1957548,5911745,1918447,0.754994
138,2644366,5897373,2073600,3823773,2.844026,12,255863,2388503,1949195,5897373,1899407,0.756386
139,2644366,5887280,2073600,3813680,2.839159,12,256812,2387554,1945775,5887280,1895820,0.756418
140,2644366,5882702,2073600,3809102,2.836951,11,256144,2388222,1945431,5882702,1899022,0.755964
141,2644366,5878244,2073600,3804644,2.834801,11,255845,2388521,1945829,5878244,1905072,0.755236
142,2644366,5876977,2073600,3803377,2.834190,12,255617,2388749,1941618,5876977,1889495,0.756711
143,2644366,5870916,2073599,3797317,2.831269,11,254493,2389873,1940401,5870916,1890688,0.756405
144,2644366,5880098,2073600,3806498,2.835695,12,255188,2389178,1940859,5880098,1883338,0.757409
145,2644366,5881102,2073600,3807502,2.836180,12,254954,2389412,1943001,5881102,1890902,0.756703
146,2644366,5874898,2073600,3801298,2.833188,12,253841,2390525,1941342,5874898,1890470,0.756551
147,2644366,5875165,2073600,3801565,2.833316,11,254521,2389845,1935165,5875165,1865495,0.759001
148,2644366,5880557,2073600,3806957,2.835917,11,253984,2390382,1937708,5880557,1870275,0.758700
149,2644366,5886077,2073600,3812477,2.838579,11,253559,2390807,1943122,5886077,1886411,0.757296
