frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,7195051,3871526,1313280,2558246,2.947982,10,175910,7019141,1279650,3871526,1247074,0.756364
61,7195051,3889049,1319040,2570009,2.948394,10,176620,7018431,1284879,3889049,1250467,0.756696
62,7195051,3908280,1326720,2581560,2.945821,10,177344,7017707,1293209,3908280,1264556,0.755539
63,7195051,3927243,1332480,2594763,2.947319,10,177703,7017348,1297880,3927243,1264277,0.756473
64,7195051,3946978,1338240,2608738,2.949380,10,178228,7016823,1306605,3946978,1279442,0.755197
65,7195051,3965656,1344000,2621656,2.950637,10,178763,7016288,1311143,3965656,1278916,0.756145
66,7195051,3986671,1351680,2634991,2.949419,11,179733,7015318,1319040,3986671,1289489,0.755601
67,7195051,4003223,1357440,2645783,2.949098,10,180140,7014911,1325022,4003223,1296865,0.755313
68,7195051,4022946,1363200,2659746,2.951105,10,180829,7014222,1330387,4022946,1298602,0.755973
69,7195051,4045056,1370880,2674176,2.950700,10,181461,7013590,1337163,4045056,1303596,0.756276
70,7195051,4064112,1376640,2687472,2.952197,10,181754,7013297,1344500,4064112,1313888,0.755692
71,7195051,4082633,1382400,2700233,2.953294,10,182768,7012283,1348972,4082633,1313255,0.756619
72,7195051,4102624,1390080,2712544,2.951358,10,183062,7011989,1356790,4102624,1324536,0.755943
73,7195051,4122149,1395840,2726309,2.953167,10,183911,7011140,1362853,4122149,1329263,0.756162
74,7195051,4141247,1401600,2739647,2.954657,10,184420,7010631,1369555,4141247,1336973,0.755948
75,7195051,4160292,1407360,2752932,2.956097,10,184785,7010266,1374683,4160292,1338440,0.756591
76,7195051,4181041,1415040,2766001,2.954716,10,185624,7009427,1382744,4181041,1349935,0.755932
77,7195051,4199602,1421142,2778460,2.955090,10,186100,7008951,1387841,4199602,1351762,0.756499
78,7195051,4216131,1427736,2788395,2.953019,10,186966,7008085,1393147,4216131,1356457,0.756584
79,7195051,4240877,1436297,2804580,2.952646,10,187475,7007576,1403208,4240877,1371955,0.755568
80,7195051,4259302,1443326,2815976,2.951033,10,187886,7007165,1404601,4259302,1359102,0.758098
81,7195051,4278872,1450480,2828392,2.949970,10,188751,7006300,1414351,4278872,1378532,0.756331
82,7195051,4297397,1457799,2839598,2.947867,10,189342,7005709,1417544,4297397,1372779,0.757895
83,7195051,4317070,1466997,2850073,2.942794,10,189854,7005197,1425311,4317070,1384174,0.757215
84,7195051,4336637,1474559,2862078,2.940972,10,190224,7004827,1431759,4336637,1390399,0.757222
85,7195051,4356370,1482289,2874081,2.938948,10,190506,7004545,1434575,4356370,1381930,0.759174
86,7195051,4377378,1491695,2885683,2.934499,10,191085,7003966,1442874,4377378,1394118,0.758448
87,7195051,4395784,1499597,2896187,2.931310,10,191733,7003318,1447733,4395784,1395148,0.759081
88,7195051,4413950,1507530,2906420,2.927935,10,192326,7002725,1453461,4413950,1399894,0.759214
89,7195051,4434146,1515622,2918524,2.925628,10,192767,7002284,1461187,4434146,1410602,0.758655
90,7195051,4456345,1525465,2930880,2.921303,10,193414,7001637,1466738,4456345,1410607,0.759567
91,7195051,4476643,1533835,2942808,2.918595,10,194435,7000616,1475202,4476643,1424165,0.758649
92,7195051,4496608,1542396,2954212,2.915340,10,195625,6999426,1480231,4496608,1424316,0.759444
93,7195051,4515473,1552480,2962993,2.908555,10,196087,6998964,1490431,4515473,1446251,0.757411
94,7195051,4534797,1561194,2973603,2.904698,10,196574,6998477,1492540,4534797,1435363,0.759577
95,7195051,4555699,1570066,2985633,2.901597,10,197332,6997719,1498381,4555699,1437825,0.760104
96,7195051,4574959,1578987,2995972,2.897401,10,197862,6997189,1504485,4574959,1442981,0.760220
97,7195051,4596841,1589413,3007428,2.892163,10,199041,6996010,1512467,4596841,1453027,0.759825
98,7195051,4617109,1598499,3018610,2.888403,10,199399,6995652,1519966,4617109,1462755,0.759410
99,7195051,4637366,1607676,3029690,2.884515,10,200042,6995009,1522270,4637366,1451714,0.761587
100,7195051,4660539,1618210,3042329,2.880058,10,200750,6994301,1531163,4660539,1464113,0.760948
101,7195051,4679970,1627470,3052500,2.875611,10,200849,6994202,1537829,4679970,1471346,0.760808
102,7195051,4700203,1636851,3063352,2.871491,11,201848,6993203,1542049,4700203,1467993,0.762006
103,7195051,4720566,1647505,3073061,2.865282,10,202338,6992713,1551214,4720566,1484290,0.760786
104,7195051,4742188,1656980,3085208,2.861946,10,202533,6992518,1555647,4742188,1480400,0.762093
105,7195051,4761326,1666454,3094872,2.857160,10,203192,6991859,1558926,4761326,1474378,0.763559
106,7195051,4778664,1675972,3102692,2.851279,10,203016,6992035,1568800,4778664,1496536,0.761516
107,7195051,4799461,1686316,3113145,2.846122,11,203925,6991126,1571474,4799461,1486435,0.763529
108,7195051,4818182,1695048,3123134,2.842505,11,204575,6990476,1580119,4818182,1502294,0.762313
109,7195051,4838991,1703625,3135366,2.840409,11,204912,6990139,1583883,4838991,1496541,0.763786
110,7195051,4857785,1713240,3144545,2.835438,11,205446,6989605,1591293,4857785,1507387,0.763182
111,7195051,4876360,1721519,3154841,2.832591,11,205669,6989382,1596783,4876360,1510772,0.763466
112,7698923,4892348,1729665,3162683,2.828495,11,206226,7492697,1599744,4892348,1506628,0.764552
113,7709924,4910627,1737697,3172930,2.825940,11,207325,7502599,1606035,4910627,1513513,0.764402
114,7709924,4931283,1746749,3184534,2.823121,10,208040,7501884,1612072,4931283,1517005,0.764743
115,7709924,4950138,1754537,3195601,2.821336,10,208957,7500967,1620811,4950138,1533106,0.763528
116,7709924,4969677,1762220,3207457,2.820123,10,209627,7500297,1624621,4969677,1528807,0.764744
117,7709924,4990810,1770923,3219887,2.818197,10,210351,7499573,1630132,4990810,1529718,0.765400
118,7709924,5010885,1778406,3232479,2.817627,12,211852,7498072,1641784,5010885,1556251,0.763024
119,7709924,5032682,1785803,3246879,2.818162,11,212657,7497267,1643679,5032682,1542034,0.765460
120,7709924,5054316,1793113,3261203,2.818738,11,213550,7496374,1652909,5054316,1557320,0.764458
121,7709924,5238841,1865394,3373447,2.808437,11,223306,7486618,1713742,5238841,1616127,0.764240
122,7709924,5368027,1922581,3445446,2.792094,11,233010,7476914,1757952,5368027,1663781,0.763392
123,7709924,5491894,1970413,3521481,2.787179,12,241925,7467999,1806307,5491894,1733334,0.760100
124,7709924,5595556,2009960,3585596,2.783914,12,248901,7461023,1840592,5595556,1766812,0.760021
125,7709924,5713235,2044198,3669037,2.794854,12,256314,7453610,1882928,5713235,1818477,0.758557
126,7709924,5817995,2073600,3744395,2.805746,12,258497,7451427,1915753,5817995,1845017,0.759231
127,7709924,5867875,2073600,3794275,2.829801,12,261381,7448543,1938036,5867875,1884269,0.756936
128,7709924,5913991,2073600,3840391,2.852040,13,263158,7446766,1956442,5913991,1911777,0.755707
129,7709924,5966141,2073600,3892541,2.877190,12,265098,7444826,1980544,5966141,1956035,0.753094
130,7709924,6034948,2073600,3961348,2.910372,13,268634,7441290,2005626,6034948,1987556,0.752252
131,7709924,6021109,2073599,3947510,2.903700,13,267815,7442109,1992399,6021109,1948487,0.755510
132,7709924,5997046,2073600,3923446,2.892094,14,266782,7443142,1989854,5997046,1962370,0.753453
133,7709924,5975368,2073600,3901768,2.881640,13,266220,7443704,1981358,5975368,1950064,0.753949
134,7709924,5966568,2073600,3892968,2.877396,12,264413,7445511,1978298,5966568,1946624,0.754003
135,7709924,5948655,2073600,3875055,2.868757,13,264192,7445732,1969926,5948655,1931049,0.754934
136,7709924,5931573,2073599,3857974,2.860521,13,263243,7446681,1964209,5931573,1925263,0.754957
137,7709924,5917670,2073598,3844072,2.853817,13,261866,7448058,1963361,5917670,1935774,0.753513
138,7709924,5902908,2073600,3829308,2.846696,12,260919,7449005,1954631,5902908,1915616,0.754990
139,7709924,5892497,2073600,3818897,2.841675,13,261598,7448326,1950901,5892497,1911107,0.755099
140,7709924,5887690,2073600,3814090,2.839357,12,260694,7449230,1950322,5887690,1913598,0.754707
141,7709924,5882925,2073600,3809325,2.837059,12,260111,7449813,1950419,5882925,1918751,0.754059
142,7709924,5881445,2073600,3807845,2.836345,13,259672,7450252,1945980,5881445,1902475,0.755589
143,7709924,5875112,2073599,3801513,2.833292,13,258289,7451635,1944500,5875112,1902888,0.755350
144,7709924,5884117,2073600,3810517,2.837634,12,258838,7451086,1944793,5884117,1895055,0.756394
145,7709924,5884928,2073600,3811328,2.838025,12,258416,7451508,1946733,5884928,1902004,0.755744
146,7709924,5878551,2073600,3804951,2.834949,12,257131,7452793,1944906,5878551,1901073,0.755634
147,7709924,5878654,2073600,3805054,2.834999,11,257671,7452253,1938575,5878654,1875646,0.758115
148,7709924,5883845,2073600,3810245,2.837502,12,256944,7452980,1940903,5883845,1879767,0.757875
149,7709924,5889230,2073600,3815630,2.840099,11,256389,7453535,1946189,5889230,1895526,0.756508
150,7709924,5896059,2073600,3822459,2.843393,12,255740,7454184,1944600,5896059,1882341,0.758004
151,7709924,5898089,2073599,3824490,2.844373,11,254217,7455707,1942020,5898089,1869991,0.759272
152,7709924,5899660,2073598,3826062,2.845132,11,251832,7458092,1939621,5899660,1858824,0.760414
153,7709924,5915677,2073600,3842077,2.852853,12,250725,7459199,1942440,5915677,1854083,0.761372
154,7709924,5920250,2073600,3846650,2.855059,11,248149,7461775,1939116,5920250,1836214,0.763267
155,7709924,5926238,2073599,3852639,2.857948,11,245044,7464880,1928085,5926238,1786102,0.768410
156,7709924,5938487,2073600,3864887,2.863854,11,243211,7466713,1926662,5938487,1768161,0.770567
157,7709924,5913918,2073600,3840318,2.852005,11,238123,7471801,1917416,5913918,1755746,0.771079
158,7709924,5920516,2073599,3846917,2.855188,11,234772,7475152,1907451,5920516,1709288,0.775972
159,7709924,5932542,2073599,3858943,2.860988,12,230975,7478949,1907199,5932542,1696254,0.777651
160,7709924,5945859,2073600,3872259,2.867409,11,224666,7485258,1905893,5945859,1677713,0.779931
161,7709924,5896692,2073600,3823092,2.843698,10,217964,7491960,1881729,5896692,1630224,0.783414
162,7709884,5870625,2073600,3797025,2.831127,10,210602,7499282,1867402,5870625,1598983,0.785935
163,7709884,5826304,2073600,3752704,2.809753,11,202924,7506960,1836857,5826304,1521124,0.792972
164,7709884,5789100,2073599,3715501,2.791813,10,196839,7513045,1825800,5789100,1514100,0.792680
165,7709884,5700133,2073600,3626533,2.748907,10,190525,7519359,1791929,5700133,1467583,0.795251
