run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_geometry_count,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,param_object_count,param_renderer_variant,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
0,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00000.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,0,Forward,forward,,,total,0.93245,0.93411,0.93626,0.93399,0.93248,0.93280,0.93491,0.93555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93245,0.93411,0.93626,0.93399,0.93248,0.93280,0.93491,0.93555,147456,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,0,2304,1,quad_alu_orthogonal,0,0,0,success,0,
1,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00001.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,0,ForwardPrepass,depth_prepass,forward,,total,0.92819,0.93146,0.93286,0.93044,0.92819,0.92854,0.93242,0.93283,0.95030,0.95136,0.95334,0.95138,0.95040,0.95072,0.95213,0.95302,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.87894,1.88214,1.88502,1.88182,1.87904,1.87974,1.88390,1.88486,147456,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,0,2304,2,quad_alu_orthogonal,0,1,0,success,0,
2,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00002.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,0,VisBuf,visibility,resolve,,total,0.92886,0.92973,0.93101,0.92976,0.92899,0.92931,0.93018,0.93082,0.02352,0.02614,0.02656,0.02531,0.02352,0.02355,0.02624,0.02630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95280,0.95565,0.95712,0.95507,0.95293,0.95322,0.95632,0.95699,147456,0,8,0,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,0,2304,4,quad_alu_orthogonal,0,2,0,success,0,
3,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00003.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,1,Forward,forward,,,total,0.94461,0.94560,0.94666,0.94563,0.94470,0.94509,0.94627,0.94662,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94461,0.94560,0.94666,0.94563,0.94470,0.94509,0.94627,0.94662,147456,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,1,2304,1,quad_alu_orthogonal,0,3,0,success,0,
4,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00004.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,1,ForwardPrepass,depth_prepass,forward,,total,0.92781,0.93110,0.93242,0.93013,0.92790,0.92822,0.93190,0.93216,0.95773,0.95878,0.96154,0.95883,0.95808,0.95840,0.95926,0.96080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.88630,1.88944,1.89306,1.88896,1.88650,1.88691,1.89107,1.89142,147456,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,1,2304,2,quad_alu_orthogonal,0,4,0,success,0,
5,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00005.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,1,VisBuf,visibility,resolve,,total,0.92826,0.92918,0.93034,0.92924,0.92845,0.92874,0.92979,0.93021,0.04003,0.04038,0.04330,0.04132,0.04006,0.04013,0.04320,0.04330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96874,0.97002,0.97357,0.97056,0.96890,0.96915,0.97242,0.97350,147456,0,8,1,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,1,2304,4,quad_alu_orthogonal,0,5,0,success,0,
6,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00006.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,2,Forward,forward,,,total,0.95274,0.95379,0.95498,0.95379,0.95277,0.95318,0.95453,0.95482,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95274,0.95379,0.95498,0.95379,0.95277,0.95318,0.95453,0.95482,147456,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,2,2304,1,quad_alu_orthogonal,0,6,0,success,0,
7,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00007.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,2,ForwardPrepass,depth_prepass,forward,,total,0.92755,0.93075,0.93229,0.92990,0.92778,0.92806,0.93174,0.93213,0.96458,0.96528,0.96662,0.96532,0.96470,0.96493,0.96573,0.96634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.89258,1.89594,1.89766,1.89522,1.89261,1.89315,1.89725,1.89763,147456,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,2,2304,2,quad_alu_orthogonal,0,7,0,success,0,
8,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00008.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,2,VisBuf,visibility,resolve,,total,0.92810,0.92915,0.93997,0.92926,0.92826,0.92870,0.92976,0.93024,0.04762,0.04790,0.05069,0.04845,0.04762,0.04774,0.05005,0.05059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97629,0.97725,0.98797,0.97771,0.97632,0.97664,0.97933,0.98022,147456,0,8,2,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,2,2304,4,quad_alu_orthogonal,0,8,0,success,0,
9,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_3etcv310\run_00009.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,2304,1,1,0,-1,1,1,0.5,8,1,1,256,1,4,Forward,forward,,,total,0.96909,0.97043,0.97194,0.97046,0.96947,0.96986,0.97104,0.97168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96909,0.97043,0.97194,0.97046,0.96947,0.96986,0.97104,0.97168,147456,0,8,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,8,1,1,256,1,4,2304,1,quad_alu_orthogonal,0,9,0,success,0,
