frame,total,geometry,lighting,index_count
0,0.57260,0.54462,0.01938,8231199.00000
10,0.56999,0.54352,0.01935,8231199.00000
20,0.57844,0.55128,0.01970,8234561.10000
30,0.57035,0.54395,0.01932,8236002.00000
40,0.56708,0.54018,0.01960,8236002.00000
50,0.57652,0.54938,0.01972,8236002.00000
60,0.56511,0.53796,0.01992,8236002.00000
70,0.55668,0.52925,0.02032,8236002.00000
80,0.56226,0.53516,0.01998,8236002.00000
90,0.71833,0.68005,0.03088,8237667.00000
100,1.01820,0.97899,0.03197,8329675.20000
110,1.18761,1.14960,0.03079,8334444.00000
120,1.21826,1.18150,0.02923,8317910.40000
130,1.09840,1.06018,0.03093,8139647.40000
140,1.02764,0.99072,0.02946,7834020.30000
150,0.86677,0.82574,0.03398,7424970.00000
160,0.85555,0.81448,0.03375,7313065.20000
170,0.81703,0.77707,0.03236,7154175.00000
180,0.89977,0.86165,0.03105,7421709.90000
190,0.86808,0.83021,0.03090,7716846.60000
200,0.85343,0.81462,0.03204,7789365.60000
210,0.89888,0.85910,0.03282,7826196.60000
220,0.90288,0.86342,0.03251,7722507.90000
230,0.87002,0.82834,0.03412,7757628.60000
240,0.84867,0.80674,0.03492,7718556.00000
250,0.86645,0.82336,0.03601,7713440.40000
260,0.84650,0.80367,0.03516,7695356.40000
270,0.90930,0.86759,0.03432,7698819.00000
280,0.94029,0.89922,0.03361,7700268.00000
290,0.95144,0.91140,0.03297,7720264.80000
300,0.95987,0.92027,0.03208,7730274.00000
310,0.99306,0.95386,0.03182,7730274.00000
320,0.99902,0.96000,0.03154,7744542.00000
330,1.00081,0.96209,0.03118,7870452.00000
340,0.98966,0.95080,0.03123,7870452.00000
350,0.97990,0.94094,0.03153,7860626.40000
360,0.94287,0.90388,0.03161,7803858.00000
370,0.95340,0.91439,0.03146,7800402.00000
380,0.96136,0.92195,0.03193,7791610.80000
390,0.93870,0.89878,0.03229,7793692.20000
400,0.94065,0.90116,0.03230,7792572.00000
410,0.94750,0.90788,0.03230,7790788.80000
420,0.92220,0.88110,0.03335,7774376.10000
430,0.87188,0.83067,0.03392,7465851.00000
440,0.83506,0.79402,0.03370,7100517.00000
450,0.88476,0.84514,0.03265,7082915.40000
460,0.81824,0.77985,0.03108,7070199.60000
470,0.81580,0.77790,0.03052,7068315.60000
480,0.82214,0.78587,0.02910,6944262.90000
490,0.90724,0.87053,0.02813,6947631.00000
500,0.93448,0.89606,0.03154,7164264.60000
510,0.95858,0.91962,0.03168,7409877.60000
520,0.96956,0.93143,0.03092,7792772.10000
530,0.94705,0.90826,0.03129,7782946.20000
540,0.93048,0.89119,0.03228,7708882.20000
550,0.94922,0.91117,0.03079,7631395.80000
560,0.96715,0.93056,0.02934,7774871.40000
570,1.05816,1.02689,0.02397,7833945.00000
580,1.24772,1.21645,0.02392,8015462.10000
590,1.28500,1.25086,0.02683,8052279.90000
600,1.31997,1.28430,0.02872,8120811.00000
610,1.27824,1.24075,0.03022,8118021.00000
620,1.21372,1.17668,0.02966,8111811.90000
630,1.10615,1.07411,0.02474,7943511.60000
