frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.11081,0.05633,0.50150,0.37447,0.01813,2735043.00000
10,1.19567,0.05715,0.55707,0.37458,0.01858,2743503.00000
20,1.21585,0.05889,0.58622,0.40615,0.01890,2789486.40000
30,1.22580,0.06116,0.63053,0.34845,0.01923,2973420.00000
40,1.05866,0.06018,0.57850,0.35307,0.01628,2973420.00000
50,1.03308,0.06479,0.60804,0.33274,0.01526,3519772.20000
60,1.11802,0.08641,0.66725,0.33594,0.01598,3709842.60000
70,1.23068,0.08083,0.70633,0.41154,0.01877,3855122.40000
80,1.26607,0.08733,0.71095,0.42849,0.01912,3654076.80000
90,1.18800,0.07757,0.64898,0.42875,0.01917,3542482.20000
100,1.11300,0.07104,0.57904,0.42860,0.01944,3260749.80000
110,1.25219,0.06128,0.73012,0.42874,0.01932,2319486.90000
120,1.27919,0.05844,0.75990,0.42854,0.01916,1946843.70000
130,1.22938,0.05551,0.71296,0.42876,0.01919,1705523.10000
140,1.14552,0.05578,0.62920,0.42856,0.01901,1670144.40000
150,1.20581,0.05414,0.69100,0.42867,0.01895,1705351.20000
160,1.27912,0.05428,0.76414,0.42878,0.01879,1601443.50000
170,1.25035,0.06163,0.72702,0.42884,0.01898,1952126.40000
180,1.23046,0.06967,0.70016,0.42822,0.01933,2341795.20000
190,1.23000,0.06494,0.70417,0.42857,0.01919,2107644.90000
200,1.20908,0.05706,0.69155,0.42866,0.01899,1419058.80000
210,1.15188,0.05396,0.63746,0.42861,0.01910,807861.60000
220,1.05475,0.05070,0.54322,0.42893,0.01898,643874.40000
230,0.93560,0.04474,0.42995,0.42898,0.01913,684394.20000
240,0.97102,0.05780,0.45215,0.42897,0.01909,1542489.30000
250,1.10899,0.06329,0.58481,0.42856,0.01916,1712182.50000
260,1.04453,0.06010,0.52382,0.42866,0.01898,1672847.40000
270,0.95344,0.06136,0.43132,0.42876,0.01908,1599087.60000
280,1.06786,0.06444,0.54284,0.42820,0.01928,1561190.10000
290,1.04325,0.05927,0.51083,0.42867,0.01899,1296197.40000
300,0.92098,0.05468,0.40548,0.42874,0.01889,1175449.20000
310,0.88052,0.05182,0.36427,0.42895,0.01876,912259.20000
320,0.86528,0.05137,0.35371,0.42806,0.01887,897765.00000
330,0.86588,0.04958,0.35777,0.42640,0.01939,897779.40000
340,0.99666,0.05336,0.48447,0.42696,0.01957,894099.90000
350,1.08235,0.05275,0.56879,0.42826,0.01958,879486.00000
360,1.10275,0.04977,0.59193,0.42863,0.01923,846745.80000
370,1.89396,0.05176,1.35464,0.44944,0.02430,793391.40000
380,1.59406,0.04593,1.07559,0.43804,0.02132,792712.20000
390,1.15460,0.03835,0.65519,0.42930,0.01890,565609.80000
400,0.91840,0.03372,0.42323,0.42895,0.01925,383192.10000
410,1.02748,0.03630,0.52988,0.42953,0.01918,528333.90000
