frame,total,geometry,lighting,tonemap,index_count
0,3.51407,3.11002,0.33792,0.05535,2735043.00000
10,3.85997,3.45322,0.33930,0.05618,2743503.00000
20,3.90478,3.49430,0.34178,0.05652,2789486.40000
30,3.96046,3.54745,0.34378,0.05755,2973420.00000
40,4.22970,3.79170,0.34753,0.05880,2973420.00000
50,4.28418,3.86423,0.34854,0.06006,3519772.20000
60,4.70091,4.22718,0.37423,0.06367,3709842.60000
70,3.98221,3.56751,0.34550,0.05446,3855122.40000
80,2.95256,2.55412,0.33130,0.03867,3654076.80000
90,2.79960,2.40520,0.32942,0.03855,3542482.20000
100,4.34782,3.91664,0.35471,0.06351,3260749.80000
110,4.73373,4.25684,0.35488,0.06464,2319486.90000
120,3.54464,3.14761,0.33710,0.04806,1946843.70000
130,2.76308,2.38743,0.32686,0.03836,1705523.10000
140,2.94154,2.55880,0.33076,0.04152,1670144.40000
150,4.65377,4.22356,0.35501,0.06335,1705351.20000
160,2.77333,2.39654,0.32686,0.03822,1601443.50000
170,2.76797,2.39213,0.32689,0.03831,1952126.40000
180,3.61599,3.20565,0.34482,0.05453,2341795.20000
190,4.48493,4.05506,0.35426,0.06517,2107644.90000
200,4.18543,3.75592,0.35556,0.06257,1419058.80000
210,4.32784,3.89804,0.35534,0.06257,807861.60000
220,3.77901,3.34914,0.35557,0.06225,643874.40000
230,3.30873,2.86079,0.35721,0.06206,684394.20000
240,3.73181,3.30200,0.35638,0.06244,1542489.30000
250,4.08655,3.65567,0.35604,0.06315,1712182.50000
260,4.15406,3.70205,0.35569,0.06294,1672847.40000
270,4.06293,3.61394,0.35522,0.06293,1599087.60000
280,4.13510,3.68842,0.35488,0.06284,1561190.10000
290,3.85487,3.42517,0.35517,0.06268,1296197.40000
300,3.46464,3.03862,0.35314,0.06230,1175449.20000
310,3.55211,3.10139,0.35083,0.06232,912259.20000
320,3.54746,3.11121,0.34972,0.06233,897765.00000
330,3.68480,3.26378,0.34801,0.06242,897779.40000
340,4.13250,3.70975,0.34825,0.06268,894099.90000
350,3.76022,3.33653,0.34987,0.06376,879486.00000
360,3.55831,3.10764,0.35235,0.06301,846745.80000
370,4.01224,3.58286,0.35504,0.06334,793391.40000
380,4.00108,3.51149,0.35838,0.06332,792712.20000
390,3.30233,2.86104,0.35394,0.06310,565609.80000
400,2.98560,2.55170,0.35705,0.06437,383192.10000
410,3.29081,2.85942,0.35535,0.06493,528333.90000
420,4.13882,3.70748,0.35684,0.06330,794159.10000
430,3.94648,3.51646,0.35529,0.06315,728275.20000
440,3.56343,3.13262,0.35617,0.06290,552941.10000
450,3.29142,2.85943,0.35697,0.06271,412048.20000
460,2.94389,2.51291,0.35719,0.06259,350868.00000
470,2.85348,2.40195,0.35815,0.06273,350868.00000
480,2.65292,2.21729,0.35847,0.06254,338481.60000
490,2.48749,1.95960,0.40783,0.06235,321642.00000
500,2.53609,2.00337,0.38379,0.06231,333708.90000
510,2.82662,2.37189,0.35813,0.06246,339267.00000
520,2.67366,2.24188,0.35769,0.06242,339351.00000
530,2.55181,2.02255,0.37796,0.06265,339141.00000
540,2.49807,2.04229,0.35798,0.06219,339351.00000
550,3.02042,2.56569,0.35856,0.06271,474632.40000
560,2.67527,2.17248,0.37515,0.06325,541706.70000
570,2.45179,1.89350,0.40114,0.06254,300708.60000
580,2.92406,2.47358,0.35210,0.06740,161673.00000
590,3.46785,3.03284,0.35642,0.06766,548954.40000
600,4.67055,4.20929,0.35506,0.07018,2470690.80000
610,4.87663,4.42641,0.35264,0.06648,4528393.20000
620,4.99070,4.52757,0.36946,0.06196,5469609.30000
630,3.50394,3.12921,0.32445,0.03838,5385665.40000
640,3.45790,3.08369,0.32392,0.03830,5268445.80000
650,3.52769,3.11845,0.32314,0.03841,5455766.10000
660,3.55718,3.18527,0.32280,0.03851,6486145.20000
670,3.31661,2.92390,0.32328,0.03870,6541372.50000
680,2.93184,2.55884,0.32383,0.03861,6879486.30000
690,2.75776,2.38545,0.32289,0.03858,7108213.50000
700,4.83471,4.39379,0.34545,0.06559,7441605.60000
710,3.28592,2.90790,0.32483,0.04180,7593033.90000
720,3.01807,2.62242,0.32364,0.03822,7066003.50000
730,2.96451,2.59455,0.32117,0.03748,6821793.60000
740,3.29552,2.91570,0.32619,0.04285,6720414.00000
750,5.06947,4.65386,0.34210,0.06250,6525013.50000
760,3.26270,2.89403,0.32033,0.03769,6801216.60000
770,3.50041,3.12961,0.32154,0.03818,7175850.30000
780,3.74027,3.36608,0.32230,0.03857,7286777.70000
790,4.05428,3.68202,0.32260,0.03826,6714756.00000
800,4.11731,3.74577,0.32220,0.03856,6663391.50000
810,3.92259,3.55098,0.32209,0.03861,6727253.40000
820,3.99262,3.62088,0.32227,0.03839,6686411.70000
830,4.00060,3.62915,0.32259,0.03818,6922272.30000
840,4.09908,3.72748,0.32227,0.03829,7140367.20000
850,4.34766,3.95510,0.32171,0.03787,7148327.40000
860,4.52642,4.13525,0.32277,0.03793,7238579.70000
870,3.95500,3.58448,0.32110,0.03786,7842063.90000
880,2.95450,2.58149,0.32194,0.03887,8399251.20000
890,4.86252,4.36431,0.35310,0.07355,8650731.60000
900,4.48160,4.06726,0.33639,0.05128,8253558.60000
910,4.76224,4.38296,0.32539,0.04312,8466807.30000
920,4.66579,4.18662,0.39511,0.04303,8191092.90000
930,4.43545,4.01849,0.34542,0.04293,7611897.60000
940,4.45187,4.05306,0.32488,0.04308,7472485.20000
950,4.56774,4.11187,0.36815,0.04409,7479321.60000
960,4.29604,3.88944,0.32403,0.04299,7513692.60000
970,4.18236,3.78454,0.32416,0.04240,7224937.80000
980,3.75313,3.37416,0.32338,0.04213,6451338.30000
990,3.53115,3.15999,0.32190,0.03852,6161764.20000
1000,3.54584,3.17672,0.32091,0.03741,5635455.90000
1010,3.49253,3.12236,0.32188,0.03746,5202423.30000
1020,3.30858,2.93829,0.32204,0.03758,5064487.20000
1030,4.11346,3.72251,0.33246,0.04671,4854207.60000
1040,4.85535,4.44746,0.34088,0.05613,4813812.60000
1050,3.06080,2.68890,0.32282,0.03816,5117389.20000
1060,3.13857,2.76638,0.32271,0.03809,5842354.50000
1070,3.45518,3.06264,0.32158,0.03803,6651849.00000
1080,3.50312,3.11224,0.32254,0.03810,5608637.70000
1090,3.22852,2.82230,0.32310,0.03830,4262394.00000
1100,3.49365,3.07344,0.32300,0.03808,4041469.80000
1110,3.53109,3.15982,0.32235,0.03822,3829725.00000
1120,5.95101,5.52085,0.35189,0.06714,3625378.80000
1130,3.52502,3.15288,0.32267,0.03880,3497889.30000
1140,2.90654,2.53528,0.32279,0.03717,2350612.80000
1150,2.68907,2.27904,0.32619,0.03742,1301457.60000
1160,2.83239,2.45766,0.32563,0.03745,1975792.50000
1170,3.26267,2.87321,0.32291,0.03776,3156324.60000
1180,3.20213,2.83022,0.32365,0.03780,3050540.40000
1190,3.23754,2.86583,0.32333,0.03786,2981322.90000
1200,3.38606,2.96930,0.32311,0.03765,2914107.30000
1210,3.37143,2.99994,0.32326,0.03776,2838095.10000
1220,3.73852,3.35404,0.32976,0.04384,2404130.40000
1230,5.44318,5.02309,0.34608,0.06266,2756329.80000
1240,3.13593,2.76585,0.32240,0.03732,3243857.10000
1250,3.03304,2.66280,0.32226,0.03709,3374841.30000
1260,3.11370,2.74239,0.32298,0.03778,2758986.60000
1270,2.69704,2.30681,0.32377,0.03787,1980257.70000
1280,2.42419,2.01722,0.34086,0.03762,1437031.50000
1290,1.29518,0.91798,0.32495,0.03641,1166351.70000
1300,1.59821,1.14787,0.35070,0.06130,1037250.60000
1310,1.92877,1.51020,0.34746,0.06034,1221641.40000
1320,1.97066,1.52911,0.34668,0.06066,759526.20000
1330,1.95563,1.49256,0.36909,0.06078,430540.20000
1340,2.44790,1.96338,0.38910,0.05913,694622.10000
1350,3.80972,3.37037,0.34820,0.06045,1566384.90000
1360,5.53111,5.11284,0.34595,0.06083,2940508.80000
1370,4.10904,3.73986,0.32097,0.03747,4580042.10000
1380,4.15255,3.76634,0.32174,0.03785,5117127.00000
1390,4.20667,3.83344,0.32266,0.03953,5701572.00000
1400,4.49912,4.09680,0.34372,0.04261,6038218.80000
1410,4.11344,3.69902,0.32120,0.04014,4462831.50000
1420,3.76377,3.37564,0.31939,0.03542,4482807.90000
1430,4.33145,3.91742,0.32095,0.03899,6096565.50000
1440,4.28594,3.88169,0.32110,0.03822,6378838.20000
1450,4.18550,3.81456,0.32147,0.03843,6844768.20000
1460,4.28595,3.91314,0.32211,0.03919,7461451.50000
1470,4.31626,3.92620,0.32189,0.03931,7820832.30000
1480,4.45711,4.06361,0.32317,0.03976,8167075.80000
1490,4.51048,4.13692,0.32268,0.03973,8579003.40000
1500,4.81871,4.38567,0.34496,0.03982,8897062.20000
1510,4.97318,4.54719,0.32324,0.03968,9153365.10000
1520,4.72470,4.32758,0.32531,0.03865,9295424.70000
1530,4.43827,4.06893,0.32088,0.03640,9095182.20000
1540,4.00490,3.63741,0.32012,0.03527,9066057.60000
1550,3.84519,3.47919,0.31920,0.03523,9353040.90000
1560,3.89453,3.52856,0.31920,0.03518,9720191.10000
1570,3.88633,3.51825,0.32024,0.03508,9982925.40000
1580,3.58461,3.21708,0.31994,0.03531,10171514.40000
1590,3.58879,3.16579,0.32087,0.03653,10457815.80000
1600,3.28438,2.91445,0.32179,0.03663,10653773.10000
1610,3.22847,2.85967,0.32053,0.03645,10718238.00000
1620,3.00690,2.63928,0.31966,0.03580,10718247.00000
1630,3.82570,3.39555,0.34885,0.04602,10720095.00000
1640,4.26563,3.84462,0.35184,0.05060,10736792.40000
1650,2.98174,2.61684,0.31878,0.03413,10788409.20000
1660,2.99818,2.63330,0.31894,0.03396,10885447.80000
1670,4.71969,4.31763,0.33362,0.05543,10912725.00000
