frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,2.15298,0.12471,1.41075,0.37846,0.11895,2735043.00000
10,2.55365,0.12769,1.55416,0.71264,0.10956,2743503.00000
20,2.58341,0.13202,1.98472,0.36474,0.05682,2789486.40000
30,2.50097,0.14091,1.84403,0.37644,0.05916,2973420.00000
40,2.38471,0.14466,1.81618,0.34892,0.05968,2973420.00000
50,2.34610,0.16226,1.76104,0.34931,0.06094,3519772.20000
60,2.80727,0.17922,2.07259,0.46977,0.06927,3709842.60000
70,3.46303,0.19595,2.58359,0.58859,0.07513,3855122.40000
80,3.44799,0.18832,2.57672,0.58842,0.07543,3654076.80000
90,3.40481,0.18209,2.53862,0.58828,0.07563,3542482.20000
100,2.97819,0.17042,2.10502,0.58913,0.07477,3260749.80000
110,2.93724,0.14757,2.10908,0.58812,0.07447,2319486.90000
120,3.53793,0.13768,2.61076,0.63584,0.07503,1946843.70000
130,3.39218,0.12052,2.62368,0.47492,0.06916,1705523.10000
140,2.64947,0.10667,2.07152,0.35847,0.06350,1670144.40000
150,3.04653,0.10560,2.43715,0.35875,0.06325,1705351.20000
160,3.10050,0.10622,2.53669,0.35802,0.06301,1601443.50000
170,3.12360,0.14912,2.52005,0.35616,0.06348,1952126.40000
180,2.83644,0.14478,2.25672,0.35573,0.06567,2341795.20000
190,3.00290,0.12906,2.33607,0.42071,0.06518,2107644.90000
200,2.66166,0.10134,1.96191,0.35972,0.06207,1419058.80000
210,2.48076,0.08459,1.76088,0.54495,0.06366,807861.60000
220,2.17456,0.07618,1.50941,0.41927,0.09108,643874.40000
230,1.80998,0.06701,1.30837,0.35772,0.06195,684394.20000
240,1.81373,0.10136,1.28018,0.35715,0.06208,1542489.30000
250,2.40556,0.11205,1.69449,0.50558,0.06404,1712182.50000
260,2.28195,0.11011,1.58149,0.49734,0.06724,1672847.40000
270,1.83929,0.10764,1.30011,0.35595,0.06219,1599087.60000
280,2.27193,0.11118,1.54374,0.53105,0.06616,1561190.10000
290,2.12082,0.09931,1.46849,0.39448,0.09701,1296197.40000
300,1.66838,0.09129,1.14643,0.35510,0.06210,1175449.20000
310,1.53055,0.07868,1.02270,0.35393,0.06201,912259.20000
320,1.52574,0.07602,1.01255,0.35289,0.06214,897765.00000
330,1.54281,0.07675,1.04077,0.34972,0.06204,897779.40000
340,1.96286,0.08100,1.37739,0.34972,0.06488,894099.90000
350,2.28081,0.08160,1.58336,0.43184,0.11948,879486.00000
360,2.45490,0.07710,1.74986,0.51250,0.06346,846745.80000
370,3.03260,0.07330,2.47620,0.35853,0.06453,793391.40000
380,3.10648,0.07118,2.56742,0.35837,0.06323,792712.20000
390,2.67176,0.06181,1.95876,0.38828,0.06326,565609.80000
400,1.76120,0.05146,1.27222,0.35668,0.06501,383192.10000
410,2.27658,0.05745,1.65056,0.35740,0.06642,528333.90000
420,3.05624,0.07198,2.52348,0.35976,0.06311,794159.10000
430,2.75645,0.06836,2.07204,0.36113,0.06315,728275.20000
440,2.70239,0.05836,2.10563,0.36000,0.06264,552941.10000
450,2.89870,0.04971,2.37169,0.36235,0.06248,412048.20000
460,2.73870,0.04612,2.06923,0.36170,0.06282,350868.00000
470,2.62295,0.05001,1.96055,0.36122,0.06279,350868.00000
480,2.60403,0.04489,1.87422,0.52672,0.06232,338481.60000
490,2.48718,0.04224,1.76621,0.60006,0.06556,321642.00000
500,2.46439,0.04286,1.81105,0.47200,0.06272,333708.90000
510,2.54886,0.04592,1.92773,0.40733,0.06210,339267.00000
520,2.59947,0.04553,1.84066,0.62536,0.06277,339351.00000
530,2.37916,0.04508,1.76319,0.48544,0.06400,339141.00000
540,2.39337,0.04770,1.71786,0.52922,0.06585,339351.00000
550,2.67418,0.04930,1.97778,0.39042,0.06312,474632.40000
560,2.23260,0.05365,1.65584,0.35734,0.06254,541706.70000
570,1.66412,0.04647,1.18492,0.35616,0.06203,300708.60000
580,1.74858,0.04362,1.27099,0.35308,0.06762,161673.00000
590,2.45355,0.05738,1.78550,0.41273,0.07042,548954.40000
600,2.76894,0.13920,1.98763,0.36314,0.06984,2470690.80000
610,2.99494,0.21304,2.29180,0.36020,0.06693,4528393.20000
620,2.82581,0.27765,2.10931,0.36038,0.06485,5469609.30000
630,3.04710,0.26425,2.34668,0.35766,0.06403,5385665.40000
640,3.08441,0.25459,2.39252,0.35760,0.06370,5268445.80000
650,3.29123,0.26763,2.57479,0.35564,0.06407,5455766.10000
660,3.25884,0.31945,2.47597,0.35091,0.06449,6486145.20000
670,2.92448,0.33163,2.15757,0.35174,0.06531,6541372.50000
680,2.70058,0.33931,1.92141,0.35742,0.06574,6879486.30000
690,2.69414,0.34678,1.91138,0.35356,0.06609,7108213.50000
700,2.68589,0.37266,1.88215,0.35135,0.06486,7441605.60000
710,2.79666,0.38081,1.98201,0.35431,0.06518,7593033.90000
720,2.64334,0.35055,1.73218,0.35424,0.06476,7066003.50000
730,2.50136,0.33833,1.51349,0.56873,0.06453,6821793.60000
740,2.41524,0.33330,1.42749,0.56147,0.06588,6720414.00000
750,2.32254,0.33600,1.42996,0.46760,0.06642,6525013.50000
760,2.49147,0.34602,1.47304,0.58418,0.06795,6801216.60000
770,2.59896,0.36140,1.76852,0.35088,0.06620,7175850.30000
780,2.84095,0.34807,2.06356,0.35044,0.06646,7286777.70000
790,2.98111,0.29827,2.24642,0.35088,0.06653,6714756.00000
800,2.87898,0.29448,2.14702,0.35092,0.06736,6663391.50000
810,2.88426,0.29927,2.14708,0.35277,0.06475,6727253.40000
820,2.74158,0.29816,2.01242,0.35106,0.06295,6686411.70000
830,2.71735,0.31313,1.97320,0.35263,0.06301,6922272.30000
840,2.60872,0.31971,1.81770,0.35558,0.06281,7140367.20000
850,2.35080,0.32029,1.41565,0.48756,0.06586,7148327.40000
860,2.34874,0.32680,1.41578,0.50316,0.06603,7238579.70000
870,2.35998,0.34554,1.48061,0.35299,0.06193,7842063.90000
880,1.28724,0.35989,0.49040,0.34975,0.06591,8399251.20000
890,1.39945,0.38137,0.56299,0.35939,0.07768,8650731.60000
900,1.51045,0.36675,0.69067,0.35940,0.07669,8253558.60000
910,2.74056,0.36912,1.82570,0.41342,0.07917,8466807.30000
920,2.86260,0.35813,2.05108,0.35681,0.07710,8191092.90000
930,2.91642,0.33537,2.13185,0.35656,0.07700,7611897.60000
940,3.04144,0.33204,2.25336,0.35691,0.07848,7472485.20000
950,2.97218,0.32492,2.17018,0.35675,0.07899,7479321.60000
960,2.78444,0.33126,1.99970,0.35869,0.07796,7513692.60000
970,2.58810,0.32637,1.58423,0.50168,0.07699,7224937.80000
980,2.33685,0.29657,1.40625,0.51542,0.08031,6451338.30000
990,1.83688,0.28917,1.11920,0.34845,0.06541,6161764.20000
1000,1.76580,0.27270,1.07351,0.34596,0.06116,5635455.90000
1010,1.77009,0.24631,1.10122,0.34607,0.06134,5202423.30000
1020,1.83290,0.23864,1.16965,0.34711,0.06219,5064487.20000
1030,1.90432,0.23076,1.22023,0.34968,0.06279,4854207.60000
1040,1.97192,0.22934,1.27156,0.35012,0.06432,4813812.60000
1050,2.31528,0.23489,1.42719,0.53368,0.07205,5117389.20000
1060,2.29974,0.26100,1.43226,0.51305,0.06867,5842354.50000
1070,2.43444,0.30110,1.56863,0.45619,0.06293,6651849.00000
1080,2.55858,0.26848,1.60059,0.53254,0.06435,5608637.70000
1090,2.09155,0.21449,1.36124,0.38920,0.06696,4262394.00000
1100,2.40498,0.20833,1.51435,0.59663,0.07326,4041469.80000
1110,2.16230,0.20200,1.35608,0.35014,0.17514,3829725.00000
1120,1.84231,0.19438,1.21456,0.35384,0.06600,3625378.80000
1130,1.69440,0.18342,1.07779,0.35116,0.06686,3497889.30000
1140,1.55318,0.14305,0.98382,0.35118,0.06208,2350612.80000
1150,1.50149,0.09594,0.97558,0.35291,0.06261,1301457.60000
1160,1.60584,0.11256,1.06280,0.35184,0.06197,1975792.50000
1170,2.15236,0.16431,1.40385,0.44259,0.06786,3156324.60000
1180,1.93266,0.16256,1.33710,0.34900,0.06285,3050540.40000
1190,2.02282,0.16010,1.35919,0.34916,0.13486,2981322.90000
1200,1.99377,0.15913,1.36512,0.38910,0.06411,2914107.30000
1210,2.36370,0.15581,1.49553,0.47318,0.12124,2838095.10000
1220,2.17863,0.14140,1.41027,0.35063,0.15354,2404130.40000
1230,1.87526,0.15073,1.28873,0.35079,0.06244,2756329.80000
1240,1.56420,0.17466,0.96326,0.34942,0.06223,3243857.10000
1250,1.72140,0.17658,1.09344,0.37273,0.06200,3374841.30000
1260,2.05653,0.17226,1.30653,0.37271,0.09248,2758986.60000
1270,1.61404,0.13680,1.04052,0.34898,0.06238,1980257.70000
1280,1.14504,0.12181,0.59636,0.35042,0.06254,1437031.50000
1290,0.70553,0.08628,0.20469,0.33960,0.06073,1166351.70000
1300,0.80512,0.07172,0.31300,0.34442,0.06156,1037250.60000
1310,0.69994,0.08116,0.21090,0.33246,0.06080,1221641.40000
1320,0.71696,0.06474,0.23999,0.33920,0.06056,759526.20000
1330,0.63837,0.05731,0.17286,0.33542,0.05972,430540.20000
1340,0.57308,0.06367,0.11190,0.32578,0.05847,694622.10000
1350,0.95512,0.11414,0.41531,0.35047,0.06134,1566384.90000
1360,1.41133,0.17025,0.81758,0.34834,0.06104,2940508.80000
