frame,total,visibility,gbuffer,lighting,tonemap,index_count
0,3.16328,0.18606,2.56694,0.34116,0.05514,2735043.00000
10,3.34870,0.18887,2.74733,0.34183,0.05582,2743503.00000
20,3.47370,0.19265,2.86607,0.34315,0.05662,2789486.40000
30,3.58441,0.20588,2.94034,0.34647,0.05756,2973420.00000
40,3.57392,0.21606,2.91712,0.34815,0.05921,2973420.00000
50,3.44701,0.23999,2.78484,0.34948,0.06022,3519772.20000
60,4.10753,0.30377,3.18807,0.52637,0.07106,3709842.60000
70,4.69815,0.33522,3.68149,0.58647,0.07489,3855122.40000
80,4.87364,0.32388,3.86888,0.58873,0.07464,3654076.80000
90,4.23235,0.31669,3.23203,0.58958,0.07452,3542482.20000
100,3.34521,0.29791,2.36279,0.58982,0.07427,3260749.80000
110,3.60587,0.25570,2.66881,0.58867,0.07375,2319486.90000
120,3.39812,0.22659,2.48996,0.58898,0.07411,1946843.70000
130,3.17345,0.21556,2.27594,0.58876,0.07464,1705523.10000
140,2.87950,0.21586,1.98273,0.58905,0.07386,1670144.40000
150,3.07724,0.21744,2.17832,0.58920,0.07424,1705351.20000
160,3.30586,0.20942,2.41509,0.58839,0.07392,1601443.50000
170,3.78295,0.22732,2.87544,0.58808,0.07453,1952126.40000
180,3.94854,0.25864,3.00719,0.58955,0.07451,2341795.20000
190,3.65576,0.24124,2.73312,0.58878,0.07440,2107644.90000
200,2.92366,0.20157,2.03555,0.58968,0.07434,1419058.80000
210,2.65050,0.17974,1.78750,0.58998,0.07420,807861.60000
220,2.37466,0.17062,1.52090,0.59015,0.07371,643874.40000
230,2.12231,0.16148,1.27702,0.59089,0.07347,684394.20000
240,2.31848,0.20868,1.42647,0.59056,0.07346,1542489.30000
250,2.84115,0.21540,1.94074,0.59086,0.07493,1712182.50000
260,2.65214,0.21726,1.75150,0.59057,0.07438,1672847.40000
270,2.28704,0.21826,1.38490,0.59110,0.07412,1599087.60000
280,2.65000,0.22044,1.74505,0.59093,0.07448,1561190.10000
290,2.52226,0.20267,1.63586,0.59040,0.07415,1296197.40000
300,2.03652,0.20264,1.15087,0.58966,0.07368,1175449.20000
310,1.89853,0.19500,1.02291,0.58884,0.07266,912259.20000
320,1.90302,0.19389,1.02949,0.58820,0.07236,897765.00000
330,1.97886,0.19490,1.10400,0.58812,0.07230,897779.40000
340,2.38756,0.19926,1.50765,0.58960,0.07411,894099.90000
350,2.54973,0.18700,1.67957,0.58978,0.07410,879486.00000
360,2.67938,0.17970,1.81856,0.58857,0.07413,846745.80000
370,3.28694,0.16467,2.44013,0.59052,0.07463,793391.40000
380,3.28878,0.15468,2.45007,0.58974,0.07484,792712.20000
390,2.75356,0.13789,1.93263,0.58981,0.07414,565609.80000
400,2.11649,0.12810,1.30572,0.58959,0.07412,383192.10000
410,2.39733,0.13824,1.57846,0.58931,0.07446,528333.90000
420,3.45957,0.16475,2.61065,0.59059,0.07509,794159.10000
430,3.12119,0.16424,2.27171,0.59162,0.07494,728275.20000
440,2.94788,0.13838,2.12552,0.59198,0.07486,552941.10000
450,3.01496,0.12026,2.21216,0.59002,0.07393,412048.20000
460,2.82688,0.11234,2.03202,0.58956,0.07454,350868.00000
470,2.77271,0.11351,1.97698,0.58959,0.07410,350868.00000
480,2.73864,0.10885,1.93735,0.59091,0.07372,338481.60000
490,2.60452,0.10648,1.81128,0.59203,0.07367,321642.00000
500,2.65896,0.10727,1.86750,0.59133,0.07400,333708.90000
510,2.75647,0.10994,1.96258,0.59142,0.07432,339267.00000
520,2.70608,0.11055,1.91196,0.59154,0.07344,339351.00000
