frame,total,geometry,lighting,tonemap,index_count
0,0.81642,0.43051,0.32357,0.04908,3536859.00000
10,0.81564,0.43009,0.32220,0.05037,3540107.40000
20,0.81752,0.43177,0.32244,0.05036,3548178.90000
30,0.81810,0.43213,0.32234,0.05048,3560138.40000
40,0.80876,0.42211,0.32292,0.05012,3566700.00000
50,0.81660,0.42931,0.32298,0.05034,3568304.40000
60,1.11288,0.49657,0.53853,0.06106,3569021.40000
70,1.15926,0.50767,0.56984,0.06260,3569286.00000
80,1.15212,0.50325,0.56956,0.06244,3569286.00000
90,1.30725,0.63774,0.57994,0.07178,3629594.40000
100,1.59532,0.89146,0.58857,0.07460,3798228.60000
110,1.73915,1.06255,0.58442,0.07444,3842249.40000
120,1.87921,1.20210,0.58351,0.07537,4073211.00000
130,1.85436,1.17751,0.58483,0.07494,4046843.40000
140,1.57954,0.90567,0.58270,0.07465,2686896.90000
150,1.27844,0.60856,0.57920,0.07556,822589.80000
160,1.27823,0.60752,0.58097,0.07532,645418.20000
170,1.26027,0.58934,0.58087,0.07548,781088.70000
180,1.31224,0.63550,0.58372,0.07387,1648105.80000
190,1.34219,0.66723,0.58361,0.07422,1785513.90000
200,1.33736,0.66355,0.58216,0.07436,1612006.50000
210,1.35106,0.67908,0.58149,0.07535,1547567.40000
220,1.35455,0.67914,0.58153,0.07548,1904816.70000
230,1.33362,0.66004,0.58239,0.07591,2062156.20000
240,1.33942,0.66444,0.58262,0.07610,2118916.80000
250,1.37761,0.70342,0.58305,0.07588,2638450.50000
260,1.43208,0.75637,0.58397,0.07612,3143778.30000
270,1.48504,0.80561,0.58483,0.07552,3176709.60000
280,1.51797,0.83866,0.58595,0.07572,3195139.80000
290,1.53824,0.86048,0.58614,0.07557,3196378.80000
300,1.55338,0.87341,0.58644,0.07543,3191899.20000
310,1.55137,0.87363,0.58666,0.07560,3189861.60000
320,1.57574,0.89698,0.58738,0.07604,3188157.60000
330,1.59850,0.91791,0.58882,0.07588,3183397.20000
340,1.59490,0.91394,0.58916,0.07580,3251785.50000
350,1.58426,0.90350,0.58909,0.07570,3262454.70000
360,1.56723,0.88644,0.58913,0.07606,3240558.60000
370,1.56114,0.88036,0.58878,0.07577,3240268.80000
380,1.56005,0.87937,0.58878,0.07627,3222061.50000
390,1.55080,0.87038,0.58886,0.07584,3185881.80000
400,1.54706,0.86591,0.58940,0.07581,3157816.80000
410,1.54882,0.86740,0.58995,0.07561,3138618.60000
420,1.53367,0.85269,0.59016,0.07503,3087039.60000
430,1.49909,0.81413,0.59065,0.07567,2881825.20000
440,1.42434,0.74301,0.59040,0.07566,2218198.50000
450,1.34008,0.66160,0.58761,0.07572,1656567.60000
460,1.27892,0.60363,0.58526,0.07512,1441534.80000
470,1.25620,0.58272,0.58389,0.07451,1194970.80000
480,1.27790,0.60732,0.58190,0.07378,956263.50000
490,1.31203,0.64177,0.58149,0.07321,983980.20000
500,1.40868,0.73045,0.58736,0.07548,1687170.00000
510,1.53225,0.85145,0.58909,0.07599,2957266.80000
520,1.59413,0.91079,0.58950,0.07536,3168784.80000
530,1.56897,0.88867,0.58951,0.07602,3105747.30000
540,1.51704,0.83742,0.58791,0.07624,2970027.90000
550,1.52814,0.84862,0.58780,0.07613,2972406.90000
560,1.49895,0.82121,0.58602,0.07637,2435823.90000
570,1.42270,0.75092,0.58071,0.07506,1593825.60000
580,1.64926,0.97299,0.58153,0.07276,2267734.20000
590,1.85586,1.13717,0.58794,0.07186,3676994.40000
600,2.04452,1.36208,0.58801,0.07079,4240686.00000
610,2.05294,1.32918,0.58759,0.07104,4109590.20000
620,1.77672,1.09332,0.58724,0.07322,3234051.90000
630,1.49739,0.81628,0.58590,0.07370,1765986.60000
640,1.41286,0.73976,0.58399,0.07441,1362335.40000
650,1.41534,0.74354,0.58250,0.07432,1596570.30000
660,1.42058,0.74505,0.57864,0.07382,1741612.80000
670,1.41158,0.74320,0.57612,0.07399,1637828.70000
680,1.38430,0.71872,0.57652,0.07424,1236070.20000
690,1.36062,0.69462,0.57737,0.07391,1250187.00000
700,1.33351,0.66307,0.57852,0.07388,1665342.90000
710,1.36610,0.69674,0.57986,0.07460,1775468.10000
720,1.38805,0.71596,0.58316,0.07382,1908386.70000
730,1.38192,0.70996,0.58284,0.07437,2145022.50000
740,1.31107,0.63859,0.58243,0.07493,2592365.10000
750,1.35960,0.68516,0.58341,0.07528,2757870.60000
760,1.38174,0.70342,0.58795,0.07469,2677093.20000
770,1.37302,0.69769,0.58416,0.07538,2654013.00000
780,1.36604,0.68942,0.58512,0.07568,2578698.60000
790,1.38116,0.70374,0.58665,0.07545,2520352.80000
800,1.44096,0.76340,0.58744,0.07465,2485218.30000
810,1.42269,0.74509,0.58791,0.07457,2037999.30000
820,1.34956,0.67273,0.58698,0.07500,1524259.50000
830,1.27674,0.59382,0.58901,0.07494,1150906.20000
840,1.23987,0.56644,0.58402,0.07485,1017384.90000
850,1.24471,0.57145,0.58375,0.07498,1015100.40000
860,1.24463,0.56969,0.58294,0.07451,998085.00000
870,1.24578,0.57478,0.58195,0.07460,1010553.00000
880,1.22507,0.55508,0.58084,0.07462,722847.00000
890,1.22110,0.55148,0.58094,0.07459,660985.80000
900,1.20847,0.53803,0.58165,0.07424,1056630.60000
910,1.13268,0.46139,0.58342,0.07231,1843141.50000
920,1.40674,0.74813,0.57413,0.06799,2533154.70000
930,1.60854,0.94327,0.57896,0.06852,4071835.80000
940,1.60951,0.94022,0.58152,0.07068,3963503.10000
950,1.57594,0.90266,0.58264,0.07311,4031704.50000
960,1.54815,0.86947,0.58406,0.07412,3971499.00000
970,1.61375,0.93379,0.58309,0.07387,3766537.50000
980,1.66280,0.98806,0.58386,0.07418,3583336.20000
990,1.66170,0.98673,0.58380,0.07453,3483438.60000
1000,1.67190,0.99798,0.58331,0.07406,3392737.80000
1010,1.70608,1.03286,0.58350,0.07394,3276338.40000
1020,1.69430,1.02040,0.58382,0.07440,3129990.90000
1030,1.67675,0.99856,0.58471,0.07423,2999856.00000
1040,1.64610,0.97012,0.58587,0.07476,2824652.70000
1050,1.34639,0.76308,0.49748,0.07204,2633786.40000
1060,0.98323,0.55406,0.35030,0.06755,2547567.60000
1070,1.06570,0.62359,0.35164,0.06617,2468410.80000
1080,1.72849,1.04996,0.58737,0.07572,2416487.40000
1090,1.66318,0.98542,0.58724,0.07546,2360726.40000
1100,1.71147,1.03389,0.58697,0.07553,2341794.60000
1110,1.66610,0.98841,0.58701,0.07558,2220366.60000
1120,1.82019,1.14195,0.58760,0.07532,2163918.60000
1130,1.84016,1.16274,0.58654,0.07577,2127327.30000
1140,1.85159,1.17440,0.58603,0.07614,2131965.90000
1150,2.02786,1.27792,0.58666,0.07638,2479488.00000
1160,2.12902,1.36369,0.62303,0.07705,3103379.70000
1170,2.19807,1.42905,0.67389,0.07700,3286165.20000
1180,2.10207,1.36677,0.63156,0.07569,3223156.20000
1190,2.05514,1.37158,0.58932,0.07441,3198838.20000
1200,2.11995,1.34057,0.58987,0.07431,3071377.50000
1210,1.85534,1.17537,0.58923,0.07442,2679304.50000
1220,1.81246,1.13224,0.58845,0.07403,2262525.60000
1230,1.81380,1.13500,0.58824,0.07385,2219412.30000
1240,1.81035,1.13165,0.58789,0.07429,2190796.80000
1250,1.78670,1.10881,0.58711,0.07407,2126512.20000
1260,1.76624,1.08910,0.58660,0.07447,2051850.90000
1270,1.71991,1.04351,0.58617,0.07432,2036807.40000
1280,1.69583,1.01995,0.58587,0.07415,1998442.80000
1290,1.65130,0.97774,0.58485,0.07296,1982232.90000
1300,1.63005,0.95810,0.58404,0.07228,2002564.80000
1310,1.69724,1.02252,0.58580,0.07330,2087533.80000
1320,1.80505,1.11929,0.59348,0.07414,2609298.00000
1330,2.05402,1.29188,0.59084,0.07466,2327745.60000
1340,1.87678,1.19678,0.59093,0.07388,2212672.50000
1350,1.80890,1.13030,0.59021,0.07329,2211165.60000
1360,1.78009,1.10162,0.58984,0.07360,2223684.00000
1370,1.78225,1.10319,0.59015,0.07357,2224497.30000
1380,1.75938,1.08077,0.59045,0.07367,2203552.80000
1390,1.82167,1.14106,0.59098,0.07424,2218140.90000
1400,1.89700,1.21563,0.59072,0.07484,2743615.20000
1410,1.80427,1.12279,0.58943,0.07520,2587569.90000
1420,1.78770,1.10707,0.58894,0.07490,2402864.70000
1430,1.77979,1.09984,0.58810,0.07530,2273796.60000
1440,1.74731,1.06604,0.58756,0.07536,2457954.90000
1450,1.74476,1.06581,0.58690,0.07555,2432548.20000
1460,1.74030,1.06015,0.58747,0.07583,2864603.70000
1470,1.73988,1.05961,0.58779,0.07566,3260834.70000
1480,1.74373,1.06331,0.58743,0.07571,3207732.30000
1490,1.77322,1.08955,0.58694,0.07550,3679436.10000
1500,1.82652,1.14450,0.58848,0.07570,5085597.00000
1510,1.80388,1.12137,0.58934,0.07547,5622743.40000
1520,1.76479,1.08226,0.58902,0.07526,5914413.30000
1530,1.81188,1.12918,0.58911,0.07524,6199425.90000
1540,1.86195,1.17914,0.58939,0.07483,6501296.40000
1550,1.85485,1.17161,0.58972,0.07474,6468561.00000
1560,1.82048,1.13848,0.58937,0.07385,6288352.50000
1570,1.85946,1.17550,0.59062,0.07429,6403932.00000
1580,1.86284,1.17883,0.59017,0.07437,6489612.90000
1590,1.90312,1.21911,0.58998,0.07487,6514984.20000
1600,1.86801,1.18412,0.59002,0.07482,6469406.70000
1610,1.79764,1.11258,0.58931,0.07450,6386042.70000
1620,1.77993,1.09698,0.58909,0.07486,6346056.00000
1630,1.77580,1.09294,0.58909,0.07490,6270661.80000
1640,1.78579,1.10259,0.58921,0.07474,6340435.20000
1650,1.82282,1.14002,0.58880,0.07503,6528230.70000
1660,1.83667,1.15384,0.58906,0.07448,6445551.30000
1670,1.80532,1.12258,0.58922,0.07454,6179116.80000
1680,1.75630,1.07355,0.58978,0.07430,5632906.80000
1690,1.68490,1.00188,0.59036,0.07448,4686393.30000
1700,1.62446,0.94308,0.58952,0.07424,4134488.70000
1710,1.58570,0.90486,0.58914,0.07430,3614263.20000
1720,1.56189,0.88189,0.58857,0.07448,2906742.30000
1730,1.53214,0.85439,0.58625,0.07498,2144940.30000
1740,1.52684,0.85022,0.58537,0.07528,1997245.20000
1750,1.51115,0.83614,0.58416,0.07520,1861532.10000
1760,1.49644,0.82187,0.58331,0.07561,1824885.30000
1770,1.50364,0.82968,0.58326,0.07561,1742791.50000
1780,1.51790,0.84307,0.58344,0.07582,1709182.20000
1790,1.54099,0.86498,0.58445,0.07558,1708177.20000
1800,1.55929,0.88454,0.58400,0.07528,1663645.20000
1810,1.58486,0.90937,0.58437,0.07546,1647784.20000
1820,1.59684,0.92177,0.58377,0.07579,1503234.60000
1830,1.60244,0.92780,0.58369,0.07556,1460679.30000
1840,1.59943,0.92474,0.58326,0.07596,1406943.60000
1850,1.60622,0.93236,0.58300,0.07556,1341595.20000
1860,1.60906,0.93557,0.58249,0.07584,1311148.80000
1870,1.60366,0.92980,0.58286,0.07552,1309605.60000
1880,1.59249,0.91899,0.58265,0.07568,1306084.20000
1890,1.57856,0.90470,0.58280,0.07595,1304079.60000
1900,1.55515,0.88141,0.58280,0.07589,1300487.40000
1910,1.54047,0.86734,0.58249,0.07544,1297519.80000
1920,1.53457,0.86153,0.58263,0.07563,1299405.60000
1930,1.52158,0.84800,0.58274,0.07565,1297942.80000
1940,1.50556,0.83129,0.58316,0.07563,1287316.50000
