frame,total,visibility,gbuffer,lighting,tonemap,index_count
0,0.83722,0.29893,0.15165,0.32202,0.04860,3536859.00000
10,0.83890,0.30119,0.15118,0.32201,0.04882,3540107.40000
20,0.83858,0.30174,0.15052,0.32181,0.04894,3548178.90000
30,0.83992,0.30281,0.15026,0.32178,0.04916,3560138.40000
40,0.84279,0.30444,0.15028,0.32200,0.04970,3566700.00000
50,0.84646,0.30813,0.15077,0.32204,0.04935,3568304.40000
60,0.84635,0.30592,0.15050,0.32211,0.04998,3569021.40000
70,1.23885,0.35669,0.23050,0.57006,0.06083,3569286.00000
80,1.23434,0.35304,0.23053,0.56973,0.06094,3569286.00000
90,1.31451,0.38620,0.24779,0.58409,0.07068,3629594.40000
100,1.41231,0.45405,0.27039,0.59028,0.07506,3798228.60000
110,1.44529,0.47727,0.28250,0.58936,0.07436,3842249.40000
120,1.49759,0.52264,0.28662,0.59052,0.07422,4073211.00000
130,1.49818,0.52628,0.28594,0.58989,0.07458,4046843.40000
140,1.36038,0.40499,0.27128,0.58941,0.07428,2686896.90000
150,1.15582,0.21855,0.25484,0.58910,0.07470,822589.80000
160,1.14908,0.21021,0.25633,0.58966,0.07424,645418.20000
170,1.14992,0.20965,0.25741,0.58947,0.07479,781088.70000
180,1.21198,0.26839,0.25894,0.59025,0.07453,1648105.80000
190,1.23336,0.29264,0.25710,0.58983,0.07368,1785513.90000
200,1.22036,0.27205,0.26460,0.58956,0.07485,1612006.50000
210,1.21403,0.26287,0.26666,0.58972,0.07441,1547567.40000
220,1.23067,0.27916,0.26717,0.58994,0.07479,1904816.70000
230,1.24178,0.28889,0.26836,0.59006,0.07500,2062156.20000
240,1.25276,0.29153,0.27549,0.59060,0.07448,2118916.80000
250,1.30542,0.33094,0.28814,0.59152,0.07472,2638450.50000
260,1.35986,0.38210,0.29108,0.59142,0.07503,3143778.30000
270,1.36994,0.39550,0.28824,0.59116,0.07480,3176709.60000
280,1.38060,0.40698,0.28639,0.59138,0.07548,3195139.80000
290,1.39010,0.41550,0.28759,0.59154,0.07486,3196378.80000
300,1.39790,0.42175,0.28927,0.59148,0.07510,3191899.20000
310,1.39790,0.42179,0.28959,0.59141,0.07494,3189861.60000
320,1.40785,0.42815,0.29236,0.59173,0.07463,3188157.60000
330,1.42172,0.43801,0.29601,0.59209,0.07508,3183397.20000
340,1.42763,0.44356,0.29606,0.59206,0.07528,3251785.50000
350,1.42791,0.44352,0.29690,0.59196,0.07494,3262454.70000
360,1.42155,0.43800,0.29578,0.59214,0.07520,3240558.60000
370,1.42388,0.44018,0.29566,0.59204,0.07551,3240268.80000
380,1.42553,0.44302,0.29368,0.59244,0.07542,3222061.50000
390,1.42137,0.44110,0.29275,0.59191,0.07507,3185881.80000
400,1.42148,0.43950,0.29389,0.59212,0.07484,3157816.80000
410,1.42272,0.44195,0.29302,0.59209,0.07465,3138618.60000
420,1.41640,0.43863,0.29081,0.59198,0.07481,3087039.60000
