frame,total,geometry,lighting,tonemap,index_count
0,2.84309,2.10684,0.33114,0.03459,17931717.00000
10,4.85305,3.96567,0.34980,0.05592,17940177.00000
20,3.12061,2.51946,0.33285,0.03515,17986160.40000
30,3.10766,2.34323,0.33318,0.03543,18170094.00000
40,3.92620,3.40854,0.33806,0.04751,18170094.00000
50,4.49667,4.01893,0.34232,0.05079,18716446.20000
60,3.29132,2.68884,0.33099,0.03772,18906516.60000
70,3.86811,2.95812,0.56694,0.05048,19051796.40000
80,3.89091,2.96189,0.57185,0.05070,18850750.80000
90,3.83722,2.95092,0.57214,0.05073,18739156.20000
100,4.72037,3.80019,0.57868,0.06173,18457423.80000
110,5.77518,4.68023,0.59234,0.07293,17516160.90000
120,6.10848,5.11934,0.59037,0.07337,17143517.70000
130,5.85787,4.62864,0.59288,0.07272,16902197.10000
140,5.64316,4.49899,0.59227,0.07257,16866818.40000
150,5.68385,4.62289,0.59372,0.07284,16902025.20000
160,5.85394,4.69902,0.59503,0.07250,13710806.10000
170,5.21736,4.16866,0.59202,0.07329,1952126.40000
180,4.91885,3.74576,0.59421,0.07389,2341795.20000
190,5.18187,4.21184,0.59380,0.07362,2107644.90000
200,4.77203,3.72492,0.59328,0.07272,1419058.80000
210,4.98110,3.77550,0.59430,0.07296,807861.60000
220,4.42013,3.33793,0.59388,0.07272,643874.40000
230,3.84942,2.82728,0.59328,0.07242,684394.20000
240,4.41774,3.22465,0.59333,0.07290,1542489.30000
250,4.83284,3.64949,0.59225,0.07322,1712182.50000
260,4.60174,3.60455,0.59187,0.07300,1672847.40000
270,4.58101,3.66251,0.58982,0.07335,1599087.60000
280,4.52758,3.52839,0.59024,0.07339,1561190.10000
290,4.37540,3.27388,0.59139,0.07303,1296197.40000
300,3.91822,2.92489,0.58991,0.07310,1175449.20000
310,4.09237,3.05832,0.58828,0.07209,912259.20000
320,4.20039,3.19434,0.58840,0.07242,897765.00000
330,4.11761,3.20942,0.58739,0.07212,897779.40000
340,4.68216,3.67151,0.58798,0.07324,894099.90000
350,4.19183,3.21199,0.58788,0.07383,879486.00000
360,4.13640,3.04938,0.58955,0.07332,846745.80000
370,4.53671,3.49945,0.59075,0.07358,793391.40000
380,4.41601,3.36089,0.59146,0.07387,792712.20000
390,4.07361,2.86500,0.59191,0.07374,565609.80000
400,3.38681,2.35987,0.59150,0.07320,383192.10000
410,3.75822,2.75279,0.59008,0.07353,528333.90000
420,4.81902,3.65471,0.59317,0.07361,794159.10000
430,4.42138,3.35944,0.59094,0.07415,728275.20000
440,4.22301,3.06880,0.59262,0.07342,552941.10000
450,3.81532,2.67881,0.59145,0.07354,412048.20000
460,3.50029,2.42821,0.59122,0.07334,350868.00000
470,3.39198,2.27148,0.59266,0.07349,350868.00000
480,3.17156,2.10482,0.59214,0.07291,338481.60000
490,2.99701,1.94416,0.62988,0.07302,321642.00000
500,3.02101,1.98253,0.59141,0.07270,333708.90000
510,3.21887,2.26484,0.59054,0.07316,339267.00000
520,3.31304,2.19600,0.59226,0.07280,339351.00000
530,3.08145,2.04292,0.59182,0.07262,339141.00000
540,3.03815,2.02521,0.59205,0.07247,339351.00000
550,3.46835,2.44334,0.59123,0.07271,474632.40000
560,3.22579,2.14347,0.59109,0.07318,541706.70000
570,2.92854,1.91781,0.72292,0.07309,300708.60000
580,3.32705,2.36056,0.58752,0.07456,161673.00000
590,4.02888,2.91716,0.59220,0.07502,548954.40000
600,5.40328,4.41249,0.58914,0.07541,11588695.20000
610,6.10816,5.38587,0.58618,0.07328,19725067.20000
620,6.44446,5.77167,0.58465,0.07356,20666283.30000
630,7.57055,6.81205,0.58560,0.07437,20582339.40000
640,6.00073,5.10989,0.57743,0.06000,20465119.80000
650,4.67309,3.97049,0.57172,0.05114,20652440.10000
660,4.87976,4.24252,0.57140,0.05131,21682819.20000
670,4.52308,3.88571,0.57136,0.05126,21738046.50000
680,4.28795,3.62296,0.57164,0.05146,22076160.30000
690,4.42834,3.75498,0.57148,0.05134,22304887.50000
700,4.46518,3.82821,0.57128,0.05106,22638279.60000
710,4.63078,3.94444,0.57113,0.05082,22789707.90000
720,4.44188,3.80531,0.57120,0.05077,22262677.50000
730,4.29723,3.60572,0.57074,0.05006,22018467.60000
740,4.39089,3.75641,0.57064,0.04926,21917088.00000
750,5.96261,5.29739,0.58117,0.06902,21721687.50000
760,6.67316,5.91038,0.58439,0.07340,21997890.60000
770,6.48023,5.81896,0.57964,0.06638,22372524.30000
780,5.12248,4.45382,0.57142,0.05135,22483451.70000
790,5.25662,4.61899,0.57144,0.05142,21911430.00000
800,5.28256,4.62559,0.56633,0.04969,21860065.50000
810,4.39120,4.01999,0.32185,0.03896,21923927.40000
820,5.08145,4.44951,0.56618,0.05085,21883085.70000
830,7.19165,6.52795,0.57736,0.07128,22118946.30000
840,6.34516,5.70000,0.57074,0.05922,22337041.20000
850,5.28831,4.65743,0.56583,0.05058,22345001.40000
860,5.48548,4.85454,0.56578,0.05016,22435253.70000
870,5.07413,4.44288,0.56586,0.05027,23038737.90000
880,3.95138,3.32000,0.56608,0.05024,23595925.20000
890,4.31120,3.67149,0.57113,0.05249,23847405.60000
900,4.88777,4.24839,0.57175,0.05261,23450232.60000
910,5.88005,5.24028,0.57186,0.05286,23663481.30000
920,5.72276,5.08468,0.57141,0.05178,23387766.90000
930,5.60447,4.96648,0.57134,0.05178,22808571.60000
940,5.65806,5.02001,0.57146,0.05202,22669159.20000
950,5.61365,4.97474,0.57175,0.05237,22675995.60000
960,5.47556,4.83686,0.57181,0.05233,22710366.60000
970,5.41444,4.77506,0.57209,0.05242,22421611.80000
980,4.86018,4.22132,0.57172,0.05245,21648012.30000
990,4.60900,3.96630,0.57156,0.05113,21358438.20000
1000,4.61069,3.97540,0.57099,0.04996,20832129.90000
1010,4.50166,3.86627,0.57102,0.04995,20399097.30000
1020,4.30160,3.66595,0.57105,0.05036,20261161.20000
1030,4.16114,3.52499,0.57101,0.05044,20050881.60000
1040,3.96277,3.32170,0.57120,0.05054,20010486.60000
1050,3.93868,3.30237,0.57115,0.05102,20314063.20000
1060,4.03760,3.40081,0.57135,0.05123,21039028.50000
1070,4.44507,3.80753,0.57136,0.05146,21848523.00000
1080,4.38605,3.74878,0.57144,0.05136,20805311.70000
1090,3.97348,3.33706,0.57137,0.05086,19459068.00000
1100,4.23850,3.60250,0.57122,0.05059,19238143.80000
1110,4.25946,3.61844,0.57114,0.05061,19026399.00000
1120,4.21089,3.54725,0.57119,0.05095,18822052.80000
1130,4.14232,3.50635,0.57116,0.05071,18694563.30000
1140,3.35443,2.69287,0.57106,0.04963,5389947.60000
1150,3.63806,2.97417,0.57664,0.05784,1301457.60000
1160,5.09128,4.41926,0.58531,0.07203,8054462.10000
1170,6.58543,5.84392,0.58362,0.07181,18352998.60000
1180,6.44743,5.67007,0.58402,0.07209,18247214.40000
1190,4.59772,3.95806,0.57231,0.05318,18177996.90000
1200,4.56599,3.61362,0.57150,0.04999,18110781.30000
1210,4.40437,3.59253,0.57129,0.05021,18034769.10000
1220,4.30937,3.35948,0.57170,0.05026,17600804.40000
1230,4.14732,3.42739,0.57106,0.05006,17953003.80000
1240,4.02799,3.39318,0.57081,0.05012,18440531.10000
1250,4.04727,3.37186,0.57089,0.05054,18571515.30000
1260,4.06952,3.41190,0.57128,0.05164,17955660.60000
1270,3.88994,3.05394,0.57158,0.05155,17176931.70000
1280,3.67132,2.76476,0.57181,0.05128,16633705.50000
1290,2.18940,1.55085,0.57066,0.04930,16363025.70000
1300,2.83721,2.10282,0.58479,0.07398,16233924.60000
1310,3.20661,2.53344,0.58435,0.07465,16418315.40000
1320,3.25904,2.55246,0.58446,0.07430,15956200.20000
1330,3.10043,2.43281,0.58221,0.07157,15627214.20000
1340,3.51727,2.81022,0.58227,0.07062,15891296.10000
1350,4.88889,4.17824,0.58430,0.07337,16763058.90000
1360,6.49298,5.82023,0.58461,0.07370,18137182.80000
1370,7.84457,7.17262,0.58407,0.07296,19776716.10000
1380,6.21772,5.56782,0.57620,0.05934,20313801.00000
1390,5.30446,4.66701,0.57142,0.05155,20898246.00000
1400,5.42068,4.78225,0.57164,0.05234,21234892.80000
1410,5.13402,4.49960,0.56992,0.05020,19659505.50000
1420,4.72566,4.05778,0.56851,0.04756,19679481.90000
1430,5.52456,4.89034,0.57004,0.04969,21293239.50000
1440,5.45089,4.81735,0.56984,0.04912,21575512.20000
1450,5.40296,4.77158,0.56774,0.04915,22041442.20000
1460,5.60475,4.97578,0.56474,0.04974,22658125.50000
1470,5.54416,4.91479,0.56501,0.04994,23017506.30000
1480,5.64820,5.01851,0.56500,0.04998,23363749.80000
1490,5.84358,5.21267,0.56550,0.05045,23775677.40000
1500,5.95582,5.32466,0.56558,0.05034,24093736.20000
1510,6.22193,5.59127,0.56546,0.05018,24350039.10000
1520,6.00728,5.37674,0.56535,0.04991,24492098.70000
1530,5.63511,5.00700,0.56444,0.04856,24291856.20000
1540,5.34070,4.71424,0.56365,0.04768,24262731.60000
1550,5.23353,4.60644,0.56363,0.04816,24549714.90000
1560,5.31733,4.69067,0.56381,0.04768,24916865.10000
1570,5.13184,4.50546,0.56380,0.04724,25179599.40000
1580,4.99186,4.36508,0.56397,0.04768,25368188.40000
