frame,total,visibility,gbuffer,lighting,tonemap,index_count
0,3.75282,0.82698,2.19382,0.35162,0.05418,17931717.00000
10,4.02958,0.83424,2.37969,0.35329,0.05448,17940177.00000
20,4.10572,0.83446,2.54121,0.35474,0.05576,17986160.40000
30,4.15674,0.84420,2.59400,0.35684,0.05676,18170094.00000
40,4.15262,0.85497,2.73072,0.35172,0.05840,18170094.00000
50,4.21057,0.88059,2.77150,0.35315,0.05930,18716446.20000
60,4.70565,0.91793,3.21367,0.38656,0.06412,18906516.60000
70,5.47169,1.05833,3.56860,0.58666,0.07481,19051796.40000
80,5.74065,1.04117,3.85032,0.58556,0.07418,18850750.80000
90,5.00891,1.02910,3.16962,0.58690,0.07457,18739156.20000
100,4.13915,1.01057,2.29080,0.58753,0.07399,18457423.80000
110,4.36096,0.95208,2.53216,0.58811,0.07425,17516160.90000
120,4.15485,0.93024,2.37985,0.58812,0.07414,17143517.70000
130,3.91266,0.91691,2.19240,0.62105,0.07478,16902197.10000
140,3.57296,0.91298,1.89321,0.58807,0.07412,16866818.40000
150,3.80969,0.91190,2.10229,0.58839,0.07369,16902025.20000
160,3.98008,0.90299,2.33629,0.58786,0.07362,13710806.10000
170,3.87419,0.22370,2.85234,0.58486,0.07385,1952126.40000
180,4.25002,0.25554,2.98671,0.58856,0.07411,2341795.20000
190,3.78601,0.23536,2.71157,0.58610,0.07457,2107644.90000
200,3.08740,0.19860,2.01104,0.58792,0.07494,1419058.80000
210,2.91916,0.17809,1.77928,0.63084,0.07457,807861.60000
220,2.47142,0.16932,1.51622,0.68292,0.07531,643874.40000
230,2.12928,0.16254,1.25669,0.58857,0.07379,684394.20000
240,2.52725,0.20818,1.41972,0.78683,0.07559,1542489.30000
250,2.90779,0.21287,1.92589,0.58890,0.07520,1712182.50000
260,2.85299,0.21680,1.75712,0.65545,0.07580,1672847.40000
270,2.37693,0.21844,1.36334,0.69962,0.07513,1599087.60000
280,2.70836,0.21911,1.74205,0.62918,0.07505,1561190.10000
290,2.70783,0.20154,1.58651,0.83220,0.07594,1296197.40000
300,2.05548,0.20212,1.15015,0.58612,0.07425,1175449.20000
310,1.88829,0.19329,1.01731,0.58533,0.07322,912259.20000
320,1.89826,0.19276,1.02954,0.58376,0.07308,897765.00000
330,2.04066,0.19414,1.11000,0.58417,0.07324,897779.40000
340,2.47874,0.19702,1.48528,0.69648,0.07526,894099.90000
350,2.65586,0.18626,1.69476,0.68434,0.07510,879486.00000
360,2.88560,0.17816,1.81881,0.61487,0.07456,846745.80000
370,3.30311,0.16407,2.37361,0.58753,0.07487,793391.40000
380,3.48552,0.15534,2.42181,0.58773,0.07488,792712.20000
390,3.04456,0.13734,1.93724,0.66359,0.07525,565609.80000
400,2.13264,0.12811,1.27800,0.61350,0.07601,383192.10000
410,2.61974,0.13532,1.58708,0.69832,0.07559,528333.90000
