frame,total,visibility,gbuffer,lighting,tonemap,index_count
0,3.05315,0.18750,2.22170,0.34487,0.05362,2735043.00000
10,3.23426,0.19011,2.47306,0.34584,0.05406,2743503.00000
20,3.35022,0.19682,2.63808,0.34504,0.05529,2789486.40000
30,3.50592,0.20696,2.68511,0.35011,0.05676,2973420.00000
40,3.48261,0.20817,2.72395,0.35096,0.05785,2973420.00000
50,3.46598,0.22738,2.77188,0.35153,0.05930,3519772.20000
60,4.02771,0.24437,3.23944,0.35983,0.06280,3709842.60000
70,4.46507,0.25856,3.52234,0.36552,0.06458,3855122.40000
80,4.59389,0.25498,3.75102,0.36049,0.06403,3654076.80000
90,3.92142,0.25594,3.09241,0.36184,0.06363,3542482.20000
100,3.13816,0.23577,2.32382,0.36365,0.06330,3260749.80000
110,3.44317,0.19576,2.63564,0.36216,0.06506,2319486.90000
120,3.11704,0.16873,2.46208,0.35956,0.06546,1946843.70000
130,3.02901,0.15196,2.24722,0.36419,0.06490,1705523.10000
140,2.60942,0.14990,1.95838,0.36014,0.06428,1670144.40000
150,2.83215,0.15401,2.14385,0.36213,0.06351,1705351.20000
160,3.16560,0.15274,2.38632,0.36334,0.06388,1601443.50000
170,3.54469,0.16996,2.82281,0.35955,0.06366,1952126.40000
180,3.78653,0.19628,2.97498,0.36311,0.06400,2341795.20000
190,3.52361,0.18082,2.69290,0.36393,0.06313,2107644.90000
200,2.69501,0.14742,1.99640,0.36188,0.06309,1419058.80000
210,2.51100,0.10892,1.77182,0.44125,0.06335,807861.60000
220,2.16335,0.10353,1.51152,0.41506,0.06354,643874.40000
230,1.82335,0.10056,1.24885,0.36168,0.06135,684394.20000
240,2.11446,0.14487,1.40079,0.38691,0.06220,1542489.30000
250,2.67986,0.15844,1.92272,0.36478,0.06340,1712182.50000
260,2.47804,0.16161,1.73964,0.36508,0.06330,1672847.40000
270,2.04346,0.15754,1.35722,0.40842,0.06455,1599087.60000
280,2.39689,0.15362,1.73743,0.36244,0.06297,1561190.10000
290,2.32825,0.14426,1.57341,0.49087,0.06562,1296197.40000
300,1.72728,0.13878,1.13332,0.35892,0.06236,1175449.20000
310,1.62156,0.12946,0.99501,0.37755,0.06198,912259.20000
320,1.59959,0.12819,1.00625,0.35716,0.06260,897765.00000
330,1.65588,0.12417,1.08126,0.35662,0.06265,897779.40000
340,2.11319,0.12349,1.45482,0.43402,0.06484,894099.90000
350,2.33360,0.11988,1.66496,0.43933,0.06540,879486.00000
360,2.54659,0.11834,1.80343,0.41989,0.06379,846745.80000
370,3.01883,0.11155,2.37420,0.36400,0.06427,793391.40000
380,3.01280,0.10328,2.43887,0.36161,0.06384,792712.20000
390,2.61244,0.09200,1.92108,0.41165,0.06514,565609.80000
400,1.83682,0.07750,1.26753,0.35977,0.06500,383192.10000
410,2.19331,0.08824,1.57240,0.40170,0.06586,528333.90000
420,3.34640,0.11207,2.57172,0.36584,0.06468,794159.10000
430,3.01808,0.10682,2.24268,0.36680,0.06368,728275.20000
440,2.76974,0.08954,2.04949,0.36703,0.06343,552941.10000
450,2.86328,0.07586,2.10245,0.36671,0.06326,412048.20000
460,2.66892,0.07217,1.92064,0.36580,0.06304,350868.00000
470,2.58854,0.07396,1.87864,0.39264,0.06271,350868.00000
480,2.51342,0.06892,1.82906,0.50799,0.06292,338481.60000
490,2.57160,0.06505,1.67759,0.74015,0.07391,321642.00000
500,2.62778,0.06824,1.72330,0.74912,0.06808,333708.90000
510,2.67396,0.06718,1.82995,0.69438,0.06251,339267.00000
520,2.52568,0.07098,1.76774,0.61203,0.06380,339351.00000
530,2.31906,0.06751,1.68036,0.48994,0.06557,339141.00000
540,2.54699,0.06806,1.66869,0.72402,0.07208,339351.00000
550,2.73369,0.07952,1.89000,0.43552,0.06312,474632.40000
560,2.36584,0.08934,1.64306,0.43077,0.06332,541706.70000
570,1.65566,0.07429,1.14580,0.35897,0.06224,300708.60000
580,1.74041,0.07040,1.23141,0.35866,0.06552,161673.00000
590,2.58615,0.08251,1.76246,0.46867,0.06839,548954.40000
