frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,908861,3870494,1313280,2557214,2.947196,10,174935,733926,1278627,3870494,1244014,0.756768
61,908861,3887967,1319040,2568927,2.947573,10,175599,733262,1283810,3887967,1247273,0.757115
62,908861,3907133,1326720,2580413,2.944957,10,176262,732599,1292076,3907133,1261171,0.755980
63,908861,3926040,1332480,2593560,2.946416,10,176567,732294,1296691,3926040,1260724,0.756934
64,908861,3945721,1338240,2607481,2.948440,10,177039,731822,1305364,3945721,1275735,0.755674
65,914501,3964352,1344000,2620352,2.949667,10,177539,736962,1309853,3964352,1275060,0.756641
66,914501,3985297,1351680,2633617,2.948403,11,178439,736062,1317683,3985297,1285435,0.756118
67,914501,4001788,1357440,2644348,2.948040,10,178790,735711,1323603,4001788,1292624,0.755851
68,914501,4021449,1363200,2658249,2.950007,10,179429,735072,1328911,4021449,1294195,0.756531
69,914501,4043509,1370880,2672629,2.949572,10,180013,734488,1335637,4043509,1299039,0.756850
70,914501,4062527,1376640,2685887,2.951045,10,180266,734235,1342937,4062527,1309221,0.756277
71,914501,4080993,1382400,2698593,2.952107,10,181235,733266,1347357,4080993,1308435,0.757222
72,914501,4100957,1390080,2710877,2.950159,10,181502,732999,1355141,4100957,1319607,0.756555
73,914501,4120444,1395840,2724604,2.951946,10,182318,732183,1361170,4120444,1324236,0.756784
74,914501,4139526,1401600,2737926,2.953429,10,182819,731682,1367864,4139526,1331930,0.756568
75,914501,4158551,1407360,2751191,2.954859,10,183151,731350,1372966,4158551,1333313,0.757220
76,914501,4179294,1415040,2764254,2.953481,10,183996,730505,1381024,4179294,1344802,0.756557
77,914501,4197834,1421142,2776692,2.953846,10,184447,730054,1386095,4197834,1346546,0.757133
78,914501,4214338,1427736,2786602,2.951763,10,185294,729207,1391382,4214338,1351190,0.757222
79,914501,4239067,1436297,2802770,2.951386,10,185790,728711,1401425,4239067,1366633,0.756207
80,914501,4257476,1443326,2814150,2.949767,10,186181,728320,1402804,4257476,1353740,0.758744
81,914501,4277018,1450480,2826538,2.948691,10,187021,727480,1412519,4277018,1373058,0.756984
82,914501,4295532,1457799,2837733,2.946587,10,187604,726897,1415707,4295532,1367296,0.758549
83,914501,4315191,1466997,2848194,2.941513,10,188101,726400,1423458,4315191,1378641,0.757871
84,914501,4334729,1474559,2860170,2.939678,10,188442,726059,1429878,4334729,1384783,0.757884
85,914501,4354463,1482289,2872174,2.937661,10,188730,725771,1432696,4354463,1376321,0.759837
86,914501,4375452,1491695,2883757,2.933208,10,189287,725214,1440977,4375452,1388456,0.759112
87,914501,4393863,1499597,2894266,2.930029,10,189941,724560,1445835,4393863,1389477,0.759745
88,991140,4412032,1507530,2904502,2.926663,10,190534,800606,1451574,4412032,1394264,0.759870
89,991140,4432208,1515622,2916586,2.924349,10,190971,800169,1459278,4432208,1404904,0.759315
90,991140,4454376,1525465,2928911,2.920012,10,191589,799551,1464806,4454376,1404848,0.760233
91,991140,4474669,1533835,2940834,2.917308,10,192601,798539,1473262,4474669,1418379,0.759313
92,991140,4494624,1542396,2952228,2.914053,10,193787,797353,1478276,4494624,1418480,0.760112
93,991140,4513482,1552480,2961002,2.907272,10,194230,796910,1488474,4513482,1440414,0.758072
94,991140,4532814,1561194,2971620,2.903428,10,194734,796406,1490587,4532814,1429534,0.760240
95,991140,4553677,1570066,2983611,2.900309,10,195466,795674,1496403,4553677,1431935,0.760770
96,991140,4572944,1578987,2993957,2.896125,10,195995,795145,1502505,4572944,1437076,0.760887
97,991140,4594840,1589413,3005427,2.890904,10,197174,793966,1510500,4594840,1447160,0.760483
98,991140,4615103,1598499,3016604,2.887148,10,197540,793600,1517999,4615103,1456893,0.760064
99,991140,4635326,1607676,3027650,2.883246,10,198155,792985,1520271,4635326,1445758,0.762253
100,991140,4658480,1618210,3040270,2.878786,10,198845,792295,1529147,4658480,1458108,0.761614
101,991140,4677902,1627470,3050432,2.874340,10,198947,792193,1535798,4677902,1465290,0.761477
