scene,metric,metric_label,renderer,series,series_kind,pearson_r
sponza,triangle_count,Visible triangle count,Deferred,total,total,0.6219978193692366
sponza,triangle_count,Visible triangle count,Deferred,geometry,pass,0.692667027064002
sponza,triangle_count,Visible triangle count,Deferred,lighting,pass,-0.21813827113450737
sponza,triangle_count,Visible triangle count,Deferred,tonemap,pass,0.03790907854871427
sponza,triangle_count,Visible triangle count,Prepass,total,total,0.7218076470133239
sponza,triangle_count,Visible triangle count,Prepass,depth_prepass,pass,0.988919187143422
sponza,triangle_count,Visible triangle count,Prepass,geometry,pass,0.6225669334877609
sponza,triangle_count,Visible triangle count,Prepass,lighting,pass,-0.11650830597380483
sponza,triangle_count,Visible triangle count,Prepass,tonemap,pass,0.10149895612903191
sponza,triangle_count,Visible triangle count,VisBuf,total,total,0.6479456767422779
sponza,triangle_count,Visible triangle count,VisBuf,visibility,pass,0.9889302183852937
sponza,triangle_count,Visible triangle count,VisBuf,gbuffer,pass,0.5006962273112942
sponza,triangle_count,Visible triangle count,VisBuf,lighting,pass,-0.17402297563476735
sponza,triangle_count,Visible triangle count,VisBuf,tonemap,pass,0.014012701938842274
sponza,total_fragments,Total fragments,Deferred,total,total,0.6745027719535284
sponza,total_fragments,Total fragments,Deferred,geometry,pass,0.6576228220892554
sponza,total_fragments,Total fragments,Deferred,lighting,pass,-0.08664231691980301
sponza,total_fragments,Total fragments,Deferred,tonemap,pass,0.010267268881269788
sponza,total_fragments,Total fragments,Prepass,total,total,0.4549695088109764
sponza,total_fragments,Total fragments,Prepass,depth_prepass,pass,0.3347860162099773
sponza,total_fragments,Total fragments,Prepass,geometry,pass,0.37306473987718114
sponza,total_fragments,Total fragments,Prepass,lighting,pass,0.31823047659553144
sponza,total_fragments,Total fragments,Prepass,tonemap,pass,0.8120536396142458
sponza,total_fragments,Total fragments,VisBuf,total,total,0.5033462594919235
sponza,total_fragments,Total fragments,VisBuf,visibility,pass,0.42356220623586466
sponza,total_fragments,Total fragments,VisBuf,gbuffer,pass,0.4694757594521848
sponza,total_fragments,Total fragments,VisBuf,lighting,pass,0.18412416912885285
sponza,total_fragments,Total fragments,VisBuf,tonemap,pass,0.6886328841429654
sponza,covered_pixels,Covered pixels,Deferred,total,total,0.6068658650425983
sponza,covered_pixels,Covered pixels,Deferred,geometry,pass,0.5386957815050599
sponza,covered_pixels,Covered pixels,Deferred,lighting,pass,0.18704771684269522
sponza,covered_pixels,Covered pixels,Deferred,tonemap,pass,0.25883954642539214
sponza,covered_pixels,Covered pixels,Prepass,total,total,0.5154290420125844
sponza,covered_pixels,Covered pixels,Prepass,depth_prepass,pass,0.0757357809553914
sponza,covered_pixels,Covered pixels,Prepass,geometry,pass,0.5235612682683872
sponza,covered_pixels,Covered pixels,Prepass,lighting,pass,0.3357282417259596
sponza,covered_pixels,Covered pixels,Prepass,tonemap,pass,0.8996675464114284
sponza,covered_pixels,Covered pixels,VisBuf,total,total,0.5234856380193769
sponza,covered_pixels,Covered pixels,VisBuf,visibility,pass,0.14706558381267626
sponza,covered_pixels,Covered pixels,VisBuf,gbuffer,pass,0.5556269612074447
sponza,covered_pixels,Covered pixels,VisBuf,lighting,pass,0.4085120492331241
sponza,covered_pixels,Covered pixels,VisBuf,tonemap,pass,0.7967861328431014
sponza,overdraw_extra,Extra overdraw fragments,Deferred,total,total,0.6398241413965576
sponza,overdraw_extra,Extra overdraw fragments,Deferred,geometry,pass,0.6407597545948592
