quad,alu,winner_variant,winner_renderer,winner_time_ms,second_best_time_ms,winner_margin_second_over_best,variant_1_Forward_time_ms,variant_1_time_over_fastest,variant_2_ForwardPrepass_time_ms,variant_2_time_over_fastest,variant_4_VisBuf_time_ms,variant_4_time_over_fastest
8,0,1,Forward,0.9299,0.95014,1.0217657812668028,0.9299,1.0,1.8726,2.013764920959243,0.95014,1.0217657812668028
8,1,1,Forward,0.9414,0.96882,1.0291268323773104,0.9414,1.0,1.87987,1.9968876141916294,0.96882,1.0291268323773104
8,2,1,Forward,0.94973,0.97534,1.0269655586324535,0.94973,1.0,1.88752,1.9874280058542957,0.97534,1.0269655586324535
8,4,1,Forward,0.96622,0.99287,1.0275817101695266,0.96622,1.0,1.89946,1.965866986814597,0.99287,1.0275817101695266
8,8,1,Forward,1.00456,1.03558,1.0308791908895438,1.00456,1.0,1.93584,1.9270526399617744,1.03558,1.0308791908895438
8,16,1,Forward,1.07204,1.11538,1.0404275959852243,1.07204,1.0,1.98924,1.8555650908548185,1.11538,1.0404275959852243
8,32,1,Forward,1.20697,1.27139,1.0533733232806117,1.20697,1.0,2.11907,1.755694010621639,1.27139,1.0533733232806117
8,64,1,Forward,1.49031,1.58037,1.0604303802564568,1.49031,1.0,2.40571,1.6142346223268984,1.58037,1.0604303802564568
8,96,1,Forward,1.78263,1.89965,1.0656445813208575,1.78263,1.0,2.69834,1.5136848364495157,1.89965,1.0656445813208575
8,128,1,Forward,2.08071,2.2235,1.0686256133723586,2.08071,1.0,2.99103,1.4375045056735443,2.2235,1.0686256133723586
8,192,1,Forward,2.66652,2.84023,1.0651448329658133,2.66652,1.0,3.58442,1.3442314327288003,2.84023,1.0651448329658133
12,0,1,Forward,0.4929,0.51757,1.0500507202272265,0.4929,1.0,0.98692,2.0022722661797525,0.51757,1.0500507202272265
12,1,1,Forward,0.50433,0.53061,1.052108738326096,0.50433,1.0,0.99529,1.9734895802351637,0.53061,1.052108738326096
12,2,1,Forward,0.51288,0.53832,1.0496022461394479,0.51288,1.0,1.00223,1.9541218218686631,0.53832,1.0496022461394479
12,4,1,Forward,0.52966,0.55794,1.0533927425140657,0.52966,1.0,1.01592,1.9180606426764337,0.55794,1.0533927425140657
12,8,1,Forward,0.56443,0.59424,1.052814343674149,0.56443,1.0,1.04408,1.8497953687791222,0.59424,1.052814343674149
12,16,1,Forward,0.63293,0.67402,1.0649202913434344,0.63293,1.0,1.10874,1.7517576983236693,0.67402,1.0649202913434344
12,32,1,Forward,0.77666,0.82801,1.0661164473514795,0.77666,1.0,1.25452,1.615275667602297,0.82801,1.0661164473514795
12,64,1,Forward,1.07471,1.13991,1.060667528914777,1.07471,1.0,1.55275,1.4448083669082823,1.13991,1.060667528914777
12,96,1,Forward,1.37328,1.45847,1.0620339624839799,1.37328,1.0,1.85135,1.3481227426307818,1.45847,1.0620339624839799
12,128,1,Forward,1.67234,1.77241,1.0598383103914277,1.67234,1.0,2.1514,1.286460887140175,1.77241,1.0598383103914277
12,192,1,Forward,2.2827,2.39713,1.050129232925921,2.2827,1.0,2.77881,1.2173347351820212,2.39713,1.050129232925921
16,0,1,Forward,0.32797,0.35109,1.0704942525230967,0.32797,1.0,0.65265,1.9899685946885386,0.35109,1.0704942525230967
16,1,1,Forward,0.33888,0.36637,1.0811201605288006,0.33888,1.0,0.66118,1.9510741265344664,0.36637,1.0811201605288006
16,2,1,Forward,0.34761,0.37273,1.0722648945657491,0.34761,1.0,0.66826,1.922441816978798,0.37273,1.0722648945657491
16,4,1,Forward,0.36506,0.39345,1.0777680381307184,0.36506,1.0,0.68224,1.8688434777844738,0.39345,1.0777680381307184
16,8,1,Forward,0.40155,0.43146,1.0744863653343295,0.40155,1.0,0.71425,1.7787324119038725,0.43146,1.0744863653343295
16,16,1,Forward,0.47341,0.51112,1.0796561120381911,0.47341,1.0,0.7912,1.6712785957204115,0.51112,1.0796561120381911
16,32,1,Forward,0.62571,0.67057,1.0716945549855363,0.62571,1.0,0.94339,1.5077112400313244,0.67057,1.0716945549855363
16,64,1,Forward,0.93053,0.97859,1.0516479855566183,0.93053,1.0,1.24799,1.341160413957637,0.97859,1.0516479855566183
16,96,1,Forward,1.2353,1.29924,1.0517607059014005,1.2353,1.0,1.55647,1.2599935238403626,1.29924,1.0517607059014005
16,128,1,Forward,1.54927,1.60465,1.0357458674085214,1.54927,1.0,1.87734,1.2117577956069634,1.60465,1.0357458674085214
16,192,1,Forward,2.19248,2.22712,1.0157994599722688,2.19248,1.0,2.52008,1.1494198350726117,2.22712,1.0157994599722688
24,0,1,Forward,0.21564,0.24124,1.118716379150436,0.21564,1.0,0.43491,2.016833611574847,0.24124,1.118716379150436
24,1,1,Forward,0.22956,0.25727,1.1207091827844573,0.22956,1.0,0.44154,1.9234187140616832,0.25727,1.1207091827844573
24,2,1,Forward,0.23867,0.26399,1.1060879038002263,0.23867,1.0,0.44886,1.880672057652826,0.26399,1.1060879038002263
24,4,1,Forward,0.25662,0.28361,1.1051749668770943,0.25662,1.0,0.46613,1.816421167484997,0.28361,1.1051749668770943
24,8,1,Forward,0.29425,0.32218,1.0949192863211554,0.29425,1.0,0.50523,1.7170093457943922,0.32218,1.0949192863211554
24,16,1,Forward,0.37697,0.40344,1.0702177892139957,0.37697,1.0,0.58373,1.548478658779213,0.40344,1.0702177892139957
24,32,1,Forward,0.532,0.56148,1.0554135338345865,0.532,1.0,0.74371,1.3979511278195487,0.56148,1.0554135338345865
24,64,1,Forward,0.8474,0.87267,1.0298206278026905,0.8474,1.0,1.05929,1.2500472032098182,0.87267,1.0298206278026905
24,96,1,Forward,1.17538,1.18511,1.0082781738671749,1.17538,1.0,1.39376,1.185795232180231,1.18511,1.0082781738671749
24,128,4,VisBuf,1.49845,1.50758,1.0060929627281523,1.50758,1.0060929627281523,1.7252,1.151323033801595,1.49845,1.0
24,192,4,VisBuf,2.12584,2.1722,1.0218078500733827,2.1722,1.0218078500733827,2.38901,1.1237957701426258,2.12584,1.0
32,0,1,Forward,0.14272,0.16831,1.1793021300448427,0.14272,1.0,0.282,1.9758968609865466,0.16831,1.1793021300448427
32,1,1,Forward,0.15702,0.18431,1.1737995159852248,0.15702,1.0,0.29376,1.8708444784103937,0.18431,1.1737995159852248
32,2,1,Forward,0.16656,0.191,1.1467339097022093,0.16656,1.0,0.30296,1.818924111431316,0.191,1.1467339097022093
32,4,1,Forward,0.18536,0.21056,1.13595166163142,0.18536,1.0,0.32225,1.7385088476478203,0.21056,1.13595166163142
32,8,1,Forward,0.22611,0.24806,1.0970766441112734,0.22611,1.0,0.36361,1.608111096369024,0.24806,1.0970766441112734
32,16,1,Forward,0.30923,0.33007,1.0673932024706527,0.30923,1.0,0.44545,1.4405135336157553,0.33007,1.0673932024706527
32,32,1,Forward,0.47297,0.48704,1.0297481869886038,0.47297,1.0,0.61053,1.2908429710129607,0.48704,1.0297481869886038
32,64,4,VisBuf,0.80189,0.81214,1.0127823018119693,0.81214,1.0127823018119693,0.95245,1.1877564254448865,0.80189,1.0
32,96,4,VisBuf,1.11079,1.15846,1.0429154025513374,1.15846,1.0429154025513374,1.29822,1.1687357646359797,1.11079,1.0
32,128,4,VisBuf,1.42737,1.50503,1.0544077569235728,1.50503,1.0544077569235728,1.64451,1.1521259379137854,1.42737,1.0
32,192,4,VisBuf,2.04213,2.21196,1.083163167868843,2.21196,1.083163167868843,2.3363,1.144050574645101,2.04213,1.0
48,0,1,Forward,0.07811,0.10485,1.342337728843938,0.07811,1.0,0.14955,1.9146076046600946,0.10485,1.342337728843938
48,1,1,Forward,0.0937,0.12064,1.287513340448239,0.0937,1.0,0.16456,1.7562433297758806,0.12064,1.287513340448239
48,2,1,Forward,0.10388,0.12702,1.2227570273392374,0.10388,1.0,0.17517,1.6862726222564497,0.12702,1.2227570273392374
48,4,1,Forward,0.12536,0.14623,1.1664805360561583,0.12536,1.0,0.19642,1.566847479259732,0.14623,1.1664805360561583
48,8,1,Forward,0.1696,0.18435,1.0869693396226416,0.1696,1.0,0.23922,1.410495283018868,0.18435,1.0869693396226416
48,16,1,Forward,0.25758,0.26572,1.031601832440407,0.25758,1.0,0.32525,1.262714496467117,0.26572,1.031601832440407
48,32,4,VisBuf,0.42368,0.43722,1.031958081570997,0.43722,1.031958081570997,0.50152,1.1837235649546827,0.42368,1.0
48,64,4,VisBuf,0.73611,0.80634,1.0954069364633001,0.80634,1.0954069364633001,0.86035,1.168779122685468,0.73611,1.0
48,96,4,VisBuf,1.04685,1.17565,1.1230357739886325,1.17565,1.1230357739886325,1.21901,1.1644552705736255,1.04685,1.0
48,128,4,VisBuf,1.36184,1.5581,1.1441138459730953,1.5581,1.1441138459730953,1.58963,1.167266345532515,1.36184,1.0
48,192,4,VisBuf,1.99682,2.35015,1.1769463446880541,2.35015,1.1769463446880541,2.36147,1.1826153584198877,1.99682,1.0
64,0,1,Forward,0.06072,0.08787,1.4471343873517786,0.06072,1.0,0.11329,1.8657773386034255,0.08787,1.4471343873517786
64,1,1,Forward,0.0765,0.1035,1.352941176470588,0.0765,1.0,0.12907,1.68718954248366,0.1035,1.352941176470588
64,2,1,Forward,0.08722,0.11059,1.2679431323091033,0.08722,1.0,0.13986,1.6035313001605136,0.11059,1.2679431323091033
64,4,1,Forward,0.10948,0.1296,1.1837778589696748,0.10948,1.0,0.16201,1.4798136645962732,0.1296,1.1837778589696748
64,8,1,Forward,0.15621,0.16776,1.0739389283656617,0.15621,1.0,0.20645,1.3216183342935792,0.16776,1.0739389283656617
64,16,1,Forward,0.24879,0.24901,1.0008842799147875,0.24879,1.0,0.29494,1.1854978093974837,0.24901,1.0008842799147875
64,32,4,VisBuf,0.40695,0.44198,1.0860793709300898,0.44198,1.0860793709300898,0.48084,1.181570217471434,0.40695,1.0
64,64,4,VisBuf,0.72202,0.83243,1.152918201711864,0.83243,1.152918201711864,0.85106,1.1787208110578655,0.72202,1.0
64,96,4,VisBuf,1.03197,1.23351,1.195296374894619,1.23384,1.195616151632315,1.23351,1.195296374894619,1.03197,1.0
64,128,4,VisBuf,1.34412,1.61991,1.205182572984555,1.64294,1.2223164598398952,1.61991,1.205182572984555,1.34412,1.0
64,192,4,VisBuf,1.98771,2.41589,1.215413717292764,2.47127,1.2432749244105026,2.41589,1.215413717292764,1.98771,1.0
96,0,1,Forward,0.04674,0.07386,1.5802310654685494,0.04674,1.0,0.08433,1.8042362002567396,0.07386,1.5802310654685494
96,1,1,Forward,0.06425,0.08963,1.3950194552529183,0.06425,1.0,0.10351,1.6110505836575877,0.08963,1.3950194552529183
96,2,1,Forward,0.07677,0.09627,1.2540054708870652,0.07677,1.0,0.11579,1.5082714602058096,0.09627,1.2540054708870652
96,4,1,Forward,0.10127,0.11557,1.141206675224647,0.10127,1.0,0.14064,1.3887627135380665,0.11557,1.141206675224647
96,8,1,Forward,0.1518,0.15351,1.0112648221343874,0.1518,1.0,0.19117,1.2593544137022399,0.15351,1.0112648221343874
96,16,4,VisBuf,0.23481,0.25234,1.0746561049359058,0.25234,1.0746561049359058,0.29435,1.2535667135130533,0.23481,1.0
96,32,4,VisBuf,0.39271,0.46408,1.181737159736192,0.46408,1.181737159736192,0.50825,1.2942120139543174,0.39271,1.0
96,64,4,VisBuf,0.70781,0.89543,1.2650711349090855,0.89543,1.2650711349090855,0.93634,1.3228691315466012,0.70781,1.0
96,96,4,VisBuf,1.01612,1.34654,1.3251781285674922,1.34654,1.3251781285674922,1.37393,1.3521336062669767,1.01612,1.0
