variant,renderer,quad,alu,repeat_count,pass_0_time_avg_ms,pass_1_time_avg_ms,pass_2_time_avg_ms,total_time_avg_ms
1,Forward,8.0,0.0,1,0.02594,0.0,0.0,0.02594
1,Forward,8.0,1.0,1,0.02971,0.0,0.0,0.02971
1,Forward,8.0,2.0,1,0.03889,0.0,0.0,0.03889
1,Forward,8.0,4.0,1,0.059,0.0,0.0,0.059
1,Forward,8.0,8.0,1,0.09955,0.0,0.0,0.09955
1,Forward,8.0,16.0,1,0.1804,0.0,0.0,0.1804
1,Forward,8.0,32.0,1,0.34349,0.0,0.0,0.34349
1,Forward,8.0,64.0,1,0.67146,0.0,0.0,0.67146
1,Forward,8.0,96.0,1,1.00074,0.0,0.0,1.00074
1,Forward,8.0,128.0,1,1.34108,0.0,0.0,1.34108
1,Forward,8.0,192.0,1,1.99807,0.0,0.0,1.99807
1,Forward,12.0,0.0,1,0.02232,0.0,0.0,0.02232
1,Forward,12.0,1.0,1,0.02932,0.0,0.0,0.02932
1,Forward,12.0,2.0,1,0.03884,0.0,0.0,0.03884
1,Forward,12.0,4.0,1,0.05938,0.0,0.0,0.05938
1,Forward,12.0,8.0,1,0.10099,0.0,0.0,0.10099
1,Forward,12.0,16.0,1,0.18334,0.0,0.0,0.18334
1,Forward,12.0,32.0,1,0.34899,0.0,0.0,0.34899
1,Forward,12.0,64.0,1,0.68046,0.0,0.0,0.68046
1,Forward,12.0,96.0,1,1.02256,0.0,0.0,1.02256
1,Forward,12.0,128.0,1,1.36168,0.0,0.0,1.36168
1,Forward,12.0,192.0,1,2.01602,0.0,0.0,2.01602
1,Forward,16.0,0.0,1,0.02194,0.0,0.0,0.02194
1,Forward,16.0,1.0,1,0.02995,0.0,0.0,0.02995
1,Forward,16.0,2.0,1,0.03967,0.0,0.0,0.03967
1,Forward,16.0,4.0,1,0.06073,0.0,0.0,0.06073
1,Forward,16.0,8.0,1,0.10275,0.0,0.0,0.10275
1,Forward,16.0,16.0,1,0.18796,0.0,0.0,0.18796
1,Forward,16.0,32.0,1,0.35579,0.0,0.0,0.35579
1,Forward,16.0,64.0,1,0.69326,0.0,0.0,0.69326
1,Forward,16.0,96.0,1,1.03441,0.0,0.0,1.03441
1,Forward,16.0,128.0,1,1.37008,0.0,0.0,1.37008
1,Forward,16.0,192.0,1,2.05891,0.0,0.0,2.05891
1,Forward,24.0,0.0,1,0.02021,0.0,0.0,0.02021
1,Forward,24.0,1.0,1,0.0298,0.0,0.0,0.0298
1,Forward,24.0,2.0,1,0.04031,0.0,0.0,0.04031
1,Forward,24.0,4.0,1,0.06212,0.0,0.0,0.06212
1,Forward,24.0,8.0,1,0.10544,0.0,0.0,0.10544
1,Forward,24.0,16.0,1,0.1926,0.0,0.0,0.1926
1,Forward,24.0,32.0,1,0.36821,0.0,0.0,0.36821
1,Forward,24.0,64.0,1,0.71906,0.0,0.0,0.71906
1,Forward,24.0,96.0,1,1.06483,0.0,0.0,1.06483
1,Forward,24.0,128.0,1,1.42357,0.0,0.0,1.42357
1,Forward,24.0,192.0,1,2.15139,0.0,0.0,2.15139
1,Forward,32.0,0.0,1,0.0167,0.0,0.0,0.0167
1,Forward,32.0,1.0,1,0.0304,0.0,0.0,0.0304
1,Forward,32.0,2.0,1,0.04161,0.0,0.0,0.04161
1,Forward,32.0,4.0,1,0.06427,0.0,0.0,0.06427
1,Forward,32.0,8.0,1,0.10917,0.0,0.0,0.10917
1,Forward,32.0,16.0,1,0.19961,0.0,0.0,0.19961
1,Forward,32.0,32.0,1,0.38055,0.0,0.0,0.38055
1,Forward,32.0,64.0,1,0.74409,0.0,0.0,0.74409
1,Forward,32.0,96.0,1,1.11605,0.0,0.0,1.11605
1,Forward,32.0,128.0,1,1.46707,0.0,0.0,1.46707
1,Forward,32.0,192.0,1,2.22127,0.0,0.0,2.22127
1,Forward,48.0,0.0,1,0.01845,0.0,0.0,0.01845
1,Forward,48.0,1.0,1,0.03192,0.0,0.0,0.03192
1,Forward,48.0,2.0,1,0.044,0.0,0.0,0.044
1,Forward,48.0,4.0,1,0.06808,0.0,0.0,0.06808
1,Forward,48.0,8.0,1,0.11539,0.0,0.0,0.11539
1,Forward,48.0,16.0,1,0.21146,0.0,0.0,0.21146
1,Forward,48.0,32.0,1,0.40435,0.0,0.0,0.40435
1,Forward,48.0,64.0,1,0.78929,0.0,0.0,0.78929
1,Forward,48.0,96.0,1,1.19307,0.0,0.0,1.19307
1,Forward,48.0,128.0,1,1.57843,0.0,0.0,1.57843
1,Forward,48.0,192.0,1,2.33061,0.0,0.0,2.33061
1,Forward,64.0,0.0,1,0.01719,0.0,0.0,0.01719
1,Forward,64.0,1.0,1,0.03313,0.0,0.0,0.03313
1,Forward,64.0,2.0,1,0.04594,0.0,0.0,0.04594
1,Forward,64.0,4.0,1,0.07103,0.0,0.0,0.07103
1,Forward,64.0,8.0,1,0.12104,0.0,0.0,0.12104
1,Forward,64.0,16.0,1,0.22227,0.0,0.0,0.22227
1,Forward,64.0,32.0,1,0.42501,0.0,0.0,0.42501
1,Forward,64.0,64.0,1,0.82977,0.0,0.0,0.82977
1,Forward,64.0,96.0,1,1.24721,0.0,0.0,1.24721
1,Forward,64.0,128.0,1,1.66189,0.0,0.0,1.66189
1,Forward,64.0,192.0,1,2.49774,0.0,0.0,2.49774
1,Forward,96.0,0.0,1,0.01812,0.0,0.0,0.01812
1,Forward,96.0,1.0,1,0.03832,0.0,0.0,0.03832
1,Forward,96.0,2.0,1,0.05249,0.0,0.0,0.05249
