waste_quad_control,comparison,estimated_crossover_alu
8.0,VisBuf becomes faster than Forward,80.47985965977745
12.0,VisBuf becomes faster than Forward,68.86155967944184
16.0,VisBuf becomes faster than Forward,52.65844600519906
24.0,VisBuf becomes faster than Forward,34.72519293526426
32.0,VisBuf becomes faster than Forward,25.428571500417426
48.0,VisBuf becomes faster than Forward,17.42757838235836
64.0,VisBuf becomes faster than Forward,13.260186887212889
96.0,VisBuf becomes faster than Forward,9.446609345067657
128.0,VisBuf becomes faster than Forward,7.5113690630616805
192.0,VisBuf becomes faster than Forward,5.268629535620672
384.0,VisBuf becomes faster than Forward,2.4594618553767136
8.0,ForwardPrepass becomes faster than Forward,nan
12.0,ForwardPrepass becomes faster than Forward,nan
16.0,ForwardPrepass becomes faster than Forward,nan
24.0,ForwardPrepass becomes faster than Forward,nan
32.0,ForwardPrepass becomes faster than Forward,nan
48.0,ForwardPrepass becomes faster than Forward,74.55620763994979
64.0,ForwardPrepass becomes faster than Forward,40.951769659253
96.0,ForwardPrepass becomes faster than Forward,nan
128.0,ForwardPrepass becomes faster than Forward,nan
192.0,ForwardPrepass becomes faster than Forward,123.09733154228189
384.0,ForwardPrepass becomes faster than Forward,nan
8.0,VisBuf becomes faster than ForwardPrepass,1.5823841642273186
12.0,VisBuf becomes faster than ForwardPrepass,12.64328288860102
16.0,VisBuf becomes faster than ForwardPrepass,8.817140363896288
24.0,VisBuf becomes faster than ForwardPrepass,9.214515750658899
32.0,VisBuf becomes faster than ForwardPrepass,7.6045705078203625
48.0,VisBuf becomes faster than ForwardPrepass,6.287317481338536
64.0,VisBuf becomes faster than ForwardPrepass,5.561638278379431
96.0,VisBuf becomes faster than ForwardPrepass,4.202416480868788
128.0,VisBuf becomes faster than ForwardPrepass,3.2940032674463184
192.0,VisBuf becomes faster than ForwardPrepass,2.5038293278582224
384.0,VisBuf becomes faster than ForwardPrepass,0.41155952975010823
