quad,alu,winner_variant,winner_renderer,winner_time_ms,second_best_time_ms,winner_margin_second_over_best,variant_1_Forward_time_ms,variant_1_time_over_fastest,variant_2_ForwardPrepass_time_ms,variant_2_time_over_fastest,variant_4_VisBuf_time_ms,variant_4_time_over_fastest
8,0,1,Forward,0.02594,0.04812,1.8550501156515036,0.02594,1.0,0.04812,1.8550501156515036,0.05115,1.971858134155744
8,1,1,Forward,0.02971,0.06511,2.1915180074049143,0.02971,1.0,0.06511,2.1915180074049143,0.06823,2.2965331538202625
8,2,1,Forward,0.03889,0.07525,1.9349447158652608,0.03889,1.0,0.07708,1.9820005142710206,0.07525,1.9349447158652608
8,4,1,Forward,0.059,0.0945,1.6016949152542375,0.059,1.0,0.09561,1.6205084745762712,0.0945,1.6016949152542375
8,8,1,Forward,0.09955,0.13338,1.3398292315419387,0.09955,1.0,0.13657,1.3718734304369664,0.13338,1.3398292315419387
8,16,1,Forward,0.1804,0.214,1.1862527716186253,0.1804,1.0,0.21781,1.2073725055432372,0.214,1.1862527716186253
8,32,1,Forward,0.34349,0.3662,1.0661154618766193,0.34349,1.0,0.38077,1.10853299950508,0.3662,1.0661154618766193
8,64,1,Forward,0.67146,0.68385,1.0184523277633812,0.67146,1.0,0.70876,1.0555505912489203,0.68385,1.0184523277633812
8,96,4,VisBuf,0.99118,1.00074,1.0096450695131056,1.00074,1.0096450695131056,1.03572,1.0449363385056196,0.99118,1.0
8,128,4,VisBuf,1.31571,1.34108,1.0192823646548252,1.34108,1.0192823646548252,1.36246,1.035532146141627,1.31571,1.0
8,192,4,VisBuf,1.93724,1.99807,1.031400342755673,1.99807,1.031400342755673,2.01958,1.04250376824761,1.93724,1.0
12,0,1,Forward,0.02232,0.03973,1.7800179211469536,0.02232,1.0,0.03973,1.7800179211469536,0.05192,2.3261648745519716
12,1,1,Forward,0.02932,0.05716,1.9495225102319238,0.02932,1.0,0.05716,1.9495225102319238,0.06909,2.356412005457026
12,2,1,Forward,0.03884,0.06744,1.7363542739443873,0.03884,1.0,0.06744,1.7363542739443873,0.07586,1.9531410916580845
12,4,1,Forward,0.05938,0.09003,1.5161670596160322,0.05938,1.0,0.09003,1.5161670596160322,0.09525,1.604075446278208
12,8,1,Forward,0.10099,0.12988,1.286067927517576,0.10099,1.0,0.12988,1.286067927517576,0.13249,1.31191207050203
12,16,1,Forward,0.18334,0.21361,1.1651030871604668,0.18334,1.0,0.21499,1.1726300861786842,0.21361,1.1651030871604668
12,32,1,Forward,0.34899,0.36781,1.053927046620247,0.34899,1.0,0.38032,1.0897733459411443,0.36781,1.053927046620247
12,64,1,Forward,0.68046,0.68664,1.0090820915263206,0.68046,1.0,0.71184,1.046115862798695,0.68664,1.0090820915263206
12,96,4,VisBuf,0.99444,1.02256,1.0282772213507099,1.02256,1.0282772213507099,1.04642,1.0522706246731828,0.99444,1.0
12,128,4,VisBuf,1.3167,1.36168,1.03416116047695,1.36168,1.03416116047695,1.387,1.0533910533910533,1.3167,1.0
