frame,total,depth_prepass,forward,index_count
0,0.58050,0.08426,0.48966,6388479.00000
10,0.63854,0.08519,0.54331,6388479.00000
20,0.64767,0.08518,0.55568,6388479.00000
30,0.66245,0.08559,0.57013,6388479.00000
40,0.68880,0.08580,0.59623,6388479.00000
50,0.82016,0.10352,0.70932,7620873.90000
60,0.94148,0.11326,0.82107,7933098.00000
70,0.95580,0.11592,0.83273,7933098.00000
80,0.96532,0.11751,0.83958,7933098.00000
90,0.99124,0.11944,0.85882,7933098.00000
100,1.01998,0.11445,0.89332,7778540.10000
110,0.82864,0.08790,0.73304,6388359.00000
120,0.84886,0.08825,0.74869,6388359.00000
130,0.77590,0.08767,0.68157,6328608.30000
140,0.80838,0.09206,0.70429,6278724.00000
150,0.77730,0.08666,0.68210,6278724.00000
160,0.80083,0.09047,0.70381,6344505.00000
170,0.79346,0.09772,0.68811,6548192.40000
180,0.79798,0.10166,0.68966,6654137.70000
190,0.81818,0.09882,0.71332,6649594.80000
200,0.86828,0.09031,0.77125,6279649.20000
210,0.85638,0.09121,0.75854,6153959.40000
220,0.85303,0.08072,0.76540,5654925.00000
230,0.77400,0.07836,0.68864,5715609.00000
240,0.79707,0.09198,0.69820,6556806.00000
250,0.82820,0.09605,0.72552,6632634.60000
260,0.78540,0.09574,0.68226,6632607.00000
270,0.79924,0.09540,0.69715,6632600.40000
280,0.82792,0.09711,0.72378,6632592.60000
290,0.82488,0.09698,0.72082,6632589.00000
300,0.70016,0.08791,0.60546,6086332.20000
310,0.67522,0.08441,0.58388,5774538.60000
320,0.66122,0.08158,0.57331,5711706.00000
330,0.67216,0.07961,0.58553,5522449.20000
340,0.71168,0.08121,0.62368,5438616.30000
350,0.71662,0.08332,0.62633,5419182.00000
360,0.70470,0.08138,0.61643,5369350.80000
370,0.81790,0.07542,0.73495,4967546.10000
380,0.80859,0.07438,0.72736,4898302.80000
390,0.72836,0.07169,0.64948,4809108.60000
400,0.70507,0.07027,0.62778,4843965.00000
410,0.72917,0.07284,0.64912,4857206.70000
420,0.85207,0.07302,0.77173,4924218.00000
430,0.90240,0.07108,0.82412,4921590.00000
440,0.75726,0.06705,0.68311,4919838.00000
450,0.79817,0.06597,0.72409,4918621.20000
460,0.77739,0.06575,0.70477,4915782.00000
470,0.75253,0.06564,0.68024,4915782.00000
480,0.83099,0.06441,0.75944,4724589.90000
490,0.68502,0.05814,0.62010,4350555.00000
500,0.74917,0.06066,0.68154,4561743.60000
510,0.77612,0.06224,0.70676,4649973.00000
520,0.74328,0.06220,0.67437,4649973.00000
530,0.76513,0.06215,0.69604,4649973.00000
540,0.75496,0.06242,0.68558,4649973.00000
550,0.78438,0.06570,0.71204,4889201.10000
560,0.71760,0.06794,0.64251,4808830.80000
570,0.66324,0.06501,0.59139,4297629.90000
580,0.65439,0.05598,0.59132,3585789.60000
590,0.72208,0.07388,0.64076,5050871.70000
600,0.88310,0.10781,0.76762,7428586.80000
610,0.91602,0.14836,0.75569,9154439.10000
620,0.91990,0.16363,0.74884,9521362.20000
630,0.94997,0.16269,0.78020,9517167.00000
640,0.95804,0.16039,0.79022,9459631.80000
650,0.98642,0.15912,0.81986,9421272.60000
660,1.05353,0.19369,0.85264,10768835.40000
670,1.07746,0.19892,0.87118,10858999.20000
680,1.08148,0.20164,0.87213,10858885.50000
690,1.06868,0.20159,0.85960,10855368.00000
700,1.06546,0.20228,0.85602,10855368.00000
710,1.06684,0.20250,0.85662,10855368.00000
720,1.05191,0.19839,0.84608,10673067.00000
730,1.03164,0.19599,0.82809,10593060.00000
740,0.99570,0.19215,0.79584,10404744.00000
750,0.99424,0.18720,0.79977,10279200.00000
760,1.03119,0.19187,0.83108,10437937.50000
770,1.07950,0.20112,0.87059,10766673.60000
780,1.09286,0.20413,0.88095,10864798.80000
790,1.04394,0.17644,0.86091,9787313.40000
800,1.02961,0.17112,0.85075,9664446.60000
810,1.00878,0.17150,0.83039,9667598.40000
820,1.02048,0.17292,0.84077,9667593.00000
830,0.98759,0.17294,0.80735,9667602.00000
840,0.97125,0.17452,0.78924,9667602.60000
850,0.96605,0.17727,0.78184,9667603.20000
860,0.94138,0.17854,0.75613,9667607.40000
870,0.94972,0.19156,0.75374,10385949.00000
880,0.98814,0.20821,0.77228,10864839.00000
890,0.98743,0.21024,0.76979,10864839.00000
900,0.99596,0.21104,0.77675,10864835.40000
910,1.14502,0.21610,0.92146,10864828.20000
920,1.15993,0.21238,0.93972,10864825.20000
930,1.17100,0.21257,0.94969,10864821.00000
940,1.17972,0.21167,0.95934,10864821.00000
950,1.18037,0.21083,0.96089,10864821.00000
960,1.16954,0.20953,0.95270,10864818.00000
970,1.13782,0.20882,0.92058,10864786.20000
980,1.09706,0.20890,0.87936,10864773.00000
990,1.02142,0.20863,0.80583,10864773.00000
1000,0.98023,0.20632,0.76565,10625328.60000
1010,0.92781,0.17563,0.74509,9667551.00000
1020,0.94528,0.17369,0.76387,9667551.00000
1030,0.95589,0.17163,0.77481,9667551.00000
1040,0.91312,0.17013,0.73600,9667551.00000
1050,0.96652,0.18130,0.77842,10146439.80000
1060,1.01732,0.20177,0.80804,10864773.00000
1070,1.03383,0.20253,0.82400,10864773.00000
1080,1.00376,0.18349,0.81044,10025094.60000
1090,0.94742,0.15958,0.78134,9329834.40000
1100,0.94691,0.15010,0.78929,9156234.00000
1110,0.96153,0.15138,0.79914,9156234.00000
1120,0.93067,0.15064,0.76929,9156234.00000
1130,0.93624,0.15307,0.77539,9153888.00000
1140,1.01612,0.15026,0.85390,8888382.00000
1150,0.86940,0.10820,0.74779,6681090.00000
1160,0.82600,0.10409,0.71549,7146947.40000
1170,0.92289,0.15290,0.76255,9101922.00000
1180,0.94475,0.15230,0.78219,9097980.00000
1190,0.93492,0.15197,0.77538,9099990.00000
1200,0.95106,0.15271,0.78831,9103005.00000
1210,0.95260,0.15284,0.79252,9103881.00000
1220,1.05410,0.15252,0.89426,9103005.00000
1230,0.99955,0.15346,0.83819,9103013.40000
1240,0.87710,0.15300,0.71704,9103039.20000
1250,0.89786,0.15255,0.73810,9100531.50000
1260,0.97353,0.15209,0.81436,9094303.20000
1270,1.03342,0.15320,0.87301,9091825.20000
1280,1.02879,0.14592,0.87570,8847516.90000
1290,0.98612,0.13981,0.83900,8728518.00000
1300,1.01252,0.13439,0.87427,8236771.20000
1310,0.75033,0.08337,0.65999,6191688.00000
1320,0.87369,0.09584,0.77111,6862126.50000
1330,0.75935,0.07702,0.67382,5573805.00000
1340,0.66196,0.07830,0.57668,6060954.00000
1350,0.79556,0.10809,0.68025,6881545.80000
1360,1.17822,0.17098,0.99503,9634320.90000
1370,0.99608,0.20828,0.78046,10864779.00000
1380,1.05074,0.21021,0.83136,10864773.60000
1390,1.14650,0.20959,0.92795,10864773.00000
1400,1.20517,0.20901,0.98753,10864774.80000
1410,1.19344,0.20243,0.98221,10566703.20000
1420,1.09001,0.19256,0.88708,10592118.60000
1430,1.16178,0.21136,0.94178,10864791.00000
1440,1.16241,0.21019,0.94526,10864798.20000
1450,1.17724,0.21064,0.95954,10864803.00000
1460,1.20387,0.21084,0.98573,10864803.00000
1470,1.20726,0.21077,0.98796,10864803.00000
1480,1.20819,0.21182,0.98927,10864807.80000
1490,1.20243,0.21382,0.98175,10864813.20000
1500,1.21866,0.21616,0.99529,10864818.60000
1510,1.21685,0.22025,0.98875,10864824.00000
1520,1.21107,0.22129,0.98285,10864827.00000
1530,1.16428,0.21919,0.93693,10864822.20000
1540,1.09484,0.21481,0.87024,10864824.00000
1550,1.10721,0.21622,0.88340,10864827.00000
1560,1.10273,0.21993,0.87550,10864828.20000
1570,1.06617,0.22074,0.83697,10869039.60000
1580,1.05944,0.22546,0.82513,10951032.60000
1590,1.04107,0.22813,0.80584,10974487.80000
1600,1.01818,0.22792,0.78337,10974497.40000
1610,0.98186,0.22724,0.74668,10974504.00000
1620,0.95615,0.22678,0.72177,10974501.00000
1630,0.93767,0.22785,0.70278,10974495.00000
1640,0.91238,0.22862,0.67655,10974492.00000
1650,0.89764,0.22949,0.66098,10974492.00000
1660,0.88426,0.23002,0.64702,10974493.80000
1670,0.87972,0.23062,0.64174,10974916.20000
1680,0.88595,0.23185,0.64628,11108102.10000
1690,0.86133,0.23241,0.62164,11241013.20000
1700,0.84816,0.23446,0.60641,11241018.60000
1710,0.83426,0.23554,0.59118,11241024.00000
1720,0.82569,0.23744,0.58087,11241025.80000
1730,0.80318,0.23591,0.56039,11241037.20000
1740,0.76154,0.23154,0.52213,11241052.20000
1750,0.73981,0.23064,0.50226,11241054.00000
1760,0.73319,0.23080,0.49478,11241054.00000
1770,0.72929,0.23306,0.48934,11241054.00000
1780,0.73406,0.23721,0.48968,11241054.00000
1790,0.72606,0.23838,0.48084,11241054.00000
1800,0.72314,0.23918,0.47700,11241054.00000
1810,0.72856,0.23910,0.48249,11241049.80000
1820,0.73739,0.23910,0.49135,11241039.60000
1830,0.74836,0.23879,0.50253,11241032.40000
1840,0.75998,0.23893,0.51398,11241024.00000
1850,0.77206,0.23858,0.52608,11241018.00000
1860,0.78838,0.23849,0.54262,11241019.80000
1870,0.81023,0.23822,0.56484,11241019.80000
1880,0.82493,0.23853,0.57930,11241012.60000
1890,0.88330,0.23818,0.63788,11241006.00000
1900,0.89659,0.23796,0.65164,11241003.00000
1910,0.91171,0.23790,0.66621,11240994.00000
1920,0.92570,0.23739,0.68135,11240985.60000
1930,0.95241,0.23733,0.70759,11240971.20000
1940,0.95943,0.23717,0.71470,11240961.00000
1950,0.97032,0.23636,0.72690,11240949.00000
1960,0.98567,0.23547,0.74338,11240934.60000
1970,0.98708,0.23487,0.74504,11240930.40000
1980,1.02995,0.23154,0.79210,11161169.70000
1990,1.01414,0.22244,0.78434,10974408.00000
2000,1.00801,0.21845,0.78234,10974408.00000
2010,1.02738,0.21842,0.80140,10974408.00000
2020,1.05046,0.21780,0.82550,10974408.00000
2030,1.05568,0.21644,0.83180,10974408.00000
2040,1.04485,0.21656,0.82075,10973341.80000
2050,1.05413,0.21724,0.82935,10972275.60000
