frame,total,visibility,resolve,index_count
0,0.51734,0.17392,0.33637,6388479.00000
10,0.53614,0.17468,0.35217,6388479.00000
20,0.55225,0.17511,0.37048,6388479.00000
30,0.57404,0.17594,0.39147,6388479.00000
40,0.60222,0.17868,0.41662,6388479.00000
50,0.65780,0.21318,0.43758,7620873.90000
60,0.72446,0.22986,0.48783,7933098.00000
70,0.74581,0.23084,0.50793,7933098.00000
80,0.74602,0.23086,0.50780,7933098.00000
90,0.74622,0.23106,0.50786,7933098.00000
100,0.74338,0.22834,0.50788,7778540.10000
110,0.69981,0.18387,0.50933,6388359.00000
120,0.69761,0.18132,0.50938,6388359.00000
130,0.69644,0.18002,0.50962,6328608.30000
140,0.69362,0.17750,0.50945,6278724.00000
150,0.69381,0.17709,0.50971,6278724.00000
160,0.69242,0.17555,0.51010,6344505.00000
170,0.70069,0.18391,0.50946,6548192.40000
180,0.70683,0.19107,0.50916,6654137.70000
190,0.70456,0.18870,0.50913,6649594.80000
200,0.69026,0.17380,0.50958,6279649.20000
210,0.68726,0.17062,0.50978,6153959.40000
220,0.67559,0.15978,0.50906,5654925.00000
230,0.67204,0.15592,0.50894,5715609.00000
240,0.70155,0.18564,0.50921,6556806.00000
250,0.70140,0.18524,0.50937,6632634.60000
260,0.70244,0.18648,0.50896,6632607.00000
270,0.70181,0.18578,0.50912,6632600.40000
280,0.70158,0.18567,0.50913,6632592.60000
290,0.69813,0.18250,0.50901,6632589.00000
300,0.68880,0.17347,0.50870,6086332.20000
310,0.68098,0.16614,0.50818,5774538.60000
320,0.67788,0.16270,0.50819,5711706.00000
330,0.67732,0.16270,0.50769,5522449.20000
340,0.67356,0.15924,0.50754,5438616.30000
350,0.66884,0.15406,0.50792,5419182.00000
360,0.66656,0.15192,0.50794,5369350.80000
370,0.65506,0.13977,0.50854,4967546.10000
380,0.64976,0.13445,0.50842,4898302.80000
390,0.65058,0.13543,0.50843,4809108.60000
400,0.65032,0.13569,0.50779,4843965.00000
410,0.65342,0.13881,0.50791,4857206.70000
420,0.65219,0.13698,0.50854,4924218.00000
430,0.64985,0.13427,0.50859,4921590.00000
440,0.64764,0.13336,0.50753,4919838.00000
450,0.64432,0.13047,0.50716,4918621.20000
460,0.64228,0.12839,0.50716,4915782.00000
470,0.64309,0.12875,0.50726,4915782.00000
480,0.63997,0.12601,0.50717,4724589.90000
490,0.63095,0.11674,0.50714,4350555.00000
500,0.63629,0.12063,0.50727,4561743.60000
510,0.63934,0.12508,0.50755,4649973.00000
520,0.63881,0.12436,0.50750,4649973.00000
530,0.63795,0.12345,0.50769,4649973.00000
540,0.63881,0.12389,0.50781,4649973.00000
550,0.64308,0.12897,0.50748,4889201.10000
560,0.64695,0.13216,0.50802,4808830.80000
570,0.64502,0.12973,0.50832,4297629.90000
580,0.62334,0.10818,0.50833,3585789.60000
590,0.65166,0.13514,0.50975,5050871.70000
600,0.72473,0.20728,0.50998,7428586.80000
610,0.78191,0.26591,0.50881,9154439.10000
620,0.80417,0.28748,0.50948,9521362.20000
630,0.80089,0.28407,0.50962,9517167.00000
640,0.80002,0.28349,0.50948,9459631.80000
650,0.80084,0.28399,0.50959,9421272.60000
660,0.83624,0.31981,0.50934,10768835.40000
670,0.84400,0.32752,0.50924,10858999.20000
680,0.84623,0.33030,0.50884,10858885.50000
690,0.83958,0.32920,0.50291,10855368.00000
700,0.83709,0.33142,0.49853,10855368.00000
710,0.83541,0.33184,0.49658,10855368.00000
720,0.83380,0.33558,0.49161,10673067.00000
730,0.81838,0.32884,0.48162,10593060.00000
740,0.80544,0.32386,0.47416,10404744.00000
750,0.80662,0.32038,0.47901,10279200.00000
760,0.82374,0.32466,0.49163,10437937.50000
770,0.85139,0.33726,0.50686,10766673.60000
780,0.85848,0.34088,0.51025,10864798.80000
790,0.83261,0.31224,0.50939,9787313.40000
800,0.82634,0.30970,0.50976,9664446.60000
810,0.82431,0.30829,0.50910,9667598.40000
820,0.82432,0.30784,0.50929,9667593.00000
830,0.82683,0.31056,0.50928,9667602.00000
840,0.83140,0.31480,0.50961,9667602.60000
850,0.83509,0.31899,0.50944,9667603.20000
860,0.83727,0.32136,0.50897,9667607.40000
870,0.85220,0.33567,0.50917,10385949.00000
880,0.87316,0.35719,0.50878,10864839.00000
890,0.87488,0.35930,0.50856,10864839.00000
900,0.87770,0.36157,0.50888,10864835.40000
910,0.87562,0.35952,0.50866,10864828.20000
920,0.85506,0.35157,0.49662,10864825.20000
930,0.85216,0.35140,0.49396,10864821.00000
940,0.85621,0.34967,0.49938,10864821.00000
950,0.85951,0.34954,0.50319,10864821.00000
960,0.86385,0.34897,0.50788,10864818.00000
970,0.86030,0.34321,0.50946,10864786.20000
980,0.85021,0.33471,0.50809,10864773.00000
990,0.85558,0.33914,0.50919,10864773.00000
1000,0.85486,0.33806,0.50957,10625328.60000
1010,0.82408,0.30782,0.50912,9667551.00000
1020,0.81750,0.30088,0.50944,9667551.00000
1030,0.81088,0.29447,0.50914,9667551.00000
1040,0.81236,0.29581,0.50945,9667551.00000
1050,0.81898,0.30246,0.50940,10146439.80000
1060,0.84374,0.32756,0.50922,10864773.00000
1070,0.84859,0.33216,0.50935,10864773.00000
1080,0.82795,0.31142,0.50900,10025094.60000
1090,0.79806,0.28157,0.50892,9329834.40000
1100,0.79366,0.27735,0.50896,9156234.00000
1110,0.79318,0.27636,0.50913,9156234.00000
1120,0.79322,0.27633,0.50923,9156234.00000
1130,0.79401,0.27697,0.50934,9153888.00000
1140,0.77921,0.26296,0.50902,8888382.00000
1150,0.72214,0.20527,0.50969,6681090.00000
1160,0.71754,0.20068,0.50950,7146947.40000
1170,0.79464,0.27856,0.50884,9101922.00000
1180,0.78591,0.26968,0.50877,9097980.00000
1190,0.78579,0.26903,0.50878,9099990.00000
1200,0.79028,0.27405,0.50883,9103005.00000
1210,0.78732,0.27129,0.50880,9103881.00000
1220,0.78323,0.26712,0.50880,9103005.00000
1230,0.78340,0.26726,0.50882,9103013.40000
1240,0.78695,0.27061,0.50870,9103039.20000
1250,0.78804,0.27184,0.50874,9100531.50000
1260,0.77936,0.26295,0.50870,9094303.20000
1270,0.77726,0.26102,0.50882,9091825.20000
1280,0.77531,0.25927,0.50875,8847516.90000
1290,0.76734,0.25126,0.50882,8728518.00000
1300,0.75939,0.24250,0.50977,8236771.20000
1310,0.68576,0.16869,0.50979,6191688.00000
1320,0.70857,0.19146,0.50998,6862126.50000
1330,0.68537,0.16938,0.50911,5573805.00000
1340,0.69592,0.18017,0.50878,6060954.00000
1350,0.73156,0.21419,0.51036,6881545.80000
1360,0.80986,0.29418,0.50886,9634320.90000
1370,0.85268,0.33684,0.50879,10864779.00000
1380,0.85302,0.33752,0.50800,10864773.60000
1390,0.85141,0.33646,0.50757,10864773.00000
1400,0.85093,0.33646,0.50737,10864774.80000
1410,0.77054,0.31877,0.44460,10566703.20000
1420,0.70630,0.31184,0.38758,10592118.60000
1430,0.78680,0.33449,0.44492,10864791.00000
1440,0.78358,0.33661,0.43910,10864798.20000
1450,0.78603,0.33957,0.43899,10864803.00000
1460,0.80152,0.34346,0.45104,10864803.00000
1470,0.80744,0.34511,0.45533,10864803.00000
1480,0.81384,0.34688,0.46016,10864807.80000
1490,0.81760,0.35097,0.45960,10864813.20000
1500,0.81659,0.35238,0.45716,10864818.60000
1510,0.81715,0.35660,0.45368,10864824.00000
1520,0.80862,0.35944,0.44258,10864827.00000
1530,0.77364,0.35448,0.41231,10864822.20000
1540,0.74539,0.35317,0.38529,10864824.00000
1550,0.74494,0.35384,0.38410,10864827.00000
1560,0.75234,0.35646,0.38894,10864828.20000
1570,0.75692,0.35710,0.39288,10869039.60000
1580,0.76820,0.36031,0.40109,10951032.60000
1590,0.78069,0.35917,0.41432,10974487.80000
1600,0.78428,0.35890,0.41830,10974497.40000
1610,0.77188,0.35840,0.40736,10974504.00000
1620,0.75456,0.35453,0.39281,10974501.00000
1630,0.73411,0.35397,0.37292,10974495.00000
1640,0.72482,0.35216,0.36546,10974492.00000
1650,0.72043,0.35165,0.36144,10974492.00000
1660,0.71504,0.35080,0.35713,10974493.80000
1670,0.71109,0.35148,0.35227,10974916.20000
1680,0.70881,0.35362,0.34786,11108102.10000
1690,0.70591,0.35806,0.33740,11241013.20000
1700,0.68767,0.35808,0.32281,11241018.60000
1710,0.67342,0.35692,0.30891,11241024.00000
1720,0.65751,0.35606,0.29466,11241025.80000
1730,0.64451,0.35448,0.28278,11241037.20000
1740,0.62585,0.35253,0.26622,11241052.20000
1750,0.61059,0.35135,0.25219,11241054.00000
1760,0.59712,0.35072,0.23951,11241054.00000
1770,0.59210,0.35261,0.23224,11241054.00000
1780,0.58407,0.35235,0.22458,11241054.00000
1790,0.57684,0.35199,0.21750,11241054.00000
1800,0.57073,0.35242,0.21132,11241054.00000
1810,0.56788,0.35141,0.20969,11241049.80000
1820,0.57178,0.35234,0.21176,11241039.60000
1830,0.57556,0.35121,0.21708,11241032.40000
1840,0.58013,0.35151,0.22140,11241024.00000
1850,0.58704,0.35191,0.22784,11241018.00000
1860,0.59840,0.35335,0.23794,11241019.80000
1870,0.61169,0.35428,0.24989,11241019.80000
1880,0.62476,0.35556,0.26178,11241012.60000
1890,0.64234,0.35935,0.27545,11241006.00000
1900,0.65662,0.35939,0.28897,11241003.00000
1910,0.66743,0.35733,0.30326,11240994.00000
1920,0.68386,0.35982,0.31683,11240985.60000
1930,0.70110,0.36052,0.33329,11240971.20000
1940,0.71727,0.36292,0.34713,11240961.00000
1950,0.73455,0.36372,0.36397,11240949.00000
1960,0.75334,0.36334,0.38313,11240934.60000
1970,0.76962,0.36367,0.39924,11240930.40000
1980,0.78320,0.36282,0.41312,11161169.70000
1990,0.75746,0.35381,0.39656,10974408.00000
2000,0.74200,0.35356,0.38104,10974408.00000
2010,0.75098,0.35305,0.39046,10974408.00000
2020,0.76774,0.35543,0.40489,10974408.00000
2030,0.76408,0.35164,0.40546,10974408.00000
2040,0.74743,0.34848,0.39158,10973341.80000
2050,0.74778,0.34557,0.39483,10972275.60000
2060,0.78962,0.35002,0.43232,10974408.00000
2070,0.81025,0.34557,0.45703,10846963.80000
2080,0.75100,0.31906,0.42494,10364410.50000
2090,0.69666,0.29504,0.39482,10054158.00000
2100,0.69941,0.29146,0.40121,10013727.00000
2110,0.75501,0.30269,0.44511,10195232.40000
2120,0.83658,0.32288,0.50608,10491190.80000
2130,0.84509,0.32876,0.50901,10491226.80000
2140,0.84774,0.33676,0.50410,10606616.40000
2150,0.83573,0.33601,0.49268,10839546.30000
2160,0.77632,0.32324,0.44581,10082360.10000
2170,0.60456,0.21457,0.38261,7223112.00000
2180,0.60850,0.20138,0.39833,6549874.20000
2190,0.61030,0.19339,0.40828,6266152.50000
2200,0.47250,0.15578,0.30998,5132634.90000
2210,0.27187,0.10131,0.16374,3836330.40000
2220,0.19434,0.08867,0.09880,3796645.80000
2230,0.14212,0.07000,0.06507,2713873.80000
2240,0.07510,0.02934,0.03885,1232427.90000
2250,0.04052,0.01334,0.01976,384978.60000
2260,0.04938,0.01078,0.03174,521978.40000
2270,0.12788,0.06385,0.05694,2713873.80000
2280,0.08776,0.03016,0.05047,1252506.00000
2290,0.07746,0.02992,0.04058,1252506.00000
2300,0.03753,0.00716,0.02342,130779.00000
2310,0.03072,0.00381,0.01990,0.00000
2320,0.02848,0.00383,0.01764,0.00000
2330,0.02970,0.00385,0.01890,0.00000
2340,0.02966,0.00376,0.01896,0.00000
2350,0.02793,0.00382,0.01710,0.00000
2360,0.03036,0.00372,0.01967,0.00000
2370,0.03006,0.00381,0.01941,0.00000
2380,0.02818,0.00360,0.01711,0.00000
2390,0.02804,0.00376,0.01711,0.00000
