frame,total,depth_prepass,geometry,lighting,index_count
0,1.15951,0.12696,0.98157,0.01950,6388479.00000
10,1.16669,0.12709,1.01003,0.01945,6388479.00000
20,1.21731,0.12764,1.05948,0.01968,6388479.00000
30,1.23216,0.12818,1.07344,0.01997,6388479.00000
40,1.32205,0.12856,1.16275,0.02053,6388479.00000
50,1.43828,0.15189,1.25283,0.02274,7620873.90000
60,1.80572,0.16025,1.60951,0.02491,7933098.00000
70,1.78558,0.15976,1.58761,0.02736,7933098.00000
80,1.91070,0.15988,1.71308,0.02718,7933098.00000
90,1.89398,0.15982,1.69812,0.02578,7933098.00000
100,1.91551,0.15920,1.72142,0.02388,7778540.10000
110,1.66043,0.12903,1.49867,0.02228,6388359.00000
120,1.55901,0.12913,1.39668,0.02283,6388359.00000
130,1.58313,0.12763,1.42234,0.02303,6328608.30000
140,1.43692,0.12762,1.27596,0.02284,6278724.00000
150,1.55935,0.12715,1.39849,0.02343,6278724.00000
160,1.51703,0.13076,1.35248,0.02318,6344505.00000
170,1.53528,0.13666,1.36522,0.02206,6548192.40000
180,1.51161,0.14074,1.33872,0.02260,6654137.70000
190,1.52335,0.13712,1.35399,0.02286,6649594.80000
200,1.62500,0.12860,1.43019,0.02377,6279649.20000
210,1.53573,0.12907,1.37533,0.02309,6153959.40000
220,1.61281,0.11625,1.46315,0.02328,5654925.00000
230,1.43744,0.11549,1.29105,0.02082,5715609.00000
240,1.53188,0.13287,1.33353,0.02247,6556806.00000
250,1.52394,0.13639,1.35300,0.02464,6632634.60000
260,1.41396,0.13407,1.24892,0.02080,6632607.00000
270,1.43706,0.13562,1.26948,0.02120,6632600.40000
280,1.50880,0.13592,1.34027,0.02280,6632592.60000
290,1.49188,0.13680,1.29441,0.02378,6632589.00000
300,1.24696,0.12536,1.09288,0.01865,6086332.20000
310,1.16614,0.11979,1.01831,0.01771,5774538.60000
320,1.16925,0.11709,1.02297,0.01834,5711706.00000
330,1.20115,0.11515,1.05573,0.01971,5522449.20000
340,1.29188,0.11511,1.14658,0.01971,5438616.30000
350,1.28876,0.11828,1.14007,0.01974,5419182.00000
360,1.32343,0.11606,1.16627,0.01964,5369350.80000
370,1.49884,0.10636,1.36067,0.02133,4967546.10000
380,1.47630,0.10590,1.33892,0.02074,4898302.80000
390,1.31870,0.10440,1.18381,0.01975,4809108.60000
400,1.25450,0.10316,1.12238,0.01814,4843965.00000
410,1.28424,0.10468,1.14915,0.01920,4857206.70000
420,1.58106,0.10496,1.44364,0.02199,4924218.00000
430,1.54382,0.10355,1.40682,0.02216,4921590.00000
440,1.40431,0.10119,1.27178,0.02044,4919838.00000
450,1.34827,0.10154,1.21508,0.01954,4918621.20000
460,1.43498,0.10174,1.30350,0.01941,4915782.00000
470,1.38819,0.10145,1.25648,0.01942,4915782.00000
480,1.52369,0.09921,1.39484,0.01907,4724589.90000
490,1.24458,0.09003,1.12573,0.01837,4350555.00000
500,1.47650,0.09369,1.35342,0.01880,4561743.60000
510,1.43061,0.09619,1.30452,0.01905,4649973.00000
520,1.41610,0.09623,1.29034,0.01904,4649973.00000
530,1.49188,0.09618,1.36567,0.01892,4649973.00000
540,1.48033,0.09640,1.35407,0.01908,4649973.00000
550,1.44065,0.10031,1.31090,0.01915,4889201.10000
560,1.28235,0.10193,1.15013,0.01950,4808830.80000
570,1.18900,0.09729,1.06393,0.01850,4297629.90000
580,1.18920,0.07974,1.08170,0.01774,3585789.60000
590,1.29509,0.10591,1.15970,0.01892,5050871.70000
600,1.60168,0.14848,1.42164,0.02225,7428586.80000
610,1.62223,0.18186,1.40293,0.02682,9154439.10000
620,1.61071,0.19256,1.37444,0.03342,9521362.20000
630,1.69158,0.19277,1.45274,0.03556,9517167.00000
640,1.73133,0.19222,1.49305,0.03611,9459631.80000
650,1.80179,0.19116,1.56249,0.03762,9421272.60000
660,1.86048,0.21828,1.58924,0.04282,10768835.40000
670,1.92783,0.21988,1.62643,0.04340,10858999.20000
680,1.90658,0.22246,1.63135,0.04199,10858885.50000
690,1.89326,0.22195,1.62059,0.04030,10855368.00000
700,1.86967,0.22219,1.59818,0.03914,10855368.00000
710,1.86963,0.22190,1.59898,0.03832,10855368.00000
720,1.84930,0.21932,1.58137,0.03687,10673067.00000
730,1.86168,0.21685,1.59934,0.03420,10593060.00000
740,1.76508,0.21374,1.51064,0.03110,10404744.00000
750,1.76335,0.20966,1.51281,0.03072,10279200.00000
760,1.82609,0.21245,1.57085,0.03228,10437937.50000
770,1.93687,0.21907,1.67117,0.03480,10766673.60000
780,1.96432,0.22129,1.69638,0.03654,10864798.80000
790,1.90998,0.19918,1.66225,0.03498,9787313.40000
800,1.93362,0.19662,1.69134,0.03474,9664446.60000
810,1.83828,0.19706,1.59770,0.03278,9667598.40000
820,1.81867,0.19701,1.58002,0.03177,9667593.00000
830,1.78819,0.19675,1.55046,0.03033,9667602.00000
840,1.73022,0.19641,1.49265,0.03055,9667602.60000
850,1.74944,0.19876,1.50875,0.03119,9667603.20000
860,1.68438,0.19924,1.44850,0.02650,9667607.40000
870,1.67735,0.21032,1.43123,0.02800,10385949.00000
880,1.58791,0.22434,1.33353,0.01886,10864839.00000
890,1.51549,0.22816,1.24833,0.01870,10864839.00000
900,1.54707,0.22770,1.28998,0.01946,10864835.40000
910,1.98252,0.23172,1.71562,0.02533,10864828.20000
920,2.02030,0.22735,1.75385,0.02887,10864825.20000
930,2.05949,0.22761,1.79260,0.02845,10864821.00000
940,2.07221,0.22641,1.80701,0.02832,10864821.00000
950,2.05330,0.22620,1.78369,0.02900,10864821.00000
960,2.00019,0.22575,1.73268,0.03082,10864818.00000
970,1.97730,0.22513,1.70960,0.03150,10864786.20000
980,1.87954,0.22644,1.61038,0.03187,10864773.00000
990,1.71491,0.22292,1.44811,0.03249,10864773.00000
1000,1.59812,0.22119,1.33905,0.02733,10625328.60000
1010,1.57641,0.19947,1.34182,0.02477,9667551.00000
1020,1.63467,0.19873,1.39833,0.02784,9667551.00000
1030,1.64582,0.19733,1.40449,0.02944,9667551.00000
1040,1.58374,0.19657,1.34812,0.02881,9667551.00000
1050,1.68772,0.20225,1.44081,0.03163,10146439.80000
1060,1.76981,0.22082,1.50517,0.03330,10864773.00000
1070,1.80791,0.22066,1.54261,0.03416,10864773.00000
1080,1.77677,0.20675,1.52443,0.03256,10025094.60000
1090,1.78731,0.18872,1.55863,0.02985,9329834.40000
1100,1.80394,0.18390,1.54488,0.03164,9156234.00000
1110,1.73417,0.18469,1.50822,0.03099,9156234.00000
1120,1.76389,0.18556,1.53442,0.03321,9156234.00000
1130,1.72158,0.18656,1.49351,0.03108,9153888.00000
1140,2.04170,0.18250,1.81939,0.02906,8888382.00000
1150,1.54157,0.14522,1.35708,0.02690,6681090.00000
1160,1.51551,0.13706,1.34611,0.02185,7146947.40000
1170,1.72621,0.18344,1.50328,0.02824,9101922.00000
1180,1.72817,0.18480,1.50245,0.03054,9097980.00000
1190,1.70786,0.18375,1.48278,0.03055,9099990.00000
1200,1.67693,0.18281,1.45640,0.02708,9103005.00000
1210,1.82153,0.18432,1.59900,0.02720,9103881.00000
1220,1.91321,0.18400,1.69003,0.02867,9103005.00000
1230,1.75800,0.18472,1.50158,0.02728,9103013.40000
1240,1.52328,0.18518,1.30179,0.02605,9103039.20000
1250,1.54681,0.18356,1.32517,0.02669,9100531.50000
1260,1.67671,0.18356,1.45488,0.02756,9094303.20000
1270,1.77088,0.18459,1.54966,0.02649,9091825.20000
1280,1.61016,0.17940,1.39730,0.02303,8847516.90000
1290,1.79834,0.17681,1.56634,0.02322,8728518.00000
1300,1.87209,0.17336,1.66078,0.02928,8236771.20000
1310,1.42240,0.12180,1.26501,0.02016,6191688.00000
1320,1.52015,0.13821,1.34969,0.02134,6862126.50000
1330,1.46985,0.11564,1.32525,0.01816,5573805.00000
1340,1.15398,0.11438,1.01240,0.01722,6060954.00000
1350,1.41662,0.14530,1.24343,0.01732,6881545.80000
1360,1.89311,0.19779,1.65360,0.02446,9634320.90000
1370,1.67284,0.22427,1.41116,0.02772,10864779.00000
1380,1.82896,0.22513,1.56132,0.03107,10864773.60000
1390,2.01326,0.22606,1.74557,0.03102,10864773.00000
1400,2.05036,0.22562,1.78463,0.03009,10864774.80000
1410,2.06344,0.22078,1.80536,0.02315,10566703.20000
1420,1.83826,0.21507,1.59393,0.01981,10592118.60000
1430,2.00385,0.22618,1.74313,0.02312,10864791.00000
1440,1.97213,0.22606,1.71287,0.02338,10864798.20000
1450,2.06283,0.22546,1.80144,0.02526,10864803.00000
1460,2.08634,0.22529,1.82626,0.02472,10864803.00000
1470,2.09510,0.22672,1.83009,0.02647,10864803.00000
1480,2.10942,0.22771,1.84043,0.02569,10864807.80000
1490,2.08312,0.22922,1.81838,0.02558,10864813.20000
1500,2.06216,0.23221,1.79496,0.02479,10864818.60000
1510,2.09055,0.23466,1.82221,0.02398,10864824.00000
1520,2.02534,0.23604,1.75476,0.02374,10864827.00000
1530,1.92558,0.23267,1.65942,0.02353,10864822.20000
1540,1.84219,0.23180,1.57672,0.02287,10864824.00000
1550,1.82154,0.23260,1.55554,0.02301,10864827.00000
1560,1.81455,0.23369,1.54735,0.02317,10864828.20000
1570,1.82224,0.23460,1.55430,0.02352,10869039.60000
1580,1.74544,0.23964,1.47072,0.02597,10951032.60000
1590,1.67808,0.24300,1.39610,0.02923,10974487.80000
1600,1.61503,0.24153,1.33347,0.03018,10974497.40000
1610,1.54333,0.24125,1.26355,0.02828,10974504.00000
1620,1.48948,0.24122,1.21106,0.02687,10974501.00000
1630,1.45485,0.24211,1.17775,0.02476,10974495.00000
1640,1.39708,0.24215,1.12146,0.02336,10974492.00000
1650,1.37915,0.24284,1.10290,0.02314,10974492.00000
1660,1.33890,0.24322,1.06332,0.02221,10974493.80000
1670,1.32741,0.24364,1.05153,0.02209,10974916.20000
1680,1.33714,0.24525,1.05942,0.02177,11108102.10000
1690,1.28096,0.24557,1.00419,0.02088,11241013.20000
1700,1.24730,0.24603,0.97148,0.01966,11241018.60000
1710,1.22109,0.24715,0.94445,0.01890,11241024.00000
