frame,total,visibility,gbuffer,lighting,index_count
0,2.54884,0.18784,2.33386,0.01684,6388479.00000
10,2.66211,0.18931,2.44517,0.01703,6388479.00000
20,2.83966,0.18960,2.57844,0.01908,6388479.00000
30,2.94623,0.19053,2.72839,0.01746,6388479.00000
40,3.15806,0.19348,2.90236,0.02078,6388479.00000
50,3.36378,0.22705,3.06956,0.02505,7620873.90000
60,3.68060,0.24127,3.40676,0.02234,7933098.00000
70,3.88153,0.24372,3.55494,0.02645,7933098.00000
80,3.87072,0.24322,3.55553,0.02850,7933098.00000
90,3.83262,0.24306,3.55510,0.02375,7933098.00000
100,3.83631,0.24042,3.56329,0.02244,7778540.10000
110,3.79706,0.19836,3.56520,0.02336,6388359.00000
120,3.79777,0.19920,3.56529,0.02312,6388359.00000
130,3.79648,0.19755,3.56548,0.02262,6328608.30000
140,3.79542,0.19659,3.56501,0.02278,6278724.00000
150,3.79126,0.19521,3.56348,0.02262,6278724.00000
160,3.94275,0.18790,3.71686,0.02276,6344505.00000
170,3.87179,0.19934,3.56548,0.02807,6548192.40000
180,3.80489,0.20502,3.56544,0.02406,6654137.70000
190,3.80052,0.20248,3.56527,0.02283,6649594.80000
200,3.83950,0.18826,3.61808,0.02090,6279649.20000
210,3.96895,0.18400,3.74756,0.02751,6153959.40000
220,4.17496,0.17709,3.96032,0.02652,5654925.00000
230,4.20467,0.17532,3.99480,0.02387,5715609.00000
240,3.91853,0.20130,3.66213,0.02175,6556806.00000
250,3.93834,0.20107,3.59983,0.02779,6632634.60000
260,3.88510,0.20292,3.59925,0.02377,6632607.00000
270,3.86802,0.20336,3.59943,0.02273,6632600.40000
280,3.83484,0.20406,3.59931,0.02072,6632592.60000
290,3.86225,0.20118,3.59908,0.02124,6632589.00000
300,3.93041,0.19319,3.70411,0.02074,6086332.20000
310,3.87810,0.18577,3.59897,0.01960,5774538.60000
320,3.84790,0.18310,3.63586,0.01887,5711706.00000
330,3.94241,0.18156,3.72678,0.02032,5522449.20000
340,3.87547,0.17684,3.66388,0.02309,5438616.30000
350,3.89567,0.17354,3.59929,0.02930,5419182.00000
360,3.83945,0.17082,3.59898,0.02553,5369350.80000
370,3.79156,0.15634,3.59943,0.02537,4967546.10000
380,3.78505,0.15166,3.59937,0.02432,4898302.80000
390,3.78440,0.15244,3.59923,0.02242,4809108.60000
400,3.78138,0.15203,3.59935,0.01996,4843965.00000
410,3.78701,0.15574,3.59970,0.02108,4857206.70000
420,3.78719,0.15253,3.59952,0.02468,4924218.00000
430,3.78357,0.15067,3.59987,0.02322,4921590.00000
440,3.78062,0.14997,3.59932,0.02081,4919838.00000
450,3.77859,0.14796,3.59961,0.02115,4918621.20000
460,3.77751,0.14726,3.59934,0.02112,4915782.00000
470,3.79672,0.14694,3.59950,0.02120,4915782.00000
480,3.77350,0.14522,3.59526,0.02104,4724589.90000
490,3.72537,0.13124,3.56311,0.02100,4350555.00000
500,3.84704,0.13704,3.67715,0.02270,4561743.60000
510,3.76582,0.14100,3.56292,0.02212,4649973.00000
520,3.76719,0.14120,3.56280,0.02148,4649973.00000
530,3.79330,0.14043,3.62136,0.02184,4649973.00000
540,3.73382,0.13983,3.56296,0.02082,4649973.00000
550,3.74154,0.14620,3.56434,0.02079,4889201.10000
560,3.80629,0.14978,3.56297,0.02261,4808830.80000
570,3.74016,0.14479,3.56283,0.02050,4297629.90000
580,3.75134,0.12043,3.59818,0.02126,3585789.60000
590,3.75314,0.15313,3.56288,0.02110,5050871.70000
600,3.88384,0.22235,3.62844,0.02220,7428586.80000
610,4.00974,0.27628,3.69784,0.02382,9154439.10000
620,3.96318,0.29678,3.63065,0.02451,9521362.20000
630,3.96467,0.29597,3.63032,0.02761,9517167.00000
640,3.89584,0.29366,3.56374,0.02758,9459631.80000
650,3.89934,0.29538,3.56367,0.02957,9421272.60000
660,3.96603,0.32931,3.56323,0.03280,10768835.40000
670,4.00566,0.33625,3.56365,0.03432,10858999.20000
680,3.97553,0.33782,3.56339,0.03326,10858885.50000
690,3.96654,0.33795,3.58716,0.03056,10855368.00000
700,3.87078,0.33898,3.48920,0.02938,10855368.00000
710,3.85314,0.34073,3.47126,0.02991,10855368.00000
720,3.88341,0.33903,3.44377,0.03028,10673067.00000
730,3.74096,0.33626,3.36471,0.02730,10593060.00000
740,3.68968,0.33152,3.32207,0.02554,10404744.00000
750,3.73140,0.32808,3.36008,0.02711,10279200.00000
760,3.90069,0.33410,3.46176,0.02954,10437937.50000
770,3.97889,0.34544,3.55466,0.03446,10766673.60000
780,4.06074,0.34907,3.63388,0.03634,10864798.80000
790,3.93246,0.32114,3.56361,0.03432,9787313.40000
800,4.03275,0.31660,3.56352,0.03719,9664446.60000
810,3.97604,0.31760,3.56300,0.03364,9667598.40000
820,4.09628,0.31571,3.73482,0.03529,9667593.00000
830,4.01410,0.31864,3.65398,0.03141,9667602.00000
840,3.95812,0.32162,3.56317,0.02753,9667602.60000
850,4.03503,0.32582,3.56336,0.03026,9667603.20000
860,3.98301,0.32814,3.56291,0.02766,9667607.40000
870,4.11039,0.34048,3.73106,0.02920,10385949.00000
880,3.96037,0.36630,3.56258,0.02080,10864839.00000
890,4.02852,0.36869,3.56269,0.02493,10864839.00000
900,4.00053,0.37015,3.56275,0.02344,10864835.40000
910,4.10943,0.36720,3.64568,0.03298,10864828.20000
920,3.96972,0.35822,3.56942,0.03191,10864825.20000
930,4.04340,0.35777,3.64014,0.03440,10864821.00000
940,3.92322,0.35694,3.49972,0.03009,10864821.00000
950,3.97839,0.35634,3.52596,0.03191,10864821.00000
960,4.02018,0.35521,3.55650,0.03386,10864818.00000
970,3.98453,0.35209,3.56351,0.02782,10864786.20000
980,4.01744,0.34404,3.57568,0.02754,10864773.00000
990,4.03786,0.34870,3.65184,0.02659,10864773.00000
1000,4.05269,0.34787,3.66959,0.02466,10625328.60000
1010,3.98081,0.31648,3.60011,0.02385,9667551.00000
1020,3.97793,0.31065,3.60056,0.02428,9667551.00000
1030,3.96687,0.30420,3.56460,0.02535,9667551.00000
1040,3.93544,0.30512,3.56357,0.02526,9667551.00000
1050,3.94244,0.31116,3.56344,0.02594,10146439.80000
1060,3.96694,0.33531,3.56319,0.02678,10864773.00000
1070,4.08152,0.34121,3.69986,0.02980,10864773.00000
1080,3.92580,0.31938,3.56360,0.02763,10025094.60000
1090,3.88744,0.29052,3.56351,0.02309,9329834.40000
1100,3.88549,0.28732,3.56396,0.02302,9156234.00000
1110,3.88437,0.28702,3.56382,0.02283,9156234.00000
1120,3.88406,0.28730,3.56305,0.02270,9156234.00000
1130,3.88233,0.28563,3.56339,0.02263,9153888.00000
1140,3.86846,0.27259,3.56309,0.02100,8888382.00000
1150,3.81126,0.21732,3.56285,0.02086,6681090.00000
1160,3.82199,0.21572,3.56300,0.02084,7146947.40000
1170,3.88169,0.28670,3.56312,0.02115,9101922.00000
1180,3.93573,0.27849,3.56292,0.02266,9097980.00000
1190,3.90364,0.27716,3.56278,0.02290,9099990.00000
1200,3.91178,0.28171,3.56356,0.02347,9103005.00000
1210,3.96582,0.27898,3.63273,0.02258,9103881.00000
1220,4.02348,0.27508,3.70771,0.02732,9103005.00000
1230,3.95118,0.27504,3.64312,0.02211,9103013.40000
1240,3.90745,0.28024,3.56304,0.02209,9103039.20000
1250,3.88974,0.28099,3.56302,0.02127,9100531.50000
1260,4.00052,0.27292,3.56368,0.02557,9094303.20000
1270,3.96466,0.27239,3.56283,0.02743,9091825.20000
1280,3.90035,0.26874,3.56303,0.02351,8847516.90000
1290,3.92970,0.26042,3.56304,0.02517,8728518.00000
1300,3.90207,0.25277,3.56314,0.02158,8236771.20000
1310,3.84913,0.18614,3.56299,0.02198,6191688.00000
1320,3.95941,0.21029,3.56263,0.02316,6862126.50000
1330,3.94913,0.18731,3.56288,0.02666,5573805.00000
1340,3.79628,0.19679,3.56258,0.01830,6060954.00000
1350,3.82165,0.22950,3.56312,0.01880,6881545.80000
1360,3.90209,0.30419,3.56294,0.02030,9634320.90000
1370,3.97092,0.34582,3.56285,0.02174,10864779.00000
1380,3.98942,0.34775,3.57667,0.02335,10864773.60000
1390,4.12297,0.34574,3.59048,0.02844,10864773.00000
1400,4.18270,0.34454,3.76321,0.02986,10864774.80000
1410,3.50752,0.32792,3.11810,0.02402,10566703.20000
1420,3.05478,0.32000,2.70572,0.01908,10592118.60000
1430,3.51606,0.34247,3.10396,0.02674,10864791.00000
1440,3.44699,0.34371,3.06910,0.02343,10864798.20000
1450,3.46786,0.34662,3.07549,0.02440,10864803.00000
1460,3.64941,0.34840,3.21391,0.02816,10864803.00000
1470,3.67604,0.35173,3.24421,0.02787,10864803.00000
1480,3.71030,0.35294,3.28114,0.03316,10864807.80000
1490,3.60433,0.35510,3.21092,0.02812,10864813.20000
1500,3.59428,0.35731,3.19935,0.02708,10864818.60000
1510,3.56366,0.36143,3.16680,0.02559,10864824.00000
1520,3.49207,0.36417,3.09416,0.02402,10864827.00000
1530,3.37211,0.35971,2.94950,0.02228,10864822.20000
1540,3.09405,0.35875,2.69746,0.02054,10864824.00000
1550,3.11056,0.36036,2.68884,0.02018,10864827.00000
1560,3.16083,0.36212,2.76507,0.02265,10864828.20000
1570,3.14456,0.36302,2.75126,0.01966,10869039.60000
1580,3.24209,0.36520,2.81085,0.02240,10951032.60000
1590,3.32325,0.36631,2.88952,0.02359,10974487.80000
1600,3.33484,0.36547,2.91394,0.02020,10974497.40000
1610,3.23179,0.36402,2.83804,0.01955,10974504.00000
1620,3.15447,0.36206,2.72790,0.02096,10974501.00000
1630,3.01949,0.36014,2.60749,0.02046,10974495.00000
1640,2.94794,0.35901,2.56108,0.01831,10974492.00000
1650,2.96988,0.35868,2.54922,0.01994,10974492.00000
1660,2.92819,0.35819,2.50571,0.01948,10974493.80000
1670,2.90310,0.35776,2.48120,0.01952,10974916.20000
1680,2.83880,0.36139,2.44628,0.01799,11108102.10000
1690,2.79439,0.36588,2.36096,0.01872,11241013.20000
1700,2.65476,0.36558,2.25789,0.01756,11241018.60000
1710,2.56232,0.36428,2.17075,0.01742,11241024.00000
1720,2.48203,0.36444,2.08146,0.01725,11241025.80000
1730,2.37500,0.36340,1.98466,0.01700,11241037.20000
1740,2.32187,0.36058,1.88026,0.01669,11241052.20000
1750,2.15250,0.35985,1.75812,0.01668,11241054.00000
1760,2.11310,0.35991,1.67933,0.01624,11241054.00000
1770,2.01667,0.35917,1.63202,0.01618,11241054.00000
1780,1.97018,0.36039,1.58343,0.01608,11241054.00000
1790,1.96130,0.36005,1.53191,0.01580,11241054.00000
1800,1.86171,0.35933,1.47395,0.01577,11241054.00000
1810,1.84375,0.35871,1.46150,0.01565,11241049.80000
1820,1.86633,0.35925,1.47804,0.01582,11241039.60000
1830,1.92594,0.35917,1.53603,0.01562,11241032.40000
1840,1.95607,0.35926,1.57286,0.01592,11241024.00000
1850,1.99907,0.35992,1.61512,0.01605,11241018.00000
1860,2.12287,0.36085,1.68795,0.01602,11241019.80000
1870,2.20364,0.36244,1.78699,0.01633,11241019.80000
1880,2.32613,0.36262,1.88214,0.01638,11241012.60000
1890,2.39194,0.36441,1.96530,0.01683,11241006.00000
1900,2.51401,0.36694,2.07583,0.01702,11241003.00000
1910,2.59389,0.36679,2.15964,0.01721,11240994.00000
1920,2.64729,0.36691,2.25281,0.01758,11240985.60000
1930,2.76067,0.36847,2.36457,0.01787,11240971.20000
1940,2.98626,0.36937,2.56284,0.01817,11240961.00000
1950,3.04366,0.37079,2.64062,0.02204,11240949.00000
1960,3.17838,0.37111,2.75303,0.02061,11240934.60000
1970,3.34046,0.37137,2.85238,0.02314,11240930.40000
1980,3.35901,0.36962,2.96035,0.01974,11161169.70000
1990,3.21092,0.36090,2.77678,0.01886,10974408.00000
2000,3.09086,0.36059,2.66510,0.02086,10974408.00000
2010,3.15959,0.36210,2.73073,0.02110,10974408.00000
2020,3.23326,0.36319,2.83562,0.01884,10974408.00000
2030,3.26872,0.36006,2.83983,0.02126,10974408.00000
2040,3.11942,0.35576,2.73426,0.01840,10973341.80000
2050,3.20553,0.35385,2.75868,0.02132,10972275.60000
2060,3.47380,0.35676,3.03513,0.02087,10974408.00000
