frame,total,depth_prepass,forward,index_count
0,0.25162,0.08459,0.16019,6388479.00000
10,0.25715,0.08548,0.16428,6388479.00000
20,0.25637,0.08539,0.16419,6388479.00000
30,0.26210,0.08576,0.16957,6388479.00000
40,0.26690,0.08590,0.17428,6388479.00000
50,0.31880,0.10531,0.20645,7620873.90000
60,0.34316,0.11442,0.22113,7933098.00000
70,0.34297,0.11664,0.21969,7933098.00000
80,0.34653,0.11621,0.22308,7933098.00000
90,0.34052,0.11581,0.21720,7933098.00000
100,0.36186,0.11500,0.24002,7778540.10000
110,0.29500,0.08853,0.19966,6388359.00000
120,0.29328,0.08805,0.19854,6388359.00000
130,0.28815,0.08795,0.19359,6328608.30000
140,0.28482,0.08732,0.19078,6278724.00000
150,0.28606,0.08745,0.19180,6278724.00000
160,0.29365,0.09064,0.19560,6344505.00000
170,0.30161,0.09731,0.19750,6548192.40000
180,0.30560,0.10195,0.19686,6654137.70000
190,0.30291,0.09802,0.19852,6649594.80000
200,0.29965,0.09075,0.20196,6279649.20000
210,0.30353,0.09024,0.20637,6153959.40000
220,0.28318,0.08002,0.19616,5654925.00000
230,0.27345,0.07798,0.18852,5715609.00000
240,0.30016,0.09136,0.20183,6556806.00000
250,0.30791,0.09600,0.20504,6632634.60000
260,0.30108,0.09529,0.19896,6632607.00000
270,0.30371,0.09585,0.20038,6632600.40000
280,0.30786,0.09610,0.20515,6632592.60000
290,0.30752,0.09680,0.20384,6632589.00000
300,0.28250,0.08813,0.18768,6086332.20000
310,0.27213,0.08368,0.18159,5774538.60000
320,0.26707,0.08130,0.17878,5711706.00000
330,0.26036,0.07942,0.17382,5522449.20000
340,0.26398,0.08103,0.17635,5438616.30000
350,0.27056,0.08376,0.17958,5419182.00000
360,0.26607,0.08152,0.17653,5369350.80000
370,0.26596,0.07514,0.18342,4967546.10000
380,0.26223,0.07416,0.18109,4898302.80000
390,0.25442,0.07258,0.17502,4809108.60000
400,0.24712,0.07060,0.16906,4843965.00000
410,0.25062,0.07215,0.17172,4857206.70000
420,0.26080,0.07295,0.18091,4924218.00000
430,0.26473,0.07083,0.18712,4921590.00000
440,0.24382,0.06702,0.17010,4919838.00000
450,0.24691,0.06627,0.17392,4918621.20000
460,0.24698,0.06568,0.17455,4915782.00000
470,0.24312,0.06551,0.17089,4915782.00000
480,0.25248,0.06396,0.18168,4724589.90000
490,0.22800,0.05876,0.16230,4350555.00000
500,0.24330,0.06053,0.17582,4561743.60000
510,0.23202,0.06204,0.16310,4649973.00000
520,0.23064,0.06226,0.16135,4649973.00000
530,0.23230,0.06198,0.16378,4649973.00000
540,0.23419,0.06213,0.16506,4649973.00000
550,0.24781,0.06574,0.17498,4889201.10000
560,0.24504,0.06808,0.16977,4808830.80000
570,0.23193,0.06493,0.15974,4297629.90000
580,0.21001,0.05638,0.14673,3585789.60000
590,0.25290,0.07386,0.17247,5050871.70000
600,0.33380,0.10783,0.21880,7428586.80000
610,0.41033,0.14758,0.25582,9154439.10000
620,0.42856,0.16382,0.25781,9521362.20000
630,0.42586,0.16242,0.25610,9517167.00000
640,0.42112,0.16050,0.25354,9459631.80000
650,0.41754,0.15907,0.25132,9421272.60000
660,0.49078,0.19404,0.28946,10768835.40000
670,0.50446,0.20072,0.29641,10858999.20000
680,0.50744,0.20264,0.29742,10858885.50000
690,0.50626,0.20186,0.29670,10855368.00000
700,0.50787,0.20340,0.29703,10855368.00000
710,0.50808,0.20310,0.29734,10855368.00000
720,0.49816,0.19788,0.29279,10673067.00000
730,0.48891,0.19464,0.28703,10593060.00000
740,0.48128,0.19211,0.28176,10404744.00000
750,0.47435,0.18832,0.27842,10279200.00000
760,0.48470,0.19305,0.28399,10437937.50000
770,0.50410,0.20290,0.29366,10766673.60000
