frame,total,visibility,resolve,index_count
0,0.29116,0.17580,0.10856,6388479.00000
10,0.29514,0.17546,0.11304,6388479.00000
20,0.29994,0.17587,0.11737,6388479.00000
30,0.30804,0.17768,0.12310,6388479.00000
40,0.31476,0.17891,0.12934,6388479.00000
50,0.35637,0.21378,0.13571,7620873.90000
60,0.38739,0.23040,0.14983,7933098.00000
70,0.39470,0.23173,0.15587,7933098.00000
80,0.39400,0.23126,0.15560,7933098.00000
90,0.39348,0.23028,0.15586,7933098.00000
100,0.39131,0.22860,0.15556,7778540.10000
110,0.34719,0.18346,0.15674,6388359.00000
120,0.34530,0.18185,0.15696,6388359.00000
130,0.34596,0.18178,0.15708,6328608.30000
140,0.34098,0.17758,0.15669,6278724.00000
150,0.33962,0.17676,0.15658,6278724.00000
160,0.34082,0.17693,0.15715,6344505.00000
170,0.34794,0.18428,0.15699,6548192.40000
180,0.35456,0.19142,0.15662,6654137.70000
190,0.35179,0.18881,0.15631,6649594.80000
200,0.33706,0.17361,0.15656,6279649.20000
210,0.33313,0.16962,0.15656,6153959.40000
220,0.32077,0.15743,0.15653,5654925.00000
230,0.31780,0.15483,0.15632,5715609.00000
240,0.34846,0.18550,0.15628,6556806.00000
250,0.34638,0.18362,0.15597,6632634.60000
260,0.34939,0.18664,0.15576,6632607.00000
270,0.34886,0.18679,0.15546,6632600.40000
280,0.34882,0.18561,0.15646,6632592.60000
290,0.34442,0.18165,0.15571,6632589.00000
300,0.33682,0.17446,0.15549,6086332.20000
310,0.32726,0.16602,0.15449,5774538.60000
320,0.32314,0.16197,0.15455,5711706.00000
330,0.32329,0.16154,0.15493,5522449.20000
340,0.32037,0.15877,0.15492,5438616.30000
350,0.31497,0.15348,0.15486,5419182.00000
360,0.31313,0.15132,0.15502,5369350.80000
370,0.30296,0.13939,0.15639,4967546.10000
380,0.29706,0.13449,0.15596,4898302.80000
390,0.29725,0.13491,0.15572,4809108.60000
400,0.29679,0.13506,0.15505,4843965.00000
410,0.30119,0.13883,0.15576,4857206.70000
420,0.29920,0.13645,0.15589,4924218.00000
430,0.29677,0.13431,0.15548,4921590.00000
440,0.29458,0.13328,0.15477,4919838.00000
450,0.29087,0.13008,0.15401,4918621.20000
460,0.28954,0.12856,0.15400,4915782.00000
470,0.28907,0.12832,0.15410,4915782.00000
480,0.28631,0.12582,0.15370,4724589.90000
490,0.27670,0.11615,0.15387,4350555.00000
500,0.28152,0.12071,0.15392,4561743.60000
510,0.28533,0.12431,0.15413,4649973.00000
520,0.28525,0.12408,0.15433,4649973.00000
530,0.28408,0.12320,0.15428,4649973.00000
540,0.28485,0.12373,0.15426,4649973.00000
550,0.28920,0.12846,0.15432,4889201.10000
560,0.29418,0.13193,0.15540,4808830.80000
570,0.28988,0.12927,0.15406,4297629.90000
580,0.26843,0.10798,0.15365,3585789.60000
590,0.29698,0.13475,0.15548,5050871.70000
600,0.36986,0.20687,0.15621,7428586.80000
610,0.42996,0.26660,0.15609,9154439.10000
620,0.45056,0.28609,0.15722,9521362.20000
630,0.44858,0.28358,0.15784,9517167.00000
640,0.44661,0.28152,0.15788,9459631.80000
650,0.44781,0.28252,0.15800,9421272.60000
660,0.48397,0.31877,0.15836,10768835.40000
670,0.49203,0.32648,0.15836,10858999.20000
680,0.49450,0.32953,0.15790,10858885.50000
690,0.49129,0.32867,0.15564,10855368.00000
700,0.49145,0.32959,0.15468,10855368.00000
710,0.49337,0.33172,0.15429,10855368.00000
720,0.48924,0.32950,0.15280,10673067.00000
730,0.48428,0.32776,0.14949,10593060.00000
740,0.47714,0.32257,0.14732,10404744.00000
750,0.47431,0.31859,0.14860,10279200.00000
760,0.48492,0.32490,0.15285,10437937.50000
770,0.49970,0.33475,0.15794,10766673.60000
780,0.50390,0.33796,0.15898,10864798.80000
790,0.47542,0.31037,0.15837,9787313.40000
800,0.47268,0.30798,0.15774,9664446.60000
810,0.47191,0.30735,0.15764,9667598.40000
820,0.47055,0.30629,0.15741,9667593.00000
830,0.47372,0.30957,0.15732,9667602.00000
840,0.47666,0.31303,0.15684,9667602.60000
850,0.48142,0.31745,0.15690,9667603.20000
860,0.48568,0.32182,0.15730,9667607.40000
870,0.49548,0.33276,0.15614,10385949.00000
880,0.51718,0.35602,0.15417,10864839.00000
890,0.52146,0.36010,0.15422,10864839.00000
900,0.52105,0.35952,0.15456,10864835.40000
910,0.52199,0.35857,0.15608,10864828.20000
920,0.50984,0.34982,0.15331,10864825.20000
930,0.50796,0.34866,0.15221,10864821.00000
940,0.50895,0.34829,0.15380,10864821.00000
950,0.50846,0.34682,0.15483,10864821.00000
960,0.50914,0.34592,0.15618,10864818.00000
970,0.50579,0.34217,0.15643,10864786.20000
980,0.49664,0.33397,0.15569,10864773.00000
990,0.50133,0.33814,0.15622,10864773.00000
1000,0.50163,0.33866,0.15588,10625328.60000
1010,0.46910,0.30664,0.15571,9667551.00000
1020,0.46482,0.30166,0.15620,9667551.00000
1030,0.45733,0.29416,0.15586,9667551.00000
1040,0.45811,0.29498,0.15578,9667551.00000
1050,0.46494,0.30123,0.15649,10146439.80000
1060,0.48768,0.32415,0.15670,10864773.00000
1070,0.49626,0.33228,0.15697,10864773.00000
1080,0.47348,0.30951,0.15692,10025094.60000
1090,0.44339,0.28087,0.15560,9329834.40000
1100,0.44063,0.27740,0.15585,9156234.00000
1110,0.43986,0.27694,0.15557,9156234.00000
1120,0.44068,0.27794,0.15539,9156234.00000
1130,0.43926,0.27688,0.15517,9153888.00000
1140,0.42455,0.26263,0.15468,8888382.00000
1150,0.36779,0.20524,0.15568,6681090.00000
1160,0.36326,0.20031,0.15571,7146947.40000
1170,0.43960,0.27752,0.15504,9101922.00000
1180,0.43064,0.26830,0.15518,9097980.00000
1190,0.43067,0.26835,0.15500,9099990.00000
1200,0.43475,0.27254,0.15516,9103005.00000
1210,0.43369,0.27118,0.15519,9103881.00000
1220,0.42839,0.26612,0.15501,9103005.00000
1230,0.42721,0.26521,0.15499,9103013.40000
1240,0.43278,0.27105,0.15450,9103039.20000
1250,0.43142,0.26958,0.15467,9100531.50000
1260,0.42382,0.26138,0.15496,9094303.20000
1270,0.42290,0.26099,0.15472,9091825.20000
1280,0.41972,0.25798,0.15428,8847516.90000
1290,0.41156,0.25061,0.15372,8728518.00000
1300,0.40474,0.24279,0.15478,8236771.20000
1310,0.32905,0.16739,0.15461,6191688.00000
1320,0.35266,0.19108,0.15475,6862126.50000
1330,0.33108,0.16987,0.15420,5573805.00000
1340,0.34080,0.18015,0.15378,6060954.00000
1350,0.37660,0.21444,0.15532,6881545.80000
1360,0.45550,0.29388,0.15490,9634320.90000
1370,0.49964,0.33753,0.15510,10864779.00000
1380,0.49869,0.33626,0.15532,10864773.60000
1390,0.49743,0.33477,0.15541,10864773.00000
1400,0.49580,0.33364,0.15557,10864774.80000
1410,0.46519,0.31966,0.13812,10566703.20000
1420,0.43917,0.30973,0.12242,10592118.60000
1430,0.47911,0.33328,0.13856,10864791.00000
1440,0.48009,0.33579,0.13738,10864798.20000
1450,0.48367,0.33889,0.13770,10864803.00000
1460,0.48973,0.34162,0.14101,10864803.00000
1470,0.49354,0.34415,0.14220,10864803.00000
1480,0.49736,0.34676,0.14365,10864807.80000
1490,0.49904,0.34868,0.14344,10864813.20000
1500,0.50105,0.35105,0.14299,10864818.60000
1510,0.50292,0.35422,0.14184,10864824.00000
1520,0.50398,0.35776,0.13934,10864827.00000
1530,0.49148,0.35316,0.13152,10864822.20000
1540,0.48165,0.35096,0.12350,10864824.00000
1550,0.48224,0.35232,0.12302,10864827.00000
1560,0.48611,0.35473,0.12461,10864828.20000
1570,0.49002,0.35715,0.12574,10869039.60000
1580,0.49358,0.35843,0.12846,10951032.60000
1590,0.49748,0.35899,0.13146,10974487.80000
1600,0.49676,0.35773,0.13242,10974497.40000
1610,0.49294,0.35688,0.12926,10974504.00000
