frame,total,depth_prepass,geometry,lighting,index_count
0,0.30216,0.12680,0.14553,0.01982,6388479.00000
10,0.30351,0.12735,0.14632,0.01983,6388479.00000
20,0.30708,0.12829,0.14899,0.02010,6388479.00000
30,0.30962,0.12850,0.15100,0.02020,6388479.00000
40,0.31283,0.12849,0.15330,0.02066,6388479.00000
50,0.36974,0.15244,0.18481,0.02252,7620873.90000
60,0.39569,0.16034,0.19956,0.02476,7933098.00000
70,0.39812,0.16028,0.20043,0.02700,7933098.00000
80,0.39825,0.15968,0.20161,0.02655,7933098.00000
90,0.39624,0.16046,0.19974,0.02602,7933098.00000
100,0.39604,0.15931,0.20174,0.02411,7778540.10000
110,0.33022,0.12868,0.16888,0.02279,6388359.00000
120,0.33276,0.12904,0.17033,0.02362,6388359.00000
130,0.33079,0.12831,0.16902,0.02362,6328608.30000
140,0.32566,0.12759,0.16510,0.02311,6278724.00000
150,0.32714,0.12774,0.16563,0.02367,6278724.00000
160,0.32892,0.13006,0.16624,0.02280,6344505.00000
170,0.33752,0.13664,0.16912,0.02178,6548192.40000
180,0.34605,0.14031,0.17350,0.02255,6654137.70000
190,0.33797,0.13751,0.16764,0.02292,6649594.80000
200,0.33032,0.12923,0.16702,0.02359,6279649.20000
210,0.32795,0.12968,0.16570,0.02290,6153959.40000
220,0.30579,0.11768,0.15492,0.02319,5654925.00000
230,0.29886,0.11517,0.15320,0.02043,5715609.00000
240,0.33005,0.13286,0.16518,0.02168,6556806.00000
250,0.34007,0.13627,0.17024,0.02400,6632634.60000
260,0.33428,0.13559,0.16826,0.02065,6632607.00000
270,0.33372,0.13565,0.16714,0.02073,6632600.40000
280,0.33894,0.13637,0.17017,0.02229,6632592.60000
290,0.33915,0.13704,0.17080,0.02224,6632589.00000
300,0.31414,0.12539,0.15952,0.01796,6086332.20000
310,0.29793,0.11938,0.15124,0.01721,5774538.60000
320,0.29281,0.11620,0.14898,0.01776,5711706.00000
330,0.28678,0.11355,0.14378,0.01854,5522449.20000
340,0.28853,0.11482,0.14462,0.01876,5438616.30000
350,0.29058,0.11656,0.14522,0.01879,5419182.00000
360,0.29026,0.11461,0.14637,0.01880,5369350.80000
370,0.28361,0.10708,0.14503,0.02078,4967546.10000
380,0.28022,0.10573,0.14368,0.02012,4898302.80000
390,0.27198,0.10408,0.13885,0.01863,4809108.60000
400,0.26553,0.10019,0.13763,0.01764,4843965.00000
410,0.27258,0.10402,0.14005,0.01834,4857206.70000
420,0.28124,0.10434,0.14469,0.02175,4924218.00000
430,0.28043,0.10347,0.14478,0.02193,4921590.00000
440,0.27053,0.10151,0.13832,0.02064,4919838.00000
450,0.27528,0.10170,0.14433,0.01891,4918621.20000
460,0.27098,0.10131,0.14052,0.01889,4915782.00000
470,0.26728,0.10100,0.13664,0.01900,4915782.00000
480,0.27133,0.09860,0.14302,0.01872,4724589.90000
490,0.24953,0.08919,0.13198,0.01809,4350555.00000
500,0.26378,0.09378,0.14139,0.01836,4561743.60000
510,0.25467,0.09649,0.12891,0.01862,4649973.00000
520,0.25372,0.09672,0.12818,0.01851,4649973.00000
530,0.25342,0.09664,0.12741,0.01880,4649973.00000
540,0.25477,0.09602,0.12962,0.01856,4649973.00000
550,0.26936,0.10039,0.13936,0.01882,4889201.10000
560,0.26731,0.10033,0.13787,0.01842,4808830.80000
570,0.25388,0.09444,0.13139,0.01776,4297629.90000
580,0.22199,0.07676,0.11771,0.01746,3585789.60000
590,0.27304,0.10490,0.13972,0.01806,5050871.70000
600,0.37011,0.14819,0.18970,0.02184,7428586.80000
610,0.45348,0.18176,0.23454,0.02677,9154439.10000
620,0.47905,0.19279,0.24431,0.03174,9521362.20000
630,0.48411,0.19298,0.24627,0.03460,9517167.00000
640,0.48255,0.19164,0.24496,0.03559,9459631.80000
650,0.48200,0.19070,0.24356,0.03728,9421272.60000
660,0.54451,0.21732,0.27493,0.04234,10768835.40000
670,0.55367,0.22088,0.28066,0.04216,10858999.20000
680,0.55946,0.22270,0.28530,0.04108,10858885.50000
690,0.55616,0.22160,0.28484,0.03952,10855368.00000
700,0.55631,0.22233,0.28534,0.03827,10855368.00000
710,0.55583,0.22249,0.28572,0.03779,10855368.00000
720,0.54634,0.21754,0.28209,0.03635,10673067.00000
730,0.53766,0.21639,0.27788,0.03382,10593060.00000
740,0.52544,0.21269,0.27229,0.03021,10404744.00000
750,0.51975,0.20975,0.26937,0.03011,10279200.00000
760,0.52878,0.21261,0.27476,0.03159,10437937.50000
770,0.54614,0.21952,0.28195,0.03439,10766673.60000
780,0.54957,0.22113,0.28240,0.03586,10864798.80000
790,0.50052,0.20074,0.25605,0.03389,9787313.40000
800,0.49304,0.19709,0.25310,0.03334,9664446.60000
810,0.49150,0.19789,0.25220,0.03135,9667598.40000
820,0.49309,0.19692,0.25469,0.03136,9667593.00000
830,0.49367,0.19725,0.25626,0.03016,9667602.00000
840,0.49203,0.19642,0.25578,0.02979,9667602.60000
850,0.49336,0.19781,0.25770,0.02778,9667603.20000
860,0.49180,0.19851,0.25817,0.02546,9667607.40000
870,0.50823,0.20881,0.26506,0.02524,10385949.00000
880,0.53596,0.22503,0.28152,0.01867,10864839.00000
890,0.53682,0.22737,0.28077,0.01827,10864839.00000
900,0.54124,0.22810,0.28386,0.01908,10864835.40000
910,0.55594,0.23081,0.28999,0.02496,10864828.20000
920,0.55157,0.22690,0.28708,0.02760,10864825.20000
930,0.55037,0.22706,0.28561,0.02743,10864821.00000
940,0.54926,0.22614,0.28473,0.02794,10864821.00000
950,0.55172,0.22588,0.28681,0.02870,10864821.00000
960,0.55388,0.22480,0.28924,0.03006,10864818.00000
970,0.55548,0.22519,0.28925,0.03053,10864786.20000
980,0.55528,0.22636,0.28816,0.03054,10864773.00000
990,0.54952,0.22304,0.28624,0.02972,10864773.00000
1000,0.54499,0.22108,0.28802,0.02532,10625328.60000
1010,0.48535,0.19902,0.25281,0.02338,9667551.00000
1020,0.48686,0.19732,0.25246,0.02689,9667551.00000
1030,0.48684,0.19645,0.25165,0.02842,9667551.00000
1040,0.48618,0.19719,0.25133,0.02737,9667551.00000
1050,0.50366,0.20238,0.26102,0.03046,10146439.80000
1060,0.54574,0.22064,0.28300,0.03191,10864773.00000
1070,0.54976,0.22065,0.28572,0.03280,10864773.00000
1080,0.51215,0.20594,0.26566,0.03079,10025094.60000
1090,0.47536,0.18846,0.24885,0.02762,9329834.40000
1100,0.46900,0.18336,0.24473,0.03014,9156234.00000
1110,0.46394,0.18337,0.24071,0.02944,9156234.00000
1120,0.46849,0.18479,0.24192,0.03102,9156234.00000
1130,0.46404,0.18593,0.23797,0.02952,9153888.00000
1140,0.44933,0.18150,0.22824,0.02787,8888382.00000
1150,0.36620,0.14517,0.18466,0.02637,6681090.00000
1160,0.34264,0.13696,0.17296,0.02211,7146947.40000
1170,0.44430,0.18263,0.22391,0.02721,9101922.00000
1180,0.45333,0.18267,0.22977,0.02993,9097980.00000
1190,0.45304,0.18369,0.22874,0.03006,9099990.00000
1200,0.44377,0.18244,0.22414,0.02656,9103005.00000
1210,0.44372,0.18314,0.22337,0.02649,9103881.00000
1220,0.45282,0.18406,0.22922,0.02861,9103005.00000
1230,0.44512,0.18367,0.22432,0.02670,9103013.40000
1240,0.43864,0.18387,0.22016,0.02461,9103039.20000
1250,0.44196,0.18404,0.22249,0.02460,9100531.50000
1260,0.44247,0.18333,0.22262,0.02593,9094303.20000
1270,0.44700,0.18401,0.22720,0.02504,9091825.20000
1280,0.42598,0.17860,0.21506,0.02205,8847516.90000
1290,0.41887,0.17720,0.20786,0.02237,8728518.00000
1300,0.43236,0.17304,0.21988,0.02801,8236771.20000
1310,0.30828,0.12158,0.15764,0.01884,6191688.00000
1320,0.34578,0.13728,0.17683,0.02034,6862126.50000
1330,0.29881,0.11440,0.15618,0.01737,5573805.00000
1340,0.28732,0.11298,0.14679,0.01709,6060954.00000
1350,0.34517,0.14422,0.17393,0.01719,6881545.80000
1360,0.47549,0.19610,0.24786,0.02132,9634320.90000
1370,0.53434,0.22359,0.27498,0.02564,10864779.00000
1380,0.54700,0.22320,0.28651,0.02773,10864773.60000
1390,0.55749,0.22477,0.29288,0.02965,10864773.00000
1400,0.55347,0.22652,0.28846,0.02873,10864774.80000
1410,0.52630,0.21954,0.27414,0.02256,10566703.20000
1420,0.51255,0.21638,0.26507,0.02058,10592118.60000
1430,0.54258,0.22729,0.28230,0.02306,10864791.00000
1440,0.54208,0.22565,0.28281,0.02324,10864798.20000
1450,0.53976,0.22546,0.28029,0.02394,10864803.00000
1460,0.54265,0.22607,0.28143,0.02508,10864803.00000
1470,0.54282,0.22605,0.28163,0.02507,10864803.00000
1480,0.54770,0.22778,0.28316,0.02554,10864807.80000
1490,0.54755,0.22860,0.28332,0.02533,10864813.20000
1500,0.55045,0.23072,0.28536,0.02436,10864818.60000
1510,0.55713,0.23505,0.28821,0.02373,10864824.00000
1520,0.55784,0.23598,0.28839,0.02371,10864827.00000
1530,0.55166,0.23265,0.28533,0.02353,10864822.20000
1540,0.54618,0.23195,0.28147,0.02268,10864824.00000
1550,0.54782,0.23286,0.28205,0.02275,10864827.00000
1560,0.54964,0.23476,0.28163,0.02308,10864828.20000
1570,0.54843,0.23585,0.27852,0.02350,10869039.60000
1580,0.55656,0.24088,0.27962,0.02551,10951032.60000
1590,0.55995,0.24275,0.27962,0.02754,10974487.80000
1600,0.56042,0.24144,0.28068,0.02814,10974497.40000
1610,0.55712,0.24114,0.27907,0.02704,10974504.00000
1620,0.55217,0.24040,0.27593,0.02551,10974501.00000
1630,0.54663,0.24158,0.27109,0.02389,10974495.00000
1640,0.54407,0.24188,0.26940,0.02275,10974492.00000
1650,0.54321,0.24230,0.26791,0.02263,10974492.00000
1660,0.54066,0.24291,0.26573,0.02176,10974493.80000
1670,0.53956,0.24322,0.26482,0.02139,10974916.20000
1680,0.54286,0.24483,0.26700,0.02086,11108102.10000
1690,0.54612,0.24522,0.27044,0.02032,11241013.20000
1700,0.54387,0.24545,0.26877,0.01937,11241018.60000
1710,0.54284,0.24605,0.26780,0.01888,11241024.00000
1720,0.54408,0.24839,0.26706,0.01832,11241025.80000
1730,0.53980,0.24705,0.26552,0.01757,11241037.20000
1740,0.53548,0.24462,0.26426,0.01678,11241052.20000
1750,0.53314,0.24420,0.26282,0.01632,11241054.00000
1760,0.53129,0.24405,0.26130,0.01607,11241054.00000
1770,0.53249,0.24534,0.26122,0.01597,11241054.00000
1780,0.53586,0.24883,0.26107,0.01572,11241054.00000
1790,0.53680,0.24971,0.26142,0.01572,11241054.00000
1800,0.53690,0.25002,0.26146,0.01566,11241054.00000
1810,0.53670,0.24983,0.26144,0.01554,11241049.80000
1820,0.53734,0.25022,0.26166,0.01566,11241039.60000
1830,0.53790,0.25033,0.26200,0.01591,11241032.40000
1840,0.53897,0.25034,0.26309,0.01586,11241024.00000
1850,0.53922,0.25074,0.26238,0.01624,11241018.00000
1860,0.54053,0.25068,0.26324,0.01654,11241019.80000
1870,0.54164,0.25036,0.26414,0.01703,11241019.80000
1880,0.54199,0.25020,0.26432,0.01743,11241012.60000
1890,0.54490,0.25068,0.26626,0.01792,11241006.00000
1900,0.54463,0.25008,0.26589,0.01839,11241003.00000
1910,0.54516,0.24996,0.26628,0.01902,11240994.00000
1920,0.54685,0.24983,0.26716,0.01983,11240985.60000
1930,0.54877,0.24929,0.26898,0.02075,11240971.20000
1940,0.55237,0.24899,0.27072,0.02248,11240961.00000
1950,0.55509,0.24764,0.27338,0.02373,11240949.00000
1960,0.55722,0.24610,0.27522,0.02580,11240934.60000
1970,0.56160,0.24576,0.27816,0.02756,11240930.40000
1980,0.56112,0.24322,0.27939,0.02825,11161169.70000
1990,0.54504,0.23686,0.27273,0.02549,10974408.00000
2000,0.54175,0.23460,0.27319,0.02360,10974408.00000
2010,0.54506,0.23328,0.27748,0.02393,10974408.00000
2020,0.54782,0.23370,0.27978,0.02413,10974408.00000
2030,0.54887,0.23471,0.28112,0.02304,10974408.00000
2040,0.54691,0.23240,0.28272,0.02174,10973341.80000
2050,0.54829,0.23332,0.28322,0.02156,10972275.60000
2060,0.55721,0.23644,0.28802,0.02278,10974408.00000
2070,0.55460,0.23298,0.28787,0.02366,10846963.80000
2080,0.52499,0.22241,0.26982,0.02252,10364410.50000
2090,0.48964,0.21165,0.24678,0.02118,10054158.00000
2100,0.48765,0.21052,0.24635,0.02083,10013727.00000
2110,0.50569,0.21597,0.25658,0.02284,10195232.40000
2120,0.53529,0.22525,0.27390,0.02542,10491190.80000
2130,0.54016,0.22600,0.27869,0.02511,10491226.80000
2140,0.54829,0.22855,0.28392,0.02507,10606616.40000
2150,0.55526,0.23019,0.28712,0.02780,10839546.30000
2160,0.52742,0.22359,0.26939,0.02397,10082360.10000
2170,0.35982,0.15384,0.17772,0.01780,7223112.00000
2180,0.33662,0.14153,0.16722,0.01761,6549874.20000
2190,0.31928,0.13277,0.15864,0.01771,6266152.50000
2200,0.26207,0.10644,0.12808,0.01736,5132634.90000
2210,0.16398,0.05518,0.08457,0.01434,3836330.40000
2220,0.15154,0.05024,0.07634,0.01414,3796645.80000
2230,0.12418,0.04041,0.05921,0.01422,2713873.80000
2240,0.06577,0.01648,0.02470,0.01446,1232427.90000
2250,0.04277,0.00744,0.01047,0.01435,384978.60000
2260,0.03988,0.00591,0.00926,0.01448,521978.40000
2270,0.11508,0.03644,0.05394,0.01428,2713873.80000
2280,0.06896,0.01712,0.02671,0.01448,1252506.00000
2290,0.06713,0.01688,0.02546,0.01454,1252506.00000
2300,0.03453,0.00419,0.00594,0.01479,130779.00000
2310,0.03047,0.00196,0.00307,0.01500,0.00000
2320,0.03021,0.00210,0.00306,0.01494,0.00000
2330,0.03003,0.00206,0.00304,0.01486,0.00000
2340,0.03010,0.00206,0.00305,0.01488,0.00000
2350,0.03009,0.00210,0.00304,0.01481,0.00000
2360,0.03010,0.00216,0.00304,0.01490,0.00000
2370,0.02990,0.00203,0.00302,0.01480,0.00000
2380,0.02991,0.00213,0.00304,0.01480,0.00000
2390,0.03027,0.00215,0.00304,0.01482,0.00000
