run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,use-vfc,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_output_filepath,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_renderer_variant,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
0,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00000.csv,1,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,1,total,0.29667,forward,0.29253,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-23T13:25:17,playback,0.11142,0.31078,0.61987,0.29667,0.12429,0.20445,0.35930,0.38432,4,0,1,1,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,1,1,scene_geom_bistro_ex1,0,0,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-25-23.txt
1,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00001.csv,1,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,5,total,0.53205,forward,0.52788,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-23T13:25:23,playback,0.15600,0.55002,0.92259,0.53205,0.16688,0.37632,0.66912,0.78675,4,0,1,5,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,1,5,scene_geom_bistro_ex1,0,1,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-25-30.txt
2,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00002.csv,1,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,10,total,0.84332,forward,0.83907,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-23T13:25:30,playback,0.15648,0.87430,1.57098,0.84332,0.19254,0.54224,1.08666,1.31021,4,0,1,10,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,1,10,scene_geom_bistro_ex1,0,2,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-25-39.txt
3,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00003.csv,1,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,20,total,1.48314,forward,1.47869,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-23T13:25:39,playback,0.15763,1.53808,2.83731,1.48314,0.19434,0.88918,1.94922,2.42070,4,0,1,20,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,1,20,scene_geom_bistro_ex1,0,3,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-25-52.txt
4,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00004.csv,2,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,1,total,0.41781,depth_prepass,0.16702,forward,0.24397,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,ForwardPrepass,2026-07-23T13:25:52,playback,0.15037,0.45053,0.68518,0.41781,0.16550,0.29645,0.49414,0.51760,4,0,1,1,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,2,1,scene_geom_bistro_ex1,0,4,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-25-59.txt
5,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00005.csv,2,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,5,total,0.51716,depth_prepass,0.16705,forward,0.34322,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,ForwardPrepass,2026-07-23T13:25:59,playback,0.20032,0.53514,0.70307,0.51716,0.25395,0.39082,0.59616,0.63123,4,0,1,5,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,2,5,scene_geom_bistro_ex1,0,5,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-26-06.txt
6,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00006.csv,2,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,10,total,0.66019,depth_prepass,0.16793,forward,0.48538,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,ForwardPrepass,2026-07-23T13:26:06,playback,0.24627,0.68762,1.07347,0.66019,0.27043,0.52282,0.76371,0.82384,4,0,1,10,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,2,10,scene_geom_bistro_ex1,0,6,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-26-14.txt
7,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00007.csv,2,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,20,total,0.95911,depth_prepass,0.16851,forward,0.78365,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,ForwardPrepass,2026-07-23T13:26:15,playback,0.26966,1.00378,1.38326,0.95911,0.32797,0.72947,1.13581,1.23162,4,0,1,20,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,2,20,scene_geom_bistro_ex1,0,7,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-26-24.txt
8,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00008.csv,3,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,1,total,0.34734,geometry,0.31375,lighting,0.02623,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Deferred,2026-07-23T13:26:24,playback,0.12976,0.36323,0.45053,0.34734,0.14790,0.24621,0.41082,0.43130,4,0,1,1,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,3,1,scene_geom_bistro_ex1,0,8,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-26-31.txt
9,scene_geom_bistro_ex1,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_z4vozch2\run_00009.csv,3,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,5,total,0.57013,geometry,0.53660,lighting,0.02623,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Deferred,2026-07-23T13:26:31,playback,0.16195,0.58938,0.98531,0.57013,0.17974,0.42166,0.70432,0.81923,4,0,1,5,0,no-run-name,profile_result.csv,0,1,0,1,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,standard_camera_bistro.csv,10,0,0,10,1920,1080,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,3,5,scene_geom_bistro_ex1,0,9,0,salvaged,0,Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-23_13-26-38.txt
