frame,total,forward,index_count
0,0.37570,0.37142,8231199.00000
10,0.37245,0.36835,8231199.00000
20,0.37487,0.37072,8234561.10000
30,0.37057,0.36637,8236002.00000
40,0.37462,0.37032,8236002.00000
50,0.37308,0.36920,8236002.00000
60,0.37350,0.36945,8236002.00000
70,0.37107,0.36702,8236002.00000
80,0.37617,0.37189,8236002.00000
90,0.45972,0.45513,8237667.00000
100,0.64193,0.63770,8329675.20000
110,0.69405,0.68926,8334444.00000
120,0.72013,0.71608,8317910.40000
130,0.65189,0.64715,8139647.40000
140,0.61670,0.61242,7834020.30000
150,0.54330,0.53919,7424970.00000
160,0.52744,0.52346,7313065.20000
170,0.50251,0.49847,7154175.00000
180,0.53386,0.52962,7421709.90000
190,0.53874,0.53458,7716846.60000
200,0.52693,0.52277,7789365.60000
210,0.54826,0.54382,7826196.60000
220,0.54378,0.53948,7722507.90000
230,0.53582,0.53171,7757628.60000
240,0.51928,0.51505,7718556.00000
250,0.52400,0.51963,7713440.40000
260,0.51579,0.51141,7695356.40000
270,0.54771,0.54358,7698819.00000
280,0.56266,0.55826,7700268.00000
290,0.57790,0.57353,7720264.80000
300,0.58775,0.58355,7730274.00000
310,0.58257,0.57824,7730274.00000
320,0.59054,0.58620,7744542.00000
330,0.60953,0.60499,7870452.00000
340,0.59752,0.59323,7870452.00000
350,0.58842,0.58417,7860626.40000
360,0.58471,0.58036,7803858.00000
370,0.57918,0.57466,7800402.00000
380,0.57849,0.57392,7791610.80000
390,0.58187,0.57750,7793692.20000
400,0.57202,0.56748,7792572.00000
410,0.58070,0.57622,7790788.80000
420,0.55900,0.55471,7774376.10000
430,0.53915,0.53444,7465851.00000
440,0.51335,0.50907,7100517.00000
450,0.52379,0.51966,7082915.40000
460,0.50639,0.50224,7070199.60000
470,0.49735,0.49339,7068315.60000
480,0.49343,0.48920,6944262.90000
490,0.54187,0.53768,6947631.00000
500,0.56599,0.56142,7164264.60000
510,0.57363,0.56929,7409877.60000
520,0.59558,0.59128,7792772.10000
530,0.58450,0.57899,7782946.20000
540,0.56328,0.55889,7708882.20000
550,0.58698,0.58275,7631395.80000
560,0.59296,0.58879,7774871.40000
570,0.65111,0.64674,7833945.00000
580,0.73042,0.72606,8015462.10000
590,0.75418,0.74985,8052279.90000
600,0.76786,0.76357,8120811.00000
610,0.75732,0.75271,8118021.00000
620,0.70989,0.70558,8111811.90000
630,0.62977,0.62569,7943511.60000
640,0.60635,0.60194,7721718.60000
650,0.69472,0.69037,7634876.10000
660,0.66024,0.65626,7668963.00000
670,0.62192,0.61771,7623788.40000
680,0.58894,0.58478,7621869.00000
690,0.56319,0.55906,7621161.00000
700,0.54724,0.54309,7657194.90000
710,0.55892,0.55463,7685407.80000
720,0.56619,0.56191,7674967.20000
730,0.54399,0.53982,7627148.40000
740,0.50802,0.50387,7612737.60000
750,0.52354,0.51916,7626187.20000
760,0.54911,0.54494,7597246.20000
770,0.53900,0.53470,7594820.40000
780,0.52094,0.51674,7589790.60000
790,0.54178,0.53762,7538191.80000
800,0.56480,0.56048,7376284.80000
810,0.59398,0.58989,7196946.00000
820,0.55153,0.54737,7066977.00000
830,0.53357,0.52928,6851366.40000
840,0.53450,0.53053,6848332.80000
850,0.51573,0.51162,6847776.00000
860,0.52512,0.52106,6847488.00000
870,0.58782,0.58369,6847718.40000
880,0.58838,0.58414,6847878.00000
890,0.56306,0.55904,6773436.30000
900,0.51275,0.50860,6977846.70000
910,0.46551,0.46148,8005858.80000
920,0.59457,0.59021,8114672.70000
930,0.66481,0.66033,8255881.50000
940,0.63711,0.63234,8315368.80000
950,0.62615,0.62154,8294084.40000
960,0.60633,0.60197,8262489.00000
970,0.63579,0.63118,8262258.60000
980,0.66114,0.65667,8260713.00000
990,0.65301,0.64862,8260413.00000
1000,0.64316,0.63865,8209144.20000
1010,0.64814,0.64378,8169582.60000
1020,0.63679,0.63235,8152836.60000
1030,0.62217,0.61771,8064639.00000
1040,0.60714,0.60232,8008168.20000
1050,0.59558,0.59138,7889277.00000
1060,0.61132,0.60682,7874770.80000
1070,0.66417,0.65977,7857863.40000
1080,0.68029,0.67562,7844651.40000
1090,0.60292,0.59806,7767534.90000
1100,0.60656,0.60185,7719672.60000
1110,0.57529,0.57114,7176438.30000
1120,0.59664,0.59240,6990166.80000
1130,0.59798,0.59382,6758233.20000
1140,0.62247,0.61833,7029954.30000
