frame,total,depth_prepass,forward,index_count
0,0.51786,0.18058,0.33048,8231199.00000
10,0.51894,0.18016,0.33213,8231199.00000
20,0.56368,0.21533,0.34115,8234561.10000
30,0.52372,0.18150,0.33535,8236002.00000
40,0.52754,0.18060,0.34020,8236002.00000
50,0.52095,0.18215,0.33198,8236002.00000
60,0.52120,0.18102,0.33374,8236002.00000
70,0.52166,0.18119,0.33288,8236002.00000
80,0.52302,0.18116,0.33514,8236002.00000
90,0.64782,0.18888,0.45196,8237667.00000
100,0.76442,0.20182,0.55083,8329675.20000
110,0.77004,0.20504,0.55518,8334444.00000
120,0.72855,0.21296,0.50946,8317910.40000
130,0.70534,0.21334,0.48291,8139647.40000
140,0.70851,0.19377,0.50976,7834020.30000
150,0.70207,0.17340,0.51991,7424970.00000
160,0.69056,0.16928,0.51398,7313065.20000
170,0.69774,0.16594,0.52318,7154175.00000
180,0.68448,0.16882,0.50712,7421709.90000
190,0.70683,0.17964,0.51716,7716846.60000
200,0.67615,0.17980,0.48941,7789365.60000
210,0.72754,0.18152,0.53514,7826196.60000
220,0.70436,0.17831,0.51892,7722507.90000
230,0.70190,0.18254,0.50871,7757628.60000
240,0.68390,0.18070,0.49636,7718556.00000
250,0.70279,0.18340,0.51252,7713440.40000
260,0.68919,0.18153,0.50060,7695356.40000
270,0.69474,0.18164,0.50387,7698819.00000
280,0.68223,0.18190,0.49334,7700268.00000
290,0.67811,0.18280,0.48844,7720264.80000
300,0.68728,0.18286,0.49755,7730274.00000
310,0.69030,0.18372,0.50029,7730274.00000
320,0.68407,0.18368,0.49364,7744542.00000
330,0.68638,0.18824,0.48762,7870452.00000
340,0.68088,0.18762,0.48652,7870452.00000
350,0.69182,0.18865,0.49653,7860626.40000
360,0.68223,0.18624,0.48903,7803858.00000
370,0.68903,0.18692,0.49357,7800402.00000
380,0.68984,0.18636,0.49674,7791610.80000
390,0.69563,0.18716,0.50080,7793692.20000
400,0.70091,0.18816,0.50584,7792572.00000
410,0.70673,0.18870,0.51083,7790788.80000
420,0.70943,0.18834,0.51454,7774376.10000
430,0.71784,0.18151,0.52960,7465851.00000
440,0.72105,0.16727,0.54687,7100517.00000
450,0.74097,0.16597,0.56798,7082915.40000
460,0.74031,0.16362,0.56932,7070199.60000
470,0.74012,0.16423,0.56854,7068315.60000
480,0.72830,0.15936,0.56145,6944262.90000
490,0.75489,0.16019,0.58568,6947631.00000
500,0.76836,0.16792,0.59393,7164264.60000
510,0.72132,0.17871,0.53273,7409877.60000
520,0.70678,0.18912,0.51072,7792772.10000
530,0.68712,0.18973,0.49078,7782946.20000
540,0.68080,0.18361,0.49036,7708882.20000
550,0.68537,0.18161,0.49467,7631395.80000
560,0.70934,0.18486,0.51710,7774871.40000
570,0.76812,0.18690,0.57389,7833945.00000
580,0.72182,0.19144,0.52314,8015462.10000
590,0.70990,0.19648,0.50533,8052279.90000
600,0.71573,0.20756,0.50170,8120811.00000
610,0.72824,0.21025,0.51050,8118021.00000
620,0.71740,0.20198,0.50475,8111811.90000
630,0.70916,0.18945,0.51266,7943511.60000
640,0.72588,0.18398,0.53329,7721718.60000
650,0.77824,0.18226,0.58918,7634876.10000
660,0.82505,0.18167,0.63630,7668963.00000
670,0.74013,0.17920,0.55427,7623788.40000
680,0.70764,0.17960,0.52155,7621869.00000
690,0.71193,0.17864,0.52618,7621161.00000
700,0.73049,0.17864,0.54452,7657194.90000
710,0.70495,0.18050,0.51749,7685407.80000
720,0.70018,0.17943,0.51386,7674967.20000
730,0.69748,0.17813,0.51207,7627148.40000
740,0.67312,0.17962,0.48649,7612737.60000
750,0.69119,0.18049,0.50394,7626187.20000
760,0.70275,0.17972,0.51573,7597246.20000
770,0.66638,0.17897,0.48006,7594820.40000
780,0.64564,0.17838,0.46012,7589790.60000
790,0.65801,0.17748,0.47331,7538191.80000
800,0.66493,0.17420,0.48321,7376284.80000
810,0.68834,0.16866,0.51171,7196946.00000
820,0.67806,0.16468,0.50626,7066977.00000
830,0.64621,0.15868,0.48034,6851366.40000
840,0.66399,0.15854,0.49846,6848332.80000
850,0.66287,0.15828,0.49762,6847776.00000
860,0.66832,0.15853,0.50271,6847488.00000
870,0.72590,0.15917,0.55969,6847718.40000
880,0.76856,0.15896,0.60268,6847878.00000
890,0.69060,0.15673,0.52636,6773436.30000
900,0.62120,0.15657,0.45579,6977846.70000
910,0.65622,0.18223,0.46675,8005858.80000
920,0.69688,0.19137,0.49788,8114672.70000
930,0.68640,0.20369,0.47586,8255881.50000
940,0.66544,0.20376,0.45482,8315368.80000
950,0.69811,0.19847,0.49262,8294084.40000
960,0.73833,0.19922,0.53193,8262489.00000
970,0.72004,0.20042,0.51245,8262258.60000
980,0.72287,0.20197,0.51394,8260713.00000
990,0.73244,0.20250,0.52271,8260413.00000
1000,0.72776,0.20157,0.51917,8209144.20000
1010,0.73798,0.20236,0.52830,8169582.60000
1020,0.73815,0.19974,0.53162,8152836.60000
1030,0.73628,0.19682,0.53257,8064639.00000
1040,0.71895,0.19586,0.51595,8008168.20000
1050,0.70584,0.19039,0.50749,7889277.00000
1060,0.76286,0.18695,0.56930,7874770.80000
1070,0.73028,0.18735,0.53622,7857863.40000
1080,0.75728,0.19024,0.56054,7844651.40000
1090,0.78704,0.19094,0.58944,7767534.90000
1100,0.74728,0.19253,0.54824,7719672.60000
1110,0.71722,0.17868,0.53071,7176438.30000
1120,0.70854,0.17824,0.52348,6990166.80000
1130,0.73851,0.17323,0.55618,6758233.20000
1140,0.74514,0.18162,0.55786,7029954.30000
1150,0.77406,0.19634,0.57082,7408249.20000
1160,0.73909,0.20454,0.52525,7500250.20000
1170,0.75708,0.21596,0.53559,7953082.20000
1180,0.74720,0.21299,0.52596,7999884.00000
1190,0.74235,0.21266,0.52243,8001468.00000
1200,0.75209,0.21258,0.53259,8001468.00000
1210,0.74438,0.20278,0.53444,8001468.00000
1220,0.73846,0.19984,0.53156,8001468.00000
1230,0.74040,0.19961,0.53422,8001480.60000
1240,0.73968,0.19920,0.53362,8003038.20000
1250,0.73672,0.19838,0.53156,8001468.00000
1260,0.74596,0.19811,0.54066,8001473.40000
1270,0.73431,0.19412,0.53363,7966094.40000
1280,0.72565,0.18878,0.52637,7745203.20000
1290,0.69832,0.18053,0.51099,7579748.40000
1300,0.69446,0.17458,0.51116,7498017.00000
1310,0.70200,0.18000,0.51511,7510593.30000
1320,0.69197,0.17331,0.50988,7033727.70000
1330,0.70644,0.17994,0.51874,6970671.00000
1340,0.69487,0.17476,0.51327,6970383.00000
1350,0.68148,0.17146,0.50295,6970383.00000
1360,0.68488,0.17032,0.50782,6970383.00000
1370,0.68517,0.16968,0.50902,6970383.00000
1380,0.70420,0.16904,0.52812,6970383.00000
1390,0.70820,0.17113,0.52992,6970383.00000
1400,0.71582,0.17769,0.53032,7212977.40000
1410,0.75179,0.19822,0.54633,8001493.20000
1420,0.75036,0.19894,0.54472,8001594.00000
1430,0.74563,0.19716,0.54144,7931326.20000
1440,0.74235,0.19347,0.54188,7829976.00000
1450,0.74353,0.19263,0.54377,7834560.60000
1460,0.74112,0.19345,0.54048,7925053.80000
1470,0.76290,0.19493,0.56118,7991727.00000
1480,0.77567,0.19586,0.57313,7999516.80000
1490,0.75083,0.20062,0.54355,8090580.60000
1500,0.77486,0.20896,0.55792,8357266.20000
1510,0.78706,0.21294,0.56761,8470036.80000
1520,0.79396,0.20882,0.57837,8477401.20000
1530,0.79605,0.20971,0.57920,8489996.40000
1540,0.79952,0.21144,0.58092,8495800.80000
1550,0.80622,0.21001,0.58895,8494414.20000
1560,0.76755,0.21227,0.54771,8494104.00000
1570,0.76101,0.21421,0.53997,8494104.00000
1580,0.79781,0.21451,0.57623,8494104.00000
1590,0.79186,0.21534,0.56936,8494104.00000
1600,0.79848,0.21347,0.57826,8494104.00000
1610,0.78800,0.20979,0.57137,8494104.00000
1620,0.79454,0.20940,0.57873,8492731.20000
1630,0.78721,0.20930,0.57081,8491920.00000
1640,0.78462,0.21015,0.56759,8492370.00000
1650,0.78733,0.21023,0.56993,8449743.60000
1660,0.79007,0.20865,0.57449,8384289.00000
1670,0.79600,0.20747,0.58100,8374041.00000
1680,0.79120,0.20764,0.57685,8367843.60000
1690,0.80096,0.20624,0.58750,8358251.40000
1700,0.78256,0.20357,0.57214,8295681.00000
1710,0.78231,0.20151,0.57409,8261586.00000
1720,0.74821,0.19976,0.54113,8187317.10000
1730,0.74784,0.19194,0.54877,8043384.00000
1740,0.74510,0.19189,0.54632,8041504.80000
1750,0.74854,0.19063,0.55129,7985956.20000
1760,0.73295,0.18484,0.54089,7787619.60000
1770,0.73511,0.17674,0.55121,7530717.00000
1780,0.71870,0.17444,0.53707,7427402.40000
1790,0.70509,0.16060,0.53680,6990182.40000
1800,0.69891,0.16046,0.53166,6983793.00000
1810,0.71646,0.16050,0.54934,6983793.00000
1820,0.70304,0.16094,0.53503,6973673.70000
1830,0.71162,0.16031,0.54435,6963402.00000
1840,0.71368,0.16007,0.54651,6963356.40000
1850,0.72135,0.16070,0.55374,6962112.00000
1860,0.73819,0.16150,0.56839,6953349.00000
1870,0.72857,0.16030,0.56132,6944862.00000
1880,0.71940,0.16024,0.55241,6944862.00000
1890,0.70990,0.15140,0.55189,6558870.00000
1900,0.69409,0.15034,0.53682,6558870.00000
1910,0.70253,0.15017,0.54525,6558870.00000
1920,0.68090,0.13986,0.53288,6046112.40000
1930,0.67910,0.13928,0.53328,6034722.00000
1940,0.68410,0.13919,0.53777,6034722.00000
1950,0.67494,0.13857,0.52960,5990710.80000
1960,0.66554,0.13830,0.52048,5990314.80000
1970,0.67297,0.13760,0.52844,5842207.80000
1980,0.63956,0.11909,0.51351,5447708.70000
1990,0.65694,0.11902,0.53126,5451609.00000
2000,0.65285,0.11864,0.52721,5451609.00000
2010,0.66011,0.11907,0.53391,5444671.80000
2020,0.64282,0.11854,0.51699,5444901.00000
2030,0.63656,0.11636,0.51324,5297904.60000
2040,0.63100,0.11357,0.51025,5208151.80000
2050,0.62268,0.11394,0.50138,5207691.00000
2060,0.60653,0.11368,0.48594,5207691.00000
2070,0.55844,0.09237,0.45752,4036655.40000
2080,0.52742,0.08385,0.43667,3727287.00000
2090,0.53778,0.08412,0.44675,3727287.00000
2100,0.55428,0.08390,0.46376,3705588.60000
2110,0.54332,0.08123,0.45511,3618915.00000
2120,0.55565,0.08142,0.46736,3618915.00000
2130,0.52997,0.08054,0.44247,3585544.50000
2140,0.53224,0.07914,0.44631,3499356.00000
2150,0.51987,0.07919,0.43399,3499356.00000
2160,0.51127,0.07807,0.42648,3434960.40000
2170,0.51518,0.07422,0.43432,3337312.20000
