frame,total,geometry,lighting,index_count
0,0.33995,0.31352,0.01941,8231199.00000
10,0.33901,0.31266,0.01934,8231199.00000
20,0.33989,0.31313,0.01963,8234561.10000
30,0.33846,0.31183,0.01946,8236002.00000
40,0.34558,0.31842,0.02008,8236002.00000
50,0.33936,0.31189,0.02001,8236002.00000
60,0.34015,0.31274,0.02049,8236002.00000
70,0.34103,0.31317,0.02057,8236002.00000
80,0.34122,0.31334,0.02051,8236002.00000
90,0.36855,0.33124,0.03054,8237667.00000
100,0.39667,0.35762,0.03230,8329675.20000
110,0.40102,0.36337,0.03066,8334444.00000
120,0.40806,0.37198,0.02900,8317910.40000
130,0.39977,0.36135,0.03087,8139647.40000
140,0.38383,0.34708,0.02958,7834020.30000
150,0.38634,0.34524,0.03373,7424970.00000
160,0.37534,0.33461,0.03352,7313065.20000
170,0.35888,0.31942,0.03240,7154175.00000
180,0.36842,0.33024,0.03091,7421709.90000
190,0.37544,0.33770,0.03079,7716846.60000
200,0.37787,0.33822,0.03256,7789365.60000
210,0.38043,0.34037,0.03298,7826196.60000
220,0.37480,0.33504,0.03235,7722507.90000
230,0.38152,0.34048,0.03388,7757628.60000
240,0.36680,0.32554,0.03404,7718556.00000
250,0.37786,0.33433,0.03595,7713440.40000
260,0.37392,0.33136,0.03523,7695356.40000
270,0.37270,0.33082,0.03450,7698819.00000
280,0.37402,0.33298,0.03393,7700268.00000
290,0.37688,0.33607,0.03326,7720264.80000
300,0.37538,0.33578,0.03232,7730274.00000
310,0.37572,0.33621,0.03212,7730274.00000
320,0.37638,0.33730,0.03163,7744542.00000
330,0.38182,0.34330,0.03096,7870452.00000
340,0.38222,0.34346,0.03131,7870452.00000
350,0.38263,0.34393,0.03121,7860626.40000
360,0.38060,0.34130,0.03182,7803858.00000
370,0.37920,0.34004,0.03155,7800402.00000
380,0.37943,0.34064,0.03123,7791610.80000
390,0.38266,0.34377,0.03142,7793692.20000
400,0.38264,0.34292,0.03192,7792572.00000
410,0.38556,0.34517,0.03251,7790788.80000
420,0.38628,0.34556,0.03354,7774376.10000
430,0.37791,0.33662,0.03385,7465851.00000
440,0.35772,0.31691,0.03324,7100517.00000
450,0.35761,0.31734,0.03276,7082915.40000
460,0.34958,0.31118,0.03089,7070199.60000
470,0.34892,0.31107,0.03059,7068315.60000
480,0.34286,0.30660,0.02876,6944262.90000
490,0.34338,0.30871,0.02762,6947631.00000
500,0.36765,0.32860,0.03144,7164264.60000
510,0.37392,0.33407,0.03243,7409877.60000
520,0.38879,0.34983,0.03145,7792772.10000
530,0.38152,0.34299,0.03102,7782946.20000
540,0.37484,0.33536,0.03179,7708882.20000
550,0.37362,0.33525,0.03082,7631395.80000
560,0.38036,0.34300,0.02955,7774871.40000
570,0.38776,0.35699,0.02367,7833945.00000
580,0.40439,0.37405,0.02322,8015462.10000
590,0.41828,0.38515,0.02569,8052279.90000
600,0.42934,0.39487,0.02732,8120811.00000
610,0.42964,0.39340,0.02920,8118021.00000
620,0.41467,0.37762,0.02958,8111811.90000
630,0.38554,0.35449,0.02390,7943511.60000
640,0.39182,0.36163,0.02177,7721718.60000
650,0.40884,0.37921,0.02237,7634876.10000
660,0.39670,0.36406,0.02519,7668963.00000
670,0.39862,0.36552,0.02563,7623788.40000
680,0.38800,0.35545,0.02536,7621869.00000
690,0.37028,0.33631,0.02686,7621161.00000
700,0.36693,0.32971,0.03018,7657194.90000
710,0.37818,0.33914,0.03206,7685407.80000
720,0.38837,0.34981,0.03147,7674967.20000
730,0.37312,0.33413,0.03158,7627148.40000
740,0.36067,0.32194,0.03151,7612737.60000
750,0.36061,0.32277,0.03060,7626187.20000
760,0.35926,0.32119,0.03080,7597246.20000
770,0.35954,0.32161,0.03039,7594820.40000
780,0.35560,0.32037,0.02798,7589790.60000
790,0.35266,0.31978,0.02558,7538191.80000
800,0.35326,0.32407,0.02196,7376284.80000
810,0.35781,0.33086,0.01962,7196946.00000
820,0.34973,0.32235,0.02022,7066977.00000
830,0.35298,0.32466,0.02096,6851366.40000
840,0.35547,0.32694,0.02102,6848332.80000
850,0.35085,0.32332,0.02050,6847776.00000
860,0.35617,0.32841,0.02052,6847488.00000
870,0.36502,0.33729,0.02044,6847718.40000
880,0.36839,0.34093,0.02038,6847878.00000
890,0.36286,0.33562,0.02014,6773436.30000
900,0.34929,0.32407,0.01764,6977846.70000
910,0.36041,0.33068,0.02182,8005858.80000
920,0.38021,0.35381,0.01905,8114672.70000
930,0.39386,0.36756,0.01910,8255881.50000
940,0.38459,0.35218,0.02463,8315368.80000
950,0.38636,0.34827,0.03092,8294084.40000
960,0.38801,0.34673,0.03364,8262489.00000
970,0.39226,0.35066,0.03410,8262258.60000
980,0.39930,0.35703,0.03481,8260713.00000
990,0.39700,0.35601,0.03374,8260413.00000
1000,0.39632,0.35580,0.03312,8209144.20000
1010,0.39614,0.35534,0.03348,8169582.60000
1020,0.39370,0.35276,0.03369,8152836.60000
1030,0.38795,0.34804,0.03272,8064639.00000
1040,0.38227,0.34372,0.03132,8008168.20000
1050,0.37739,0.33756,0.03256,7889277.00000
1060,0.37770,0.33837,0.03186,7874770.80000
