frame,total,visibility,resolve,index_count
0,0.37610,0.27133,0.09782,8231199.00000
10,0.37546,0.27084,0.09791,8231199.00000
20,0.39720,0.29132,0.09826,8234561.10000
30,0.37555,0.27074,0.09787,8236002.00000
40,0.37977,0.27484,0.09804,8236002.00000
50,0.37623,0.27128,0.09811,8236002.00000
60,0.37480,0.27038,0.09785,8236002.00000
70,0.37560,0.27085,0.09799,8236002.00000
80,0.37775,0.27247,0.09844,8236002.00000
90,0.45091,0.29005,0.15343,8237667.00000
100,0.48913,0.30680,0.17519,8329675.20000
110,0.49294,0.31029,0.17549,8334444.00000
120,0.49644,0.31361,0.17586,8317910.40000
130,0.48929,0.30476,0.17632,8139647.40000
140,0.46984,0.28672,0.17603,7834020.30000
150,0.43815,0.25460,0.17634,7424970.00000
160,0.43460,0.25091,0.17656,7313065.20000
170,0.42384,0.24030,0.17654,7154175.00000
180,0.43925,0.25439,0.17631,7421709.90000
190,0.45812,0.27538,0.17561,7716846.60000
200,0.45466,0.27198,0.17569,7789365.60000
210,0.45445,0.27124,0.17626,7826196.60000
220,0.45127,0.26843,0.17600,7722507.90000
230,0.45671,0.27325,0.17614,7757628.60000
240,0.45840,0.27485,0.17635,7718556.00000
250,0.45986,0.27527,0.17774,7713440.40000
260,0.46602,0.28056,0.17817,7695356.40000
270,0.47100,0.28566,0.17816,7698819.00000
280,0.46998,0.28535,0.17769,7700268.00000
290,0.47103,0.28674,0.17743,7720264.80000
300,0.47320,0.28849,0.17769,7730274.00000
310,0.47127,0.28644,0.17734,7730274.00000
320,0.47372,0.28817,0.17767,7744542.00000
330,0.47718,0.29204,0.17730,7870452.00000
340,0.47679,0.29224,0.17732,7870452.00000
350,0.47931,0.29370,0.17737,7860626.40000
360,0.47557,0.29109,0.17729,7803858.00000
370,0.47351,0.28955,0.17709,7800402.00000
380,0.47669,0.29198,0.17764,7791610.80000
390,0.47770,0.29340,0.17714,7793692.20000
400,0.47630,0.29210,0.17705,7792572.00000
410,0.47510,0.29134,0.17655,7790788.80000
420,0.47499,0.29157,0.17650,7774376.10000
430,0.46766,0.28409,0.17613,7465851.00000
440,0.44504,0.26249,0.17576,7100517.00000
450,0.43606,0.25396,0.17435,7082915.40000
460,0.42482,0.24770,0.17016,7070199.60000
470,0.41992,0.24459,0.16814,7068315.60000
480,0.41280,0.24041,0.16546,6944262.90000
490,0.41554,0.24178,0.16587,6947631.00000
500,0.43685,0.25520,0.17450,7164264.60000
510,0.45558,0.27252,0.17590,7409877.60000
520,0.47654,0.29254,0.17660,7792772.10000
530,0.47400,0.28994,0.17679,7782946.20000
540,0.47161,0.28726,0.17718,7708882.20000
550,0.46883,0.28425,0.17714,7631395.80000
560,0.46474,0.28054,0.17701,7774871.40000
570,0.46514,0.28268,0.17543,7833945.00000
580,0.48473,0.30294,0.17476,8015462.10000
590,0.49153,0.31141,0.17345,8052279.90000
600,0.49404,0.31887,0.16764,8120811.00000
610,0.48952,0.31585,0.16694,8118021.00000
620,0.48832,0.30890,0.17157,8111811.90000
630,0.47165,0.29048,0.17425,7943511.60000
640,0.45489,0.27307,0.17480,7721718.60000
650,0.45537,0.27233,0.17523,7634876.10000
660,0.45686,0.27405,0.17582,7668963.00000
670,0.45114,0.26956,0.17508,7623788.40000
680,0.45301,0.26946,0.17584,7621869.00000
690,0.44648,0.26389,0.17586,7621161.00000
700,0.44704,0.26363,0.17640,7657194.90000
710,0.45722,0.27338,0.17624,7685407.80000
720,0.45955,0.27648,0.17594,7674967.20000
730,0.45853,0.27564,0.17586,7627148.40000
740,0.45499,0.27246,0.17548,7612737.60000
750,0.45771,0.27492,0.17558,7626187.20000
760,0.45971,0.27622,0.17530,7597246.20000
770,0.45631,0.27363,0.17546,7594820.40000
780,0.45570,0.27404,0.17492,7589790.60000
790,0.45599,0.27568,0.17319,7538191.80000
800,0.45225,0.27104,0.17432,7376284.80000
810,0.43942,0.26111,0.17103,7196946.00000
820,0.43574,0.25522,0.17353,7066977.00000
830,0.42408,0.24322,0.17428,6851366.40000
840,0.42042,0.23962,0.17391,6848332.80000
850,0.42185,0.23984,0.17502,6847776.00000
860,0.42160,0.24080,0.17392,6847488.00000
870,0.42590,0.24544,0.17314,6847718.40000
880,0.42833,0.24745,0.17379,6847878.00000
890,0.41662,0.23652,0.17317,6773436.30000
900,0.41635,0.23670,0.17247,6977846.70000
910,0.46849,0.28724,0.17456,8005858.80000
920,0.48685,0.30507,0.17480,8114672.70000
930,0.49642,0.31498,0.17411,8255881.50000
940,0.48916,0.30689,0.17504,8315368.80000
950,0.48544,0.30136,0.17635,8294084.40000
960,0.48346,0.29888,0.17661,8262489.00000
970,0.48256,0.29917,0.17620,8262258.60000
980,0.48378,0.29988,0.17657,8260713.00000
990,0.48154,0.29798,0.17634,8260413.00000
1000,0.47843,0.29490,0.17645,8209144.20000
1010,0.47850,0.29490,0.17643,8169582.60000
1020,0.47446,0.29094,0.17642,8152836.60000
1030,0.47006,0.28644,0.17644,8064639.00000
1040,0.47096,0.28691,0.17636,8008168.20000
