frame,total,depth_prepass,geometry,lighting,index_count
0,0.56652,0.23557,0.30272,0.01832,8231199.00000
10,0.57490,0.23722,0.30855,0.01880,8231199.00000
20,0.56945,0.23574,0.30522,0.01859,8234561.10000
30,0.57417,0.23588,0.30878,0.01869,8236002.00000
40,0.57274,0.23654,0.30748,0.01896,8236002.00000
50,0.57502,0.23632,0.31008,0.01880,8236002.00000
60,0.57569,0.23662,0.30982,0.01915,8236002.00000
70,0.57851,0.23580,0.31299,0.01966,8236002.00000
80,0.58080,0.23676,0.31418,0.02000,8236002.00000
90,0.65889,0.23871,0.38058,0.02980,8237667.00000
100,0.69685,0.24397,0.41253,0.03027,8329675.20000
110,0.68536,0.24828,0.39951,0.02740,8334444.00000
120,0.68448,0.25508,0.39304,0.02729,8317910.40000
130,0.66810,0.25406,0.37565,0.02834,8139647.40000
140,0.66896,0.23882,0.39205,0.02790,7834020.30000
150,0.65937,0.22211,0.39162,0.03492,7424970.00000
160,0.65433,0.21874,0.39054,0.03466,7313065.20000
170,0.64195,0.21216,0.38641,0.03284,7154175.00000
180,0.64759,0.21702,0.38637,0.03175,7421709.90000
190,0.65347,0.22880,0.38252,0.03163,7716846.60000
200,0.66180,0.23084,0.38858,0.03239,7789365.60000
210,0.67976,0.23151,0.40480,0.03326,7826196.60000
220,0.65987,0.22934,0.38783,0.03200,7722507.90000
230,0.66628,0.23204,0.39079,0.03331,7757628.60000
240,0.64927,0.22930,0.37634,0.03300,7718556.00000
250,0.67005,0.23015,0.39408,0.03543,7713440.40000
260,0.65343,0.22929,0.37984,0.03344,7695356.40000
270,0.64631,0.22948,0.37466,0.03163,7698819.00000
280,0.65250,0.22954,0.38281,0.03019,7700268.00000
290,0.64222,0.23094,0.37174,0.02941,7720264.80000
300,0.64965,0.23138,0.37941,0.02874,7730274.00000
310,0.65341,0.23115,0.38377,0.02870,7730274.00000
320,0.64645,0.23178,0.37632,0.02812,7744542.00000
330,0.65228,0.23685,0.37626,0.02828,7870452.00000
340,0.65179,0.23649,0.37665,0.02816,7870452.00000
350,0.65307,0.23712,0.37721,0.02842,7860626.40000
360,0.64966,0.23528,0.37496,0.02862,7803858.00000
370,0.65128,0.23511,0.37654,0.02893,7800402.00000
380,0.65342,0.23513,0.37868,0.02935,7791610.80000
390,0.65279,0.23496,0.37765,0.02974,7793692.20000
400,0.65680,0.23456,0.38179,0.02996,7792572.00000
410,0.65980,0.23409,0.38471,0.03067,7790788.80000
420,0.66048,0.23346,0.38494,0.03158,7774376.10000
430,0.65597,0.22669,0.38676,0.03232,7465851.00000
440,0.63776,0.21484,0.38112,0.03176,7100517.00000
450,0.65568,0.21478,0.39961,0.03090,7082915.40000
460,0.64779,0.21365,0.39472,0.02904,7070199.60000
470,0.64140,0.21328,0.38894,0.02874,7068315.60000
480,0.61976,0.20979,0.37154,0.02742,6944262.90000
490,0.63708,0.20890,0.39177,0.02627,6947631.00000
500,0.65975,0.21759,0.40369,0.02958,7164264.60000
510,0.64241,0.22198,0.37940,0.02974,7409877.60000
520,0.65726,0.23459,0.38256,0.02915,7792772.10000
530,0.64798,0.23433,0.37418,0.02895,7782946.20000
540,0.64251,0.23240,0.36994,0.02929,7708882.20000
550,0.63677,0.22917,0.36915,0.02806,7631395.80000
560,0.65170,0.23305,0.38106,0.02750,7774871.40000
570,0.66840,0.23346,0.40062,0.02358,7833945.00000
580,0.66222,0.23670,0.39294,0.02250,8015462.10000
590,0.65612,0.23899,0.38268,0.02380,8052279.90000
600,0.66631,0.24822,0.38204,0.02568,8120811.00000
610,0.66206,0.24812,0.37740,0.02689,8118021.00000
