frame,total,visibility,gbuffer,lighting,index_count
0,0.48049,0.29283,0.16167,0.01609,8231199.00000
10,0.48130,0.29446,0.16109,0.01615,8231199.00000
20,0.47934,0.29229,0.16091,0.01606,8234561.10000
30,0.47914,0.29229,0.16086,0.01620,8236002.00000
40,0.47980,0.29311,0.16091,0.01603,8236002.00000
50,0.47912,0.29244,0.16082,0.01611,8236002.00000
60,0.47914,0.29210,0.16088,0.01605,8236002.00000
70,0.47986,0.29332,0.16084,0.01609,8236002.00000
80,0.47870,0.29225,0.16078,0.01614,8236002.00000
90,0.57641,0.30120,0.24756,0.01781,8237667.00000
100,0.62620,0.31560,0.28092,0.01976,8329675.20000
110,0.62996,0.31872,0.28098,0.02053,8334444.00000
120,0.63779,0.32505,0.28074,0.02205,8317910.40000
130,0.62745,0.31424,0.28072,0.02235,8139647.40000
140,0.61139,0.29914,0.28097,0.02135,7834020.30000
150,0.57980,0.26880,0.28121,0.01995,7424970.00000
160,0.57420,0.26365,0.28089,0.01977,7313065.20000
170,0.56502,0.25567,0.28042,0.01899,7154175.00000
180,0.57801,0.26886,0.28076,0.01882,7421709.90000
190,0.59320,0.28366,0.28095,0.01898,7716846.60000
200,0.59282,0.28294,0.28088,0.01922,7789365.60000
210,0.59220,0.28197,0.28084,0.01959,7826196.60000
220,0.58898,0.27856,0.28080,0.01960,7722507.90000
230,0.59474,0.28386,0.28103,0.01970,7757628.60000
240,0.59522,0.28370,0.28094,0.02073,7718556.00000
250,0.60206,0.28573,0.28107,0.02514,7713440.40000
260,0.60972,0.29263,0.28060,0.02648,7695356.40000
270,0.61248,0.29472,0.28066,0.02686,7698819.00000
280,0.61426,0.29657,0.28094,0.02670,7700268.00000
290,0.61484,0.29750,0.28056,0.02658,7720264.80000
300,0.61681,0.29918,0.28076,0.02679,7730274.00000
310,0.61576,0.29774,0.28086,0.02678,7730274.00000
320,0.61821,0.29990,0.28080,0.02723,7744542.00000
330,0.62311,0.30429,0.28074,0.02750,7870452.00000
340,0.62350,0.30514,0.28075,0.02739,7870452.00000
350,0.62266,0.30439,0.28078,0.02734,7860626.40000
360,0.62040,0.30294,0.28096,0.02640,7803858.00000
370,0.61971,0.30246,0.28091,0.02614,7800402.00000
380,0.61832,0.30099,0.28116,0.02566,7791610.80000
390,0.62032,0.30366,0.28119,0.02561,7793692.20000
400,0.61812,0.30117,0.28104,0.02597,7792572.00000
410,0.62047,0.30243,0.28093,0.02686,7790788.80000
420,0.61878,0.30054,0.28090,0.02706,7774376.10000
430,0.61106,0.29334,0.28088,0.02700,7465851.00000
440,0.58900,0.27228,0.28066,0.02617,7100517.00000
450,0.57838,0.26664,0.27833,0.02329,7082915.40000
460,0.56161,0.26076,0.27104,0.02039,7070199.60000
470,0.55808,0.26132,0.26710,0.02002,7068315.60000
480,0.54920,0.25707,0.26251,0.01997,6944262.90000
490,0.54890,0.25678,0.26267,0.01993,6947631.00000
500,0.58204,0.27014,0.27837,0.02361,7164264.60000
510,0.60220,0.28387,0.28059,0.02769,7409877.60000
520,0.62107,0.30292,0.28066,0.02744,7792772.10000
530,0.61810,0.30160,0.28075,0.02555,7782946.20000
540,0.61326,0.29704,0.28091,0.02479,7708882.20000
550,0.61210,0.29578,0.28073,0.02592,7631395.80000
560,0.60925,0.29188,0.28038,0.02677,7774871.40000
570,0.60386,0.29356,0.28077,0.01944,7833945.00000
580,0.62426,0.31466,0.28074,0.01874,8015462.10000
590,0.62973,0.32217,0.27809,0.01989,8052279.90000
600,0.62778,0.32934,0.26732,0.02136,8120811.00000
610,0.62412,0.32674,0.26586,0.02174,8118021.00000
620,0.62736,0.31940,0.27784,0.02090,8111811.90000
630,0.61325,0.30310,0.28082,0.01928,7943511.60000
640,0.59979,0.28929,0.28084,0.01985,7721718.60000
650,0.59842,0.28648,0.28078,0.02099,7634876.10000
660,0.60057,0.28767,0.28095,0.02184,7668963.00000
670,0.59620,0.28373,0.28096,0.02177,7623788.40000
680,0.59462,0.28220,0.28100,0.02161,7621869.00000
690,0.59005,0.27732,0.28078,0.02147,7621161.00000
700,0.58792,0.27728,0.28074,0.02010,7657194.90000
710,0.59253,0.28214,0.28088,0.01938,7685407.80000
720,0.59728,0.28731,0.28093,0.01912,7674967.20000
730,0.59556,0.28567,0.28091,0.01904,7627148.40000
740,0.59443,0.28467,0.28026,0.01962,7612737.60000
750,0.59890,0.28809,0.28082,0.01993,7626187.20000
760,0.59862,0.28734,0.28094,0.01974,7597246.20000
770,0.59696,0.28644,0.28088,0.01908,7594820.40000
780,0.59539,0.28621,0.28072,0.01871,7589790.60000
790,0.59606,0.28637,0.28088,0.01858,7538191.80000
800,0.59164,0.28224,0.28085,0.01834,7376284.80000
810,0.58442,0.27558,0.28081,0.01816,7196946.00000
820,0.57784,0.26928,0.28080,0.01804,7066977.00000
830,0.57286,0.26416,0.28070,0.01802,6851366.40000
840,0.56983,0.26108,0.28068,0.01828,6848332.80000
850,0.56818,0.25948,0.28074,0.01815,6847776.00000
860,0.57106,0.26253,0.28066,0.01790,6847488.00000
870,0.57442,0.26651,0.28060,0.01778,6847718.40000
880,0.57711,0.26827,0.28074,0.01819,6847878.00000
890,0.56798,0.26001,0.28033,0.01802,6773436.30000
900,0.56760,0.26016,0.28060,0.01711,6977846.70000
910,0.60092,0.29400,0.28089,0.01661,8005858.80000
920,0.61911,0.31147,0.28089,0.01693,8114672.70000
930,0.63066,0.32239,0.28102,0.01702,8255881.50000
940,0.62563,0.31658,0.28076,0.01837,8315368.80000
950,0.62211,0.31132,0.28091,0.01997,8294084.40000
960,0.62024,0.30858,0.28094,0.02081,8262489.00000
970,0.62301,0.31070,0.28105,0.02150,8262258.60000
980,0.62462,0.31148,0.28135,0.02210,8260713.00000
990,0.62264,0.30908,0.28113,0.02242,8260413.00000
1000,0.61957,0.30649,0.28103,0.02236,8209144.20000
1010,0.61921,0.30587,0.28107,0.02246,8169582.60000
1020,0.61672,0.30339,0.28078,0.02266,8152836.60000
