frame,total,forward,index_count
0,6.70870,6.67511,6388479.00000
10,6.83694,6.82906,6388479.00000
20,7.02062,6.98549,6388479.00000
30,6.93603,6.90267,6388479.00000
40,7.11744,7.08456,6388479.00000
50,7.36414,7.30007,7620873.90000
60,8.53480,8.50096,7933098.00000
70,8.96087,8.95598,7933098.00000
80,9.35798,9.35326,7933098.00000
90,9.34678,9.34205,7933098.00000
100,8.88393,8.87886,7778540.10000
110,8.80024,8.76245,6388359.00000
120,8.07185,8.06718,6388359.00000
130,8.30302,8.28201,6328608.30000
140,8.10859,8.08734,6278724.00000
150,8.14406,8.12298,6278724.00000
160,8.12970,8.09539,6344505.00000
170,8.28877,8.28352,6548192.40000
180,8.21455,8.19300,6654137.70000
190,8.55558,8.55104,6649594.80000
200,8.78831,8.78398,6279649.20000
210,8.39714,8.39252,6153959.40000
220,8.77641,8.77115,5654925.00000
230,9.44681,9.44174,5715609.00000
240,9.61924,9.58511,6556806.00000
250,8.50046,8.47868,6632634.60000
260,8.99001,8.98481,6632607.00000
270,9.54871,9.54385,6632600.40000
280,9.07356,9.06892,6632592.60000
290,8.84676,8.84208,6632589.00000
300,8.92799,8.92343,6086332.20000
310,8.58920,8.58429,5774538.60000
320,8.35690,8.35199,5711706.00000
330,8.87654,8.87210,5522449.20000
340,9.04394,9.03959,5438616.30000
350,8.52209,8.48843,5419182.00000
360,8.01189,8.00708,5369350.80000
370,8.02471,7.98744,4967546.10000
380,7.35394,7.34862,4898302.80000
390,6.03689,6.00028,4809108.60000
400,6.62399,6.55603,4843965.00000
410,6.68007,6.67514,4857206.70000
420,8.37958,8.37435,4924218.00000
430,8.04839,8.04316,4921590.00000
440,6.44646,6.39091,4919838.00000
450,6.30680,6.30290,4918621.20000
460,5.57808,5.57402,4915782.00000
470,5.49590,5.49174,4915782.00000
480,6.14397,6.13934,4724589.90000
490,4.64673,4.60991,4350555.00000
500,5.65501,5.64997,4561743.60000
510,5.42347,5.41904,4649973.00000
520,5.52739,5.46953,4649973.00000
530,5.70944,5.66311,4649973.00000
540,5.87916,5.87475,4649973.00000
550,5.79997,5.79568,4889201.10000
560,6.16851,6.14548,4808830.80000
570,5.91440,5.91009,4297629.90000
580,6.65967,6.59066,3585789.60000
590,6.31737,6.29542,5050871.70000
600,9.41010,9.40557,7428586.80000
610,9.35439,9.34960,9154439.10000
620,10.62149,10.61634,9521362.20000
630,10.22067,10.21572,9517167.00000
640,9.92871,9.92408,9459631.80000
650,10.84295,10.83736,9421272.60000
660,11.14233,11.13751,10768835.40000
670,11.39594,11.39079,10858999.20000
680,10.72297,10.71800,10858885.50000
690,10.48064,10.47590,10855368.00000
700,11.31243,11.30740,10855368.00000
710,11.20338,11.19848,10855368.00000
720,10.68843,10.68362,10673067.00000
730,10.52463,10.51982,10593060.00000
740,10.41669,10.41179,10404744.00000
750,10.89616,10.89116,10279200.00000
760,12.14366,12.13881,10437937.50000
770,12.79243,12.78708,10766673.60000
780,12.96593,12.96089,10864798.80000
790,12.85514,12.85029,9787313.40000
800,12.94073,12.93554,9664446.60000
810,13.04428,13.03894,9667598.40000
