frame,total,depth_prepass,forward,index_count
0,3.66566,0.09168,3.51750,6388479.00000
10,4.07322,0.09228,3.96718,6388479.00000
20,4.32129,0.09415,4.21404,6388479.00000
30,4.48600,0.10781,4.34522,6388479.00000
40,4.37428,0.10230,4.26225,6388479.00000
50,4.87412,0.12592,4.70312,7620873.90000
60,6.45060,0.13512,6.28215,7933098.00000
70,6.69124,0.13534,6.54792,7933098.00000
80,6.54381,0.13520,6.39909,7933098.00000
90,6.42119,0.12871,6.28494,7933098.00000
100,6.68809,0.13013,6.49982,7778540.10000
110,5.52488,0.09520,5.42391,6388359.00000
120,5.65280,0.09545,5.54807,6388359.00000
130,5.22968,0.09207,5.12848,6328608.30000
140,5.23641,0.09365,5.10429,6278724.00000
150,5.11699,0.09184,4.98852,6278724.00000
160,5.18680,0.10113,5.07953,6344505.00000
170,5.18954,0.10769,5.04364,6548192.40000
180,5.02542,0.10672,4.88351,6654137.70000
190,5.11332,0.10436,5.00036,6649594.80000
200,5.74724,0.09671,5.61142,6279649.20000
210,5.63441,0.09505,5.50368,6153959.40000
220,5.61467,0.08466,5.49249,5654925.00000
230,4.63074,0.08096,4.51071,5715609.00000
240,5.16888,0.09697,5.06714,6556806.00000
250,5.10582,0.10127,4.99502,6632634.60000
260,4.79040,0.10812,4.67016,6632607.00000
270,5.18545,0.10216,5.01336,6632600.40000
280,5.32109,0.10361,5.17867,6632592.60000
290,4.81700,0.10194,4.67486,6632589.00000
300,4.27727,0.09210,4.17756,6086332.20000
310,3.86150,0.08629,3.73712,5774538.60000
320,3.89624,0.08443,3.71317,5711706.00000
330,4.20654,0.08148,4.08714,5522449.20000
340,4.48685,0.08389,4.39474,5438616.30000
350,4.63401,0.08597,4.51571,5419182.00000
360,4.44255,0.08405,4.34984,5369350.80000
370,5.34104,0.08365,5.24819,4967546.10000
380,5.31546,0.07638,5.22947,4898302.80000
390,4.60152,0.07371,4.49166,4809108.60000
400,4.44677,0.07255,4.33536,4843965.00000
410,4.57664,0.07441,4.49469,4857206.70000
420,5.45320,0.07586,5.36950,4924218.00000
430,5.82479,0.07304,5.68341,4921590.00000
440,4.82868,0.06937,4.75081,4919838.00000
450,5.40435,0.06796,5.32854,4918621.20000
460,5.03170,0.06810,4.95546,4915782.00000
470,4.80833,0.07772,4.72276,4915782.00000
480,5.45712,0.06640,5.32289,4724589.90000
490,4.30221,0.05878,4.23613,4350555.00000
500,5.09988,0.06198,5.02986,4561743.60000
510,4.87135,0.06395,4.79203,4649973.00000
520,4.92842,0.06369,4.82690,4649973.00000
530,5.19823,0.06386,5.12667,4649973.00000
540,5.38162,0.06402,5.31048,4649973.00000
550,5.08453,0.06914,5.00824,4889201.10000
560,4.60191,0.06929,4.52458,4808830.80000
570,4.14624,0.07137,4.00429,4297629.90000
580,4.16423,0.05772,4.06891,3585789.60000
590,4.44470,0.07612,4.35997,5050871.70000
600,5.66902,0.11440,5.54332,7428586.80000
610,5.65691,0.15894,5.48861,9154439.10000
620,5.66685,0.16963,5.49004,9521362.20000
630,5.77054,0.17103,5.56087,9517167.00000
640,5.94707,0.16776,5.77069,9459631.80000
650,6.11663,0.16311,5.94396,9421272.60000
660,6.42017,0.19998,6.21281,10768835.40000
670,6.54984,0.20627,6.33378,10858999.20000
680,6.51808,0.20619,6.30250,10858885.50000
690,6.51512,0.20570,6.29992,10855368.00000
700,6.42357,0.20617,6.20855,10855368.00000
710,6.41856,0.20662,6.20229,10855368.00000
720,6.36754,0.20276,6.15574,10673067.00000
730,6.26039,0.20025,6.05029,10593060.00000
740,6.10948,0.20188,5.89804,10404744.00000
750,6.08721,0.19494,5.88360,10279200.00000
760,6.35252,0.19937,6.14395,10437937.50000
770,6.66609,0.20712,6.44966,10766673.60000
780,6.79619,0.21138,6.57740,10864798.80000
790,6.69587,0.18443,6.50614,9787313.40000
800,6.45842,0.17779,6.24381,9664446.60000
810,6.40078,0.17922,6.21331,9667598.40000
820,6.43495,0.18448,6.21071,9667593.00000
830,6.44777,0.17902,6.25948,9667602.00000
840,6.19430,0.17978,5.97487,9667602.60000
850,6.04058,0.18188,5.82125,9667603.20000
860,5.66904,0.18223,5.47790,9667607.40000
870,5.74545,0.19631,5.54296,10385949.00000
880,4.73502,0.21104,4.51542,10864839.00000
890,4.55548,0.21320,4.33421,10864839.00000
900,4.73144,0.21364,4.50966,10864835.40000
