frame,total,geometry,lighting,index_count
0,1.76292,1.73669,0.01896,6388479.00000
10,1.75984,1.73336,0.01914,6388479.00000
20,1.88308,1.85322,0.01951,6388479.00000
30,1.84754,1.82006,0.01996,6388479.00000
40,1.89673,1.86852,0.02050,6388479.00000
50,2.00998,1.97964,0.02258,7620873.90000
60,2.36686,2.33240,0.02655,7933098.00000
70,2.44951,2.41340,0.02894,7933098.00000
80,2.39730,2.35750,0.02937,7933098.00000
90,2.43012,2.39529,0.02717,7933098.00000
100,2.64059,2.60830,0.02454,7778540.10000
110,2.23908,2.20852,0.02269,6388359.00000
120,2.14735,2.11694,0.02307,6388359.00000
130,2.20831,2.17798,0.02298,6328608.30000
140,2.22242,2.19222,0.02288,6278724.00000
150,2.00317,1.97265,0.02323,6278724.00000
160,2.05458,2.02419,0.02314,6344505.00000
170,2.13124,2.10180,0.02185,6548192.40000
180,1.98715,1.95748,0.02240,6654137.70000
190,2.16808,2.13792,0.02295,6649594.80000
200,2.38516,2.35423,0.02355,6279649.20000
210,2.09690,2.06636,0.02339,6153959.40000
220,2.06751,2.03674,0.02344,5654925.00000
230,2.33291,2.30468,0.02074,5715609.00000
240,2.45551,2.42578,0.02262,6556806.00000
250,2.19860,2.16798,0.02346,6632634.60000
260,2.38103,2.35220,0.02130,6632607.00000
270,2.48885,2.45923,0.02181,6632600.40000
280,2.33234,2.30201,0.02273,6632592.60000
290,2.29108,2.26097,0.02325,6632589.00000
300,2.36154,2.33154,0.01894,6086332.20000
310,2.27522,2.24992,0.01776,5774538.60000
320,2.19373,2.16841,0.01792,5711706.00000
330,2.33929,2.31296,0.01897,5522449.20000
340,2.35648,2.32935,0.01972,5438616.30000
350,2.16239,2.13550,0.01980,5419182.00000
360,2.06491,2.03798,0.01957,5369350.80000
370,2.04447,2.01540,0.02160,4967546.10000
380,1.91830,1.88995,0.02108,4898302.80000
390,1.62110,1.59412,0.01992,4809108.60000
400,1.64272,1.61749,0.01765,4843965.00000
410,1.66497,1.63880,0.01897,4857206.70000
420,1.92010,1.89049,0.02230,4924218.00000
430,1.96867,1.93958,0.02193,4921590.00000
440,1.61446,1.58724,0.02035,4919838.00000
450,1.56939,1.54224,0.01999,4918621.20000
460,1.48922,1.46256,0.01919,4915782.00000
470,1.47869,1.45180,0.01940,4915782.00000
480,1.54425,1.51804,0.01892,4724589.90000
490,1.21831,1.19266,0.01824,4350555.00000
500,1.49740,1.47140,0.01873,4561743.60000
