frame,total,visibility,resolve,index_count
0,2.53172,0.17427,2.34951,6388479.00000
10,2.64641,0.17654,2.46193,6388479.00000
20,2.80064,0.17802,2.59880,6388479.00000
30,2.95153,0.17839,2.75473,6388479.00000
40,3.15782,0.18042,2.94019,6388479.00000
50,3.38942,0.21584,3.13364,7620873.90000
60,3.67956,0.23169,3.41206,7933098.00000
70,3.89701,0.23370,3.65595,7933098.00000
80,3.96992,0.23265,3.72954,7933098.00000
90,3.90231,0.23242,3.66014,7933098.00000
100,3.96772,0.23080,3.72895,7778540.10000
110,3.85328,0.18427,3.66231,6388359.00000
120,3.88446,0.18374,3.66227,6388359.00000
130,3.81356,0.18152,3.59388,6328608.30000
140,3.81202,0.18102,3.59418,6278724.00000
150,3.84104,0.17895,3.59426,6278724.00000
160,3.78035,0.17840,3.59463,6344505.00000
170,3.85724,0.18708,3.66118,6548192.40000
180,3.85221,0.19305,3.65130,6654137.70000
190,3.82175,0.19014,3.59345,6649594.80000
200,3.81076,0.17718,3.59388,6279649.20000
210,3.80269,0.17255,3.59404,6153959.40000
220,3.76357,0.16113,3.59392,5654925.00000
230,3.78982,0.15848,3.59389,5715609.00000
240,3.82178,0.18926,3.59388,6556806.00000
250,3.81639,0.18562,3.59379,6632634.60000
260,3.78786,0.18783,3.59293,6632607.00000
270,3.78768,0.18810,3.59215,6632600.40000
280,3.78940,0.18949,3.59178,6632592.60000
290,3.84309,0.18475,3.59214,6632589.00000
300,3.80808,0.17672,3.59163,6086332.20000
310,3.76496,0.16693,3.59146,5774538.60000
320,3.76344,0.16536,3.59111,5711706.00000
330,3.76164,0.16386,3.59056,5522449.20000
340,3.83028,0.16083,3.65684,5438616.30000
350,3.75273,0.15508,3.59042,5419182.00000
360,3.89118,0.15313,3.73029,5369350.80000
370,3.76955,0.14064,3.59230,4967546.10000
380,3.73527,0.13553,3.59186,4898302.80000
390,3.73480,0.13593,3.59139,4809108.60000
400,3.76623,0.13696,3.59168,4843965.00000
410,3.73800,0.13948,3.59178,4857206.70000
420,3.76855,0.13877,3.59205,4924218.00000
430,3.76449,0.13544,3.59202,4921590.00000
440,3.73368,0.13435,3.59175,4919838.00000
450,3.73089,0.13170,3.59119,4918621.20000
460,3.72867,0.13001,3.59104,4915782.00000
470,3.72759,0.12945,3.59098,4915782.00000
480,3.75642,0.12738,3.59153,4724589.90000
490,3.74401,0.11692,3.59077,4350555.00000
500,3.75020,0.12167,3.59114,4561743.60000
510,3.72408,0.12569,3.59100,4649973.00000
520,3.72423,0.12535,3.59142,4649973.00000
530,3.75338,0.12433,3.59154,4649973.00000
540,3.72328,0.12454,3.59120,4649973.00000
550,3.75724,0.12964,3.59122,4889201.10000
560,3.79962,0.13276,3.65963,4808830.80000
570,3.79256,0.13050,3.65426,4297629.90000
580,3.75256,0.10848,3.60122,3585789.60000
590,3.84272,0.13681,3.69670,5050871.70000
600,3.86366,0.21010,3.63909,7428586.80000
610,3.90046,0.26866,3.62408,9154439.10000
620,3.98154,0.28728,3.65574,9521362.20000
630,3.89601,0.28532,3.60232,9517167.00000
640,3.89415,0.28356,3.60224,9459631.80000
650,3.92649,0.28523,3.60235,9421272.60000
660,3.93122,0.32080,3.60203,10768835.40000
670,4.00753,0.32760,3.67208,10858999.20000
680,4.03805,0.33030,3.66978,10858885.50000
690,3.89482,0.33092,3.55691,10855368.00000
700,3.92880,0.33267,3.52900,10855368.00000
710,3.88278,0.33221,3.51161,10855368.00000
720,3.90718,0.33279,3.53593,10673067.00000
730,3.77445,0.32924,3.40776,10593060.00000
740,3.72074,0.32556,3.35839,10404744.00000
750,3.71961,0.32116,3.39073,10279200.00000
760,3.84778,0.32620,3.48396,10437937.50000
770,3.96867,0.33736,3.62388,10766673.60000
780,3.98194,0.34180,3.60218,10864798.80000
790,4.06132,0.31262,3.73958,9787313.40000
800,3.91870,0.30959,3.60238,9664446.60000
810,3.97794,0.30956,3.60211,9667598.40000
820,3.91798,0.30854,3.60184,9667593.00000
830,3.95060,0.31204,3.60158,9667602.00000
840,3.95400,0.31449,3.60225,9667602.60000
850,3.98854,0.31966,3.60153,9667603.20000
860,3.96191,0.32292,3.60220,9667607.40000
870,4.01625,0.33541,3.67032,10385949.00000
880,4.02940,0.35839,3.60173,10864839.00000
890,3.96987,0.36036,3.60175,10864839.00000
900,3.99799,0.36190,3.59651,10864835.40000
910,3.99748,0.36028,3.59903,10864828.20000
920,3.90352,0.35182,3.51619,10864825.20000
930,3.88461,0.35208,3.49070,10864821.00000
940,3.95267,0.35024,3.53215,10864821.00000
950,3.95838,0.34987,3.60162,10864821.00000
960,3.98105,0.34859,3.59473,10864818.00000
970,3.98686,0.34517,3.60236,10864786.20000
980,3.93734,0.33588,3.59380,10864773.00000
990,3.94961,0.33971,3.60194,10864773.00000
