frame,total,depth_prepass,geometry,lighting,index_count
0,0.46694,0.12476,0.30625,0.02311,6388479.00000
10,0.47682,0.12680,0.31986,0.01941,6388479.00000
20,0.48961,0.12701,0.33281,0.01956,6388479.00000
30,0.50743,0.12794,0.34890,0.01974,6388479.00000
40,0.52361,0.12791,0.36502,0.02043,6388479.00000
50,0.59057,0.15107,0.40669,0.02207,7620873.90000
60,0.66706,0.15958,0.47359,0.02342,7933098.00000
70,0.67266,0.15933,0.47816,0.02481,7933098.00000
80,0.68031,0.15887,0.48573,0.02474,7933098.00000
90,0.68543,0.15951,0.49267,0.02324,7933098.00000
100,0.69729,0.15842,0.50596,0.02268,7778540.10000
110,0.57461,0.12885,0.41292,0.02238,6388359.00000
120,0.57753,0.12876,0.41585,0.02274,6388359.00000
130,0.55878,0.12741,0.39764,0.02293,6328608.30000
140,0.55895,0.12704,0.39933,0.02254,6278724.00000
150,0.56879,0.12750,0.40779,0.02322,6278724.00000
160,0.56613,0.12943,0.40340,0.02260,6344505.00000
170,0.57406,0.13633,0.40578,0.02171,6548192.40000
180,0.57845,0.14023,0.40585,0.02240,6654137.70000
190,0.57991,0.13720,0.41018,0.02256,6649594.80000
200,0.59500,0.12945,0.43292,0.02324,6279649.20000
210,0.58411,0.12926,0.42286,0.02284,6153959.40000
220,0.58452,0.11622,0.43549,0.02288,5654925.00000
230,0.56029,0.11526,0.41519,0.02007,5715609.00000
240,0.56812,0.13202,0.40450,0.02150,6556806.00000
250,0.59081,0.13557,0.42152,0.02386,6632634.60000
260,0.55890,0.13434,0.39384,0.02057,6632607.00000
270,0.56705,0.13496,0.40097,0.02082,6632600.40000
280,0.58955,0.13569,0.42164,0.02236,6632592.60000
290,0.58528,0.13566,0.41754,0.02228,6632589.00000
300,0.51667,0.12503,0.36407,0.01776,6086332.20000
310,0.48972,0.11962,0.34268,0.01737,5774538.60000
320,0.48409,0.11627,0.33967,0.01800,5711706.00000
330,0.48599,0.11313,0.34431,0.01860,5522449.20000
340,0.51032,0.11437,0.36680,0.01910,5438616.30000
