frame,total,visibility,gbuffer,lighting,index_count
0,0.41113,0.18777,0.19589,0.01688,6388479.00000
10,0.41742,0.18752,0.20337,0.01698,6388479.00000
20,0.42742,0.18887,0.21166,0.01717,6388479.00000
30,0.43833,0.18992,0.22096,0.01760,6388479.00000
40,0.45119,0.19235,0.23117,0.01780,6388479.00000
50,0.49710,0.22591,0.24284,0.01824,7620873.90000
60,0.54050,0.24041,0.26952,0.02086,7933098.00000
70,0.55516,0.24208,0.28059,0.02245,7933098.00000
80,0.55550,0.24245,0.28058,0.02243,7933098.00000
90,0.55332,0.24115,0.28058,0.02127,7933098.00000
100,0.54883,0.23829,0.28045,0.02006,7778540.10000
110,0.50870,0.19723,0.28060,0.02121,6388359.00000
120,0.50889,0.19784,0.28068,0.02091,6388359.00000
130,0.50742,0.19637,0.28074,0.02071,6328608.30000
140,0.50480,0.19439,0.28072,0.02035,6278724.00000
150,0.50375,0.19302,0.28069,0.02042,6278724.00000
160,0.50372,0.19306,0.28061,0.02038,6344505.00000
170,0.51179,0.19886,0.28039,0.02272,6548192.40000
180,0.51782,0.20390,0.28076,0.02364,6654137.70000
190,0.51366,0.20130,0.28066,0.02176,6649594.80000
200,0.50046,0.19002,0.28051,0.02027,6279649.20000
210,0.49668,0.18650,0.28062,0.01998,6153959.40000
220,0.48535,0.17546,0.28055,0.01962,5654925.00000
230,0.48106,0.17196,0.28072,0.01883,5715609.00000
240,0.51069,0.20138,0.28070,0.01893,6556806.00000
250,0.50978,0.19965,0.28026,0.01988,6632634.60000
260,0.51076,0.20108,0.28052,0.01954,6632607.00000
270,0.50982,0.20041,0.28042,0.01925,6632600.40000
280,0.51258,0.20266,0.28056,0.01945,6632592.60000
290,0.50757,0.19820,0.28050,0.01898,6632589.00000
300,0.49808,0.18983,0.28070,0.01790,6086332.20000
310,0.48964,0.18196,0.28045,0.01744,5774538.60000
320,0.48577,0.17852,0.28039,0.01714,5711706.00000
330,0.48509,0.17722,0.28064,0.01736,5522449.20000
340,0.48178,0.17345,0.28064,0.01775,5438616.30000
350,0.47775,0.16945,0.28060,0.01819,5419182.00000
360,0.47568,0.16722,0.28046,0.01828,5369350.80000
370,0.46640,0.15394,0.28029,0.02234,4967546.10000
380,0.46206,0.14985,0.28043,0.02195,4898302.80000
390,0.45932,0.14987,0.28041,0.01928,4809108.60000
400,0.45652,0.14851,0.28074,0.01765,4843965.00000
410,0.46177,0.15252,0.28068,0.01851,4857206.70000
420,0.46448,0.15134,0.28029,0.02328,4924218.00000
430,0.46080,0.14874,0.28033,0.02200,4921590.00000
440,0.45876,0.14830,0.28069,0.02010,4919838.00000
450,0.45824,0.14660,0.28167,0.02036,4918621.20000
460,0.45718,0.14594,0.28172,0.01976,4915782.00000
470,0.45635,0.14523,0.28156,0.01974,4915782.00000
480,0.45399,0.14248,0.28164,0.01992,4724589.90000
490,0.44041,0.12931,0.28170,0.01984,4350555.00000
500,0.44642,0.13503,0.28166,0.01990,4561743.60000
510,0.45149,0.14014,0.28188,0.01990,4649973.00000
520,0.45082,0.13958,0.28189,0.01975,4649973.00000
530,0.44974,0.13978,0.28058,0.01961,4649973.00000
540,0.44812,0.13975,0.27940,0.01946,4649973.00000
550,0.45631,0.14557,0.28142,0.01975,4889201.10000
560,0.45614,0.14760,0.28046,0.01852,4808830.80000
570,0.44731,0.14128,0.27916,0.01740,4297629.90000
580,0.42668,0.11875,0.28052,0.01786,3585789.60000
590,0.45908,0.14973,0.28148,0.01864,5050871.70000
600,0.53153,0.22043,0.28128,0.01991,7428586.80000
610,0.59009,0.27565,0.28222,0.02140,9154439.10000
620,0.61214,0.29577,0.28295,0.02269,9521362.20000
630,0.61397,0.29496,0.28284,0.02522,9517167.00000
640,0.61411,0.29436,0.28261,0.02660,9459631.80000
650,0.61599,0.29384,0.28256,0.02886,9421272.60000
660,0.65395,0.33014,0.28232,0.03052,10768835.40000
670,0.66235,0.33730,0.28247,0.03169,10858999.20000
680,0.66052,0.33754,0.28215,0.03040,10858885.50000
690,0.65521,0.33787,0.27857,0.02822,10855368.00000
700,0.65410,0.33870,0.27614,0.02855,10855368.00000
710,0.65451,0.34034,0.27478,0.02866,10855368.00000
720,0.64946,0.33779,0.27281,0.02810,10673067.00000
730,0.63880,0.33508,0.26674,0.02655,10593060.00000
740,0.62980,0.33072,0.26337,0.02542,10404744.00000
750,0.63024,0.32714,0.26651,0.02654,10279200.00000
760,0.64485,0.33264,0.27340,0.02844,10437937.50000
770,0.66739,0.34306,0.28163,0.03230,10766673.60000
780,0.67498,0.34877,0.28253,0.03312,10864798.80000
790,0.64645,0.31986,0.28244,0.03282,9787313.40000
800,0.64010,0.31565,0.28236,0.03158,9664446.60000
810,0.63840,0.31557,0.28234,0.03026,9667598.40000
820,0.63749,0.31506,0.28209,0.02970,9667593.00000
830,0.63954,0.31944,0.28201,0.02778,9667602.00000
840,0.63793,0.32092,0.28148,0.02596,9667602.60000
850,0.64014,0.32472,0.27988,0.02535,9667603.20000
860,0.64320,0.32766,0.28090,0.02464,9667607.40000
870,0.65438,0.34104,0.28050,0.02323,10385949.00000
880,0.67678,0.36469,0.28170,0.02020,10864839.00000
890,0.68010,0.36794,0.28157,0.02047,10864839.00000
900,0.68126,0.36862,0.28155,0.02107,10864835.40000
910,0.68466,0.36700,0.28146,0.02628,10864828.20000
920,0.67226,0.35837,0.27503,0.02858,10864825.20000
930,0.66858,0.35672,0.27330,0.02846,10864821.00000
940,0.67132,0.35554,0.27683,0.02864,10864821.00000
950,0.67234,0.35608,0.27798,0.02836,10864821.00000
960,0.67233,0.35478,0.27960,0.02788,10864818.00000
970,0.66770,0.35228,0.27982,0.02557,10864786.20000
980,0.65620,0.34281,0.27941,0.02314,10864773.00000
990,0.65918,0.34661,0.28026,0.02182,10864773.00000
1000,0.65647,0.34546,0.28058,0.02036,10625328.60000
1010,0.62412,0.31383,0.27963,0.02086,9667551.00000
1020,0.62216,0.31003,0.28031,0.02157,9667551.00000
1030,0.61540,0.30361,0.27963,0.02182,9667551.00000
1040,0.61769,0.30526,0.28008,0.02214,9667551.00000
1050,0.62420,0.31002,0.28132,0.02286,10146439.80000
1060,0.65027,0.33572,0.28077,0.02370,10864773.00000
1070,0.65790,0.34128,0.28060,0.02575,10864773.00000
1080,0.63373,0.31852,0.27967,0.02505,10025094.60000
1090,0.60154,0.28825,0.28200,0.02108,9329834.40000
1100,0.59818,0.28655,0.27968,0.02152,9156234.00000
1110,0.59716,0.28547,0.27992,0.02128,9156234.00000
1120,0.59702,0.28568,0.27998,0.02098,9156234.00000
1130,0.59721,0.28613,0.28018,0.02099,9153888.00000
1140,0.58236,0.27044,0.28162,0.01998,8888382.00000
1150,0.52656,0.21559,0.28172,0.01945,6681090.00000
1160,0.52509,0.21385,0.28196,0.01917,7146947.40000
1170,0.59656,0.28529,0.28133,0.01970,9101922.00000
1180,0.58810,0.27638,0.28102,0.02024,9097980.00000
1190,0.58810,0.27778,0.27948,0.02050,9099990.00000
1200,0.59293,0.28106,0.28148,0.01978,9103005.00000
1210,0.58933,0.27822,0.28112,0.01989,9103881.00000
1220,0.58580,0.27449,0.28138,0.02006,9103005.00000
1230,0.58462,0.27466,0.27960,0.02001,9103013.40000
1240,0.59068,0.27972,0.28132,0.01964,9103039.20000
1250,0.59172,0.27984,0.28166,0.02010,9100531.50000
1260,0.58058,0.27156,0.27924,0.01940,9094303.20000
1270,0.58064,0.27089,0.28055,0.01919,9091825.20000
1280,0.57726,0.26741,0.28082,0.01859,8847516.90000
1290,0.57132,0.26026,0.28188,0.01868,8728518.00000
1300,0.56022,0.25026,0.28188,0.01774,8236771.20000
1310,0.49147,0.18280,0.28150,0.01720,6191688.00000
1320,0.51324,0.20428,0.28143,0.01772,6862126.50000
1330,0.49143,0.18293,0.28132,0.01722,5573805.00000
1340,0.49954,0.19137,0.28154,0.01667,6060954.00000
1350,0.53450,0.22550,0.28185,0.01752,6881545.80000
1360,0.61317,0.30232,0.28196,0.01867,9634320.90000
1370,0.65684,0.34472,0.28208,0.01945,10864779.00000
1380,0.65632,0.34391,0.28194,0.02044,10864773.60000
1390,0.65714,0.34256,0.28202,0.02235,10864773.00000
1400,0.65969,0.34355,0.28116,0.02503,10864774.80000
1410,0.60709,0.32850,0.24748,0.02119,10566703.20000
1420,0.56520,0.31823,0.21796,0.01892,10592118.60000
1430,0.63991,0.34112,0.24702,0.02288,10864791.00000
1440,0.61980,0.34265,0.24452,0.02298,10864798.20000
1450,0.62285,0.34619,0.24342,0.02340,10864803.00000
1460,0.63166,0.34705,0.24861,0.02554,10864803.00000
1470,0.63515,0.34907,0.24986,0.02607,10864803.00000
1480,0.64360,0.35182,0.25399,0.02710,10864807.80000
1490,0.64413,0.35314,0.25324,0.02765,10864813.20000
1500,0.64922,0.35791,0.25353,0.02712,10864818.60000
1510,0.65020,0.36156,0.25232,0.02561,10864824.00000
1520,0.64546,0.36482,0.24667,0.02385,10864827.00000
1530,0.62320,0.36016,0.23129,0.02143,10864822.20000
1540,0.60670,0.35803,0.21718,0.02059,10864824.00000
1550,0.60674,0.35981,0.21607,0.02018,10864827.00000
1560,0.61078,0.36193,0.21857,0.02000,10864828.20000
1570,0.61262,0.36314,0.22024,0.01939,10869039.60000
1580,0.61844,0.36380,0.22497,0.01952,10951032.60000
1590,0.62620,0.36463,0.23146,0.01982,10974487.80000
1600,0.62848,0.36541,0.23316,0.01967,10974497.40000
1610,0.61972,0.36334,0.22756,0.01902,10974504.00000
1620,0.60801,0.36040,0.21884,0.01861,10974501.00000
1630,0.59832,0.35998,0.20996,0.01828,10974495.00000
1640,0.59271,0.35726,0.20701,0.01806,10974492.00000
1650,0.59326,0.35821,0.20631,0.01807,10974492.00000
1660,0.58897,0.35788,0.20312,0.01802,10974493.80000
1670,0.58725,0.35797,0.20062,0.01797,10974916.20000
1680,0.58692,0.36080,0.19834,0.01772,11108102.10000
1690,0.58498,0.36554,0.19189,0.01781,11241013.20000
1700,0.57688,0.36530,0.18405,0.01746,11241018.60000
1710,0.56726,0.36335,0.17682,0.01733,11241024.00000
1720,0.56121,0.36336,0.17006,0.01728,11241025.80000
1730,0.55226,0.36207,0.16288,0.01715,11241037.20000
1740,0.54092,0.35960,0.15446,0.01698,11241052.20000
1750,0.53203,0.35784,0.14738,0.01664,11241054.00000
1760,0.52746,0.35850,0.14290,0.01615,11241054.00000
1770,0.52271,0.35843,0.13827,0.01612,11241054.00000
1780,0.51983,0.35836,0.13548,0.01588,11241054.00000
1790,0.51356,0.35821,0.12976,0.01563,11241054.00000
1800,0.50917,0.35744,0.12631,0.01569,11241054.00000
1810,0.51066,0.35919,0.12546,0.01556,11241049.80000
1820,0.50911,0.35769,0.12598,0.01565,11241039.60000
1830,0.51369,0.35846,0.12967,0.01579,11241032.40000
1840,0.51942,0.35988,0.13370,0.01579,11241024.00000
1850,0.52199,0.35960,0.13671,0.01593,11241018.00000
1860,0.53012,0.36135,0.14239,0.01627,11241019.80000
1870,0.53759,0.36094,0.14988,0.01646,11241019.80000
1880,0.54654,0.36330,0.15594,0.01678,11241012.60000
1890,0.55586,0.36448,0.16425,0.01709,11241006.00000
1900,0.56162,0.36494,0.16944,0.01714,11241003.00000
1910,0.56994,0.36541,0.17694,0.01742,11240994.00000
1920,0.57807,0.36627,0.18452,0.01758,11240985.60000
1930,0.58865,0.36824,0.19198,0.01789,11240971.20000
1940,0.59671,0.36914,0.19970,0.01794,11240961.00000
1950,0.60510,0.36951,0.20726,0.01818,11240949.00000
1960,0.61400,0.36998,0.21596,0.01841,11240934.60000
1970,0.62449,0.37071,0.22498,0.01893,11240930.40000
1980,0.63245,0.37010,0.23298,0.01942,11161169.70000
1990,0.61479,0.36055,0.22378,0.01868,10974408.00000
2000,0.60474,0.36012,0.21611,0.01846,10974408.00000
2010,0.61038,0.36129,0.22062,0.01848,10974408.00000
2020,0.61958,0.36198,0.22825,0.01898,10974408.00000
2030,0.61713,0.35958,0.22864,0.01871,10974408.00000
2040,0.60341,0.35498,0.22055,0.01823,10973341.80000
2050,0.60389,0.35271,0.22282,0.01841,10972275.60000
2060,0.63294,0.35849,0.24222,0.01999,10974408.00000
2070,0.63821,0.35278,0.25494,0.02027,10846963.80000
2080,0.59420,0.32612,0.23776,0.01855,10364410.50000
2090,0.55560,0.30602,0.22210,0.01757,10054158.00000
2100,0.55469,0.30202,0.22518,0.01761,10013727.00000
2110,0.58841,0.31118,0.24825,0.01860,10195232.40000
2120,0.64297,0.33053,0.28001,0.02161,10491190.80000
2130,0.65130,0.33596,0.28162,0.02338,10491226.80000
2140,0.65565,0.34225,0.27886,0.02409,10606616.40000
2150,0.65339,0.34547,0.27377,0.02400,10839546.30000
2160,0.60892,0.32989,0.24926,0.01960,10082360.10000
2170,0.47072,0.22840,0.21486,0.01751,7223112.00000
2180,0.46670,0.21547,0.22302,0.01745,6549874.20000
2190,0.46270,0.20706,0.22820,0.01759,6266152.50000
2200,0.37350,0.16684,0.17991,0.01718,5132634.90000
2210,0.23476,0.10245,0.10783,0.01477,3836330.40000
2220,0.18935,0.08889,0.07627,0.01429,3796645.80000
2230,0.15441,0.07016,0.06011,0.01423,2713873.80000
2240,0.10054,0.02946,0.04723,0.01425,1232427.90000
2250,0.07889,0.01318,0.04152,0.01425,384978.60000
2260,0.07968,0.01076,0.04499,0.01426,521978.40000
2270,0.14270,0.06382,0.05478,0.01426,2713873.80000
2280,0.10702,0.03030,0.05258,0.01423,1252506.00000
2290,0.10193,0.03008,0.04776,0.01424,1252506.00000
2300,0.07480,0.00717,0.04346,0.01425,130779.00000
2310,0.06933,0.00380,0.04136,0.01430,0.00000
2320,0.06852,0.00397,0.04032,0.01428,0.00000
2330,0.07091,0.00376,0.04291,0.01430,0.00000
2340,0.06942,0.00380,0.04143,0.01426,0.00000
2350,0.06841,0.00387,0.04028,0.01429,0.00000
2360,0.06898,0.00385,0.04081,0.01429,0.00000
2370,0.06912,0.00381,0.04105,0.01425,0.00000
2380,0.07024,0.00374,0.04236,0.01422,0.00000
2390,0.06838,0.00402,0.04015,0.01424,0.00000
