renderer_variant,variant,alu_calc_count,forward,depth_prepass,geometry,lighting,visibility,resolve,gbuffer,total,pass_sum,unattributed
1,Forward,10,0.751315,,,,,,,0.75591,0.751315,0.004349999999999965
1,Forward,20,1.2874249999999998,,,,,,,1.2919999999999998,1.2874249999999998,0.004395000000000038
1,Forward,40,2.5277149999999997,,,,,,,2.5318899999999998,2.5277149999999997,0.004389999999999894
1,Forward,80,4.9291,,,,,,,4.933695,4.9291,0.00457500000000044
1,Forward,160,9.688189999999999,,,,,,,9.69312,9.688189999999999,0.005010000000000403
2,Forward+Prepass,10,0.467855,0.17134,,,,,,0.649115,0.64208,0.0071450000000000125
2,Forward+Prepass,20,0.7487649999999999,0.17156500000000002,,,,,,0.921395,0.9139599999999999,0.007220000000000004
2,Forward+Prepass,40,1.3698899999999998,0.172815,,,,,,1.522305,1.514165,0.007410000000000028
2,Forward+Prepass,80,2.7133849999999997,0.177195,,,,,,2.865205,2.8460900000000002,0.009009999999999962
2,Forward+Prepass,160,5.145575,0.17912,,,,,,5.261785,5.248085,0.008395000000000152
3,Deferred,10,,,0.75893,0.023155000000000002,,,,0.795595,0.78826,0.007319999999999993
3,Deferred,20,,,1.312715,0.023145,,,,1.3497599999999998,1.34232,0.007355000000000056
3,Deferred,40,,,2.483215,0.02345,,,,2.5180350000000002,2.511005,0.0073350000000000914
3,Deferred,80,,,4.91006,0.02486,,,,4.951025,4.943125,0.007830000000000226
3,Deferred,160,,,9.690905,0.025055,,,,9.734425,9.718485,0.008155000000000356
4,TVB,10,,,,,0.29532,0.27936,,0.550435,0.54322,0.006979999999999986
4,TVB,20,,,,,0.29542500000000005,0.50716,,0.72819,0.72112,0.0070849999999999524
4,TVB,40,,,,,0.295935,0.949365,,1.135205,1.12853,0.007179999999999964
4,TVB,80,,,,,0.29622499999999996,1.8303150000000001,,1.99943,1.99245,0.007149999999999879
4,TVB,160,,,,,0.29605000000000004,3.59099,,3.75683,3.7280500000000005,0.008035000000000014
5,Deferred+Prepass,10,,0.19609,0.464865,0.02266,,,,0.6990350000000001,0.688055,0.010279999999999956
5,Deferred+Prepass,20,,0.19656,0.74183,0.022605,,,,0.96472,0.9541900000000001,0.010299999999999976
5,Deferred+Prepass,40,,0.19688,1.354145,0.02303,,,,1.55918,1.548855,0.010424999999999907
5,Deferred+Prepass,80,,0.19768999999999998,2.6008199999999997,0.023719999999999998,,,,2.78534,2.7718350000000003,0.010650000000000048
5,Deferred+Prepass,160,,0.19723000000000002,5.168749999999999,0.023805,,,,5.371645,5.352125,0.010980000000000656
6,TVB+GBuffer,10,,,,0.019655,0.30564,,0.279445,0.579325,0.569285,0.01002499999999995
6,TVB+GBuffer,20,,,,0.019705,0.307205,,0.497245,0.755365,0.74155,0.010040000000000049
6,TVB+GBuffer,40,,,,0.02022,0.305335,,0.9345049999999999,1.15807,1.147825,0.010059999999999986
6,TVB+GBuffer,80,,,,0.020970000000000003,0.30511,,1.807345,2.01972,1.999285,0.010354999999999892
6,TVB+GBuffer,160,,,,0.022240000000000003,0.30526,,3.56258,3.784725,3.7712250000000003,0.015210000000000168
