frame,total,forward,index_count
0,0.17835,0.17402,6388479.00000
10,0.17972,0.17556,6388479.00000
20,0.18993,0.18578,6388479.00000
30,0.18304,0.17895,6388479.00000
40,0.18816,0.18418,6388479.00000
50,0.21640,0.21236,7620873.90000
60,0.23344,0.22931,7933098.00000
70,0.23314,0.22864,7933098.00000
80,0.23237,0.22825,7933098.00000
90,0.23184,0.22731,7933098.00000
100,0.24051,0.23637,7778540.10000
110,0.20569,0.20128,6388359.00000
120,0.20292,0.19871,6388359.00000
130,0.19852,0.19459,6328608.30000
140,0.20056,0.19641,6278724.00000
150,0.19833,0.19426,6278724.00000
160,0.19912,0.19514,6344505.00000
170,0.20349,0.19914,6548192.40000
180,0.20457,0.20044,6654137.70000
190,0.20511,0.20066,6649594.80000
200,0.20609,0.20039,6279649.20000
210,0.20870,0.20484,6153959.40000
220,0.20118,0.19725,5654925.00000
230,0.19492,0.19089,5715609.00000
240,0.21635,0.21229,6556806.00000
250,0.21050,0.20602,6632634.60000
260,0.21100,0.20666,6632607.00000
270,0.21540,0.21139,6632600.40000
280,0.21735,0.21300,6632592.60000
290,0.21410,0.20988,6632589.00000
300,0.20978,0.20575,6086332.20000
310,0.20464,0.20058,5774538.60000
320,0.20511,0.20092,5711706.00000
330,0.20545,0.20136,5522449.20000
340,0.20150,0.19711,5438616.30000
350,0.19426,0.19032,5419182.00000
360,0.18920,0.18503,5369350.80000
370,0.17981,0.17575,4967546.10000
380,0.17250,0.16862,4898302.80000
390,0.16822,0.16417,4809108.60000
400,0.17296,0.16889,4843965.00000
410,0.17307,0.16910,4857206.70000
420,0.17668,0.17251,4924218.00000
430,0.17068,0.16667,4921590.00000
440,0.15825,0.15419,4919838.00000
450,0.15551,0.15164,4918621.20000
460,0.15454,0.15048,4915782.00000
470,0.15082,0.14678,4915782.00000
480,0.15739,0.15333,4724589.90000
490,0.14367,0.13962,4350555.00000
500,0.15286,0.14891,4561743.60000
510,0.14320,0.13930,4649973.00000
520,0.14322,0.13928,4649973.00000
530,0.14300,0.13897,4649973.00000
540,0.14314,0.13932,4649973.00000
550,0.15440,0.15024,4889201.10000
560,0.16434,0.16036,4808830.80000
570,0.16116,0.15736,4297629.90000
580,0.15150,0.14764,3585789.60000
590,0.17002,0.16606,5050871.70000
600,0.23382,0.22968,7428586.80000
610,0.27541,0.27089,9154439.10000
620,0.29283,0.28830,9521362.20000
630,0.28917,0.28448,9517167.00000
640,0.28595,0.28144,9459631.80000
650,0.28468,0.28046,9421272.60000
660,0.31749,0.31315,10768835.40000
670,0.32008,0.31578,10858999.20000
680,0.32016,0.31542,10858885.50000
690,0.31856,0.31398,10855368.00000
700,0.31868,0.31412,10855368.00000
710,0.32289,0.31856,10855368.00000
720,0.31551,0.31120,10673067.00000
730,0.31355,0.30902,10593060.00000
740,0.31278,0.30796,10404744.00000
750,0.31743,0.31310,10279200.00000
760,0.32420,0.31970,10437937.50000
770,0.32947,0.32500,10766673.60000
780,0.33618,0.33159,10864798.80000
790,0.30833,0.30403,9787313.40000
800,0.30800,0.30340,9664446.60000
810,0.30877,0.30452,9667598.40000
820,0.31053,0.30612,9667593.00000
830,0.31612,0.31209,9667602.00000
840,0.31902,0.31484,9667602.60000
850,0.32948,0.32514,9667603.20000
860,0.33646,0.33233,9667607.40000
870,0.34133,0.33707,10385949.00000
880,0.38654,0.38218,10864839.00000
890,0.38848,0.38403,10864839.00000
900,0.39337,0.38836,10864835.40000
910,0.39478,0.39032,10864828.20000
920,0.37355,0.36886,10864825.20000
930,0.36879,0.36460,10864821.00000
940,0.37081,0.36650,10864821.00000
950,0.37112,0.36679,10864821.00000
960,0.37356,0.36893,10864818.00000
970,0.36993,0.36523,10864786.20000
980,0.36708,0.36261,10864773.00000
990,0.37029,0.36584,10864773.00000
1000,0.37450,0.37013,10625328.60000
1010,0.33477,0.33017,9667551.00000
1020,0.32668,0.32206,9667551.00000
1030,0.31990,0.31554,9667551.00000
1040,0.31279,0.30840,9667551.00000
1050,0.31063,0.30632,10146439.80000
1060,0.33617,0.33164,10864773.00000
1070,0.34022,0.33572,10864773.00000
1080,0.31879,0.31446,10025094.60000
1090,0.30188,0.29756,9329834.40000
1100,0.30192,0.29756,9156234.00000
1110,0.30780,0.30348,9156234.00000
1120,0.30602,0.30157,9156234.00000
1130,0.31630,0.31184,9153888.00000
1140,0.30523,0.30089,8888382.00000
1150,0.25698,0.25278,6681090.00000
1160,0.24459,0.24050,7146947.40000
1170,0.30408,0.29962,9101922.00000
1180,0.30409,0.29986,9097980.00000
1190,0.30396,0.29960,9099990.00000
1200,0.31847,0.31407,9103005.00000
1210,0.32055,0.31556,9103881.00000
1220,0.31670,0.31222,9103005.00000
1230,0.30929,0.30459,9103013.40000
1240,0.30220,0.29743,9103039.20000
1250,0.30846,0.30404,9100531.50000
1260,0.28895,0.28446,9094303.20000
1270,0.29050,0.28625,9091825.20000
1280,0.28604,0.28093,8847516.90000
1290,0.28246,0.27809,8728518.00000
1300,0.28105,0.27633,8236771.20000
1310,0.22672,0.22270,6191688.00000
1320,0.25866,0.25454,6862126.50000
1330,0.23882,0.23466,5573805.00000
1340,0.25308,0.24827,6060954.00000
1350,0.27074,0.26647,6881545.80000
1360,0.35030,0.34585,9634320.90000
1370,0.36613,0.36148,10864779.00000
1380,0.37462,0.37006,10864773.60000
1390,0.37723,0.37263,10864773.00000
1400,0.36931,0.36474,10864774.80000
1410,0.36149,0.35701,10566703.20000
1420,0.34252,0.33786,10592118.60000
