frame,total,depth_prepass,forward,index_count
0,0.23678,0.08418,0.14590,6388479.00000
10,0.24008,0.08541,0.14774,6388479.00000
20,0.23890,0.08540,0.14674,6388479.00000
30,0.24310,0.08567,0.15060,6388479.00000
40,0.24786,0.08596,0.15496,6388479.00000
50,0.29540,0.10541,0.18264,7620873.90000
60,0.31461,0.11428,0.19342,7933098.00000
70,0.31682,0.11648,0.19277,7933098.00000
80,0.31731,0.11631,0.19404,7933098.00000
90,0.31525,0.11599,0.19180,7933098.00000
100,0.32238,0.11497,0.20088,7778540.10000
110,0.26785,0.08822,0.17233,6388359.00000
120,0.26760,0.08821,0.17231,6388359.00000
130,0.26519,0.08802,0.17039,6328608.30000
140,0.26165,0.08777,0.16686,6278724.00000
150,0.26141,0.08727,0.16710,6278724.00000
160,0.26699,0.09032,0.16976,6344505.00000
170,0.27891,0.09730,0.17484,6548192.40000
180,0.28534,0.10232,0.17662,6654137.70000
190,0.27819,0.09796,0.17373,6649594.80000
200,0.27279,0.09050,0.17532,6279649.20000
210,0.27386,0.08994,0.17726,6153959.40000
220,0.24897,0.08016,0.16197,5654925.00000
230,0.24580,0.07803,0.16082,5715609.00000
240,0.27410,0.09134,0.17575,6556806.00000
250,0.28133,0.09591,0.17864,6632634.60000
260,0.27720,0.09514,0.17523,6632607.00000
270,0.27928,0.09579,0.17671,6632600.40000
280,0.28111,0.09619,0.17823,6632592.60000
290,0.28358,0.09662,0.18036,6632589.00000
300,0.26030,0.08767,0.16588,6086332.20000
310,0.24978,0.08347,0.15952,5774538.60000
320,0.24650,0.08192,0.15786,5711706.00000
330,0.23900,0.07926,0.15281,5522449.20000
340,0.24004,0.08083,0.15259,5438616.30000
350,0.24349,0.08306,0.15388,5419182.00000
360,0.24140,0.08116,0.15352,5369350.80000
370,0.23436,0.07524,0.15228,4967546.10000
380,0.23247,0.07416,0.15169,4898302.80000
390,0.22474,0.07178,0.14631,4809108.60000
400,0.22128,0.07049,0.14388,4843965.00000
410,0.22519,0.07259,0.14564,4857206.70000
420,0.23247,0.07296,0.15282,4924218.00000
430,0.22844,0.07077,0.15107,4921590.00000
440,0.21547,0.06686,0.14163,4919838.00000
450,0.22530,0.06606,0.15269,4918621.20000
460,0.21721,0.06572,0.14463,4915782.00000
470,0.21474,0.06553,0.14263,4915782.00000
480,0.22064,0.06414,0.14967,4724589.90000
490,0.20222,0.05867,0.13642,4350555.00000
500,0.21273,0.06065,0.14523,4561743.60000
510,0.20525,0.06211,0.13611,4649973.00000
520,0.20402,0.06230,0.13472,4649973.00000
530,0.20407,0.06212,0.13509,4649973.00000
540,0.20474,0.06206,0.13598,4649973.00000
550,0.21743,0.06578,0.14430,4889201.10000
560,0.21944,0.06804,0.14454,4808830.80000
570,0.20814,0.06527,0.13613,4297629.90000
580,0.18474,0.05636,0.12154,3585789.60000
590,0.22685,0.07383,0.14630,5050871.70000
600,0.30899,0.10816,0.19417,7428586.80000
610,0.38628,0.14861,0.23046,9154439.10000
620,0.40756,0.16364,0.23676,9521362.20000
630,0.40574,0.16221,0.23612,9517167.00000
640,0.40188,0.16078,0.23397,9459631.80000
650,0.39693,0.15846,0.23126,9421272.60000
660,0.47280,0.19391,0.27150,10768835.40000
670,0.48357,0.20113,0.27490,10858999.20000
680,0.48622,0.20271,0.27574,10858885.50000
690,0.48458,0.20164,0.27585,10855368.00000
700,0.48741,0.20299,0.27734,10855368.00000
710,0.48896,0.20300,0.27838,10855368.00000
720,0.48048,0.19812,0.27458,10673067.00000
730,0.47105,0.19455,0.26948,10593060.00000
740,0.46428,0.19194,0.26496,10404744.00000
750,0.45914,0.18882,0.26280,10279200.00000
760,0.46886,0.19300,0.26851,10437937.50000
770,0.48849,0.20295,0.27815,10766673.60000
780,0.49110,0.20496,0.27896,10864798.80000
790,0.42786,0.17516,0.24578,9787313.40000
800,0.41965,0.17009,0.24274,9664446.60000
810,0.42188,0.17063,0.24460,9667598.40000
820,0.42388,0.17163,0.24536,9667593.00000
830,0.42898,0.17233,0.24946,9667602.00000
840,0.43038,0.17455,0.24908,9667602.60000
850,0.43734,0.17648,0.25400,9667603.20000
