frame,total,geometry,lighting,index_count
0,0.22288,0.19612,0.01968,6388479.00000
10,0.22661,0.19938,0.02002,6388479.00000
20,0.22746,0.20060,0.01978,6388479.00000
30,0.23133,0.20434,0.01992,6388479.00000
40,0.23550,0.20762,0.02066,6388479.00000
50,0.26550,0.23550,0.02278,7620873.90000
60,0.28525,0.25196,0.02559,7933098.00000
70,0.28612,0.25002,0.02870,7933098.00000
80,0.28564,0.25017,0.02782,7933098.00000
90,0.28358,0.24922,0.02688,7933098.00000
100,0.28941,0.25743,0.02470,7778540.10000
110,0.25566,0.22604,0.02261,6388359.00000
120,0.25636,0.22616,0.02312,6388359.00000
130,0.25438,0.22403,0.02329,6328608.30000
140,0.25340,0.22244,0.02322,6278724.00000
150,0.25249,0.22224,0.02312,6278724.00000
160,0.25018,0.22010,0.02275,6344505.00000
170,0.25390,0.22501,0.02156,6548192.40000
180,0.25846,0.22856,0.02252,6654137.70000
190,0.25700,0.22656,0.02297,6649594.80000
200,0.25788,0.22694,0.02361,6279649.20000
210,0.26360,0.23329,0.02293,6153959.40000
220,0.25313,0.22242,0.02317,5654925.00000
230,0.25238,0.22418,0.02082,5715609.00000
240,0.26844,0.23895,0.02234,6556806.00000
250,0.26371,0.23272,0.02395,6632634.60000
260,0.26397,0.23610,0.02076,6632607.00000
270,0.26766,0.23875,0.02117,6632600.40000
280,0.26913,0.23907,0.02279,6632592.60000
290,0.26893,0.23873,0.02297,6632589.00000
300,0.25848,0.23293,0.01827,6086332.20000
310,0.25158,0.22736,0.01719,5774538.60000
320,0.25180,0.22689,0.01771,5711706.00000
330,0.25282,0.22678,0.01848,5522449.20000
340,0.25100,0.22466,0.01888,5438616.30000
350,0.24034,0.21428,0.01879,5419182.00000
360,0.23873,0.21215,0.01896,5369350.80000
370,0.22678,0.19814,0.02101,4967546.10000
380,0.22020,0.19272,0.02024,4898302.80000
390,0.21702,0.19083,0.01899,4809108.60000
400,0.21690,0.19292,0.01697,4843965.00000
410,0.22334,0.19758,0.01832,4857206.70000
420,0.22472,0.19500,0.02212,4924218.00000
430,0.22022,0.19117,0.02154,4921590.00000
440,0.20624,0.17842,0.02033,4919838.00000
450,0.20956,0.18287,0.01928,4918621.20000
460,0.20434,0.17777,0.01925,4915782.00000
470,0.19887,0.17252,0.01909,4915782.00000
480,0.20479,0.17915,0.01872,4724589.90000
490,0.19222,0.16696,0.01812,4350555.00000
500,0.20359,0.17802,0.01837,4561743.60000
510,0.19090,0.16482,0.01878,4649973.00000
520,0.19086,0.16499,0.01859,4649973.00000
530,0.18927,0.16388,0.01843,4649973.00000
540,0.19085,0.16525,0.01848,4649973.00000
550,0.20149,0.17536,0.01863,4889201.10000
560,0.21017,0.18415,0.01872,4808830.80000
570,0.20604,0.18135,0.01784,4297629.90000
580,0.19099,0.16659,0.01731,3585789.60000
590,0.21693,0.19186,0.01793,5050871.70000
600,0.27781,0.24852,0.02215,7428586.80000
610,0.31824,0.28299,0.02804,9154439.10000
620,0.33867,0.29773,0.03364,9521362.20000
630,0.33661,0.29262,0.03670,9517167.00000
640,0.33638,0.29124,0.03788,9459631.80000
650,0.33900,0.29172,0.03999,9421272.60000
660,0.37257,0.32070,0.04458,10768835.40000
670,0.37571,0.32403,0.04452,10858999.20000
680,0.37852,0.32741,0.04388,10858885.50000
690,0.37432,0.32495,0.04223,10855368.00000
700,0.37769,0.32961,0.04092,10855368.00000
710,0.37800,0.33056,0.04026,10855368.00000
720,0.37039,0.32376,0.03935,10673067.00000
730,0.36286,0.31952,0.03585,10593060.00000
740,0.35768,0.31810,0.03220,10404744.00000
750,0.36189,0.32146,0.03319,10279200.00000
760,0.37034,0.32929,0.03388,10437937.50000
770,0.38046,0.33660,0.03637,10766673.60000
780,0.38535,0.34004,0.03824,10864798.80000
790,0.36146,0.31811,0.03633,9787313.40000
800,0.35955,0.31692,0.03561,9664446.60000
810,0.35684,0.31574,0.03384,9667598.40000
820,0.35888,0.31774,0.03358,9667593.00000
830,0.36262,0.32316,0.03246,9667602.00000
840,0.36289,0.32363,0.03229,9667602.60000
850,0.37076,0.33280,0.03091,9667603.20000
860,0.37335,0.33771,0.02844,9667607.40000
870,0.37510,0.33983,0.02811,10385949.00000
880,0.40762,0.38174,0.01828,10864839.00000
890,0.41133,0.38554,0.01823,10864839.00000
900,0.42020,0.39284,0.01939,10864835.40000
910,0.42878,0.39636,0.02585,10864828.20000
920,0.41223,0.37437,0.03045,10864825.20000
930,0.40956,0.37207,0.02978,10864821.00000
940,0.40792,0.37054,0.02995,10864821.00000
950,0.41319,0.37472,0.03110,10864821.00000
960,0.41698,0.37691,0.03246,10864818.00000
970,0.41417,0.37373,0.03304,10864786.20000
980,0.40888,0.36788,0.03374,10864773.00000
990,0.41059,0.37138,0.03196,10864773.00000
1000,0.40706,0.37192,0.02728,10625328.60000
1010,0.37152,0.33865,0.02578,9667551.00000
1020,0.36302,0.32618,0.02926,9667551.00000
1030,0.35579,0.31744,0.03112,9667551.00000
1040,0.35543,0.31810,0.03000,9667551.00000
1050,0.35392,0.31340,0.03293,10146439.80000
1060,0.37707,0.33561,0.03417,10864773.00000
1070,0.38234,0.33979,0.03500,10864773.00000
1080,0.36406,0.32324,0.03349,10025094.60000
1090,0.34668,0.30843,0.03066,9329834.40000
1100,0.34981,0.31021,0.03226,9156234.00000
1110,0.35295,0.31405,0.03162,9156234.00000
1120,0.35587,0.31569,0.03312,9156234.00000
1130,0.36150,0.32302,0.03082,9153888.00000
1140,0.33839,0.30276,0.02813,8888382.00000
1150,0.30026,0.26774,0.02545,6681090.00000
1160,0.29322,0.26268,0.02288,7146947.40000
1170,0.34564,0.30916,0.02948,9101922.00000
1180,0.34870,0.30870,0.03208,9097980.00000
1190,0.34621,0.30652,0.03248,9099990.00000
1200,0.35678,0.32044,0.02912,9103005.00000
1210,0.35527,0.31868,0.02911,9103881.00000
1220,0.35280,0.31408,0.03115,9103005.00000
1230,0.34718,0.31089,0.02903,9103013.40000
1240,0.34217,0.30885,0.02580,9103039.20000
1250,0.35123,0.31749,0.02652,9100531.50000
1260,0.33134,0.29548,0.02836,9094303.20000
1270,0.33455,0.30005,0.02720,9091825.20000
1280,0.33081,0.30151,0.02245,8847516.90000
1290,0.32868,0.29820,0.02292,8728518.00000
1300,0.32308,0.28760,0.02740,8236771.20000
1310,0.27624,0.25039,0.01897,6191688.00000
1320,0.30346,0.27557,0.02062,6862126.50000
1330,0.29298,0.26889,0.01680,5573805.00000
1340,0.29668,0.27305,0.01655,6060954.00000
1350,0.32008,0.29576,0.01707,6881545.80000
1360,0.38243,0.35354,0.02158,9634320.90000
1370,0.39846,0.36354,0.02754,10864779.00000
1380,0.40578,0.36855,0.03002,10864773.60000
1390,0.40939,0.36993,0.03200,10864773.00000
1400,0.40875,0.37051,0.03114,10864774.80000
1410,0.39094,0.35944,0.02386,10566703.20000
1420,0.36531,0.33675,0.02118,10592118.60000
1430,0.39227,0.36011,0.02471,10864791.00000
1440,0.38710,0.35481,0.02488,10864798.20000
1450,0.38253,0.34927,0.02575,10864803.00000
1460,0.38689,0.35268,0.02666,10864803.00000
1470,0.38814,0.35353,0.02730,10864803.00000
1480,0.39313,0.35801,0.02754,10864807.80000
1490,0.39558,0.36105,0.02730,10864813.20000
1500,0.39876,0.36564,0.02590,10864818.60000
1510,0.40246,0.37026,0.02464,10864824.00000
1520,0.39966,0.36836,0.02400,10864827.00000
1530,0.38922,0.35724,0.02398,10864822.20000
1540,0.37762,0.34710,0.02330,10864824.00000
1550,0.37594,0.34542,0.02324,10864827.00000
1560,0.37605,0.34526,0.02340,10864828.20000
1570,0.37021,0.33876,0.02431,10869039.60000
1580,0.37043,0.33657,0.02652,10951032.60000
1590,0.37240,0.33543,0.02914,10974487.80000
1600,0.36952,0.33235,0.02987,10974497.40000
1610,0.36179,0.32553,0.02896,10974504.00000
1620,0.35426,0.31932,0.02746,10974501.00000
1630,0.34616,0.31288,0.02600,10974495.00000
1640,0.34276,0.31033,0.02525,10974492.00000
1650,0.33856,0.30638,0.02480,10974492.00000
1660,0.33741,0.30568,0.02423,10974493.80000
1670,0.33503,0.30328,0.02423,10974916.20000
1680,0.33602,0.30488,0.02385,11108102.10000
1690,0.33580,0.30479,0.02372,11241013.20000
1700,0.33132,0.30166,0.02225,11241018.60000
1710,0.32886,0.30029,0.02093,11241024.00000
1720,0.32327,0.29678,0.01935,11241025.80000
