frame,total,depth_prepass,geometry,lighting,index_count
0,0.34923,0.12608,0.19376,0.01987,6388479.00000
10,0.35620,0.12729,0.19894,0.01977,6388479.00000
20,0.35858,0.12806,0.20051,0.01978,6388479.00000
30,0.36950,0.12892,0.20884,0.02007,6388479.00000
40,0.37377,0.12853,0.21480,0.02056,6388479.00000
50,0.43374,0.15192,0.24900,0.02210,7620873.90000
60,0.47489,0.16050,0.28014,0.02394,7933098.00000
70,0.48160,0.15989,0.28539,0.02598,7933098.00000
80,0.48304,0.15954,0.28784,0.02525,7933098.00000
90,0.47939,0.15978,0.28505,0.02430,7933098.00000
100,0.48596,0.15912,0.29331,0.02308,7778540.10000
110,0.41482,0.12897,0.25312,0.02285,6388359.00000
120,0.41459,0.12915,0.25171,0.02332,6388359.00000
130,0.40519,0.12863,0.24301,0.02333,6328608.30000
140,0.39850,0.12814,0.23723,0.02316,6278724.00000
150,0.40585,0.12766,0.24499,0.02333,6278724.00000
160,0.40389,0.13020,0.24092,0.02262,6344505.00000
170,0.41066,0.13580,0.24309,0.02159,6548192.40000
180,0.41817,0.14114,0.24396,0.02259,6654137.70000
190,0.41352,0.13712,0.24360,0.02298,6649594.80000
200,0.41251,0.12984,0.24980,0.02318,6279649.20000
210,0.41268,0.12964,0.25036,0.02297,6153959.40000
220,0.39722,0.11746,0.24426,0.02296,5654925.00000
230,0.37946,0.11535,0.23404,0.02029,5715609.00000
240,0.41370,0.13259,0.24578,0.02172,6556806.00000
250,0.41823,0.13577,0.24904,0.02365,6632634.60000
260,0.40382,0.13542,0.23770,0.02061,6632607.00000
270,0.40638,0.13626,0.23874,0.02072,6632600.40000
280,0.41681,0.13643,0.24809,0.02227,6632592.60000
290,0.41926,0.13680,0.25036,0.02194,6632589.00000
300,0.37651,0.12552,0.22332,0.01782,6086332.20000
310,0.36051,0.11986,0.21327,0.01714,5774538.60000
320,0.35491,0.11586,0.21128,0.01783,5711706.00000
330,0.35159,0.11304,0.20980,0.01843,5522449.20000
340,0.35964,0.11434,0.21708,0.01848,5438616.30000
350,0.36200,0.11652,0.21656,0.01874,5419182.00000
360,0.36167,0.11366,0.21913,0.01892,5369350.80000
370,0.36973,0.10658,0.23133,0.02044,4967546.10000
380,0.36679,0.10545,0.23144,0.01990,4898302.80000
390,0.34729,0.10308,0.21508,0.01882,4809108.60000
400,0.34159,0.10017,0.21346,0.01743,4843965.00000
410,0.34754,0.10369,0.21534,0.01810,4857206.70000
420,0.37134,0.10395,0.23504,0.02179,4924218.00000
430,0.37388,0.10312,0.23815,0.02198,4921590.00000
440,0.34976,0.10111,0.21745,0.02044,4919838.00000
450,0.35670,0.10202,0.22491,0.01961,4918621.20000
460,0.35748,0.10170,0.22658,0.01882,4915782.00000
470,0.35046,0.10116,0.22010,0.01885,4915782.00000
480,0.36529,0.09909,0.23662,0.01845,4724589.90000
490,0.32525,0.08955,0.20730,0.01824,4350555.00000
500,0.35769,0.09369,0.23524,0.01828,4561743.60000
510,0.33901,0.09633,0.21390,0.01835,4649973.00000
520,0.33493,0.09628,0.20933,0.01857,4649973.00000
530,0.34240,0.09655,0.21694,0.01864,4649973.00000
540,0.34156,0.09651,0.21609,0.01850,4649973.00000
550,0.35561,0.10029,0.22594,0.01895,4889201.10000
560,0.34058,0.10062,0.21120,0.01845,4808830.80000
570,0.32496,0.09352,0.20331,0.01762,4297629.90000
580,0.29458,0.07644,0.19068,0.01734,3585789.60000
590,0.35005,0.10408,0.21745,0.01814,5050871.70000
600,0.44983,0.14842,0.26946,0.02198,7428586.80000
610,0.52666,0.18190,0.30688,0.02676,9154439.10000
620,0.54564,0.19216,0.31210,0.03146,9521362.20000
630,0.54845,0.19193,0.31198,0.03425,9517167.00000
640,0.54845,0.19150,0.31125,0.03542,9459631.80000
650,0.55223,0.19129,0.31399,0.03686,9421272.60000
660,0.61955,0.21806,0.34923,0.04209,10768835.40000
670,0.62796,0.22155,0.35462,0.04214,10858999.20000
680,0.62930,0.22243,0.35581,0.04090,10858885.50000
690,0.62557,0.22247,0.35353,0.03955,10855368.00000
700,0.62154,0.22199,0.35154,0.03806,10855368.00000
710,0.62613,0.22250,0.35566,0.03740,10855368.00000
720,0.61658,0.21880,0.35138,0.03652,10673067.00000
730,0.60492,0.21677,0.34390,0.03387,10593060.00000
740,0.58789,0.21246,0.33452,0.03054,10404744.00000
750,0.57733,0.21038,0.32654,0.03010,10279200.00000
760,0.58295,0.21178,0.32974,0.03158,10437937.50000
770,0.60304,0.21927,0.33886,0.03439,10766673.60000
780,0.60494,0.22078,0.33873,0.03538,10864798.80000
790,0.56015,0.19990,0.31592,0.03380,9787313.40000
800,0.55504,0.19572,0.31590,0.03316,9664446.60000
810,0.55818,0.19763,0.31931,0.03130,9667598.40000
820,0.56252,0.19783,0.32333,0.03128,9667593.00000
830,0.55952,0.19698,0.32223,0.02988,9667602.00000
840,0.55663,0.19682,0.32019,0.02966,9667602.60000
850,0.55523,0.19718,0.32054,0.02742,9667603.20000
860,0.54958,0.19883,0.31516,0.02539,9667607.40000
870,0.57407,0.20949,0.32809,0.02567,10385949.00000
880,0.60680,0.22504,0.35312,0.01850,10864839.00000
890,0.61402,0.22779,0.35758,0.01864,10864839.00000
