frame,total,visibility,gbuffer,lighting,index_count
0,0.33003,0.18947,0.11374,0.01711,6388479.00000
10,0.33303,0.18923,0.11682,0.01692,6388479.00000
20,0.33726,0.18934,0.12091,0.01698,6388479.00000
30,0.34258,0.19070,0.12482,0.01749,6388479.00000
40,0.34941,0.19225,0.12968,0.01789,6388479.00000
50,0.38773,0.22489,0.13466,0.01855,7620873.90000
60,0.42104,0.24084,0.14883,0.02154,7933098.00000
70,0.43076,0.24281,0.15479,0.02335,7933098.00000
80,0.42909,0.24155,0.15493,0.02280,7933098.00000
90,0.42722,0.24099,0.15445,0.02187,7933098.00000
100,0.42277,0.23876,0.15396,0.02028,7778540.10000
110,0.38387,0.19873,0.15421,0.02137,6388359.00000
120,0.38284,0.19802,0.15413,0.02117,6388359.00000
130,0.38120,0.19653,0.15414,0.02089,6328608.30000
140,0.37831,0.19415,0.15404,0.02051,6278724.00000
150,0.37818,0.19370,0.15410,0.02087,6278724.00000
160,0.37698,0.19270,0.15408,0.02070,6344505.00000
170,0.38556,0.19920,0.15429,0.02242,6548192.40000
180,0.39089,0.20374,0.15449,0.02291,6654137.70000
190,0.38701,0.20150,0.15416,0.02180,6649594.80000
200,0.37290,0.18951,0.15395,0.02006,6279649.20000
210,0.36960,0.18654,0.15379,0.01976,6153959.40000
220,0.35888,0.17561,0.15431,0.01957,5654925.00000
230,0.35478,0.17251,0.15367,0.01882,5715609.00000
240,0.38368,0.20182,0.15385,0.01868,6556806.00000
250,0.38286,0.19965,0.15400,0.01936,6632634.60000
260,0.38299,0.20105,0.15351,0.01901,6632607.00000
270,0.38324,0.20179,0.15345,0.01828,6632600.40000
280,0.38498,0.20252,0.15393,0.01895,6632592.60000
290,0.38120,0.19914,0.15368,0.01893,6632589.00000
300,0.37249,0.19001,0.15352,0.01772,6086332.20000
310,0.36309,0.18297,0.15333,0.01721,5774538.60000
320,0.35764,0.17844,0.15285,0.01688,5711706.00000
330,0.35837,0.17825,0.15323,0.01731,5522449.20000
340,0.35350,0.17319,0.15333,0.01762,5438616.30000
350,0.35102,0.16969,0.15346,0.01822,5419182.00000
360,0.34866,0.16718,0.15350,0.01832,5369350.80000
370,0.33990,0.15417,0.15406,0.02191,4967546.10000
380,0.33551,0.15081,0.15408,0.02113,4898302.80000
390,0.33358,0.15079,0.15374,0.01936,4809108.60000
400,0.32850,0.14820,0.15347,0.01752,4843965.00000
410,0.33408,0.15228,0.15367,0.01851,4857206.70000
420,0.33842,0.15201,0.15420,0.02260,4924218.00000
430,0.33581,0.14948,0.15398,0.02254,4921590.00000
440,0.33169,0.14822,0.15379,0.01990,4919838.00000
450,0.33093,0.14736,0.15382,0.01997,4918621.20000
460,0.32766,0.14503,0.15352,0.01967,4915782.00000
470,0.32725,0.14440,0.15344,0.01961,4915782.00000
480,0.32442,0.14181,0.15358,0.01943,4724589.90000
490,0.31178,0.12987,0.15334,0.01920,4350555.00000
500,0.31853,0.13562,0.15350,0.01967,4561743.60000
510,0.32326,0.14003,0.15382,0.01978,4649973.00000
520,0.32230,0.13928,0.15386,0.01947,4649973.00000
530,0.32157,0.13895,0.15369,0.01920,4649973.00000
540,0.32208,0.13932,0.15378,0.01916,4649973.00000
550,0.32824,0.14534,0.15354,0.01954,4889201.10000
560,0.32993,0.14784,0.15353,0.01872,4808830.80000
