scene,resolution,variant,metric,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
Bistro Exterior,16x9,8,V8 total,0.137013,0.110720,0.284865,0.367280,0.031040,0.370620
Bistro Exterior,16x9,8,V8 depth_prepass,0.053758,0.044320,0.111836,0.145031,0.006220,0.146560
Bistro Exterior,16x9,8,V8 geometry,0.063617,0.046675,0.150340,0.200911,0.005970,0.201730
Bistro Exterior,16x9,9,V9 total,0.164137,0.135765,0.301114,0.379077,0.070690,0.381470
Bistro Exterior,16x9,9,V9 visibility,0.096183,0.069495,0.227831,0.302751,0.010030,0.304980
Bistro Exterior,16x9,9,V9 gbuffer,0.023364,0.022955,0.025764,0.028048,0.018510,0.028430
Bistro Exterior,64x36,8,V8 total,0.146983,0.120995,0.309074,0.396759,0.030800,0.400090
Bistro Exterior,64x36,8,V8 depth_prepass,0.060058,0.048575,0.131153,0.170755,0.006190,0.171920
Bistro Exterior,64x36,8,V8 geometry,0.067423,0.052465,0.154799,0.204250,0.005920,0.205870
Bistro Exterior,64x36,9,V9 total,0.167624,0.139945,0.307159,0.385555,0.070650,0.387330
Bistro Exterior,64x36,9,V9 visibility,0.099673,0.073610,0.233386,0.309530,0.010050,0.311550
Bistro Exterior,64x36,9,V9 gbuffer,0.023610,0.022965,0.026853,0.027765,0.018460,0.028020
Bistro Exterior,256x144,8,V8 total,0.155022,0.126555,0.323761,0.422229,0.031230,0.422730
Bistro Exterior,256x144,8,V8 depth_prepass,0.063484,0.051565,0.139828,0.185646,0.006180,0.186720
Bistro Exterior,256x144,8,V8 geometry,0.071073,0.055880,0.161188,0.212469,0.005960,0.213670
Bistro Exterior,256x144,9,V9 total,0.178172,0.150020,0.318572,0.396248,0.071300,0.396730
Bistro Exterior,256x144,9,V9 visibility,0.106703,0.079290,0.244118,0.319047,0.010160,0.321140
Bistro Exterior,256x144,9,V9 gbuffer,0.025468,0.025195,0.028246,0.029132,0.018870,0.029560
Bistro Exterior,1024x576,8,V8 total,0.200824,0.168050,0.356503,0.448775,0.051580,0.451550
Bistro Exterior,1024x576,8,V8 depth_prepass,0.069391,0.056540,0.144877,0.187833,0.006850,0.189890
Bistro Exterior,1024x576,8,V8 geometry,0.089994,0.070435,0.169931,0.217642,0.005970,0.218470
Bistro Exterior,1024x576,9,V9 total,0.270453,0.252025,0.421012,0.483505,0.100100,0.483550
Bistro Exterior,1024x576,9,V9 visibility,0.127478,0.101930,0.268602,0.350622,0.010920,0.351960
Bistro Exterior,1024x576,9,V9 gbuffer,0.059908,0.062200,0.071380,0.074539,0.018260,0.074730
Bistro Exterior,4096x2304,8,V8 total,1.086988,1.110320,1.216715,1.330558,0.418760,1.333770
Bistro Exterior,4096x2304,8,V8 depth_prepass,0.178748,0.184575,0.242900,0.272045,0.013000,0.273010
Bistro Exterior,4096x2304,8,V8 geometry,0.428248,0.447680,0.502927,0.567207,0.017100,0.573240
Bistro Exterior,4096x2304,9,V9 total,1.694727,1.783040,1.910174,1.972775,0.606460,1.995470
Bistro Exterior,4096x2304,9,V9 visibility,0.341153,0.351305,0.442532,0.487322,0.022600,0.499880
Bistro Exterior,4096x2304,9,V9 gbuffer,0.624265,0.697965,0.734567,0.752371,0.033890,0.753190
Bistro Exterior,8192x4608,8,V8 total,3.932539,4.112480,4.414839,4.576221,1.595250,4.590390
Bistro Exterior,8192x4608,8,V8 depth_prepass,0.457786,0.473530,0.641462,0.697479,0.021870,0.771480
Bistro Exterior,8192x4608,8,V8 geometry,1.511793,1.637510,1.810188,1.900313,0.064940,1.909140
Bistro Exterior,8192x4608,9,V9 total,6.448122,6.882845,7.268950,7.489386,2.171070,7.513310
Bistro Exterior,8192x4608,9,V9 visibility,1.063173,1.099750,1.376166,1.569047,0.046830,1.595810
Bistro Exterior,8192x4608,9,V9 gbuffer,2.375966,2.670360,2.782191,2.876575,0.081770,2.877740
Bistro Interior Wine,16x9,8,V8 total,0.080926,0.084320,0.116392,0.138343,0.028020,0.144780
Bistro Interior Wine,16x9,8,V8 depth_prepass,0.028934,0.031530,0.045544,0.056560,0.004010,0.060620
Bistro Interior Wine,16x9,8,V8 geometry,0.032672,0.036320,0.051242,0.061893,0.005430,0.064200
Bistro Interior Wine,16x9,9,V9 total,0.107654,0.110780,0.131604,0.148261,0.071520,0.154480
Bistro Interior Wine,16x9,9,V9 visibility,0.041159,0.044390,0.064810,0.081290,0.005500,0.087430
Bistro Interior Wine,16x9,9,V9 gbuffer,0.022788,0.022810,0.022894,0.022980,0.022520,0.023000
Bistro Interior Wine,64x36,8,V8 total,0.084090,0.087860,0.123644,0.146538,0.028480,0.153840
Bistro Interior Wine,64x36,8,V8 depth_prepass,0.030847,0.033530,0.049216,0.061561,0.004160,0.066010
Bistro Interior Wine,64x36,8,V8 geometry,0.034071,0.037280,0.054252,0.065411,0.005710,0.068110
Bistro Interior Wine,64x36,9,V9 total,0.108860,0.112250,0.133844,0.151466,0.072000,0.157970
Bistro Interior Wine,64x36,9,V9 visibility,0.042688,0.046100,0.067178,0.084687,0.005760,0.091110
Bistro Interior Wine,64x36,9,V9 gbuffer,0.022874,0.022890,0.022980,0.023055,0.022450,0.023080
Bistro Interior Wine,256x144,8,V8 total,0.085566,0.089020,0.124942,0.149233,0.031370,0.157160
Bistro Interior Wine,256x144,8,V8 depth_prepass,0.031098,0.033330,0.049146,0.062509,0.004660,0.066880
Bistro Interior Wine,256x144,8,V8 geometry,0.034580,0.038010,0.055106,0.066236,0.007390,0.069120
Bistro Interior Wine,256x144,9,V9 total,0.116534,0.121300,0.142238,0.161128,0.076800,0.167840
Bistro Interior Wine,256x144,9,V9 visibility,0.045241,0.048810,0.070940,0.088670,0.006530,0.095320
Bistro Interior Wine,256x144,9,V9 gbuffer,0.024756,0.024880,0.025658,0.025986,0.023270,0.026000
Bistro Interior Wine,1024x576,8,V8 total,0.123211,0.125920,0.155828,0.184192,0.079600,0.191450
Bistro Interior Wine,1024x576,8,V8 depth_prepass,0.031562,0.033230,0.048690,0.062101,0.009000,0.066360
Bistro Interior Wine,1024x576,8,V8 geometry,0.051235,0.049740,0.067718,0.080813,0.031030,0.083000
Bistro Interior Wine,1024x576,9,V9 total,0.201929,0.207980,0.246650,0.280857,0.150330,0.290990
Bistro Interior Wine,1024x576,9,V9 visibility,0.060757,0.063570,0.094712,0.128215,0.015690,0.139110
Bistro Interior Wine,1024x576,9,V9 gbuffer,0.058620,0.059460,0.066018,0.068630,0.033900,0.068700
Bistro Interior Wine,4096x2304,8,V8 total,0.967326,0.988600,1.071800,1.110313,0.658520,1.111780
Bistro Interior Wine,4096x2304,8,V8 depth_prepass,0.100160,0.104720,0.136938,0.159976,0.043220,0.166500
Bistro Interior Wine,4096x2304,8,V8 geometry,0.380872,0.401440,0.435996,0.465140,0.155780,0.465210
Bistro Interior Wine,4096x2304,9,V9 total,1.659263,1.679330,1.808004,1.897549,1.027680,1.920540
Bistro Interior Wine,4096x2304,9,V9 visibility,0.231566,0.232050,0.294390,0.391318,0.139830,0.420410
Bistro Interior Wine,4096x2304,9,V9 gbuffer,0.684563,0.719440,0.751180,0.752582,0.263350,0.752590
Bistro Interior Wine,8192x4608,8,V8 total,3.614067,3.686240,3.935844,4.036263,2.487350,4.038240
Bistro Interior Wine,8192x4608,8,V8 depth_prepass,0.270017,0.270170,0.371530,0.452881,0.131810,0.480940
Bistro Interior Wine,8192x4608,8,V8 geometry,1.378225,1.442660,1.552162,1.676010,0.540620,1.676340
Bistro Interior Wine,8192x4608,9,V9 total,6.412671,6.504750,6.908140,7.075560,3.852140,7.103930
Bistro Interior Wine,8192x4608,9,V9 visibility,0.747236,0.729610,0.914422,1.198173,0.449090,1.277780
